འང-དེ	vacant
དགོད-པར-བྱ	 {C}to place (in); discard(?); to store; affix; to fix; deposits; to put up|{C}should establish 
དགོད-པར-བྱའོ	{C}I could establish
དགོན-དབེན-སྤྱོད-པ	{C}one who courses in the detachment of the remote forest
དགོན-པ	{C}remote forest; jungle; wilderness; forest dweller; belonging to the forest; in the remote forest
དགོན-པ-དང-ནགས-འདབ	{C}jungle
དགོན-པ-ལ-གནས-པ	{C}dwelling in the forest
དགོན-པ-ལྷུར-བྱེད-ཅིང	{C}one completely devoted to life in the remote forest
དགོན-པ-པ	{C}forest-dweller; belonging to the forest
དགོན-པའི-ལམ	{C}wilderness
དགོངས-པ	 {C}hidden intent; with hidden meaning|{C}intent(ion); desire; purpose; attempt (to hurt); veiled; indirect; with hidden meaning; grace(?) 
དགོངས-པ-མཛད-དེ	{C}his mind is impressed by; consider; bring out; bear in mind; bring to mind;  behave towards(?); thinks to himself
དགོངས-པར	{C}his mind is impressed by; consider; bring out; bear in mind; bring to mind;  behave towards(?); thinks to himself
དགོངས-པར-འགྱུར	{C}his mind is impressed by; consider; bring out; bear in mind; bring to mind;  behave towards(?); thinks to himself
དགོངས-པར-མཛད	{C}his mind is impressed by; consider; bring out; bear in mind; bring to mind;  behave towards(?); thinks to himself
དགོངས-ཏེ	{C}hidden intent; with hidden meaning
༅དགོངས༏-དགོངས-པ	{C}hidden intent; with hidden meaning
དགོས	{C}work; business; function; task
དགོས-པ	{C}duty; necessary
དགོས-པ-བྱེད-དོ	{C}does its work
དགོས-པ-བྱེད-ནུས-པ	{C}capable of doing; business
དགོས-པ-ཤིན-ཏུ-ཡོངས-སུ-རྙེད-པ	{C}one who has well done his work
དགྲ	{C}provokes hostility; hostile forces
དགྲ-བོ	{C}inimical force; foe
དགྲ-བྱེད	{C}foe
དགྲ-བྱེད-མང-བ	{C}full of many hostile forces
དགྲ-མང-བ-ཡིན-ཏེ	{C}provoke much hostility; surrounded by much hostility
དགྲ-རྣམས	{C}multitude of enemies
དགྲོལ	{C}release; liberate; set free
དགྲོལ-བ	{C}liberation; set free
དགྲོལ-བའི-ཕྱིར	{C}set free
དགུ	{C}belly
དིག-པ	{C}tremulous
དཀའ	{C}hard to understand; hard to express; to do what is hard
དཀའ-བ	{C}hard to understand; hard to express; to do what is hard; stupid
དཀའ-བ-བགྱིད-པ	{C}doer of what is hard
དཀའ-བ-བྱེད-པ-ཡིན-པ	{C}doer of what is hard
༅དཀའ-བ-སྤྱད-པ༏-དཀའ-སྤྱད༏-དཀའ-སྤྱོད༏-དཀའ-བ-སྤྱོད-པ	{C}austerities
དཀའ-བ-ཡིན	{C}extremely hard; difficult; (to do what is) hard
དཀར-པོ	 {C}pure; bright|pure; bright; very white; {C}pure; {C,D1}bright 
དཀར-པོ-རྣམ-པར-མཐོང-བའི-ས	{C}stage of bright insight
༅དཀར༏-དཀར-པོ	{C}pure; bright
དཁྱིལ-འཁོར	{C}(circle of the) assembly
དཁྱིལ-འཁོར-གྱི-ཁྱམས-ན	{C}circular hall with peaked roof
དཀོན-མཆོག	{C}precious jewel; precious substance; treasure
དཀོན-པ	hard to get; hard to find; hard to reach
དཀོན-པོ	 hard to get; hard to find; hard to reach|hard to get; hard to find; hard to reach 
༅དཀོན༏-དཀོན-པོ	hard to get; hard to find; hard to reach
དཀྲི	{C}overcome; wrap
དཀྲིས	{C}overcome; wrap
དཀྲིས-སམ-བཅིངས-ཏེ	{C}bound
དཀྲུག-པར-བྱ	{C}should deflect from
དཀྲུགས-ནས	{C}troubled
དཀྲུགས-པ	{C}tumult
དཀུ	{C}belly
དམའ-བ	{C}dejected; inferiority
དམའ-བ-ལགས-པས	{C}slopes away
དམན-པ	{C}mean; left behind; disagreeable; dull; soft; mild
དམན-པ-ལ-མོས-པ	{C}those who have an interest in the low; those of inferior resolve/intentions
དམན-པའི-འགྲོ-བ	{C}inferior destiny
དམར	{C}passionate; fond of
དམིགས	{C}make into an object; come (to); go to; be overpowered; approach; take to; undergo; with negative: remain unaware; apprehension; can be apprehended in actual reality; gain; get to/at; seize on; basic; basic fact; basis of apprehension; apprehension as b
དམིགས-འགྱུར	{C}gain; get at/to; seize on
དམིགས-བུ-མེད-པ	{C}without a guide
དམིགས-ཅན	{C}one who leans on a basis
དམིགས-པ	{C}objective support; be aware of; perceive; opinion; imagine; construe; basic fact; basic; basis of apprehension; take as a basis; can be apprehended in actual reality; uphold; look for support in; hangs on to; seek (for) rebirth in; base rebirth (in/on)
དམིགས-པ-ཅན	{C}one who leans on/observes a basis; one who is based on something
དམིགས-པ-དང-བཅས-མ-ཡིན	{C}with an objective support
དམིགས-པ-དང-བཅས-པ	{C}one who leans on/observes a basis; one who is based on something
དམིགས-པ-མེད	{C}without apprehending anything
དམིགས-པ-མེད-དང-ལྡན-པ	{C}absence of devotion to a basis
དམིགས-པ-མེད-པ	{C}without apprehending anything; one who observes no basis; without objective support
དམིགས-པ-མེད-པ-དང-དམིགས-པ-ཡ-མ-བརླད-དག	{C}absence of an objective support and voidness
དམིགས-པ-མེད-པ-ལ-གནས-པ	{C}one who dwells in the Baseless
དམིགས-པའི-ཚུལ-གྱིས	{C}through making into an objective support
དམིགས-པར-འགྱུར	{C}get; gain; receive; get hold of
དམིགས-སྒོ-ནས	{C}gain; get at/to; seize on
དམིགས-སུ-མེད	{C}cannot be apprehended; not seized; not getting at; who does not apprehend; since I do not get at; since I fail to apprehend; not apprehending; unable to get at; when one cannot apprehend
དམིགས-སུ-མེད-པ	{C}without objective support; free from stains; untainted
དམུས-ལོང	{C}born blind
དམྱལ-བ-པ	{C}in the hells; infernal
དངང-བ	{C}tremble; be afraid; is frightened
དངོས	{GD:386} primary sense; {GD:515} true (as opposed to metaphorical, btags pa ba); principal (as opposed to secondary, zhar); explicit (as opposed to implicit, shugs); direct (as opposed to indirect, rgyud); self (as opposed to other, gzhan)
དངོས-བྲལ	{C}free from existence
དངོས-གྲུབ	{C}success
དངོས-ཀྱི-བརྗོད-བྱ	{GD:297} the direct signified object; {GD:434} direct object of signification; {GD:435} to signify direct objects
དངོས-ལ-བདག-གིར-འཛིན-པ	{C}sense of ownership about property
དངོས-ལ-གནས-པ	{C}basis; support
དངོས-ལས	{GD:696} real thing
དངོས-མེད-ངོ-བོ-ཉིད	{C}absence of own-being; have non-existence for own-being; have no own-being; the own-being is non-existent
དངོས-པོ	{N}topic; {C}actual reality; real thing; substantial (entity); root; basis; underlying reality; (objective) entity; objective reality; property; possession; cause; objectively existing entity; objective basis; existence; (= 5 skandhas); positivity; positi
དངོས-པོ-འཕངས	{C}affection for property
དངོས-པོ-དང-བཅས-པར	{C}as if it were an entity
དངོས-པོ-གཞན-དང-མ-འདྲེས-པ	{GD:273} [real] things exist unmixed with other things
དངོས-པོ-ལ-གནས-པ	{C}supported by a thing
དངོས-པོ-མ-མཆིས-པ	{C}without a corresponding entity
དངོས-པོ-མེད	{C}absence; non-existence; non-existent; non-positive; absence of positivity; negativity; non-positivity; not a positive existence
དངོས-པོ-མེད-པ	{C}has no real existence; state of non-existence
དངོས-པོ-སྟོབས-ཤུགས-ཀྱི-རིགས-པ	{GD:760} investigation relying on inference produced by the power of facts; {GD:765} inference proceeding from the mere power of fact
དངོས-པོ-ཐམས-ཅད-ལས	{C}(derived from) material gifts given in faith to the Tathāgata [fifth puṅya-kriyā-vastu]
དངོས-པོའི-རང-བཞིན-བྲལ-པས	{C}in its own-being without existence
དངོས-པོའི-རང-བཞིན-མཁས	{C}skilled in seeing the own-being of existence (existents?)
དངོས-པོའི-སྟོབས-ཀྱིས-ཞུགས-པའི-འབྲེལ-བ	{GD:785} relation by the power of facts
དངོས-པོར-འགྱུར-བ	{C}becomes; stands; takes place; occurs; comes about
དངོས-པོར-ལྷུང-བ	{C}fallen among things
དངོས-ཤུགས-ལ-རྟོགས-པ	{GD:389} explicit-implicit realization
དངོས-སུ-བརྗོད	{GD:435} directly signify
དངོས-སུ-རིག	{GD:520} unmediated cognition (in the epistemological sense)
དངོས-སུ-རྗོད	{GD:434} directly signify
དངོས-སུ-རྟོགས-པ	{GD:515} direct realization
དངུལ	{C}silver(ish)
དོགས	{C}hesitates; desires; doubts; hesitation
དོགས-གཅོད	{GD:508} eliminate doubts
དོགས-པ	{C}apprehensive; necessary; useful; dread
དོན	{C}according to ultimate reality; (according to) its meaning
དོན-འདོད-པ	{C}desiring the welfare of others
དོན-བྱ-བ	{C}actions for the benefit of others
དོན-བྱ-བ-དོན-སྤྱོད-པ	{C}actions for the benefit of others
དོན-བཟང-པོ	{C}good in sense; real in meaning
དོན-ཆེན-ཉིད	{C}that which brings about the great aim
དོན-ཆེན-པོ	{C}very profitable
དོན-ཆེན-པོ-བྱེད-པ	{C}greatly profitable
དོན-ཆོས	{GD:245} real property
དོན-ཅི-ཞིག-མཐོང-ནས	{C}as a result of which reasoning
དོན-དང-ལྡན	{C}intent on what is beneficial
དོན-དུ	{C}in order to; with the object of; for; on behalf of; about; as being; with regard to
དོན-དུ-ཆེན-པོ	{C}greatly profitable
དོན-དུ-ཆེན-པོ-བྱེད-པ	{C}greatly profitable
དོན-དུ-གནས-པར-གྱུར-པའོ	{C}is conducive to; lead to (a rebirth)
དོན-དུ-གཉེར	{C}ly down to; striving; return to; rest in; stand firmly in; rely on; base oneself on; eagerly wants to strive for
དོན-དུ-གཉེར-བ	{C}intent; seeking; strive after; aspire for; desire; zeal
དོན-དུ-གཉེར-བ-བྱེད-པ	{C}strive after; aspire for
དོན-དུ-གཉེར-བ-མ-ཡིན	{C}without caring for
དོན-དུ-གཉེར-བར-བྱེད-པ	{C}strive after; aspire for
དོན-དུ-གཉེར-བྱ	{GD:674} purposeful object
དོན-དུ-གཉེར-བྱེད	{C}strive after; aspire for
དོན-དུ-གཉེར-བྱེད-པ	{C}strive after; aspire for
དོན-དུ-མི-གཉེར	{C}fly down to; return to; rest in; stand firmly in; rely on base oneself on
དོན-གཅིག	{GD:284} identity of equivalence
དོན-གཅིག-པ	{C}there is only one single meaning
དོན-གཉེར	{C}interested in business; profitable; wants
དོན-གྱི-ཆ	{GD:362} objective factor in the object
དོན-གྱི-དབང-འདིའང-མཐོང-ནས	{C}when he considers this sequence of events
དོན-གྱི-དབང-དེ-མཐོང-བས	{C}considering (which) reasoning
དོན-གྱི-གཞན-སེལ	{GD:406} objective exclusion
དོན-གྱི-རྗེས-སུ-ཞུགས-པ	{C}modeled on an objective entity
དོན-གྱིས-རྟོགས-པ	{GD:515} realize by implication
དོན-ལྡོག	{GD:487} defining property; meaning differential
དོན-ལྐོག-གྱུར-ན-མོ	{GD:542} hidden object
དོན-མ-ལགས-པ	{C}harm; misfortune
དོན-མ-ཡིན-པ	{C}harm; misfortune
དོན-མེད-པར	{C}useless
དོན-མཐུན	{GD:648} factual
དོན-མཐུན-པ	{C}equally important; consistency between words and deeds
དོན-རང-མཚན-གྱི-གཞན-སེལ	{GD:306} an objective elimination
དོན-རྣམ	{GD:406} aspect as object
དོན-སོ-སོ-ཡང-དག-པར-རིག-པ	{C}analytical knowledge of meaning/objects
དོན-སྤྱི	{GD:399} object-universal
དོན-སྤྱོད-པ	{C}actions for the benefit of others; beneficial actions
དོན-ཡོད	{C}not fruitlessly; not vain
དོན-ཡོད-པ	{C}not fruitlessly; not vain
དོང	{C}moved away
དོང-རང-མཚན-གྱི-གཞན-གསེལ	{GD:379} objective negation, the thing itself when negatively characterized; {GD:380} objective exclusion
དོར-བ	discard; reject; cast out; forsake; cancel · withdrawal; repudiation
དོར-བ-མེད	{C}absence of giving up; non-repudiation; without adding
དོར-བ-མེད-པ	{C}absence of giving up; non-repudiation; without adding
དོར-བ-མེད-པ-སྟོང-པ-ཉིད	{C}emptiness of non-repudiation
དོར-བར-བྱ-བ	should be repelled
དོར-བྱ	should get parted
དཔའ	{C}heroic spirit; courageous; steadily wise
དཔའ-བོ	{C}courageous; steadily wise; heroic spirit
དཔའ-བོར-འགྲོ-བ	{C}heroic valor
དཔའ-ཞིང-རྟུལ-ཕོད-སྐྱེས-བུ-མང	{C}many heroic champions
དཔག-ཏུ-མེད-པ	{C}countless; measureless; quite measureless; infinite; illimitable; innumerable; unlimited; magnificent
དཔལ	{C}majesty
དཔལ-གྱི-བེའུ	{C}the śrīvatsa sign
དཔེ	{C}similarity; similar to; simile
དཔེ-བྱད	{C}letter; verbal expression; minor characteristic; method
དཔེ-བྱད-བཟང-པོ	{C}minor characteristic
དཔེ-གཞན	{C}definte statement; definition
དཔེ-མེད-པ	{C}incomparable
དཔེ-ཉེར-འཇལ	{GD:681} analogy; {GD:714} comparison
དཔེར-གསོལ-བར	{C}a simile or example
དཔྲལ-བ	{C}forehead
དཔུང-གཉེན	{C}final relief; refuge
དཔུང-ཚོགས	{C}army
དཔྱད-པ-དང	{C}futile considerations
དཔྱིད-བཟང-ལ	{C}in beautiful spring
དཔྱིད-ཀའི-དུས	{C}spring
དཔྱོད	{C}plunges (into)
དཔྱོད-པ	{C}discursive thought; testing; 'ability to tolerate'
དྲག	{C}hard; heavy; weighty; serious; deep
དྲག-ལྡན	{C}weighty; serious; heavy; deep
དྲག-ཤུལ-སྤྱོད-སྔགས	{C}spell of bewitchment
དྲལ	disappearing; {C}dense; dark; {Thumi, p.129} to cause to be shameless; to do without; to break a promise
དྲན-པ	{C}remember; be mindful of these thoughts; rememberance
དྲན-པ-དང-ལྡན-པ	{C}mindfully; has a good memory
དྲན-པ-ནེར-གཞག	{C}support(s) of mindfullness
དྲན-པ-ཉེ-བར-བཞག-པ	{C}foundation(s)/support(s) of mindfulness; one whose mindfulness is well established; mindful; {GD:112} application of mindfulness
དྲན-པར-བྱས-པ-ཡིན-ན	{C}inform
དྲན-པར-བྱེད	{C}inform
དྲན-པར-ཉེར-བར-བཞག-པ	{C}foundation(s)/support(s) of mindfulness; one whose mindfulness is well established; mindful; {GD:536} the four applications of mindfulness
དྲན-ཤེས	{GD:524} recollection
དྲང	{C}upright
དྲང-ལས	{C}straight; upright
དྲང-པོ	right; honest; good condition; excellent
དྲེགས-པ	{C}self-conceit
དྲེན-པ	{C}toleration; testing; 'ability to tolerate'
དྲི-བ	{C}question
དྲི-བ-དང-བྲལ-བ-མེད-པ	{C}not immaculate
དྲི-མ-མེད-པ	{C}spotless; immaculate; not defiled/tainted
དྲི-ཞིམ	{C}with a fragrant smell
དྲི-ཞིམ-པོ	{C}fine fragrance
དྲིན-དུ-གཟོ-བ	{C}thankfulness
དྲིས	{C}question; ask
དྲོ-བ	{C}heat; stage of heat; those on the stage of heat
དྲོད-གཤེར-ལས-སྐྱེས-པ	{C}moisture-born
དྲོད-གྱུར-པ	{C}degree of heat
དྲོད-སྙམ	{C}ponder; weigh (up); examine; compare; deliberate; consider
དྲོན-པོ	{C}hot
དྲུང-དུ-ལྷགས-ནས	{C}thanks to; has come in to; come in to; resorting to; when he has entered on; come; return again; because of; in the course of
དྲུང-དུ-ཉེ-བར-འགྲོ-བར	{C}approaching; think of approaching
དྲུང-དུ-ཕྱིན	{C}have approached
དུ	{C}how many?; some; several
དུ-མ	{C}absence of oneness; manifold; brilliant and multi-colored (meru); various; well-colored; brilliant
དུ-མ-ཆུད-པ	{C}sundered from; freed; outside
དུ-མ-ཉིད	{C}absence of oneness
དུ-མ-ཉིད-པ	{C}non-manifoldness
དུ-མའི-ངོ-བོ	{C}in great variety; different in form; one of the many
དུ-ཞིག	{C}of how many kinds?
དུབ-པ	{C}feel exhausted
དུད-འགྲོའི-འགྲོ-བ	{C}rebirth as an animal
དུད-འགྲོའི-འཇིག-རྟེན	{C}world of animals
དུག-མེད-པ	{C}non-poisonous
དུག-ཐམས-ཅད-རབ-ཏུ-ཞི-བར-བྱེད-པ	{C}cure
དུལ-བ	{C}completely tamed; self-discipline; tames
དུལ-བའི-གནས-སུ	{C}taming
དུལ-བའི-སེམས	{C}a mind completely tamed
དུལ-བར-བྱའོ	{C}tames
དུལ-བར-གྱུར-ནས	{C}wander about (in birth-and-death)
དུར-ཁྲོད	{C}burial ground
དུར-ཁྲོད-པ	{C}one who lives in cemeteries
དུས	{C}period (of time)
དུས-བཏབས	{C}expression; date; agreed symbol; conventional symbol; verbal expression
དུས-བཟང-པོ	{C}lucky time(s)
དུས-ཆོགས	{C}right time; true time
དུས-དུས-སུ	{C}in due season and at regular times
དུས-གསུམ	{C}the three periods of time; what is in the three periods of time
དུས-གསུམ-དུ-རྣམ-པར-བཞུགས-པ	{C}who appears in the three periods of time
དུས-གསུམ-གཏོགས-པ	{C}belonging to the three periods of time
དུས-གསུམ-ལས-ངེས-པར-གྲོལ-བ	{C}it lies outside the three periods of time
དུས-གཞན	{C}at some time
དུས-གཞན-ཞིག-ན	{C}at some time
དུས-མ-འདྲེས-པ	{GD:123} determinate temporal position
དུས-མིན	{C}out of season
དུས-མཐའ-སྐད-ཅིག-མ	{GD:281} infinitesmal moment
དུས-ངང-པོ	{C}unlucky time
དུས-ངེས-པ	{GD:123} determinate temporal position
དུས-རེ-ཞིག	{C}only for a certain time
དུས-རྣམས-རྟག-ཏུ	{C}invariably; constantly; for all time
དུས-རྟག-ཏུ	{C}invariably; constantly
དུས-སུ	{C}period (of time)
དུས-སུ-སྨྲ-བ	{C}speak in due season
གཡང-ས	{C}cliff
གཡས	{C}(curl) to the right
གཡས-པ	{C}(turning to the) right
གཡས-ཕྱོགས	{C}(turning to the) right
གཡས-ཕྱོགས-སུ	{C}(curl) to the right
གཡས-ཕྱོགས-སུ-འཁྱིལ-བ	{C}turn to the right
གཡེལ-བ-མེད-པ	{C}undaunted
གཡེལ-མེད-པ	{C}undaunted
གཡེང	{C}disturbed; distracted; scattered
གཡེངས	{C}distracted; shot into
གཡེངས-པར-བགྱིད	{C}disperse
གཡོ	{C}is put out; move away from; swerve (away from); shakes; stirs
གཡོ-བ	{C}vaporing; dust (mote); rein; ray of light; sun; immovable; affirmation; shaky; is put out; move/swerve (away from); wavers; shakes; stirs
གཡོ-བ-མ-མཆིས-པ	{C}imperturbability; powerless to act; lack of power to act
གཡོ-བ-མེད	{C}inactive; unoccupied
གཡོ-བ-མེད-པ	{C}inactive; unoccupied; imperturbable; immobility; unshakeable; mountain
གཡོ-བར-བྱེད-པ	{C}to shake
གཡོ-ལྡན	{Rigzin} Satha
གཡོ-མེད-པ	{C}imperturbable; immobility; unshakeable; mountain
གཡོན-ཅན	{C}rogue
གཡོས	{C}shakes
གཡོས-བ	{C}vacillating; vaporing
གཡུལ	{C}battle
གཡུལ-དུ-ཐོག-མར	{C}head; front (of a battle)
གཡུལ-གྱེད	{C}battle
གཡུལ-ངོར	{C}battle
གཡུང-པོ	{C}refuse worker
ག	{C}marvellous power
ག-ལ	{C}how?; where?
གབ-ཚེ	{C}basket
གང-བ	{C}completion; repletion; filled with
གང-བ-མེད-པ	{C}without having fulfilled; (in)complete
གང-དུ-འདོད-པའི-ཞིང-དུ-འགྲོ-བ	{C}going to the field one wishes to go to
གང-གཱའི-ཀླུང-གི-བྱེ-མ-སྙེད	{C}countless like the sands of the Ganges
གང-གཱའི-ཀླུང-མཉམ	{C}like the sands of the Ganges
གང-ལ	{C}in whom; how
གང-ལས	{C}with what?; why?
གང-ལས-བསྐྱོད-པར-བགྱིད-ལགས	{C}free oneself from
གང-མེད	{C}non-completion; no increase
གང-ཚེ	{C}when; time; so that
གང-ཡང	{C}anyone; whatever; anywhere
གང-ཡང-རུང-བའི	{C}some or other
གང-ཡིན-པར-འགྲོ	{C}goes into...which he comes across on his way
གང-ཟག-མེད-པ	{C}no personality; without personality; absence of a person
གང-ཟག-ཟླ-མེད-པ	{C}without a match
གང-ཞེ-ན	{C}what is?
གར-འདོད-པ	{C}wherever it wishes
གས-དང-གླུ-ཚིག-དང-སྦྲུང	{C}play
གཅད-དུ-མེད	{C}not cut apart
གཅད-པ	{C}is cut (off)
གཅན-གཟན	{C}beasts of prey
གཅན-གཟན-དང-རི-དྭགས	{C}wild beast; beasts of prey; beasts of prey, deer, and ferocious wild animals
གཅན-གཟན-གདུག-པ	{C}wild beast; beasts of prey; beasts of prey, deer, and ferocious wild animals
གཅན-གཟན-གྱི-དགོན-པ	{C}wild place with beasts of prey
གཅན-གཟན-གྱི-དགོན-པའི-ནང-དུ-སོང-ན	{C}gets into a wilderness infested with wild beasts
གཅན-གཟན-ཁྲོ-བོའི-རིགས-དག	{C}fierce beasts of prey
གཅེས-པ	{C}leader; the most valuable of all
གཅེས-སྤྲས-བྱེད-པ-ཡིན	{C}achieves much
གཅིག	{C}autonomous; first; together; one single; alone; the same as; only one; common; identical; mutual
གཅིག-བཀག-པའི-ཐ-དད	{GD:155} [distinct from something which is] a mere negation of being one with [that something]
གཅིག-གི-གཅིག	{C}common; identical; mutual
གཅིག-གི-རྒྱུ-ལས-གཅིག-བྱུང-བ-ཡིན-པ	{C}mutual production; (lit.: 'from the cause of one; the other arises')
གཅིག-པ-བཀག-པ	{GD:154} merely not one
གཅིག-པུ-ལ-མངོན-པར-དགའ-བ	{C}fond of solitude
གཅིག-ཙམ-དུ-ནི-ཡིད-ལ	{C}single-mindedly
གཅིག-ཏུ	devoted soley to; exceedingly; devoted to one aim only; · {C}only; together; complete
གཅིག-ཏུ-བགྱིད-པ-མ-ལགས-པ	{C}does not exalt the single oneness
གཅིག-ཏུ-བརྗོད-པ	{C}single utterance
གཅིག-ཏུ-ངེས-པར-གཏན-དུ	{C}an absolute assurance
གཅིག-ཏུ-རྣམ-པར-བཀོད-པ	{C}one single array; array; mass; (miraculous) harmony
གཅོད	{C}cessation; annihilation; cut off; rob of (e.g.: jīvitād); cut off
གཅོད-བྱེད-པ	{C}cuts off
གཅོད-པ	cut off; cut (asunder/off); end; destroy
གདགས-པ	{C}concept; conception; nominal concept; nominal existence; conceptual entity; nominal entity; intimation
གདགས-པར-བྱ	{C}should make known; can I make (people) conceive of; is conceived; comes under the conceivable; have a conception of
གདགས-པར-བྱ-བ-མ-ཡིན	{C}cannot be intimated; cannot be a subject of wise instruction; inconceivable; should/can not be conceived
གདགས-སུ-མ-མཆིས-པ	{C}connot be intimated; cannot be a subject of wise instruction; inconceivable; should/can not be conceived
གདགས-སུ-མཆིས-པར-གྱུར	{C}is conceived; comes under the conceivable; have a conception of
གདགས-སུ-མེད-པ	{C}connot be intimated; cannot be a subject of wise instruction; inconceivable; should/can not be conceived
གདམས-ངག	{C}teaching
གདམས-པ	{C}speaks meaningfully of; communicates; makes known; conceived of
གདན	{C}coverlet
གདོད-ནས-སྟོང-ཞིང	{C}empty from the very beginning
གདོལ-བ	{C}outcast
གདོལ-བའི-རིགས	{C}family of outcasts; outcast
གདོལ-པ	{C}outcast
གདོན-མི-འཚལ-བར	{C}(it is) of necessity; in all circumstances; definitely
གདོན-མི-ཟ-བར	{C}(it is) of necessity; in all circumstances; without any doubt; in all certainty; exposition; disquisition; description
གདོན-པར-བྱའོ	{C}should be repeatedly recited
གདུག	{C}viper; resemblence to a poisonous snake
གདུག-པ-དང-རི-དྭགས-དང	{C}wild beasts; beasts of prey; antelopes; deer and ferocious wild animals
གདུག-པ-དང-སྡིག-སྦྲུལ-མང-པོའི-དགོན-པའི-ནང-དུ-སོང-བ	{C}be in the middle of a wilderness infested with venomous vipers
གདུགས	{C}parasol; parachute
གདུལ-བར-བྱ-བ	one to be disciplined
གདུང	{C}lineage
གདུང-མི-གཅད-པར-བྱ-བའི-ཕྱིར	{C}so that the lineage should not be interrupted; to insure the non-interruption of the lineage
གདུང-རྒྱུད-མི-ཆད-པར-བྱ-བ-ལ	{C}so that the lineage should not be interrupted; to insure the non-interruption of the lineage
གདུང-རྒྱུན-མི-ཆད-པར-བྱེད-པར	{C}so that the lineage should not be interrupted; to insure the non-interruption of the lineage
གདུངས-པར	{C}pained; tormented; scorched; {VM} tormented [by]
གེལ-པ	{C}shrub
གླགས	{C}enter; descend; penetrate; descent; opening; opportunity; possibility; entry; phrase at; descent; opening
གླགས-རྙེད-འགྱུར	{C}gains entrance
གླགས-རྙེད-པར-འགྱུར	{C}a chance with
གླལ-བ	{C}yawn
གླང	{C}bull
གླང-པོ-ཆེན-པོ	{C}great serpent
གླང-པོ-ཆེན-པོའི-ལྟ-སྟངས	{C}elephant-look
གླང-པོའི-རྗེས	{C}elephant's foot
གླངས	{C}would have taken
གླེགས	{C}book
གླེགས-བམ-དུ-བྲིས-ནས	{C}written down in a book
གླེགས-བམ-དུ-ཆུད-པར	{C}has got it from a book; from a book
གླེན-པ	{C}stunned; senseless idiot; stupid
གླེངས	{C}set to work
གླིང	{C}island
གློ-བུར-དུ	{C}(something) adventitious
གློག	{C}lightning flash
གླུ	{C}song
གནག-རྫི	{C}cowherd
གནམ	{C}space
གནམ-བཞིན	{C}space; sky
གནམ-དུ	{C}upwards
གནང	{C}sanction; ordained
གནས	{C}abide in the world; home; at home; supported; settled; established; becomes; stands; takes place; occurs; comes about; realm; stately house;  world (e.g.: sva-bhavana; his respective world); residence; male organ; place of rest; room; track; an entity
གནས-བྲལ	{C}absence of a discontinuous existent
གནས-བྱེད	{C}dwell; resides
གནས-དང-གནས-མ-ཡིན-པ-བསྟན-པ-ཤེས-པར-བྱ-བ	{C}exposition of what can be and what cannot be
གནས-དམིགས-སུ-མེད-པ-ལ-བརྩོན-པ	{C}pleased with being unsupported by a home
གནས-གྱུར-པ	{C}turn back; reverse; overturn; basis
གནས-ཁྲོད	{C}woods; forest jungle
གནས-ལ-བརྟེན-པ-མེད-པ	{C}utterly homeless
གནས-ལ-བརྟེན-པར	{C}home; at home
གནས-ལ-ཡོད-པ	{GD:486} abiding in the location
གནས-མ-ལེགས-པ	{C}not gone; without resort; no access; do not go away
གནས-མ-མཆིས-པ	{C}trackless; without a trace; groundless; taking his stand nowhere; not taking one's stand; no standing place; a non-standing; what cannot be
གནས-མལ	{C}dwelling place; lodging
གནས-མེད	{C}not established; not standing; it is impossible; not a settling place; nothing to settle in; taking his stand nowhere; not taking one's stand; no standing place; a non-standing; what cannot be; it is impossible; (wandering) without a home
གནས-མེད-མཁའ-རྒྱུ	{C}without a support (?)
གནས-མེད-པར-སྤྱོད-པ	{C}wandering without a home
གནས-ནས	{C}when he has established; dwell
གནས-པ	{C}stands still; take one's stand; establish; abide in; established; engaged in; abiding; to hang on to; settling place; stands; abides; stand up; firmly grounded in; have set out; firm grounding; firm foundation; to be supported; support; establishing on
གནས-པ-དང-མཐུན-པར-ཞུགས-ཞིང	{C}he makes progress in conformity [with the Dharma]
གནས-པ-ལས-གཞན-དུ-འགྱུར-བ	{C}alteration of what has been established
གནས-པ-མེད	{C}wandering without a home
གནས-པ-མེད-པ	{C}taking his stand nowhere; not taking one's stand; no standing place; a non-standing; what cannot be; alteration of what is established
གནས-པ-མེད-པའི-ཚུལ-དུ	{C}without a place to stand on; by way of not taking his stand (on it/anywhere)
གནས-པ-མེད-པར	{C}without making a stand
གནས-པ-མེད-པར-སྤྱོད-པ	{C}wandering without a home
གནས-པ-ཡང-དག-པར-བླངས-ཏེ	{C}behave in conformity with; have done (deeds)
གནས-པའང-མེད	{C}alteration of what is established
གནས-པར-འགྱུར	{C}stand still; take one's stand on; will come to stand
གནས-པར-འགྱུར-བ	{C}would situate on
གནས-པར-བྱ	{C}to place (in); discard; to store; affix; to fix; deposits; to put up
གནས-པར-བྱ-བ	{C}should stand; should stay; to dwell; opposes
གནས-པར-བྱེད	{C}opposes; makes his home
གནས-པར-གྱུར-པའོ	{C}(is) conducive to; lead to (a rebirth)
གནས-པས	{C}when he has established
གནས-ཤིང	{C}supported; in dependence; leans on; based on; inhabiting; dwell on in mind; settle; one who stands firm; stand on
གནས-སྐབས	{C}mere(ly); time of; stability; dam; topic; heading
གནས-སུ	{C}support; refuge; who resides
གནོད-བྱེད	{GD:789} refuter
