འབྲས-བུ	མཚན་ཉིད།་༡.་བསྐྱེད་བྱ།་༢.་ཕན་གདགས་བྱ།
རང-མ-ཡིན-པའི-ལྡོག-ཆོས-ཀྱི-རྗེས-མཐུན	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་མ་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་མ་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རང་མ་ཡིན་པའི་ལྡོག་ཆོས་ཀྱི་རྗེས་མཐུན་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རང-མཚན	མཚན་ཉིད།་༡.་སྒྲ་རྟོག་གིས་བཏགས་ཙམ་མ་ཡིན་པར་རང་གི་མཚན་ཉིད་གྱིས་གྲུབ་པའི་ཆོས།་༢.་སྒྲ་རྟོག་གིས་བཏགས་ཙམ་མ་ཡིན་པར་ཡུལ་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་སྡོད་ལུགས་ཀྱི་ངོས་ནས་གྲུབ་པ།་༣.་རང་བཞིན་ཀྱིས་རང་གི་རང་བཞིན་ལ་གནས་པ་།
རང-ཉིད-དགག-པ-ཡིན-པ	མཚན་ཉིད།་༡.་རང་འཛིན་རྟོག་པས་རང་གི་དགག་བྱ་དངོས་སུ་བཅད་པའི་ཚུལ་གྱིས་རྟོགས་པར་བྱ་བ།་༢.་རང་འཛིན་རྟོག་པས་རང་གི་དགག་བྱ་བཅད་པའི་སྒོ་ནས་དངོས་སུ་རྟོགས་པར་བྱ་བ།
རང-ཉིད-ཀུན-འགྲོའི-རྒྱུ	མཚན་ཉིད།་རང་གི་འབྲས་བུར་གྱུར་པའི་རང་དང་ས་གཅིག་པའི་ཉོན་མོངས་ཅན་ཕྱི་མ་སྐྱེད་བྱེད་ཀྱི་ཉོན་མོངས་ཅན།
རང-ཉིད-ལྷན-ཅིག-བྱེད-རྐྱེན	མཚན་ཉིད།་རང་གི་ལྷན་ཅིག་བྱེད་འབྲས་རང་གི་རྫས་རྒྱུན་མ་ཡིན་པར་གཙོ་བོར་སྐྱེད་བྱེད།
རང-ཉིད-མེད-དགག-གི-གཞན-སེལ	མཚན་ཉིད།་རང་ཞེས་བརྗོད་པའི་སྒྲས་རང་གི་དགག་བྱ་བཀག་ཤུལ་དུ་རང་འཛིན་རྟོག་པའི་གཞལ་བྱར་འཕངས་པ་ཡང་ཡིན།་སྒྲུབ་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པ་མེད་པ་ཡང་ཡིན།་དགག་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རང-ཉིད-ཉེར-ལེན-ཡིན-པ	མཚན་ཉིད།་རང་གི་ཉེར་འབྲས་རང་གི་རྫས་རྒྱུན་དུ་གཙོ་བོར་སྐྱེད་བྱེད།
རང-ཉིད-སྐལ-མཉམ-ཀྱི-རྒྱུ	མཚན་ཉིད།་རང་གི་རིགས་འདྲ་ཕྱི་མ་རང་དང་འདྲ་བར་སྐྱེད་བྱེད
རང-རྒྱལ-གྱི-ལམ	མཚན་ཉིད།་རང་རྒྱལ་གྱི་ཐར་པར་བགྲོད་པའི་གོ་སྐབས་ཕྱེ་ཤུལ་དུ་གྱུར་པའི་རང་རྒྱལ་ཀྱི་མངོན་རྟོགས།
རང-རྒྱལ-གྱི-མི-སློབ-ལམ	མཚན་ཉིད།་གཟུང་བ་ཕྱི་རོལ་དོན་དུ་འཛིན་པའི་རྟོག་པ་མ་ལུས་པར་སྤངས་པའི་རང་རྒྱལ་གྱི་མཁྱེན་པ།
རང-རྒྱལ-གྱི-སྦྱོར-ལམ	མཚན་ཉིད།་རང་གི་ཉེར་ལེན་དུ་གྱུར་པའི་ཚོགས་ལམ་རྫོགས་རྗེས་སུ་བྱུང་ཞིང་རང་འབྲས་རང་རྒྱལ་གྱི་མཐོང་ལམ་མ་སྐྱེས་གོང་གི་རང་རྒྱལ་གྱི་དོན་མངོན་རྟོགས།
རང-རྒྱལ-གྱི-ཚོགས-ལམ	མཚན་ཉིད།་རང་འབྲས་རང་རྒྱལ་གྱི་སྦྱོར་ལམ་མ་སྐྱེས་གོང་གི་རང་རྒྱལ་གྱི་ཆོས་མངོན་རྟོགས།
རང-རིག	མཚན་ཉིད།་འཛིན་རྣམ།
རང-ཡིན-པའི-ལྡོག-ཆོས	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རང་ཡིན་པའི་ལྡོག་ཆོས་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རང-ཡིན-པའི-ལྡོག-ཆོས-ཀྱི-རྗེས-མཐུན	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རང་ཡིན་པའི་ལྡོག་ཆོས་ཀྱི་རྗེས་མཐུན་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རྫས-ཆོས	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་མ་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རྫས་ཆོས་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རྫས-ཆོས-ཀྱི-རྗེས-མཐུན	མཚན་ཉིད།་ཁྱོད་གཞི་གྲུབ།་ཁྱོད་ཁྱོད་རང་ཡིན།་ཁྱོད་མ་ཡིན་པ་ཁྱོད་མ་ཡིན།་ཁྱོད་ཀྱི་ལྡོག་པ་རྫས་ཆོས་ཀྱི་རྗེས་མཐུན་དང་མི་འགལ་བ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་དམིགས་པ།
རྫས-གཅིག	མཚན་ཉིད།་༡.་མངོན་སུམ་ལ་སྣང་བ་གང་ཞིག་སོ་སོར་མི་སྣང་བ།་༢.་རྫས་ཀྱི་སྒོ་ནས་སོ་སོ་བ་མ་ཡིན་པར་སྐྱེ་པའི་ཆོས།
རྫས-རིགས-གཅིག	མཚན་ཉིད།་རང་གི་ཉེར་ལེན་གཅིག་ལས་སྐྱེས་པའི་ཐ་དད་པའི་འདུས་བྱས།
རྫས-ཡོད	མཚན་ཉིད།་རང་ཉིད་ངོས་གཟུང་བ་ལ་ཆོས་གཞན་ངོས་གཟུང་བ་ལ་ལྟོས་མི་དགོས་པ།
རེག-བྱའི-སྐྱེ-མཆེད	མཚན་ཉིད།་ལུས་ཤེས་ཀྱི་རེག་བྱ།
རྒྱུ	མཚན་ཉིད།་༡.་སྐྱེད་བྱེད།་༢.་ཕན་འདོགས་བྱེད།
རྒྱུད-འགལ	མཚན་ཉིད།་དངོས་སུ་གནོད་བྱ་གནོད་བྱེད་མ་ཡིན་ཞིང་།་གཞི་མི་མཐུན་པར་མེད་པ
རྒྱུན	མཚན་ཉིད།་སྐད་ཅིག་དུ་མ་ཆ་ཤས་སུ་ལྡན་པའི་དུས
རིགས-གཅིག-པ	མཚན་ཉིད།་རིགས་སོ་སོ་བ་མ་ཡིན་པའི་ཆོས།
རིགས-སྤྱི	མཚན་ཉིད།་རང་གི་རིགས་ཅན་དུ་མ་ལ་རྗེས་སུ་འགྲོ་བའི་ཆོས།
རྗེས-དཔག	མཚན་ཉིད།་རང་གི་རྟེན་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་ལྐོག་གྱུར་ལ་མི་སླུ་བའི་ཞེན་རིག
རྗེས-སུ-དཔག-པའི-ཚད-མ	མཚན་ཉིད།་རང་གི་རྟེན་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་ལྐོག་གྱུར་ལ་གསར་དུ་མི་སླུ་བའི་རིག་པ
རྐྱེན	མཚན་ཉིད།་གྲོགས་བྱེད།
རླུང	མཚན་ཉིད།་ཡང་ཞིང་གཡོ་བ།
རྣ-བའི-དབང-པ	མཚན་ཉིད།་རང་འབྲས་རྣ་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་བྱེད་པའི་ཆ་ནས་བཞག་པའི་ནང་གི་གཟུགས་ཅན་དྭངས་བ།
རྣ-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་རྣ་བའི་དབང་པོ་དང་དམིགས་སྒྲ་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ།
རྣལ-འབྱོར-མངོན-སུམ	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་དུ་གྱུར་པའི་ཞི་ལྷག་ཟུང་འབྲེལ་གྱི་ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་རྟོག་བྲལ་མ་འཁྲུལ་བའི་འཕགས་རྒྱུད་ཀྱི་མཁྱེན་པ།
རྣམ-མཁྱེན-གྱི-གཞལ-བྱ	མཚན་ཉིད།་རྣམ་མཁྱེན་གྱིས་རྟོགས་པར་བྱ་བ།
རྣམ-སྨིན-གྱི-རྒྱུ	མཚན་ཉིད།་མི་དགེ་བ་དང་དགེ་བ་ཟག་བཅས་གང་གིས་བསྡུས་པ།
རོའི-སྐྱེ-མཆེད	མཚན་ཉིད།་ལྕེ་ཤེས་ཀྱི་མྱོང་བྱ།
རྟག-པ	མཚན་ཉིད།་ཆོས་དང་སྐད་ཅིག་མ་མ་ཡིན་པའི་གཞི་མཐུན་པ
རྟོག-བྲལ	མཚན་ཉིད།་སྒྲ་དོན་འདྲེས་རུང་དུ་འཛིན་པའི་ཞེན་རིག་དང་བྲལ་བ།
རྟོག-མེད-ཀྱི-ཤེས-པ	མཚན་ཉིད།་སྒྲ་དོན་འདྲེས་རུང་དུ་འཛིན་པའི་ཞེན་རིག་དང་བྲལ་བའི་རིག་པ།
རྟོག-པ	མཚན་ཉིད།་སྒྲ་དོན་འདྲེས་རུང་དུ་འཛིན་པའི་ཞེན་རིག
རྟོག-པའི-སྣང-ཡུལ	ཆོས་དེས་སྣང་ཙམ་གྱི་སྒོ་ནས་རིག་པར་བྱ་བ
ས	མཚན་ཉིད།་༡.་འབྱུང་བར་གྱུར་པའི་རེག་བྱ་ནང་ཚན་དུ་གྱུར་པའི་ས།་སྲ་ཞིང་འཐས་པ།་༢.་ས་ལམ་གཉིས་ཀྱི་ནང་ཚན་དུ་གྱུར་པའི་ས།་རང་གི་འབྲས་བུར་གྱུར་པའི་ཡོན་ཏན་དུ་མའི་གཞི་རྟེན་བྱེད་པའི་ལམ་ཞུགས་ཀྱི་མངོན་རྟོགས།
སྦྱོར-ལམ	མཚན་ཉིད།་དོན་མངོན་རྟོགས།
སེལ-འཇུག	མཚན་ཉིད།་རང་ཡུལ་ལ་ཆ་ཤས་སུ་བཅད་ནས་འཇུག་པ།་རང་ཡུལ་ལ་བརྡའི་དབང་གི་འཇུག་པ།
སེམས	མཚན་ཉིད།་རང་གི་འཁོར་དུ་བྱུང་བའི་སེམས་བྱུང་དང་མཚུངས་པར་ལྡན་པ།
སེམས-བསྐྱེད	མཚན་ཉིད།་རང་རྒྱུ་གཞན་དོན་དོན་གཉེར་གྱི་འདུན་པས་དྲངས་ཤིང་གྲོགས་བྱང་ཆུབ་འདོད་པ་དང་མཚུངས་ལྡན་གྱི་རྣམ་རིག་ཁྱད་པར་ཅན།
སེམས-བྱུང	མཚན་ཉིད།་རང་འཁོར་དུ་ལྡན་པའི་སེམས་དང་མཚུངས་པར་ལྡན་པ།
སྒོམ-ལམ	མཚན་ཉིད།་རྗེས་ལ་མངོན་རྟོགས
སྒོམ-ལམ-པའི-མཁྱེན-པ	དོན་གཅིག་སྒོམ་ལམ།་རྗེས་ལ་མངོན་རྟོགས།
སྒྲ-འཛིན-དབང-མངོན	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་རྣ་དབང་དང་།་དམིགས་རྐྱེན་སྒྲ་ལ་བརྟེན་ནས་སྐྱེས་པའི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་རིག་པ།
སྒྲའི-སྐྱེ-མཆེད	མཚན་ཉིད།་རྣ་ཤེས་ཀྱི་ཉན་བྱ
སྒྲོ-འདོགས	མཚན་ཉིད།་རང་གི་དམིགས་ཡུལ་གྱི་དོན་དེ་ལས་ལྷག་པར་ལྟ་བའི་བློ
སྒྲུབ-འཇུག-གི-བློ	མཚན་ཉིད།་རང་ཡུལ་ལ་དངོས་དབང་གིས་འཇུག་པའི་རིག་པ
སྒྲུབ-བྱེད-འཕེན-པའི-ཐལ-འགྱུར-ཡང-དག	མཚན་ཉིད།་ཐལ་འགྱུར་ཡང་དག་གང་ཞིག་བཟློག་དོན་ཚུལ་གསུམ་ཚང་བ
སྒྲུབ-པ	མཚན་ཉིད།་རང་འཛིན་རྟོག་པས་རང་གི་དགག་བྱ་དངོས་སུ་བཅད་པའི་ཚུལ་གྱིས་རྟོགས་པར་བྱ་བ་མ་ཡིན་པའི་ཆོས
ཤེས-བྱ	མཚན་ཉིད།་བློའི་ཡུལ་དུ་བྱ་རུང་བ
སྐབས-འདིར-བསྟན-གྱི-ཡིད-མངོན	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་ཡིད་དབང་ལས་བྱུང་བའི་སྐབས་འདིར་བསྟན་གྱི་རྟོག་བྲལ་མ་འཁྲུལ་བའི་གཞན་རིག།
སྐུར-འདེབས	མཚན་ཉིད།་རང་གི་དམིགས་ཡུལ་གྱི་དོན་དེ་ལས་ཆད་པར་ལྟ་བའི་བློ།
སྐྱེས-བུ-འབྲིང-གི-ལམ	མཚན་ཉིད།་འཁོར་བའི་ཕུན་ཚོགས་ལ་བློ་ལོག་པའི་སྒོ་ནས་རང་ཁོ་ནའི་དོན་དུ་ཐར་པ་གཙོ་བོར་དོན་དུ་གཉེར་བའི་ཆ་ནས་བཞག་པའི་བསམ་པ།
སྐྱེས-བུ-ཆེ-འབྲིང-ཐུན-མོང-གི-ལམ	མཚན་ཉིད།་སྐྱེས་བུ་ཆེ་འབྲིང་གཉིས་ཀའི་ཉམས་སུ་བླང་བྱ་ཡང་ཡིན།་ཆེན་པོའི་ལམ་རང་རྒྱུད་ལ་སྐྱེ་བ་ལ་རང་ཉིད་ལ་ཐོག་མར་བློ་སྦྱོང་དགོས་པའི་བསམ་པ།
སྐྱེས-བུ-ཆེན-པོའི-ལམ	མཚན་ཉིད།་སྙིང་རྗེ་ཆེན་པོའི་གཞན་དབང་དུ་གྱུར་པའི་སྒོ་ནས་སེམས་ཅན་གཞན་གྱིས་སངས་རྒྱས་ཐོབ་ཕྱིར་དུ་རྣམ་མཁྱེན་དོན་དུ་གཉེར་བའི་ཆ་ནས་བཞག་པའི་བསམ་པ།
སྐྱེས-བུ-ཆུང-འབྲིང-ཐུན-མོང-གི-ལམ	མཚན་ཉིད།་སྐྱེས་བུ་གསུམ་ཀའི་ཉམས་སུ་བླང་བྱ་ཡང་ཡིན།་འབྲིང་གི་ལམ་རང་རྒྱུད་ལ་སྐྱེ་བ་ལ་རང་ཉིད་ལ་ཐོག་མར་བློ་སྦྱོང་དགོས་པའི་བསམ་པ།
སྐྱེས-བུ-ཆུང-ངུ-ཁྱད-པར-ཅན-གྱི-ལམ	མཚན་ཉིད།་རང་ཁོ་ནའི་དོན་དུ་ཚེ་ཕྱི་མའི་འཁོར་བའི་མངོན་མཐོ་ཙམ་གཙོ་བོར་དོན་དུ་གཉེར་བའི་ཆ་ནས་བཞག་པའི་བསམ་པ།
སྣ-དབང	མཚན་ཉིད།་རང་འབྲས་སྣ་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་བྱེད་པའི་ཆ་ནས་བཞག་པའི་ནང་གི་གཟུགས་ཅན་དྭངས་བ།
སྣ-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་སྣའི་དབང་པོ་དང་དམིགས་རྐྱེན་དྲི་ལ་བརྟེན་ནས་སྐྱེ་བའི་རིག་པ།
སྣང-ལ-མ-ངེས-པའི-བློ	མཚན་ཉིད།་རང་གི་འཇུག་ཡུལ་དུ་གྱུར་པའི་རང་མཚན་གསལ་བར་སྣང་ཡང་དེ་ལ་ངེས་པ་འདྲེན་མི་ནུས་པའི་རིག་པ།
སྔོན-འཛིན-མངོན-སུམ-གྱི-བདག-རྐྱེན	མཚན་ཉིད།་སྔོན་འཛིན་མངོན་སུམ་རང་དབང་དུ་གཙོ་བོར་དངོས་སུ་སྐྱེད་བྱེད
སྔོན-འཛིན-མངོན-སུམ-གྱི-དེ-མ-ཐག-རྐྱེན	མཚན་ཉིད།་སྔོན་འཛིན་མངོན་སུམ་མྱོང་བ་གསལ་རིག་ཙམ་དུ་གཙོ་བོར་དངོས་སུ་སྐྱེད་བྱེད་ཀྱི་རིག་པ
སྔོན-འཛིན-མངོན-སུམ-གྱི-དམིགས-རྐྱེན	མཚན་ཉིད།་སྔོན་འཛིན་མངོན་སུམ་སྔོན་པོའི་རྣམ་ལྡན་དུ་གཙོ་བོར་དངོས་སུ་སྐྱེད་བྱེད
སྙན-ཐོས-ཀྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ	མཚན་ཉིད།་ཉོན་སྒྲིབ་ཀུན་བཏགས་སྤངས་པའི་རྣམ་གྲོལ་ལམ་དུ་གྱུར་པའི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས།
སྙན-ཐོས-ཀྱི-སྒོམ-ལམ-རྣམ-གྲོལ-ལམ	མཚན་ཉིད།་རང་འདྲེན་བྱེད་ཀྱི་བར་ཆད་མེད་ལམ་གྱི་ངོས་སྐལ་གྱི་སྤང་བྱ་སྒོམ་སྤང་ཉོན་སྒྲིབ་སྤངས་པའི་རྣམ་གྲོལ་ལམ་དུ་གྱུར་པའི་ཉན་ཐོས་ཀྱི་རྗེས་ལ་མངོན་རྟོགས
སོ-སོའི-སྐྱེ-བོ	མཚན་ཉིད།་ཐེག་པ་གསུམ་གང་རུང་གི་འཕགས་ལམ་མ་ཐོབ་པའི་གང་ཟག
སྤྱི	མཚན་ཉིད།་རང་གི་གསལ་བ་ལ་རྗེས་སུ་འགྲོ་བའི་ཆོས།
སྤྱི-མཚན	སྤྱིའི་མཚན་ཉིད་ཀྱི་མཚན་ཉིད།་སྒྲ་རྟོག་གིས་བཏགས་པ་ཙམ་ཡིན་གྱི་རང་མཚན་དུ་མ་གྲུབ་པའི་ཆོས།
ཐ-དད	མཚན་ཉིད།་སོ་སོ་བའི་ཆོས
ཐལ-འགྱུར	མཚན་ཉིད།་ཐལ་འགྱུར་དུ་བཀོད་པ
ཐལ-འགྱུར-ཡང-དག	མཚན་ཉིད།་རང་ཉིད་ཐལ་འགྱུར་ཡང་དག་ཏུ་སོང་བའི་རྒོལ་བ་ཡོད་པ་ཡང་ཡིན།་རང་ཉིད་ཐལ་འགྱུར་ཡང་དག་ཏུ་སོང་བའི་རྒོལ་བས།་རང་ཉིད་ལ་ལན་དོན་མཐུན་མི་ཐེབས་པ་ཡང་ཡིན་པའི་གཞི་མཐུན་པར་གྱུར་པའི་ཐལ་ངག་རྣམ་དག་ཏུ་དམིགས་པ།
ཐེ-ཚོམ	མཚན་ཉིད།་༡.་རང་སྟོབས་ཀྱིས་མཐའ་གཉིས་སུ་དོགས་པའི་རིག་པ།་༢.་རང་ཡུལ་ལ་དོགས་པའི་རིག་པ།
ཐེག-ཆེན-གྱི-ལམ	མཚན་ཉིད།་ཐེག་ཆེན་གྱི་བྱང་ཆུབ་ཏུ་བགྲོད་པར་བྱེད་པའམ།་དེར་བགྲོད་ཟིན་པ་གང་རུང་གིས་བསྡུས་པའི་ཐེག་ཆེན་གྱི་མཁྱེན་པ།
ཐེག-ཆེན-གྱི-མི-སློབ-ལམ	མཚན་ཉིད།་སྒྲིབ་གཉིས་ཟད་པར་སྤངས་པའི་མཐར་ཐུག་གི་མཁྱེན་པ།
ཐེག-ཆེན-གྱི-མཐོང-ལམ-བར-ཆད-མེད-ལམ	མཚན་ཉིད།་རང་གི་ངོས་སྐལ་གྱི་སྤང་བྱ་བདེན་འཛིན་ཀུན་བཏགས་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་ཐེག་ཆེན་གྱི་བདེན་པ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-མཐོང-ལམ-རྗེས-ཐོབ-ཡེ-ཤེས	མཚན་ཉིད།་ཐེག་ཆེན་གྱི་མཐོང་ལམ་རྣམ་གྲོལ་ལམ་ལས་ལངས་པའི་མཁྱེན་པ་ཡང་ཡིན།་རང་རྒྱུད་ལྡན་གྱི་གང་ཟག་གི་རྒྱུད་ལ་མངོན་གྱུར་དུ་འབྱུང་བའི་ཐེག་ཆེན་གྱི་བདེན་པ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-མཐོང-ལམ-རྣམ-གྲོལ-ལམ	མཚན་ཉིད།་ཤེས་སྒྲིབ་ཀུན་བཏགས་སྤངས་པས་རབ་ཏུ་ཕྱེ་པའི་ཐེག་ཆེན་གྱི་བདེན་པ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-སྒོམ-ལམ	མཚན་ཉིད།་ཐེག་ཆེན་གྱི་རྗེས་ལ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ	མཚན་ཉིད།་རང་གི་ངོས་སྐལ་གྱི་སྤང་བྱ་བདེན་འཛིན་ལྷན་སྐྱེས་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་ཐེག་ཆེན་གྱི་རྗེས་ལ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-བར-ཆད-མེད-ལམ-ཆུང-ངུའི-ཆུང-ངུ	མཚན་ཉིད།་རང་གི་ངོས་སྐལ་གྱི་སྤང་བྱ་བདེན་འཛིན་ལྷན་སྐྱེས་ཆེན་པོའི་ཆེན་པོའི་དངོས་གཉེན་དུ་གྱུར་པའི་ཐེག་ཆེན་གྱི་སྒོམ་ལམ་བར་ཆད་མེད་ལམ།
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-མཉམ-བཞག-ཡེ-ཤེས	མཚན་ཉིད།་རང་གི་ཡུལ་དུ་གྱུར་པའི་བདག་མེད་གསུམ་གང་རུང་ལ་རྩེ་གཅིག་ཏུ་མཉམ་པར་བཞག་པ་ཡང་ཡིན།་རང་རྒྱུད་ལྡན་གྱི་གང་ཟག་གི་རྒྱུད་ལ་མངོན་གྱུར་དུ་འབྱུང་བའི་ཐེག་ཆེན་གྱི་རྗེས་ལ་མངོན་རྟོགས།
ཐེག-ཆེན-གྱི-སྒོམ-ལམ-རྣམ-གྲོལ-ལམ	མཚན་ཉིད།་རང་འདྲེན་བྱེད་ཀྱི་བར་ཆད་མེད་ལམ་གྱི་ངོས་སྐལ་གྱི་སྤང་བྱ་བདེན་འཛིན་ལྷན་སྐྱེས་ལས་གྲོལ་པའི་ཐེག་ཆེན་གྱི་རྗེས་ལ་མངོན་རྟོགས།
ཚད-མ	མཚན་ཉིད།་༡.་གསར་དུ་མི་སླུ་བའི་རིག་པ།་༢.་སྔར་མ་རྟོགས་པའི་དོན་བདེན་པ་ལ་མི་འཀྲུལ་བའི་འཛིན་སྟངས་ཀྱིས་བཟློག་པའི་སྒྲོ་འདོགས་དང་འགལ་བའོ།
ཚད-མིན-གྱི-ཤེས-པ	མཚན་ཉིད།་གསར་དུ་མི་སླུ་བ་མ་ཡིན་པའི་རིག་པ།
ཚོགས-ལམ	མཚན་ཉིད།་ཆོས་མངོན་རྟོགས།
ཚོགས-སྤྱི	མཚན་ཉིད།་རང་གི་ཆ་ཤས་དུ་མ་འདུས་པའི་གཟུགས་རགས་པ།་ཡ་གྱལ་དུ་མ་འདུས་པ།་ཆ་ཤས་དུ་མ་དུས་པའི་གཟུགས་རགས།
ཡིད-ཆེས-རྗེས-དཔག	མཚན་ཉིད།་རང་གི་རྟེན་ཡིད་ཆེས་ཀྱི་རྟགས་ཡང་དག་ལ་བརྟེན་ནས་རང་གི་གཞལ་བྱ་ཤིན་ལྐོག་ལ་མི་སླུ་བའི་ཞེན་རིག།
ཡིད-དབང	མཚན་ཉིད།་རང་འབྲས་ཡིད་ཀྱི་རྣམ་ཤེས་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་དུ་གྱུར་པའི་དེ་མ་ཐག་པའི་ཡིད།
ཡིད-དཔྱོད	མཚན་ཉིད།་རང་གི་འཇུག་ཡུལ་གྱི་གཙོ་བོར་གྱུར་པའི་ཆོས་ལ་འཐའ་གཅིག་ཏུ་ཞེན་ཀྱང་བཅད་དོན་མ་ཐོབ་པའི་རིག་པ།
ཡིད-མངོན	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་ཡིད་དབང་ལས་བྱུང་བའི་རྟོག་པ་དང་བྲལ་ཞིང་མ་འཁྲུལ་བའི་རིག་པ།
ཡིད-ཤེས	མཚན་ཉིད།་རང་གི་ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན་ཡིད་དབང་ལ་བརྟེན་ནས་སྐྱེས་པའི་རིག་པ།
ཡིན-པ-མི-སྲིད-པ	མཚན་ཉིད།་ཁྱོད་ཀྱི་ཡིན་པ་མེད་པ།
ཡིན-པ-མི-སྲིད-པའི-ཤེས-བྱ	མཚན་ཉིད།་ཁྱོད་ཀྱི་ཡིན་པ་མེད་པ་ཡང་ཡིན།་བློའི་ཡུལ་དུ་རུང་བ།
ཡིན-པ-སྲིད-པ	མཚན་ཉིད།་ཁྱོད་ཀྱི་ཡིན་པ་ཡོད་པ།
ཡིན-པ-སྲིད-པའི-ཤེས-བྱ	མཚན་ཉིད།་ཁྱོད་ཀྱི་ཡིན་པ་ཡོད་པ་ཡང་ཡིན།་བློའི་ཡུལ་དུ་བྱ་རུང་བ།
ཡོད-པ	མཚན་ཉིད།་ཚད་མས་དམིགས་བ།
ཡོངས-གྲུབ	མཚན་ཉིད།་བདག་གཉིས་གང་རུང་གིས་སྟོང་པའི་དེ་ཁོ་ན་ཉིད།
ཡུལ	མཚན་ཉིད།་བློས་རིག་པར་བྱ་བ།
ཡུལ-ཅན	མཚན་ཉིད།་རང་ཡུལ་ཅི་རིགས་དང་ལྡན་པའི་དངོས་པོ།
ཞེན-ཡུལ	མཚན་ཉིད།་རང་གི་འཛིན་སྟངས་ཀྱི་གཙོ་བོར་བེཡད་པའི་བོལས་ཞེན་པས་རིག་པར་བྱ
