ཀ-ངོས	cylinder
དྲ-རྒྱའི-ཚད-གཞི	network standard
དྲ-རྒྱའི-འགྲོ-ལམ	network path
དྲ-རྒྱའི-འཆར-གཞི	network planning
དྲ-རྒྱའི-ཡིབ-ཨང	network mask
དྲ-རྒྱའི-རི-མོ	network chart
དྲ-རྒྱའི-རྩོལ-ནུས	network functions
དྲ-རྒྱའི-ལྟ-ཆས	network monitor
དྲ-རྒྱའི-ལྟ-སྤྱོད	network access
དྲ-རྒྱའི-སྒྲིག-གཞི	network structure
དྲ-རྒྱའི-སྒྲིག-ཆས	network device
དྲ-རྒྱའི-སྒྲིག-འགོད	network settings
དྲ-རྒྱའི-སྒྲིག-ལྷུ	networking components
དྲ-རྒྱར-སྒྲིག-པ	install to network
དྲ-སྒོ-སྒྲིག-འགོད	gateway settings
དྲ-སྒོ	gateway
དྲག-ཚད	intensity
དྲང-ཐིག	line
དྲང-དཔེ	positive example
དྲང-ཕྱོགས-འཕྲིན-ལམ	forward channel
དྲང-ཕྱོགས-ལོང-སྦྲེལ	forward chaining
དྲང-འགྲིལ	vertical scrolling
དྲང-འཕྱང	vertical
དྲང-འཕྱང-ཁ-ཕྱོགས	perpendicular direction
དྲང-འཕྱང-ཐིག	vertical line
དྲང-འཕྱང-ཐིག-ཤིང	vertical ruler
དྲང-འཕྱང-ཕྱོགས-ཀྱི-འགྲིལ-བྱང	vertical scroll bar
དྲང-འཕྱང-འགྲིལ-མདའ	vertical scroll bar
དྲང-འཕྱང-འགྲིལ-རྒྱུག	vertical scroll box
དྲང-འཕྱང-རེའུ-འབྲི-འགོད	vertical tabulation
དྲང-འཕྱང-སྡུད-ཐོ	perpendicular magnetic recording
དྲང-འཕྱང-སློག-འཁོར	flip vertical
དྲས-གཏུབ-འབག-རིས	clip mask
དྲས-གཏུབ	cut
དྲས-པ	cropped
དྲས-ལེན	clipping
དྲས-སྦྱར-པང	clipboard
དྲས-སྦྱར-པང-མངོན-སྟོན-བྱེད	show clipboard
དྲས-སྦྱར-པང-ལྟ-ཆས	clipboard viewer
དྲས-སྦྱར	cut and paste
དྲི-གཏུག	consultation
དྲི-གཞི-འགྲེལ-བ	problem solving
དྲིལ-གྲགས	ring
དྲིལ-སྒྲ	bell
ན-སིའི-དཔེ-རིས	nassi-shneiderman chart
ནག-པང-དཔེ-དབྱིབས	blackboard model
ནག-པོ	black
ནང-ཁུལ-སོར-ཆུད	inline recovery
ནང-གསལ	transparent
ནང-གསོག	memory
ནང-གསོག-གནས-ཡུལ	memory address
ནང-གསོག-གི-ཚད-ལྡན-ཤོང-ཚད	standard memory size
ནང-གསོག-ཆས	internal storage; internal memory
ནང-གསོག-མི-འདང-བ	out of memory
ནང-གསོག-འཆར-བརྙན	storage image; core image
ནང-གསོག-འཇུག-ཤུར	memory slot
ནང-གསོག-འཛིན-ཆས	memory controller
ནང-གསོག-ལེགས-བསྒྱུར	optimize memory
ནང-གསོག-ཤོང-ཚད-ཆེ-ཤོས	max memory space
ནང-གསོག-ཤོང-ཚད	memory capacity
ནང-གསོག-སྐྱེད-རུང	extensible memory
ནང-གསོག-སྤོ-གསོག	memory dump
ནང-གསོག-སྤྱོད-ཕྱོད	memory usage
ནང-གི-གཏན-ཚིག-རིམ-པ	internal logical levels
ནང-གི-དངོས-ལུགས-རིམ-པ	internal physical levels
ནང-གི-དཔེ-རྣམ	internal schema
ནང-གི-པར-གཞིའི-ཨང-རྟགས	build number
ནང-གི	internal
ནང-དོན-གཙང-སེལ	clear contents
ནང-དོན-མངོན-སྟོན-བྱེད	show contents
ནང-དོན-ཟུང-སྦྱོར	content coupling
ནང-དོན-རིགས-གྲས	content type
ནང-དོན-ལས-གནས-ཡུལ-འཚོལ-རུང-བའི-གསོག-ཆས	content addressable storage
ནང-དོན-སྒོ-ལྕགས-རྒྱག	lock contents
ནང-དོན	content
ནང-བཅུག	internal installed
ནང-འཇུག	input
ནང-འཇུག-གཙང-སེལ-རྩོལ-ནུས	clear entry function
ནང-འཇུག-དང-ཕྱིར-འདོན-གྱི-རྒྱུ-ལམ	input-output channel
ནང-འཇུག-དང-ཕྱིར-འདོན-འཛིན-ཆས	input-output controller
ནང-འཇུག-དང-ཕྱིར-འདོན	input/output
ནང-འཇུག-དབང-རྩའི-རྒྱུ	input neuron
ནང-འཇུག-ནུས-ཤོར	input invalid
ནང-འཇུག-ནོར-སྐྱོན	input error
ནང-འཇུག-ཕྲེང	input line
ནང-འཇུག-བུ-རྒྱུད-ཁོངས	input subsystem
ནང-འཇུག-བྱེད-སྟངས-རྩོམ-སྒྲིག-ཆས	IME
ནང-འཇུག-བྱེད-སྟངས-སྐྱེད-སྒྲུབ-ཆས	IME Generator
ནང-འཇུག-བྱེད-སྟངས	input method
ནང-འཇུག-མཐུད-ཁ	input interfaces
ནང-འཇུག-རིམ-པ	input layer
ནང-འཇུག-རྒྱུན	input stream
ནང-འཇུག-སྒྲིག-ཆས	input devices
ནང-འཇུག-སྣེ-གྲངས	fan-in
ནང-འཇུག-སྲུང-སྐྱོབ	input protection
ནང-འདྲེན	import
ནང-འབྲི	write-through
ནང-ཡོད-ནོར-སྐྱོན	indigenous fault
ནང-རིམ	internal level
ནང-ལས-བཀོལ-སྤྱོད	housekeeping operation
ནང-ལོགས-ཀྱི-གདོང-འཛར	internal label
ནང-ལོགས-ཀྱི-ནོར-སྐྱོན	internal error
ནང-ལོགས-གཞི-གྲངས	internal data
ནང-སྒྲིག	built-in
ནང-སྒྲིག-དམར-ཕྱི-སྒྲིག-ཆས	built-in infrared device
ནང-སྤོ	to roll in
ནད-དུག	virus
ནད-དུག-འགོག-བྱེད-བྱ-རིམ	anti-virus program
ནད-མཚོན-རྟགས	virus signature
ནམ-ཡང-ཆེས-སྔོན-མ	always on top
ནར-དབྱིབས-རི-མོ	bar chart
ནར-དབྱིབས	bar shape
ནུས-ཁུངས-གྲོན-ཆུང	energy save
ནུས-པ	performance
ནུས-བབ-གསལ-ཐོ	capability list
ནུས-བབ	capability
ནུས-མེད-གསང-ཨང	invalid password
ནུས-འབྱུང-ཚེས-གྲངས	effective date
ནུས-ལྡན-གནས-ཡུལ	effective address
ནུས-ལྡན-གྲངས-གནས	significant digit
ནུས-ལྡན-ཅན	validation
ནུས-ལྡན-དུས-ཚོད	validity period
ནུས-ལྡན-བཀའ-བརྡ	effective instruction
ནུས-ལྡན-བརྙན-རྒྱུ-གྲངས	available pixel number
ནུས-ལྡན-སྐྱེལ-ཕྱོད	effective transfer rate
ནུས-ལྡན	valid
ནུས-ཤོར-ཁུལ-ལྷུ-ཆས	dead-zone unit
ནུས-ཤོར	failure
ནོར-ཕྱོད	error rate
ནོར-བ	gain error
ནོར-བཅོས-སློབ-སྦྱོང	error-correction learning
ནོར-བཅོས	error correction; to correct
ནོར-འཛོལ-ཆ-རྐྱེན	error condition
ནོར-འཛོལ-མཛུབ-སྟོན	error indication
ནོར-འཛོལ-ཚོད-འཛིན	error control
ནོར-སྐྱོན-གྱི-ཡིག-ཆའི-མིང	bad file name
ནོར-སྐྱོན-དག-བཅོས	error correction
ནོར-སྐྱོན-བྱུང-འདུག	an error has occurred
ནོར-སྐྱོན-མངོན-སྟོན-བྱེད	display error
ནོར-སྐྱོན-ཚབས-ཆེན	fatal error
ནོར-སྐྱོན-ཚོད-འཛིན-བྱ-རིམ	error control software
ནོར-སྐྱོན-ཞིབ-བརྗོད	description of error
ནོར-སྐྱོན-ཞིབ-བཤེར	error checking
ནོར-སྐྱོན-ཞུ-ཡིག	bug reporting
ནོར-སྐྱོན-འཇོག-སྒྲིག	error seeding
ནོར-སྐྱོན-རྩད-གཅོད	error detection
ནོར-སྐྱོན-སོར-ཆུད	error recovery
ནོར-སྐྱོན-སྔོན-བརྡ	error prediction
ནོར-སྐྱོན-སྙན-ཞུ-སྐུར-བ	send bug reporting
ནོར-སྐྱོན-ཨང-རྟགས	error code
ནོར-སྐྱོན	error
པང-འཛིན-རྩིས-འཁོར	laptop
པང-ལེབ	slab
པན-ཐེན-རིགས-གྲས	pentium family
པའོ-ལན-ཐབས	polish notation
པའོ-ལན-ལྡོག-ཐབས-ལ-ལྡོག-པ	reverse polish notation
པར-ཁོངས	type area
པར-གཞི-མངོན-སྟོན-བྱེད	display version
པར-གཞི-མི-མཐུན	version conflict
པར-གཞི	version
པར-གྱི-དཔེ-རྣམ	photo mode
པར-ཆས	camera
པར-མི-འདེབས-པའི-རྩོལ-ནུས	nonprint function
པར-འཁོར-ཁ-འབྱེད	open printer
པར-འཁོར-དམིགས-འཛུགས-བྱེད-པ	specific printer
པར-འཁོར-བསྒྲིགས-མི-འདུག	no printers installed
པར-འཁོར-མ-རྙེད	printer not found
པར-འཁོར-མཐུད-ཁ	printer port
པར-འཁོར-ལ-སྦྲེལ	connect to printer
པར-འཁོར-སྐུལ-འདེད-བྱ-རིམ	printer drivers
པར-འཁོར-སྒྲིག-འཇུག	install printers
པར-འཁོར-སྣོན-འཇུག	add printer
པར-འཁོར	printer
པར-འདེབས-བཞིན-པ	printing
པར-འདེབས-མགྱོགས-ཚད	printing speed
པར-འདེབས-ཞབས-ཞུ-ཆས	print server
པར-འདེབས-འཁོར-ལོ	print wheel
པར-འདེབས-འདེམས-ཚན	print option
པར-འདེབས-འདོར-བ	cancel printing
པར-འདེབས-རྔ	print drum
པར-འདེབས-རྩིས-ཆས	printing calculator
པར-འདེབས-ཤོག-ངོས	print page
པར-འདེབས-སྐབས-སྡོད	pause printing
པར-འདེབས-སྔོན-ལྟ	print preview
པར-འདེབས-སྤུས-ཚད	print quality
པར-འདེབས	print
པར-ཡིག-ཉེ-མཚུངས-སྤུས-ཚད	near letter quality
པར-ཡིག-སྤུས-ཚད	letter quality
པར-རིས-སྒྲིག-གཅོད	picture processing
པར-རིས-སྔོན-ལྟ	preview picture
པར-རིས	picture
པར-རྣམ	format
པར-སློག	to duplicate
པར	photos
པི-ཐེ-ཕྱོད	bit rate
པི-ཐེ-སྟུག-ཚད	bit density
པི-ཐེ	bit
པི-ཐེའི-གནས-ས	bit position
པི-ཐེའི-ནོར-ཕྱོད	bit error ratio
པི-ཐེར-གཏོད-པའི-གྲོས-མཐུན	bit-oriented protocol
པིར-རིས-ཡིག-རྟགས-སྐྱེད-ཆས	stroke character generator
པོ-ཏ	baud
པོ-ཏའི-ཕྱོད	baud
པོ-ཏིའི-མིང	volume name
པོ-ལིན-མཚོན-ཚུལ	boolean expression
པོ-ལིན-རིགས-གྲས	boolean type
པོ-ལིན-རྟེན-འབྱུང-གྲངས	boolean function
པོ-ལིན-རྩིས-ཆ	boolean operator
པོ-ལིན-ལུགས-རྩིས-རེའུ-མིག	boolean operation table
པོ-ལིན-ལུགས-རྩིས	boolean operation
པོལ-ཙི-མན-འཕྲུལ-ཆས	boltzmann machine
ཕ-ཚིགས	parent node
ཕ-རྒྱུད-རིགས-གྲས	parent type
ཕན-མེད-གྲངས-ཀ	invalid number
ཕན-མེད-མིང	invalid name
ཕན-མེད-འགྲོ-ལམ	invalid path
ཕན-མེད	invalid
ཕན-ཚུན-དོགས-པ	mutual suspicion
ཕན-ཚུན-བརྒྱུད-སྦྲེལ-རང-བཞིན	interconnectivity
ཕན-ཚུན-རིམ-ལོག	mutual recursion
ཕན-ཚུན-སྦྲེལ-བའི-སྒྲིག-ཆས	associated devices
ཕབ-བཟོ	record
ཕབ-རུང	downloadable
ཕབ-ལེན	to download
ཕམ-པ	failure
ཕར-ཚུར-ཁྱབ-སྤེལ-དུས-ཚོད	round-trip propagation time
ཕལ-ཚིགས	secondary station
ཕིན-ཡིང	pingying
ཕུང-པོ	heap
ཕུར-པ	stub
ཕེ-པོ-ན-ཆེའི-བཤེར-འཚོལ	fibonacci search
ཕོ-ལན-མི-ལྡོག-ཚུལ-མཚོན-ཐབས-རྩིས-ཆས	calculator with reverse-polish notation logic
ཕོན	pound
ཕྱི-ཁོར-ཚིགས-ཚེག	peripheral node
ཕྱི-ངོས-གྱོང-གུན-དུས-ཚོད	external loss time
ཕྱི-ངོས-དབྱིབས-བཟོ	surface modeling
ཕྱི-ངོས-མཐུད-ཁ	foreign port
ཕྱི-ཆས	peripheral equipment
ཕྱི-ཕྱོགས	external
ཕྱི-མཐེབ	foreign key
ཕྱི-རིམ	external level
ཕྱི-རོལ-གཞི-གྲངས	external data
ཕྱི-རོལ-དྲ-ངོས-བཤར-ཆས	foreign web browser
ཕྱི-རོལ-བྱ-རིམ-ཞུགས-གྲངས	external program parameter
ཕྱི-རོལ-ཟུང-སྦྱོར	external coupling
ཕྱི-རོལ-སྒྲིག-ཆས-གཞན-དག	other peripheral equipment
ཕྱི-རོལ-སྙོམ-སྒྲིག-ཆས	external modem
ཕྱི-རོལ-སྦྲེལ-མཐུད	external link
ཕྱི-རོལ	external
ཕྱི-རྣམ	appearance
ཕྱི-སྐོགས	shell
ཕྱིའི-གཏན-ཚིག-རིམ-པ	external logical levels
ཕྱིའི-གསོག-ཆས	external storage
ཕྱིའི-དངོས-ལུགས-རིམ-པ	external physical levels
ཕྱིའི-དཔེ-རྣམ	external schema
ཕྱིའི-བྱ-རིམ-ནང-འཇུག-རྩིས-ཆས	calculator with external program input
ཕྱིར-ཁྲིད	to iconize
ཕྱིར-གྱར	disclosure
ཕྱིར-བཤོལ	to backspace
ཕྱིར-བསྡུ	revoke
ཕྱིར-བྲིས	write back
ཕྱིར-མངོན	exposure
ཕྱིར-ཟློག	rejected
ཕྱིར-འགྱངས-གཉུག-ལྷུ	delay element
ཕྱིར-འགྱངས-གནས-ཡུལ-འཚོལ-ཐབས	deferred addressing
ཕྱིར-འགྱངས-གློག-སྐུད	delay line
ཕྱིར-འགྱངས	delay
ཕྱིར-འཐེན-བཀའ	undo command
ཕྱིར-འཐེན-མི-ཐུབ-པ	can't undo
ཕྱིར-འཐེན	undo; extract
ཕྱིར-འཐོན-བརྗོད-ཚིག	exit statement
ཕྱིར-འཐོན	exit
ཕྱིར-འདོན-གདོད-སྐད	output primitive
ཕྱིར-འདོན-དབང-རྩའི-རྒྱུ	output neuron
ཕྱིར-འདོན-ནོར-སྐྱོན	output error
ཕྱིར-འདོན-བུ-རྒྱུད-ཁོངས	output subsystem
ཕྱིར-འདོན-རི-མོ-དང-རེའུ-མིག	output chart
ཕྱིར-འདོན-རིམ-པ	output layer
ཕྱིར-འདོན-རེ-ཞུ	output request
ཕྱིར-འདོན-རྒྱུན-ལྡན-བྱ-རིམ	output routine
ཕྱིར-འདོན-སྣེ-གྲངས	fan-out
ཕྱིར-འདོན-སྣེ	output port
ཕྱིར-འདོན	output; export
ཕྱིར-འདྲེན-ལེགས-གྲུབ	the export was successful
ཕྱིར-འདྲེན	export
ཕྱིར-འཕུལ	eject
ཕྱིར-ལོག	return
ཕྱིར-ལོག-བརྗོད-ཚིག	return statement
ཕྱིར-ལྡོག-དྲ-རྒྱ	recurrent network
ཕྱིར-ལྡོག-རྗེས-འདེད	retrospective trace
ཕྱིར-སྣུར	back
ཕྱིར-སྤོ	to roll out
ཕྱིར-སློག	recall
ཕྱེ-བའི-བུ-རྒྱུན-ལྡན-བྱ-རིམ	opened subroutine
ཕྱེ-འདུག	always on
ཕྱེད-གྲུབ-བཀའ-བརྡ	presumptive instruction
ཕྱེད-འཕྲི-ཡོ-ཆས	half subtracter
ཕྱེད-སྣོན-ཆས	half adder
ཕྱོགས-ཁྲིད	navigation
ཕྱོགས-གཉིས-བཤེར-འཚོལ	bidirectional search
ཕྱོགས-གཉིས	two-way
ཕྱོགས-བསྒྲིགས-ཆས-བཀའ-བརྡ	assembler directive
ཕྱོགས-བསྒྲིགས-དུས-ཚོད	assembly time
ཕྱོགས-བསྒྲིགས-བྱ-རིམ	assembler
ཕྱོགས-བསྒྲིགས-ལྡོག-མ	to disassemble
ཕྱོགས-བསྒྲིགས-སྐད-བརྡ	assembly language
ཕྱོགས-བསྒྲིགས	assembly
ཕྱོགས-བསྡུས-རིགས-འདེད	inductive inference
ཕྱོགས-བསྡུས-ལས-སྒོའི-གྲངས-དྲ	integrated service digital network
ཕྱོགས-བསྡུས-སློབ-སྦྱོང	inductive learning
ཕྱོགས-བསྡུས	induction
ཕྱོགས-མེད-ཚད	scalar
ཕྱོགས-མེད-རིགས-གྲས	scalar type
ཕྱོགས-ཚད-གསར-འདོན-མངོན-སྟོན	vector-refresh display
ཕྱོགས-ཚད-མངོན-སྟོན-ཡོ-ཆས	vector display device
ཕྱོགས-ཚད-རི-མོ	vectorgraph
ཕྱོགས-ཚད-སྐྱེད-ཆས	vector generator
ཕྱོགས-ཚད-སྒྲིག-གཅོད-ཆས	vector processor
ཕྱོགས-ཚད	vector
ཕྱོགས-ཟུང-རུ-སྟར	dequeue; double-ended queue
ཕྱོགས-རྐྱང-ཁྱབ-སྤེལ-དུས-ཚོད	one-way propagation time
ཕྱོགས-རྐྱང-གསང-སྡོམ	one-way encryption
ཕྱོགས-སྒྲིག-དང-སྦྲགས-འཁོར-སྐྱོད	assemble-and-go
ཕྱོགས-སྒྲིག-ཚབ-ཨང	assembly code
ཕྱོགས-སྒྲིག-སྐད-བརྡ	assembly language
ཕྱོགས-སྟོན	guide
ཕྲ-དབྱིབས-རྩིས-འཁོར	microcomputer
ཕྲ-བའི-བྱ-རིམ-ཇུས-འགོད	microprogramming
ཕྲ-རྡུལ-རིགས-གྲས	atomic type
ཕྲད-ཐུག-ནང-འཇུག	contact input
ཕྲན-ཆུང-བཀོལ-སྤྱོད	microoperation
ཕྲན-ཆུང-བྱ-རིམ	micro program
ཕྲན-ཆུང-ཚབ-ཨང	microcode
ཕྲན-ཆུང-ཚབ-ཨང-ཕྱོགས-བསྒྲིགས-བྱ-རིམ	microcode assembler
ཕྲན-ཆུང-སྒྲིག-གཅོད-ཆས	microprocessor
ཕྲལ-གཅོད	disconnect
ཕྲལ-ཆས	resolver
ཕྲལ-བྱང	split bar
ཕྲལ-སྒྲོམ	split box
ཕྲེང	string; row
ཕྲེང-གཉིས	double lines
ཕྲེང-གཤིབ-སྒྱུར-ཆས	staticizer; serial-parallel converter
ཕྲེང-གོང-མ	line up
ཕྲེང-གྲངས	line number
ཕྲེང-ཅན-པར-འཁོར	chain printer
ཕྲེང-དཔངས	row height
ཕྲེང-བགྲོད-པར-འཁོར	serial printer
ཕྲེང-བགྲོད-བཅོལ-ལེན	serial access
ཕྲེང-བགྲོད-བརྒྱུད-གཏོང	serial transmission
ཕྲེང-བགྲོད-མཐུད-ཁ	serial port
ཕྲེང-བགྲོད-སྣོན-རྩིས-ཆས	serial adder
ཕྲེང-བགྲོད-སྣོན-རྩིས	serial addition
ཕྲེང-བགྲོད	serial
ཕྲེང-བར	line spacing; row pitch
ཕྲེང-བརྗེ-རྟགས	line break symbol
ཕྲེང-བརྗེ	change line
ཕྲེང-མགོ	line head
ཕྲེང-མང	multiple line
ཕྲེང-འདེད-པར-འཁོར	line printer
ཕྲེང-འབེབས	line feed
ཕྲེང-རྟགས	row labels
ཕྲེང-རྩོམ-སྒྲིག-བྱ-རིམ	line editor
ཕྲེང-ལྟར-ཕྱིར-འདོན	line by line output
ཕྲེང-ལྟར	de-interlace
ཕྲེང-སྟར	by row
ཕྲེང-སྟོང	null string
ཕྲེང-ཧྲེང	widow; widow line
བཀག-ལེན	intercept
བཀག-སྡོམ-རྩོལ-ནུས	lock-out facility
བཀག-སྡོམ	occlude
བཀའ-བཀོད-སྐད-བརྡ	command language
བཀའ-བརྡ-གནས-ཡུལ-བཅོལ-ཆས	instruction address register
བཀའ-བརྡ-ཕྱོགས-སྟོན-བཅོལ-ཆས	instruction pointer register
བཀའ-བརྡ-ཕྲ-མོ	microinstruction
བཀའ-བརྡ-བཅོལ-ཆས	instruction register
བཀའ-བརྡ-ཚབ-ཨང	instruction code
བཀའ-བརྡ-ཚོགས	instruction set
བཀའ-བརྡ-རེའུ-མིག	instruction repertoire
བཀའ-བརྡ-རྣམ-གཞག	instruction format
བཀའ-བརྡ	instruction
བཀའ-བརྡའི-གནས-ཡུལ	instruction address
བཀའ-བརྡའི-ཡིག-འབྲུ	instruction word
བཀའ-བྱང	token
བཀའ-བྱང-གདུབ-དྲ	token-ring network
བཀའ-བྱང-བརྒྱུད-གཏོང-གྲོས-མཐུན	token passing protocol
བཀའ-བྱང-བརྒྱུད-གཏོང-ལམ-སྲོལ	token passing procedure
བཀའ-བྱང-མ-སྐུད-དྲ-རྒྱ	token-bus network
བཀའ-བྱང-མ-སྐུད	token-bus
བཀའ-མཐེབ-གཅུས	command button
བཀའ-འདེམས-བྱང	command menu
བཀའ-ལག-བསྟར	execute command
བཀའ-སྟོན-རྟགས	command prompt
བཀའ	command
བཀའི-ཕྲེང	command line
བཀལ-བ	pending
བཀོད-གཏོང	to schedule
བཀོད-པ-བྱ-ཡུལ	layout object
བཀོད-པ-ཡིག-རྟགས	layout character
བཀོད-པ	layout
བཀོད-བརྡའི-བརྗོད-ཚིག	imperative statement
བཀོད-རྟགས	label
བཀོལ-རུང	operational
བཀོལ-རེས-ཅན	interoperability
བཀོལ-སྤྱོད-ཁོངས	operation field
བཀོལ-སྤྱོད-ཁོར-ཡུག	operating environment
བཀོལ-སྤྱོད-གནས	operation part
བཀོལ-སྤྱོད-གྲངས	operand
བཀོལ-སྤྱོད-ངོས-འཛིན	confirm action
བཀོལ-སྤྱོད-ཅན	operationalization
བཀོལ-སྤྱོད-ཐབས	operating methods
བཀོལ-སྤྱོད-དགོས-ཆས	operating facilities
བཀོལ-སྤྱོད-དུས-ཚོད	operating time
བཀོལ-སྤྱོད-པའི-ཚོད-འཛིན-སྟེགས-བུ	operator console
བཀོལ-སྤྱོད-ཕམ-ཉེས	action failed
བཀོལ-སྤྱོད-བར-སྟོང	operating space
བཀོལ-སྤྱོད-བྱ-ཡུལ	operand
བཀོལ-སྤྱོད-མེད-པ	no action
བཀོལ-སྤྱོད-རྒྱུད-ཁོངས	operating system
བཀོལ-སྤྱོད-རྒྱུན-འགལ	operation exception
བཀོལ-སྤྱོད-རྒྱུན-རྣམ-གློག-གནོན-ཆེ-ཤོས	maximum operating normal mode voltage
བཀོལ-སྤྱོད-རྗེས-མ	the next action
བཀོལ-སྤྱོད-ལ-གཏོད-པའི-སྐད-བརྡ	application-oriented language
བཀོལ-སྤྱོད-ལག-རྩལ	operating techniques
བཀོལ-སྤྱོད-སྤྱི-རྣམ-གློག-གནོན-ཆེ-ཤོས	maximum operating common mode voltage
བཀོལ-སྤྱོད-ཨང-གྲངས-ཀྱི-ཁག	operation part; operator part
བཀོལ-སྤྱོད-ཨང-རྟགས-དོང-རྙི	operation code trap
བཀོལ-སྤྱོད-ཨང-རྟགས	opcode
བཀོལ-སྤྱོད	operation
བཀྲེས-ལྟོགས	starvation
བཀྲོལ-ཐོབ-བར-སྟོང	solution space
བགོ-བཤའ	allocate
བགོ-སྤྲོད-རེའུ-མིག	distribution list
བགྲང-གྲངས-ཆས	counter
བགྲང-གྲངས	count
བང-རིམ-དབང-རྩའི-དྲ-རྒྱ	hierarchical neural network
བང-རིམ-མིན-པའི-འཆར-འགོད	nonhierarchical planning
བང-རིམ-འཆར-འགོད	hierarchical planning
བང-རིམ-སྒྲིག-གཞི-དྲ-རྒྱ	hierarchical network
བང-རིམ-སྒྲིག-གཞི	hierarchy
བང-རིམ	layer
བཅའ-སྡོད-ཚོད-འཛིན-བྱ-རིམ	resident control program
བཅའ-སྡོད	resident
བཅུ-གོང-འགྲིལ-གྲངས-འགོད-ཐབས	decimal notation
བཅུ-གོང-འགྲིལ-ལུགས-ཀྱི-འཇལ-ཚད	decimal unit
བཅུ-གོང-འགྲིལ-ལུགས-གྲངས-ཀ	decimal digit
བཅུ-གོང-འགྲིལ-ལུགས-གྲངས	decimal numeral
བཅུ-གོང-འགྲིལ-ལུགས	decimal numeration system
བཅུ-གོང-འགྲིལ-སིལ-གྲངས-ཚེག	decimal point
བཅུ-དྲུག-གོང-འགྲིལ-ལུགས	hexadecimal
བཅུ-བལྟོས-གསབ-ཨང	ten's complement
བཅོལ-ཆས-ཀྱི-རིང-ཚད	register length
བཅོལ-ཆས	register
བཅོལ-ལེན-དཔུང-པ	access arm
བཅོལ-ལེན-དུས-ཚོད	access time
བཅོལ-ལེན-བྱེད-ཐབས	access method
བཅོལ-ལེན-འགྲོ-ལམ-གྱི-གཅིག-པུ-རང-བཞིན	access path independence
བཅོལ-ལེན-འགྲོ-ལམ	access path
བཅོལ-ལེན-རིགས-གྲས	access type
བཅོལ-ལེན-ལས-ཚིགས	access mechanism; actuator
བཅོལ-ལེན-སོ-མང	comb
བཅོལ-ལེན	to access
བཅོས-ཐབས-མེད-པའི-ནོར-སྐྱོན	unrecoverable error
བཅོས-པ	amended
བཅོས-མཐེབ	modifying key
བཅོས-མི-འདུག	no change was made
བཅོས-ཚད	modifier
བཅོས-འབྲི	overwrite
བཅོས-རྗེས-སྤོ-གསོག	change dump
བཏགས-གྲངས-ཡོ-ཆས-སྒྲིག-འགོད-གནས-སྟངས	potentiometer set mode
བཏགས-གྲངས-ལྷུ-ཆས	coefficient unit
བཏགས-མིང-ཆོད-སྡོམ	name qualification
བཏང-ཡིག-ཁུག-མ	sent folder
བཏུམས-པ	wraparound
བདག-སྐྱོང-བདེ-འཇགས	administrative security
བདམས-པ	checked
བདམས-པའི-ཚོན-མདོག-གྲངས-ཐང	selected color values
བདམས-པའི-ཡིག-གཟུགས	selected font
བདེ-འཇགས-གདུབ-བུ	safety ring
བདེ-འཇགས-ཆ-འཕྲིན	security information
བདེ-འཇགས-ཆོག-མཆན	security clearance
བདེ-འཇགས-དཔང-ཡིག	security certificate
བདེ-འཇགས-དཔེ-རྣམ	safe mode
བདེ-འཇགས-བཙག-ཆས	security filter
བདེ-འཇགས-ཚད-གཞི	security standard
བདེ-འཇགས-ར-སྤྲོད	security authentification
བདེ-འཇགས-རིམ-པ	security classification; security level
བདེ-འཇགས-རྩིས-བཤེར	security audit
བདེ-འཇགས-ལྟ-སྤྱོད-དོ-དམ-ཞབས-ཞུ	secure access management service
བདེ-འཇགས-སྒྲིག-འགོད	security setting
བདེ-འཇགས-སྣ-རིགས	security category
བདེ-འཇགས-སྲིད-ཇུས	security policy
བདེ-འཇགས	security
བདེ-སྲུང-ཐབས-ཇུས	security policy
བདེ-སྲུང-ཐབས-ཤེས	security method
བདེ-སྲུང-བཀོལ-སྤྱོད	security action
བདེ-སྲུང-ལྟ-ཆས	security monitor
བདེ-སྲུང-སྒྲིག-འགལ	security violations
བདེ-སྲུང-སྒྲིག-སྲོལ	security rule
བདེན-དཔང	proof
བདེན-དཔང-སྤྲོད-པའི-ཞབས-ཞུ	proof of submission service
བདེན-དཔང-སྤྲོད-བྱའི-ཞབས-ཞུ	proof of delivery service
བདེན-མིན-ར-སྤྲོད	certification
བབ-བསྟུན-མཐུད-རྟགས	discretionary hyphen
བམ-པོ-མཇུག-རྫོགས-གདོང-འཛར	end-of-volume label
བཙན-ཐབས-བྱེད-བསྡུ	strong typing
བཙན-འཛུལ-ཚོད-ལྟ	penetration testing
བཙན-འཛུལ	penetration
བཙན-ཤེད	force
བཙུགས-པའི-དུས-ཚོད	settling time
བཙུད-འཇུག-བཀའ	embedded command
བཙུད-འཇུག-བྱ-ཡུལ	object embedded
བཙུད-འཇུག-སྐད-བརྡ	embedded database language
བཞི-ཆ-གཅིག-གི-རང-ཉིས-སྒྱུར-སྒྱུར-ཆས	quarter-squares multiplier
བཞི-འདོར-ལྔ-སྒྲིལ-རྩོལ-ནུས	round-off function
བཞི-འདོར-ལྔ-སྒྲིལ	round off
བཞིར-བགོས-སྡོང-འགྲེམས	quadtree
བཟང-བ	better
བཟོ-ཐོན-དུས-ཚེས	date manufactured
བཟོ-དབྱིབས-ཞིབ-བཤེར-བྱ-རིམ	style checker
