ཀུན-ཉོན	Affliction
སེམས-བྱུང-ལྔ-བཅུ-ང-གཅིག	fifty-one mental states
སེམས-བྱུང-ཡུལ-ངེས-བྱེད-ལྔ	five object determining mental states
སེམས-ཙམ	Mind Only
སེམས-ཚོར	mental sensations
སེམས-ཡིད-རྣམ-ཤེས-གསུམ	cognitive act, mental faculty and consciousness
སེམས-གཡེང-བ	distraction
སེར-སྣ	Stinginess, as one of the twenty subsidiary disturbances
སེལ-བ	exclusion
སེལ-བས-འཇུག-པ	perception through exclusion
སོ-སོའི-སྐྱེ-བོ	Ordinary person, as one of the ten non-concurrent formations
སོ-སོར-ངེས-པ	Definitive distinctiveness, as one of the ten non-concurrent formations
སོ-སོར-བརྟགས-པ	discrimination
སོ-སོར-བརྟགས-པའི-ཤེས-རབ	discriminating knowledge
སོ-སོར-བརྟགས-པས-འགོག-པ	cessation due to discrimination, as one of the seven elements of mental objects
སོ-སོར-བརྟགས-མིན-གྱིས-འགོག-པ	cessation not due to discrimination, as one of the seven elements of mental objects
སྲིད-པ	 existence|becoming, as one of the twelve links 
སྲིད-པའི-འདོད-ཆགས	Attachment of existence
སྲིད-རྩེ	summit of existence
སྲིད-རྩེ-ལ-སྙོམས-པར-ཞུགས-པའི-འདུ-ཤེས	perception of the serenity at the summit of existence
སྲིད-རྩེའི-སེམས	state of mind of the summit of existence
སྲེད-པ	craving, as one of the twelve links
སྲེད-པ-གསུམ	three cravings
སྲོག-གི-དབང-པོ	life faculty, as one of the fourteen non-concurrent formations
གསལ-བའི-གཟུགས	clear forms
གསལ-རིག	cognizant and conscious
བསམ-གཏན	dhyana
བསམ-གཏན-དང-པོ	first dhyana
བསོད-ནམས-དགེ-བའི-ལས	meritorious actions of virtue
བསོད-ནམས-མིན-པ-མི-དགེ-བའི-ལས	non-meritorious actions of nonvirtue
ལྷན-སྐྱེས-དང-ཀུན-བཏགས	innate and imputed
ལྷན-ཅིག-བྱེད-པའི-རྐྱེན	co-operating conditions
ལྷན-ཅིག-མི-གནས-འགལ	Non-coexistent opposition
ལྷའི-རྣ-བ	divine ear
ལྷའི-མིག	divine eye
