འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
དབང-པོ-གཟུགས-ཅན-པ-ལྔ	five (corporeal) sense faculties
དབང-པོ-ཐ-མ	inferior acumen
དབང-པོ-འབྲིང-པོ	middling acumen
དབང-པོ-རྣོན-པོ	keen acumen
དབང-གི-ལས	activity of power/ magnetizing activity
དབང-གི-ཆུ-བོ	ongoing flow of empowerment
དབང-ཕྱུག-བཅུ	ten sovereign powers
དབང-ཕྱུག-པ	worshippers of Shiva
དབང-ཕྱུག-ཆེན-པོ	Maheshvara/ Shiva
དབེན-པ	( . . . gis) dben pa - solitary; far/ distant/ removed (from . . . ); devoid (of . . . )
དབྲི-བསྣན-མེད-པ	without diminution or augmentation
དབུ-མ	middle way; central (channel); isc. middle ground
དབུ-མཛད	chant master/ leader
དབུ-མ-པ	proponent of Middle Way -
དབུས	{དབུས་ན} (in) the midst of
དབུས-ན	in the midst of
དབྱངས	melody
དབྱངས-འཆམ	dance performed to chanted melody (in dance)
དབྱངས-རོལ	chanting and music
དབྱངས-ཅན-མ	Sarasvati
དབྱེ-བ	(arbitrary) division/ distinction; to divide/ analyze/ classify/ differentiate. {འབྱེད་པ་།་ཕྱེས་པ་།་ཕྱེད་པ།་དབྱེ་བ} to differentiate/ distinguish/ analyze/ divide; analysis/ differentiation; isc. to distil
དབྱེ-བསལ-མེད-པ	without differentiation or exclusion; indivisible and (mutually) nonexclusive; without/ not subject to division or exclusion (for numerous factors); without differentiation or exclusion (for one factor)
དབྱེར-མེད	inseparable/ indivisible/ indistinguishable
དབྱིངས	basic space; isc. element/ nature/ the fact that . . .
དབྱིངས-བྱུང	derivative of/ from basic space
དབྱིངས-གཅིག	(to be of the) same/ a single basic space; oneness of basic space
དབྱིངས-རིག	unity of basic space and awareness
དབྱིངས-རུམ	ultimate womb (of basic space); matrix of basic space
དབྱིངས-རྣམ-དག-གི-སྒྲོན-མ	lamp of the total purity of basic space*
དེ-ལ	in this regard; de'ang. . . - in this regard/ that is to say . . .
དེ-ལྟར	as . . . do; like that; in that way . . . ; such (a) . . . ; is/ are such that . . . ; ="as/ see above" (cf. 'di ltar) [a quirky idiom] iss. "alternative(ly)"; "to summarize" (at the end of a discussion)
དེ-ཉིད	de kho na nyid; {དེ་ཁོ་ན་ཉིད} suchness (itself); isc. very nature
དེ-ཙམ	rudimentary factors
དེ-བས-ན	hence/ therefore/ so, . . . ; this being so/ the case, . . .
དེ-མ-ཡིན-ལ-དེར-འཛིན-པ	the reification of what things seem to be but are not
དེ-མ-ཐག-རྐྱེན	{དེ་མ་ཐག་པའི་རྐྱེན} subsequent/ contiguous condition; condition that provides cohesiveness
དེ-མ-ཐག-པའི-རྐྱེན	subsequent/ contiguous condition; condition that provides cohesiveness
དེ-བཞིན-ཉིད	suchness
དེ-བཞིན-ཉིད-ཀྱི-ཏིང-ངེ-འཛིན	samadhi/ meditative absorption of suchness
དེ-བཞིན-གཤེགས-པ	tathagata/ one gone to suchness
དེ-བཞིན-གཤེགས-པའི-སྙིང-པོ	buddha nature; tathagatagarbha/ "buddha nature" [sutra context] potential/ heart essence for attaining (state of) suchness [Dzogchen context] potential/ heart essence that consitutes attaining (state of) suchness
དེ-ཁོ-ན-ཉིད	suchness (itself); isc. very nature
དེ-ཙམ-མ-བྱུང-ན	failing this, . . .
དེ-གཤེགས-སྙིང-པོ	tathagatagarbha/ "buddha nature" [sutra context] potential/ heart essence for attaining (state of) suchness [Dzogchen context] potential/ heart essence that consitutes attaining (state of) suchness
དེའང	de la . . . - in this regard/ that is to say . . .
དེའི-ཕྱིར	because of that; because of that/ this; for that/ this reason . . .
དེའི-ཕྱིར-ན	because of that/ this; for that/ this reason . . .
དེད-པ	{འདེད་པ} to banish/ eliminate; to follow/ pursue/ chase; isc. to trace back
དེང-འདིར	even now; at this very moment; here and now
དེངས-པ	{འདེངས་པ} to disperse; to vanish/ disappear. to vanish/ disperse (into); to be clear(ed) (of)
དེས-ན	therefore; hence/ therefore/ so, . . . ; this being so/ the case, . . .
དགའ-བ	joy; bliss
དགའ-བཞི	four degrees of joy
དགའ-བ-བཞི	four degrees of joy
དགག-བྱ	what is to be renounced/ denied/ refuted
དགག-པ	to deny/ negate/ refute
དགག-སྒྲུབ	deny and/ or affirm; refutation and/ or proof; supression/ repression or indulgence/ promotion
དགག-སྒྲུབ-མེད-པ	absence of denial/ refutation and/ or affirmation/ proof
དགགས-པ	{འགེགས་པ,་བཀག་པ,་དགགས་པ} to hinder/ obstruct/ thwart
དགེ-བ	virtue; positive/ virtuous action
དགེ-མཚན	positive indication
དགེ-རྩ	basis of virtuous qualities; fundamental positive quality
དགེ-སྦྱོར	spiritual practice
དགེ-སྡིག	positive and negative; virtue and harm; virtuous and harmful actions
དགེ-སློང	fully ordained monk
དགེ-ཚོགས	wealth of virtue
དགེ-ཚུལ	novice monk
དགེ-སྦྱོང-གི-འབྲས-བུ-བཞི	four results of spiritual cultivation
དགེ-བ-བཅུ-གཅིག	{དགེ་བའི་སེམས་བྱུང་བཅུ་གཅིག} eleven virtuous states of mind/ mental events
དགེ-སྡིག-རྒྱུ-འབྲས	[with affirmative sense] causes and effects, whether positive or negative/ virtuous or harmful [with negative sense] causes or effects, whether positive or negative/ virtuous or harmful
དགེ-སློབ-མ	female religious student
དགེ-སློང-མ	nun; fully ordained nun
དགེ-ཚུལ-མ	novice nun
དགེ-བའི-རྩ-བ	basis of virtuous qualities; fundamental positive quality
དགེ-བའི-སེམས-བྱུང-བཅུ-གཅིག	eleven virtuous states of mind/ mental events
དགེ-བའི-བཤེས-གཉེན	spiritual mentor
དགོད-པ	wild [one of the nine moods of dance (speech); see rgod pa]
དགོན-པ	wilderness; monastery
དགོངས-དོན	( . . . kyi) dgongs don - (ultimate) intended meaning (underlying . . . )
དགོངས-པ	. . . kyi dgongs pa - enlightened intention behind/ perspective/ outlook concerning . . .. [for Dzogchen] enlightened intent(ion) [for lower approaches] enlightened perspective/ outlook
དགོངས-རྒྱུད	enlightened mindstream
དགོངས-པ-རྫོགས-པ	to die [honorific]; to complete/ fulfill (one's own/ a teacher's) intentions/ mission
དགོས-ཆེད	(specific/ deliberate) purpose/ reason/ value
དགོས-པ	need/ requirement/ necessity; to need/ require; purpose/ value
དགོས-པའི-རྒྱུ-མཚན	reason for (something) being necessary
དགྲ	enemy/ foe; isc. threat
དགྲ-བགེགས	enemies and hindrances
དགྲ-བཅོམ-པ	arhat; arhat/ "one who has vanquished the foe"
དགྲ-བཅོམ-པ-ལྷག-བཅས	arhat with residual traces
དགྲ-བཅོམ-པ-ལྷག-མེད	arhat without residual traces
དགྲ-བཅོམ-པ-རྒྱན-ཅན	"adorned" arhat
དགྲ-བཅོམ-པ-རྒྱན-མེད	"unadorned" arhat
དགུ-ཕྲུགས-སུ	(in) every kind/ all manner of . . .
དགྱེས-པ	to delight; delight
དི-རི-རི	(to) resound; (to set up) a humming/ low murmuring
དཀའ-ཐུབ	spiritual challengs; ascetic practice
དཀའ-བ-སྤྱོད-པ	{དཀའ་བ་བྱེད་པ} to undertake difficulty/ hardship
དཀའ-བ-བྱེད-པ	{དཀའ་བ་སྤྱོད་པ} to undertake difficulty/ hardship
དཀའ-ཐུབ-རིག-བྱེད-ཀྱི-ཐེག-པ	approach that evokes awareness through ascetic practices
དཀར-ཆ	white element; male gamete
དཀར-དམར	{དཀར་ལ་དམར་བའི་མདངས་ཆགས་པ} white with a reddish glow
དཀར-ནག	positive and negative
དཀར-ཕྱོགས	forces of positivity/ good
དཀར-པོ	positive
དཀར-འཇམ-རྩའི-སྒྲོན-མ	lamp of the smooth, transparent subtle channel*
དཀོན-མཆོག	highest spiritual principle
དཀོན-མཆོག-གསུམ	Three Jewels
དཀོར	property/ possession; (misappropriation of same); undeserved offerings [Ngawang]
དཀོར-སྒྲིབ	obscuration due to misappropriation of property (esp. of the Three Jewels)
དཀྲི-བ	{དཀྲིས་པ} to (be) ensnare(d)/ totally caught up (in); to lead along
དཀྲུགས-པ	to stir (up)/ arouse
དཀྱིལ	(the very) center/ core; isc. vault [of space/ sky]; isc. domain/ field
དཀྱིལ-འཁོར	mandala
དམངས-རིགས	shudra/ servant class
དམར-ཆ	red element; female gamete
དམར-ཁྲིད	expository teaching
དམིགས-བཅས	structured; involving constructs/ fixed/ rigid frame of reference
དམིགས-བསལ	specific/ exclusive (framework)
དམིགས-བསམ	conceptual framework(s)
དམིགས-གཏད	fixed/ localized/ rigid frame of reference
དམིགས-མེད	{དམིགས་པ་མེད་པ,་དམིགས་སུ་མེད་པ} nonreferential/ without any (fixed) frame of reference; unconditional; inconceivable
དམིགས-པ	construct; (fixed) frame of reference/ (conceptual) framework; (to form an) idea; to imagine/ think of/ conceive of/ think in terms of
དམིགས-རྟེན	support for visualization; focus of attention
དམིགས-ཏེ	{.་.་.་ལ་དམིགས་ཏེ} with . . . in mind/ as one's frame of reference
དམིགས-ཡུལ	{དམིགས་པའི་ཡུལ} object of attention; objective construct/ framework/ frame of reference; scope of speculation
དམིགས-སུ-མེད-པ	{དམིགས་པ་མེད་པ} nonreferential/ without any (fixed) frame of reference; unconditional; inconceivable
དམིགས-བསམ-བརྗོད-མེད	inconceivable, unimaginable, and inexpressible
དམིགས-པའི-ཆོས	conceptual framework(s)
དམིགས-པའི-རྐྱེན	referential condition; condition that provides a framework/ frame of reference
དམིགས-པའི-ཡུལ	object of attention; objective construct/ framework/ frame of reference; scope of speculation
དམིགས-པ-བྱེད-པ	to impose restrictions/ a fixed construct/ a fixed frame of reference
དམིགས-པ-མེད-པ	{དམིགས་སུ་མེད་པ} nonreferential/ without any (fixed) frame of reference; unconditional; inconceivable
དམུན-པ	benighted
དམུན-པོ	benighted
དམྱལ-བ	{སེམས་ཅན་དམྱལ་བ} hell (being)
དངོས	actuality; actual expression/ presence; isc. (logical) proposition/ assertion; tangible; true/ real/ actual; substance
དངོས-འཛིན	{དངོས་པོར་འཛིན་པ} investing/ to invest (something/ things) with reality/ real existence/ substantial existence; to hold/ conceive of (things/ something) to be real; to reify concepts
དངོས-གྲུབ	{དངོས་སུ་གྲུབ་པ} spiritual attainment/ siddhi
དངོས-གཞི	main body (of practice/ empowerment); the actual (state of) . . . ; actual support; isc. substantial basis
དངོས-མེད	{དངོས་པོ་མེད་པ} is not real; having no/ lacking substance; not actual; isc. intangible
དངོས-པོ	thing; (real) thing; substance; property; that which has substance; isc. ultimate reality [see next entry]
དངོས-རྒྱུ	direct primary cause
དངོས-སྦྱོར	{དངོས་སུ་སྦྱོར་བའི་མཆོད་པ} actual material (offerings)
དངོས-སུ	really; actually/ in actuality/ really
དངོས-ཡུལ	real object
དངོས-ཞེན	{དངོས་པོར་ཞེན་པ} fixating/ to fixate on (something/ things) as real/ having real existence/ substantial existence; reification; to reify
དངོས-པོར-འཛིན-པ	{དངོས་འཛིན} investing/ to invest (something/ things) with reality/ real existence/ substantial existence; to hold/ conceive of (things/ something) to be real; to reify concepts
དངོས-པོར-ཞེན-པ	{དངོས་ཞེན} fixating/ to fixate on (something/ things) as real/ having real existence/ substantial existence; reification; to reify
དངོས-སུ-སྦྱོར-བའི-མཆོད-པ	actual material (offerings)
དངོས-སུ-གྲུབ-པ	{དངོས་གྲུབ} spiritual attainment/ siddhi
དངོས-པོ-མཚན-མ-མེད-པ	nothing that can be characterized as "real"/ having substance
དངོས-པོ-མཐོང-བ	to perceive ultimate reality (directly)
དངོས-པོ-མེད-པ	{དངོས་མེད} is not real; having no/ lacking substance; not actual; isc. intangible
དངོས-ཀྱི-རྒྱུ	direct primary cause
དངོས-གྲུབ-ཀྱི-རྫས	substance of spiritual attainment/ siddhi
དོ-ར	dance floor (in dance)
དོ-ཤལ	garland/ long necklace
དོད	substitute; substitute/ equivalent/ alternative
དོད-སྐད	alternate/ equivalent/ substitute term
དོག-པ	confine(ment)/ restriction
དོག-པོ	confine(ment)/ restriction
དོག-མེར-མེར	tangible yet indistinct
དོགས-པ	fear/ anxiety/ hesitation; isc. concern
དོགས-ཡུལ	object of fear/ apprehension
དོགས-གཅོད-པ	to cut through hesitation
དོན	. . . don - ultimate point/ significance of . . .. (ultimate) meaning/ sense; (actual/ true/ ultimate) significance/ implication/ purpose; what is meaningful (about . . . ); ultimacy; topic/ (ultimate) point; welfare/ benefit; (meaningful) object (of experience); value; isc. (to have/ be) ultimate(ly) existence/ ent
དོན-དམ	ultimate (reality)
དོན-གཉེར	{དོན་དུ་གཉེར་བ} to seek earnestly/ strive after/ pursue; to be driven
དོན-གཉིས	two kinds of benefit (personal and altruistic, short-term and lasting)
དོན-གྱི	ultimate/ actual/ true/ real; . . . of ultimate reality; in the ultimate sense. in point of fact
དོན-ལ	in actuality/ truth/ actual fact; truly/ actually/ really; in the ultimate sense. in point of fact
དོན-མེད	meaningless/ pointless/ useless
དོན-ཉན	(Khampa dialect) "good enough" (RT)
དོན-སྤྱི	conceptual generality; abstract notion/ concept; generic object/ image
དོན-ཡོད	meaningful; meaningful(ness)
དོན-དམ-པ	ultimate (reality)
དོན-དམ-པར	ultimately/ in the ultimate sense
དོན-དམ-ཀྱི-བདེན-པ	ultimate (level of) truth
དོན-དམ-པའི-བདེན-པ	ultimate (level of) truth
དོན-དམ-དཀོར-བདུན	seven traits/ attributes of ultimate reality
དོན-དམ-བྱང-ཆུབ-ཀྱི-སེམས	ultimate (attitude of) bodhicitta/ awakened mind
དོན-དམ-བདེན-པ	ultimate (level of) truth
དོན-དུ-གཉེར-བ	to seek earnestly/ strive after/ pursue; to be driven
དོན-དུ-འཛིན-པ	to invest things with ultimate meaning
དོན-མཛད-པ	to ensure/ bring benefit the welfare of . . .
དོན-བྱེད-པ	to ensure/ bring benefit the welfare of . . .
དོན-བསྡུ-བ	to summarize (the meaning of); to bring together meanings
དོན-ཡོད-གྲུབ-པ	Amoghasiddhi/ Accomplishment of Meaning
དོན-ལ-གནས-པ	(. . . kyi) don la gnas pa - to stay true to what it means (to . . . )
དོན-ལ-མེད-ལ-སྣང-བ	apparent, yet nonexistent in actuality
དོན-མེད-པ	meaningless/ pointless/ useless
དོན-ཇི-བཞིན-པ	what ultimately is so
དོན-དྲུག-པ	proponent of the six principles (school of Indian philosophy)
དོན-གྱི-དབང	ultimate/ true empowerment
དོན-གྱི-ཡེ-ཤེས	true/ actual timeless awareness
དོན-གྱི-ནམ-མཁའ	sky in the ultimate sense (of the term/ word)
དོན-གྱི-སྙིང-པོ	ultimate heart essence
དོན-གྱི-ངོ-བོ	ultimate essence; essence in the ultimate sense
དོན-གཅིག-པའི-མཐའ	extreme/ limitation of identity/ identicalness
དོང-སྤྲུགས	{དོང་ནས་སྤྲུགས་པ} to dredge/ stir up (something) (from its depths)
དོང-ནས-སྤྲུགས-པ	to dredge/ stir up (something) (from its depths)
དོར-བ	to eliminate/ remove/ reject; to ignore/ dispense with/ exclude
དོར-བ-མེད-པ	nonexclusive
དཔའ-བ	courageous [one of the nine moods of dance (form (see 'bar ba) or mind)]
དཔའ-བོ	vira/ (spiritual) hero
དཔའ-མོ	virini [virA?] / (spiritual) heroine
དཔའ-བོ-མཁའ-འགྲོ	dakas and dakinis (literally. "viras/ heroes and dakinis")
དཔའ-བཏུལ-ཕུ-ནུ	heroic kinsmen and kinswomen [of Gesar]
དཔག-བསམ	wish granting
དཔག-མེད	{དཔག་ཏུ་མེད་པ} countless; boundless; unfathomable
དཔག-བསམ-གྱི-ཤིང	wish granting tree
དཔག-ཏུ-མེད-པ	countless; boundless; unfathomable
དཔལ	glory/ splendor
དཔལ-གྱི-ཆས-བཅུ	ten attributes/ symbols of glory
དཔལ-དང-ལྡན-པ	Shrimat [?]/ Endowed with Glory
དཔང-བསྟོད-པ	to extol
དཔེ	example; metaphor/ analogy/ example; allegory
དཔེ-བྱད	minor mark of (physical) perfection
དཔེ-དོན	metaphor and/ vis-à-vis actuality; metaphor and underlying meaning
དཔེ-དོན-རྟགས-གསུམ	(three factors of) metaphor, underlying meaning, and indication/ evidence/ expression
དཔེའི	metaphorical; conventional/ customary/ usual
དཔེའི-ནམ-མཁའ	sky in the conventional/ usual/ customary/ metaphorical sense
དཔེའི-ཡེ-ཤེས	anticipatory timeless awareness
དཔེར-ན	for example; by way of example/ analogy/ metaphor
དཔེར-བཞག-པ	to set forth in metaphors
དཔུང-བསྐྱེད-པ	. . . gi dpung bskyed pa - to marshal the forces of . . .
དཔྱད-བཟོད	(to) stand up under mental analysis/ investigation
དཔྱད-པ	{དཔྱོད་པ} (mental) analysis/ investigation/ evaluation; to analyze/ investigate/ evaluate
དཔྱད-སྒོམ	analytical/ investigative meditation; meditation involving mental analysis/ investigation
དཔྱད-པའི-ཡུལ	object to be investigated
དཔྱོད-པ	{དཔྱད་པ} (mental) analysis/ investigation/ evaluation; to analyze/ investigate/ evaluate
དྲ-རྒྱས	(to) spread and flourish
དྲག-པོ	wrath(ful); fervent/ intense
དྲག-པོའི	isc. forbidding
དྲག-ཤུལ	fury; furious [one of the nine moods of dance (speech)]
དྲག-སྔགས	wrathful mantra
དྲག-པོའི-ལས	wrathful activity
དྲགས-པ	. . . drags pa - to be too much of/ overly . . .
དྲན-བསམ	(recollection and) ordinary thought processes/ thinking
དྲན-མེད	without conscious recollection/ ordinary attention
དྲན-པ	(focusing of) attention; consideration; mindfulness/ recollectedness; to recall/ be mindful/ think about/ miss; to be aware/ conscious of; (deliberate) recollection; consciousness
དྲན-རིག	mindful awareness; isc. (merely) consciousness/ conscious awareness
དྲན-རྟོག	ordinary (conscious) thought processes; isc. attention and conceptualization; isc. concepts and focused attention
དྲན-ཤེས	mindful consciousness; isc. (merely) consciousness/ conscious awareness
དྲན-པ-ཉེ-བར-བཞག-པ	to rest/ settle fully in/ application of mindfulness
དྲན-པ-ཉེ-བར-གཞག-པ	to rest/ settle fully in/ application of mindfulness
དྲན-པ-ཉེ-བར-གཞག-པ-གསུམ	three applications/ bases of mindfulness
དྲན-པ-ཉེར-བཞག-བཞི	four applications of mindfulness
དྲན-རྟོག-གི	conceptual (patterns of) . . .
དྲན-རྟོག-གི-བསམ-བརྗོད	conceptual patterns of thought and speech
དྲན-བསམ-གྱི	purposeful/ deliberate . . .
དྲང-དོན	provisional/ conditional meaning/ truth/ significance
དྲང-སྲོང	sage; seer/ sage/ rishi
དྲང-ཐད-དུ	straightforwardly/ in a forthright manner
དྲི	odor/ smell
དྲི-ལན	question-and-answer format
དྲི-མ	stain; distortion/ distorting influence
དྲི-མེད	stainless; the immaculate one/ immaculacy [2nd spiritual level/ bhumi]; without distortion; impeccable/ immaculate; immaculacy; stainless/ flawless
དྲི-ཟ	gandharva; disembodied spirit/ mind in intermediate state after death
དྲི-མེད-བཤགས-རྒྱུད	Stainless Confession Tantra
དྲི-མ-ཅན	flawed/ stained/ distorted (being)/ maculate
དྲི-མ-མེད-པ	the immaculate one/ immaculacy [2nd spiritual level/ bhumi]; without distortion; impeccable/ immaculate; immaculacy; stainless/ flawless
དྲི-ཟའི-གྲོང-ཁྱེར	(mirage of) "castles in the air"
དྲིལ-བ	to roll/ twirl/ spin; to roll/ coil up; to blend
དྲིན-ཅན	gracious/ kind
དྲོ-བར-གྱུར-པ	to (have) develop(ed) meditative warmth
དྲོད	(phase of) meditative warmth
དྲོད-གཤེར	warmth and moisture
དྲོད-གཤེར-ལས-སྐྱེས-པ	rebirth from warmth and moisture
དྲུད-ཚུལ	'hauling' motion (in dance)
དྲུང-ནས-འབྱིན-པ	to be entirely/ completely uprooted
དརབ༹-བ	web/ lattice; looped chains
དརབ༹-ཕྱེད	hanging tassels. ornamented frieze (of mansion)
དུ	. . . du - in a(n) . . . manner
དུ-མ	numerous; disparate/ diverse/ discrete; manifold; multiple
དུ-ཟད	{.་.་.་དུ་ཟད} to come/ boil down to . . . ; to be/ amount to nothing more than . . .
དུ-མེད-པ	. . . du med pa - not (something) to be . . .
དུ-མ-རང-གྲོལ	natural freedom of diverse nature/ qualities
དུ-མ-རོ-གཅིག	one taste of diverse nature/ qualities; one taste underlying diversity; isc. the many being of one taste
དུབ-པ	to be worn out/ weary/ fatigued
དུད-འགྲོ	animal
དུམ-བུར-བཅད-པ	to partition/ fragment
དུམ-བུར-གཅོད-པ	to partition/ fragment
དུང	conch shell
དུང-ཁང	conch shell chamber (euphemism for cranium)
དུང-ངེ-བ	heartfelt
དུར-ཁྲོད	charnel ground
དུར-ཁྲོད-ཀྱི-ཆས-བརྒྱད	eight attributes/ symbols of the charnel ground
དུས	. . . (verb +) dus - when . . . ; even as . . . ; isc. at the point that . . . ; once . . . ; isc. chance of . . .. time; temporal relationship; isc. context
དུས-གསུམ	three times/ temporal phases
དུས-ན	. . . dus na(s) - in the context of . . . ; from the perspective/ point of view of . . . ; isc. even as . . .
དུས-ནས	. . . dus (nyid) nas - even as . . .
དུས-སུ	. . . kyi dus su - at the time/ on the occasion of . . . ; in the context of . . .
དུས-མེད-དུ	outside of time (to avoid crossover with ye nas)
དུས-ཐམས-ཅད-པ	ever-present
དུས-གཅིག-ལ	at the same time; in any given moment; at any given point/ moment; in a (single) moment; isc. at the same time/ simultaneously
དུས-ཀྱི-ཐ-མ	final period/ days
དུས-ལ-དབབ-པ	bab/ 'bab pa - the time is ripe/ has come for . . . ; to be time for . . .
དུས-ལ-འབབ-པ	/ bab/ dbab pa - the time is ripe/ has come for . . . ; to be time for . . .
དུས-ལ-བབ-པ	'bab/ dbab pa - the time is ripe/ has come for . . . ; to be time for . . .
དུས-གསུམ-གྱི	of/ throughout the three times
དུས-གསུམ-སངས-རྒྱས	buddhas throughout the three times
དུས-རྟག-པ-རྒྱུན-གྱི-འཁོར-ལོ	ongoing continuum of the eternal present
དུས-འཛོམ-པ	synchronicity; synchronous (with one another)
དུས-མཚུངས-པ	contemporary; . . . (dang) dus mtshungs pa - contemporaneous/ contemporary (with)
དབ༹ངས	limpid clarity/ limpidity/ pristine(ness); isc. (discerning) clarity/ clear; isc. subtle (in compounds)
དབ༹ངས-ཆ	limpid aspect/ quality
དབ༹ངས-གསལ	pristine lucidity [of awareness]; pristine clarity [of space]; pristine and lucid
དབ༹ངས-མ	subtle (vital) essence
དབ༹ངས-པ	pristine; isc. clear/ limpid; isc. subtle
དབ༹ངས-སྤྲོ	rapturous
དབ༹ངས-སྤྲོ-བ	rapturous
དབ༹ངས-འབྱེད-པ	differentiating
དབ༹ངས-སང-ངེ-བ	limpidly pristine
དབ༹ངས-མ-འབྱེད-པ	un/ nondifferentiating
དབ༹ངས-སངས-སུ	in its limpid pristineness
ཛབ	mantra repetition
ཛབ-ཁང-དབྱེ-བ	to "open the mansion"/ "set the stage" for mantra repetition
ཨེ-ཁྲམ	matrix of E/ basic space
གཡང	prosperity
གཡང-འགུགས	(ritual for) summoning the forces of prosperity
གཡང-ས	abyss; pitfall
གཡང-ས-གཅོད-པ	to cross the abyss
གཡར-དམ	pledge
གཡས	right
གཡས-རོལ	music to the right (in dance)
གཡས-ཆུང-རས-ཆོད	to downplay/ ignore/ disparage/ belittle [KNT]
གཡེལ-བ	to hesitate
གཡེངས-པ	{རྣམ་པར་གཡེངས་པ} (complete) distraction; (to be/ become) (completely) distracted
གཡོ	{གཡོ་སྒྱུ} hypocrisy
གཡོ-བ	vacillation; to waver (within)/ stray(from)/ vacillate/ shift / deviate; to be hypocritical; isc. to go beyond; isc. to fall outside (of); isc. to be other than . . .
གཡོན	left
གཡོན-རོལ	music/ movement to the left (in dance)
གབ-པ	arcane
གབ-པའི-གསང-བ	elusive; self-secrecy [of teachings]
གད-རྒྱངས	far-reaching laughter
གལ-ཆེ	very important (point)
གལ-པོ-ཆེ	very important (point)
གང	whatever; (interrogative particle) who/ what/ which?; any . . . ; s/ he who . . .. [+verb] - whatever . . . ; regardless of what . . .. {བཀང་བ} to fill (up). / ci yang ma grub pa - not (found) to have ever existed/ had existence/ been anything/ any "thing" whatsoever/ at all
གང-དུའང	anything; anything what(so)ever/ at all
གང-རུང	whatever is appropriate; any given . . .
གང-ཚེ	whenever; isc. always
གང-ཡང	any; (in any way/ as anything) what(so)ever
གང-ཡིན	whatever . . . is
གང-ཟག	(ordinary) individual
གང-ཞིག	who(so)ever
གང-ཟག-གི-བདག	personal identity; (self-)identity in/ of the individual personality
གང-ཟག-གི-བདག-འཛིན	conception of/ to conceive of personal identity/ (self-) identity in/ of the individual personality; isc. perception based on the assumption of a personal identity; perceiving as though there were personal/ self-identity
གང-ཟག-གི-བདག-མེད	nonexistence of personal identity/ (self-)identity in/ of the individual personality
གང-ཟག-སྙན-གྱི-བརྒྱུད-པ	lineage of oral transmission of (human) individuals*
གང-ལྟར-ཡང	in any case; regardless
གང-ཡང-རུང	whatever is appropriate; any given . . .
གང-ལ-གང-འདུལ	in whatever way is necessary to guide under any circumstances; whatever (activity) is necessary/ required to tame/ tames any being in any way necessary/ under any circumstances; in any way necessary. . . ; under any circumstances
གངས	snow; (glacial) snow and ice
གངས-ལྗོངས	Land of Snows [=Tibet]
གངས-རི	snow mountain
གར-དགུ	nine moods of dance [of wrathful deities]
གར-སོང-ཆ-མེད	no idea of where (something) has gone
གར-གྱི-ཉམས-དགུ	nine moods of dance [of wrathful deities]
གཅག-མལ	halt in progress [KNT]
གཅན-གཟན	carnivore/ carnivorous beast
གཅེར-བུ	(stripped) bare; isc. direct
གཅེར-བཞག	to rest/ settle in the bare state (of)
གཅེར-གྲོལ	naked freedom; freedom in immediate perception [cf. cer grol]
གཅེར-མཐོང	naked perception
གཅེས-པ	essential; (to be) essential/ important/ crucial/ valuable
གཅིག	the sole; single. {གཅིག་པོ} one/ single
གཅིག-ཆོད	(single) incisive/ decisive (point/ stroke)
གཅིག-གྲོལ	freedom in/ as oneness
གཅིག-ཀྱང	even one/ a single
གཅིག-པ	identical/ same; (to be) the same/ identical; isc. equivalent
གཅིག-པོ	one/ single
གཅིག-པུ	oneness; (as adj.) single/ sole
གཅིག-པུར	solely/ alone
གཅིག-རྫོགས	unique(ly) perfect(ion); perfect(ion) in (its) oneness
གཅིག-ཆར-དུ	{གཅིག་ཅར་དུ} simultaneous(ly); all together/ at once
གཅིག-དང-ཐ-དད	identity and/ or separateness
གཅིག-རྫོགས-ཀུན-རྫོགས	with that single perfection, all is perfect
གཅིག-རྫོགས-གཉིས-རྫོགས-ཀུན-རྫོགས	perfection in oneness, perfection in duality, perfection in everything; "perfection in one, perfection in two, perfection in everything"
གཅིག-ཏུ-ན	in one way/ sense; in a word, . . .
གཅིག-ཏུ-འདྲེས-པ	to blend as one
གཅིག-ཏུ-འདྲིལ-བ	to merge/ combine as/ in one; isc. totality of [cf. CYDz, 189.a.4]
གཅིག-ཏུ-སྡུ-བ	to coalesce/ unite as one
གཅིག-ཏུ-འདུས-པ	unified
གཅིག-ཏུ-འཁྱིལ-བ	to dwell innately in a/ the single (state of) . . .
གཅིག-ཏུ-བསྡུ-བ	to coalesce/ unite as one
གཅིག-གིས-གཅིག-མ-སྒྲིབ-པ	not mutually exclusive
གཅིག-ཅར-དུ	{གཅིག་ཆར་དུ} simultaneous(ly); all together/ at once
གཅོད-པ	{བཅད་པ,་གཅད་པ,་ཆོད་པ} to cut (through); to undermine/ negate; to demarcate/ outline/ divide
གདའ-བ	to be (the case)
གདག-གཞི	basis of labeling/ designation (process)
གདག-པ	/ 'dogs/btags/ thogs pa - to apply/ attach (a label); to designate/ label; to refer to
གདག-ཡུལ	object of labeling/ designation (process)
གདགས-གཞི	basis of labeling/ designation (process)
གདལ-བ	infinite extent; to spread/ diffuse/ extend thoroughly/ pervasively; diffusion/ extension; diffuse
གདལ-བའི	infinite
གདལ-བ-ཆེན-པོ	infinity/ infinite extension
གདམས-ངག	spiritual advice/ instruction
གདམས-པ	to advise/ impart (advice)
གདན	seat
གདན-རབས	succession of abbots in a monastery
