ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
འཆུ	 Present: {འཆུ} CD, DK, DS. {འཆུས} TC. \nPast: {འཆུས} CD, DK, DS, TC.\nFuture: {འཆུ} DK, DS. {འཆུས} TC.\nImperative: {འཆུས} DK. - DS, TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be twisted, distorted CD. 1. To be crooked, to be distorted, twisted. 2. To lose one's appetite DK. 1. To loose appetite. 2. To become crooked or in the shape of a twisted conch DS. To be or get twisted, to sprain, to be or get sprained TC.|Present: {འཆུ} LZ, CD, ND, DK, DS, TC. {བཅུ} LZ,CD. \nPast: {བཅུས} LZ, CD, ND, DK, DS, TC. \nFuture: {བཅུ} LZ, CD, DK, DS, TC.{གཅུ} LZ.\nImperative: {ཆུས} LZ, CD, ND, DK, DS, TC. {བཅུས} LZ.\nVoluntary: CD, ND, DS, TC. \nTransitive: DS, TC.\nDenominative of: {ཆུ} 'water' (Simon 1971: 474), (Beyer 1992: 111).\nCharacteristic Example: {དབྱིབས་ཀྱིས་སྐྱོགས་སུ} ('chu) LZ. {ཆུ་དང་ཇ་སོགས} (bcu) LZ. {ཆུ་སོགས} ND. \nMeaning: To scoop up, to ladle (water), to irrigate, to water ('chu) CD. 1. To draw out water, to irrigate. 2. To distill (Situ 75) (bcu) CD. To draw out water, to fetch water DK. To pick up sand, water &c. with a ladle &c. and pour it into a vessel DS. 1. To fetch with a vessel. 2. To loose appetite. 3. (archaic) To plunder TC.\nNote: related to the noun {བཅུད} 'humor, elixir' (Stein 1942: 205). Related to the nouns chab 'water' and bca 'drink' by ablaut (Simon 1971: 474). 
འཆུག	Present: {འཆུག} ND, DK, DS, [TC]. \nPast: {འཆུགས} ND, DK, DS.\nFuture: {འཆུག} ND, DK, DS.\nImperative: - ND, DS. {འཆུགས} DK.\nInvoluntary: ND, DS.\nIntransitive: DS.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {དོན་སོགས} ND. \nMeaning: To be mistaken, to be in a wrong direction DK. To make a mistake, to be confused (similar to {འཕྱུག} ) DS. To make a mistake, blunder, go wrong (alternative orthography of {འཕྱུག} ) TC.\nNote: Compare {འཕྱུག}.
འཆུགས	 see {འཆུག}|Present: {འཆུགས} [TC]. \nTransitive: (Skorupski 2001).\nMeaning: (archaic) To settle a dispute TC. 
འཆུད	{འཆུད} DK. gives as the present of {ཆུད} 
འཆུན	 {འཆུན} LZ gives as the present of {འཇུན}. |Present: {འཆུན} CD, DK, TC. \nPast: {ཆུན} DK, TC.\nFuture: {འཆུན} DK, TC.\nImperative: {ཆུནད} DK.- TC.\nInvoluntary: TC.\nIntransitive: TC.\nResultative of: {འཇུན} (Beyer 1992: 112).\nDenominative of: {འཆུན་པ} 'under one's control' CD.\nMeaning: To be tamed, subdued, made to yield CD. To be under control, to be subdued, to be able to contain DK. To become tamed, to become disciplined TC.\nNote:CD suggests this verb is a denominal use of the adjective {འཆུན་པ} 'under one's control'.  
འཆུམ	Present: {འཆུམ} LZ, CD, TC. {འཆུམས} DK. \nPast: {འཆུམས} LZ, TC. {ཆུམ} DK.\nFuture: {འཆུམ} LZ, DK, TC. \nImperative: {འཆུམས} LZ. {ཆུམས} DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nCharacteristic Example: {རྒྱུ་ནོར་སོགས་ལ} LZ.\nMeaning: To wish, to long for CD. 1. To be attached to. 2. To be frightened, to contract, to become small DK. To be attached to, to be fond of, to be addicted to. 2. To shrink, to shrivel TC.
འཆུམས	 see {འཆུམ}|Present: {འཆུམས} DS. \nPast: {འཆུམས} [DS].\nFuture: {འཆུམས} [DS].\nTransitive: DS.\nMeaning: 1. To enforce a given command by force. 2. Having established authority to make someone listen DS. 
འཆུར	 see {འཆུརད}|Present: {འཆུར} TC. \nIntransitive: (Skorupski 2001).\nMeaning: (archaic) To arrive TC. 
འཆུརད	Present: {འཆུརད} DK. \nPast: {ཆུར} DK.\nFuture: {འཆུར} DK.\nImperative: {ཆུརད} DK.\nMeaning: To be able to contain, to suffice in capacity DK.\nNote: Compare {གཅུར}.
འཆུས	 see {འཆུ}|{འཆུས} TC. gives as the present to {འཆུ}  
འཆེ	Present: {འཆེ} LZ, CD, DK, DS, TC. \nPast: {འཆེས} LZ, DS, TC. {བཅེས} CD. {ཆེས} DK.\nFuture: {འཆེ} LZ, DK, DS, TC. {བཅེ} CD.\nImperative: {འཆེས} LZ, DS, TC. {ཆེས} CD, DK. \nVoluntary: CD, DS, TC.\nTransitive: DS, TC.\nCausative of: {འཆེས} [DK]\nCharacteristic Example: {དམ་བཅའ་བའི་ཆེད་ཁས} LZ.\nMeaning: To attest, to promise CD. To promise DK, DS. To promise, to make a promise, to affirm TC.
འཆེག	{འཆེག} CD. gives as the present of {འཆག} 
འཆེལ	Present: {འཆེལ} (Hackett 2003). \nPast: {ཆེལ} (Hackett 2003).\nFuture: {ཆེལ} (Hackett 2003).\nSyntax:[Abs. Obl.](Hackett 2003).\nMeaning: To fixate (on), to be fixated (on) (Hackett 2003).
འཆོར	 Present: {འཆོར} CD. \nPast: {བཤོར} CD.\nFuture: {གཤོར} CD.\nMeaning: To pursue, chase, go after CD.|Present: {འཆོར} LZ, CD, DK, DS, TC. {ཤོར} (DK).\nPast: {ཤོརད} LZ, DK. {ཤོར} CD, DS, TC.\nFuture: {ཤོར} LZ, DK. {འཆོར} DS, TC.\nImperative: {འཆོར} LZ. {འཆོརད} DK. {ཤོརད} (DK). - DS, TC.\nInvoluntary: DS, TC, (Tournadre & Dorje 2003: 265), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [(Erg.)Abs.] (Tournadre & Dorje 2003: 265).[Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {ལ་རྒྱ་དང་སྡོམ་པ་སོགས} LZ.\nMeaning: 1. To escape, flee, steal away. 2. To flow out CD. To be let loose (a dog, &c.). 2. To lose, be stolen. 3. To escape, run away DK. 1. To escape from bondage. 2. To deteriorate, become weak. 3. To be unable to protect, or block. 4. To be unable to control the sense faculties DS. 1. To be robbed of, to be lost, to be deprived. 2. To make a slip TC. 
འཆོལ	 Present: {འཆོལད} DK. {འཆོལ} [DS], TC. \nPast: {ཆོལ} DK. {འཆོལ} [DS], TC.\nFuture: {འཆོལ} DK, [DS], TC.\nImperative: {ཆོལད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: [DS], TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To be disorderly, to be in a state of confusion DK. Similar in meaning to {འཆལ} DS. To be disorderly, to be mistaken, to be confused. 2. To totter, to stagger TC.\nNote: Compare {འཆལ}.|Present: {འཆོལ} KYN, LZ, CD, ND, DK, DS, TC. \nPast: {བཅོལད} KYN, LZ, ND, DK. {བཅོལ} CD, DS, TC. \nFuture: {བཅོལ} KYN, LZ, CD, ND, DK, DS, TC. \nImperative: {འཆོལད} KYN. {ཆོལད} LZ, ND, DK. {འཆོལ} DS. {ཆོལ} TC. \nVoluntary: KYN, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {འཕྲིན་ལས} LZ. {ལམ་སོགས} ND.\nMeaning: To entrust, lay open, commit a thing to another's charge, to make, appoint CD. To entrust, rely upon DK. 1. To give something to another, and have him take care of it for some time. 2. To request another to attend to one's affairs in one's stead. 3. To have another attend to an affair having given something to another DS. To entrust, to charge with, to leave in someone's charge, to deposit TC. 
འཆོས	 Present: {འཆོས} LZ. \nPast: {བཅོས} LZ.\nFuture: {བཅའ} LZ.\nImperative: {ཆོས} LZ.\nCharacteristic Example: {ཁྲིམས་སོགས} LZ.\nNote: Doubtless identical to the previous.  | see {འཆའ}|Present: {འཆོས} LZ, CD (archaic), ND, DK, (DS), TC. {བཅའ} DS.\nPast: {བཅོས} LZ, CD, ND, DK, DS, TC. {འཆོས} CD.\nFuture: {བཅོ} LZ, CD, ND, DK, DS. {བཅོས} TC.\nImperative: {ཆོས} LZ, CD, ND, DK, DS, TC.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཏོར་མ་སོགས} LZ. {བཟོ་བོས} ND.\nMeaning: To make, make ready, prepare, construct, build CD. To make, manufacture, build DK. To make, prepare, make ready DS. To make, create TC.\nNote: Compare {འཆའ}  
མཇལ	Present: {མཇོལ} KYN.{མཇལ} LZ, CD, ND, DK, DS, TC. \nPast: {མཇལད} KYN, LZ, ND, DK. {མཇལ} DS, TC.\nFuture: {མཇལ} KYN, LZ, ND, DK, DS, TC.\nImperative: {མཇོལད} KYN, LZ. {མཇོལ} CD, DS, TC. - ND. {མཇལད} DK. \nInvoluntary: ND, (Tournadre & Dorje 2003: 117). Voluntary: CD, DS, TC, (Hoshi 2003).\nTransitive: TC. Intransitive: DS.\nSyntax: [Abs. Ass.] (Tournadre & Dorje 2003: 368). [Obl. Abs.] (Tournadre & Dorje 2003: 117). [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {བླ་མའི་ཞལ་སོགས} LZ. {བླ་མ} ND. \nMeaning: (honorific) To meet, interview, wait on, pay ones respects CD. To have interviews, meet DK. (honorific) To meet DS. (honorific) To meet, see, visit TC.
མཇེད	Present: {མཇེད} DK, DS. \nPast: {མཇེད} DK, [DS]. \nFuture: {མཇེད} DK, [DS]. \nImperative: {མཇེད} DK.\nIntransitive: DS.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To cause to be intolerable, to be intolerable DK. To be irritating or unbearable DS.
མཇོལ	{མཇོལ} KYN. gives as the present of {མཇལ}. 
འཇག	Present: {འཇག} CD. \nPast: {ཇགས} CD (Cs.).\nMeaning: (Sch.) To establish, settle, fix, found CD.
འཇགས	 Present: {འཇགས} CD. ND, DK, DS. \nPast: {བཅགས} ND, DS. {གཅགས} [CD], DK.\nFuture: {གཅགས} ND, DS. {གཅག} DK.\nImperative: {ཆོག} ND. {འཇགས} DK. {ཆོགས} DS.\nVoluntary: ND, DS.\nTransitive: DS.\nCharacteristic Example: {ཡིད་ལ} ND.\nMeaning: To remember, keep in mind ('jags) CD. (A. K. 1. 24) 1. 1o apprehend, to grasp (with the understanding); to impress (generally with {ཡིད་ལ} 'on the mind'). 2. relative to persons it may be synonymous with {ཆགས་པ} 'to love' (gcags) CD. To keep in mind, to memorize DK. To bear in mind, hold in mind DS. | Present: {འཇགས} CD.\nMeaning: (in Central Tibet) To give, to make a present, to formally present (Georgi's Alphabetum Tibetanum ) CD.\nI find no entry for 'jags in the index of (Giorgi 2001).|Present: {འཇགས} LZ, TC. {འཇག} DK.\nPast: {འཇགས} LZ, DK, TC.\nFuture: {འཇགས} LZ, TC. {འཇག} DK.\nImperative: {འཇགས} LZ, DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {གཏམ་སྙན་སོགས་ཡིད་ལ} LZ.\nMeaning: To be settled, become calm DK. 1. To remain in the mind, to remember. 2. (honorific) to be seated. 3. To settle, to calm down, to become still, to remain unchanged TC. 
འཇང	 see {འཇོང}|Present: {འཇང} CD, TC. \nPast: {འཇང} TC.\nFuture: {འཇང} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To devour, swallow (Sch.) CD. To have diarrhea. 2. (archaic) To eat, to drink TC. 
འཇབ	Present: {འཇབ} LZ, CD, DK, DS, TC. \nPast: {བཞབས} LZ, CD (probably), DK, (TC archaic). {འཇབས} DS, TC.\nFuture: {བཞབ} LZ, CD, DK (DS). {གཞབ} (DS), (TC archaic). {འཇབ} DS, TC.\nImperative: {བཞོབ} LZ. {འཇབ} (LZ). {འཇབས} DK. {འཇོབས} DS, TC.{བཞབས} (DS).\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {ཉམས་མ་ཚོད་བར} LZ.\nMeaning: 1. To sneak, slink, creep privily. 2. To lie in wait, in ambush CD. To hide, conceal DK. To act as to not be noticed by another DS. To hide, ambush, lie in wait for TC.
འཇམ	Present: {འཇམ} ND, (Hoshi 2003).{གཞམ} DK.\nPast: {འཇམ} ND. {བཞམས} CD, DK, [DS], [TC].\nFuture: {གཞམས} [(CD)], [DS]. {བཞམ} DK.\nImperative: - ND.{གཞམས} DK.\nInvoluntary: (Hoshi 2003).\nMeaning: To stroke, caress CD. To advise on religious practice, to give advice at the time of admission into the higher order of Buddhist monk-hood. To contain, subsume [TC]. 1. To be soft, smooth, quiet. 2. To cool down, become cold (Hoshi 2003).\nNote: [DS] gives {བཞམས} , and {གཞམས} as archaic equivalents of {འཇམ་བོ} 'soft, tender'. CD gives no indication of which stem his forms are assigned to.
འཇའ	Present: {འཇའ} CD, DK, TC. {ཞ} DS, TC.\nPast: {ཞ} DK,[DS], TC. {འཇས} TC.\nFuture: {འཇའ} DK. TC.{ཞ} [DS], TC.\nImperative: {འཇའ} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: To bespeak, to concert, to confederate (Sch.) CD. To be maimed in feet or hands, to become lame, to be a cripple DK. To go lame DS, (zha) TC. To be lame, disabled, crippled, weak ('ja') TC.
འཇར	Present: {འཇར} CD, DK, [DS], TC. \nPast: {འཇརད} DK. {འཇར} TC.\nFuture: {འཇར} DK, TC.\nImperative: {འཇརད} DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To stick together, to cohere CD. To go nearer, be nearer; to touch DK. (archaic) To patch, mend DS. 1. To hide. 2. To be close to, to associate with, to hand out with. 3. (archaic) To patch, to mend TC.
འཇལ	Present: {འཇལ} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཅལ} KYT, CD, DK, DS, TC. {བཅལད} KYN, TD, LZ, ND. \nFuture: {གཞལ} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nImperative: {འཇོལ} KYT, CD, DS, TC. {འཇོལད} KYN, TD, LZ, ND. {འཇལད} DK.\nVoluntary: KYT, KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ཚད་ཀྱིས} TD. {ཚད་དང་བུ་ལོན་སོགས} LZ. {བློ་ཡིས} ND. \nMeaning: 1. To weigh, measure, appraise. 2. To tax. 3. To pay, pay back, repay. 4. To ponder. CD. 1. To repay, give in return. 2. To measure, estimate, ascertain DK. 1. To account for whether a thing is heavy or light, long or short, many or few etc, with instruments. 2. To analyze and understand. 3. To pay (e.g. taxes, a loan) DS. 1. To measure, weigh. 2. To appraise, examine. 3. To repay, to return TC.
འཇིག	 Present: {འཇིག} TD, LZ, CD, ND, DK., DS, TC. {བཤིག} CD.\nPast: {བཤིག} TD, LZ, ND, DK, DS, TC. {བཤིགས} CD. {བཞིག} CD. \nFuture: {གཞིག} TD, LZ, CD, ND, DK, DS. {བཤིག} TC.\nImperative: {ཞིག} TD, LZ. {ཤིག} CD, ND, TC. {ཤིགས} DK, DS.\nVoluntary: TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: CD, DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {འཇིག} (Gyurme 1992: 261)\nCharacteristic Example: {རྫ་འུམ་སོགས} TD. {མཁར་དང་བྲག་སོགས} LZ. {བྲག་སོགས} ND. \nMeaning: (Rdo. 46) To destroy, to devastate, to devour, to abolish, to do away with, dissolve (an encampment) CD. To destroy, break into pieces DK. 1. To tear down. 2. To not adhere to, not support; to destroy, ruin, annihilate: 3. (dialect) To undo, untie DS. To destroy, exterminate, demolish TC.\nNote:(Skorupski 2001) amends TC's future to {གཞིག}. Compare {ཤིག}.|Present: {འཇིག} LZ, CD, DK, DS, TC. \nPast: {ཞིག} LZ, CD, DK, TC.{བཞིག} CD.{འཇིག} [DS].\nFuture: {གཞིག} [LZ]. {འཇིག} DK, [DS], TC.\nImperative: {ཞིག} [LZ]. {ཞིགས} DK. - TC.\nInvoluntary: TC.\nIntransitive: CD, DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nResultative of: {འཇིག} (Gyurme 1992: 261)\nCharacteristic Example: {བསྐལ་བ་སོགས} LZ.\nMeaning: To be lost, undermined, to decay, perish CD. To ruin, decay, to be destroyed, perish DK. To deteriorate, become nonexistent DS. To perish, decay, disintegrate, come to ruin TC. 
ཇིག	{ཇིག} CD (Sch.). gives as an alternate present to {འཇིབ} 
འཇིགས	Present: {འཇིགས} CD, ND, DK, TC. \nPast: {འཇིགས} ND, DK, TC.\nFuture: {འཇིགས} DK, TC.\nImperative: {འཇིགས} DK. - ND, TC.\nInvoluntary: ND, TC.\nIntransitive: TC.\nSyntax: [Abs. Instr.] (archaic) CD. [Abs. Obl.] CD, (Hackett 2003).\nMeaning: To fear, be afraid, be terrified CD. To be terrified, to be afraid of DK. To be afraid, to fear, to be terrorized TC.\nNote:The supine is {འཇིགས་སུ} and not {འཇིགས་པར} CD.
འཇིབ	 Present: {འཇིབ} LZ, CD, DK, DS, TC. {འཇིབས} CD. {འཇིག} CD (Sch.) \nPast: {བཞིབས} LZ, CD, DS. {གཞིབས} CD, TC.{བཞིབ} DK.\nFuture: {གཞིབ} LZ, CD, DK, DS, TC. {བཞིབ} CD.\nImperative: {ཇིབས} LZ. {འཇིབས} DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {ནུ་འཞོ་དང་རྐང་སོགས} LZ.\nMeaning: 1. To suck. 2. To taste, relish CD. To such juice, to suck with lips DK. 1. To draw (water &c.) inside with the mouth or nose. 2. To soak up DS. To suck TC.|Present: {འཇིབ} LZ. \nPast: {འཇིབས} LZ.\nFuture: {འཇིབ} LZ. \nImperative: {འཇིབས} LZ.\nCharacteristic Example: {བཅུད་སོགས} LZ. 
འཇིལ	 Present: {འཇིལ} CD, TC. \nPast: {འཇིལ} TC.\nFuture: {འཇིལ} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To shed blood CD. To be damaged TC.|Present: {འཇིལ} TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཅིལད} TD, LZ, ND. {བཅིལ} CD, DK, DS, TC. \nFuture: {གཞིལ} TD, LZ, CD, ND, DK, DS, TC. \nImperative: {ཅིལད} TD, LZ. {ཆིལད} ND. {འཇིལད} DK. {ཅིལ} DS. {ཆིལ} TC.\nVoluntary: TD, ND, DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: {ཉོན་མོངསོགས} TD. {མེ་དང་ཉོན་མོང་སོགས} LZ. {ཕྱིན་ལ} ND.\nMeaning: To expel, eject, remove, turn off CD. To take out, remove, give up DK. To put out (a fire) DS. To expel, to shed, to banish, to extract, to remove TC. 
འཇུ	 Present: {ཞུ} LZ.{འཇུ} CD, ND, DK, DS. {བཞུ} TC.\nPast: {བཞུས} LZ, CD, ND, DK, DS, TC. {ཞུས} CD. {བཞུར} TC (see note).\nFuture: {བཞུ} LZ,CD, ND, DK, DS, TC.\nImperative: {ཞུ} DK. {ཞུས} LZ, ND, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {ཞུ} (Gyurme 1992: 261), (Duff).\nCharacteristic Example: {མར་སོགས} LZ.{མར་ཁུ} ND.\nMeaning: To melt, digest CD, DK. To liquefy, melt down DS. To boil, liquefy, having set a fire TC.\nNote:TC notices {བཞུར} as an alternate from Si tu sum rtag 'grel chen| Present: {འཇུ} DS, TC. \nPast: {ཞུ} DS, TC.\nFuture: {འཇུ} DS, TC. \nImperative: - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning: To digest DS, TC. |Present: {འཇུ} LZ, CD, DS, TC. \nPast: {འཇུས} LZ, CD, DS, TC. \nFuture: {འཇུ} LZ, DS, TC. \nImperative: {ཇུས} LZ. {འཇུས} DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS. Transitive: TC.\nCharacteristic Example: {ལུས་སོགས་ལ} LZ.\nMeaning: (used with {ལ} [Dag 8]) To seize, grasp, lay hold of CD. 1. To hold (with the hand). 2. (for a dog) To bite. 3. To save, spare DS. To hold, catch, grasp, seize TC. 
འཇུག	 Present: {འཇུག} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཅུག} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. {འཇུགས} (CD).\nFuture: {གཞུག} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nImperative: {ཆུགས} KYT, KYN, LZ, ND, DS. {ཆུག} TD, CD, DK, TC.\nVoluntary: KYT, KYN, TD, CD, ND, DS, TC., (Tournadre & Dorje 2003: 265), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 265), (Hackett 2003).\nCausative of: {ཞུགས} (Gyurme 1992: 259).\nCharacteristic Example: {ནང་དུ་དང་བཏན་པལ} TD. {ཚོགས་དང་ནང་དུ} LZ. {ནང་དུ} ND. \nMeaning: 1. To put into, insert, infuse. inject. 2. To appoint, constitute, manifest, place out, settle. 3. To command, induce. 4. To permit, allow suffer (in sense 3 and 4 with the terminative case of root of verb [sic]) CD. 1. To put in, insert, to admit. 2. To cause to enter to make or to allow to do DK. 1. To make go inside from outside (e.g. sheep). 2. To put a thing in its container. 3. To be put in order, series (e.g. a student into a particular class). 4. An auxiliary verb indicating the double causative. 5 (when prefixed by {ཁ} ) To speak DS. 1. To insert, to place in, to put in, to infuse, to inject. 2. To introduce, to induce, to admit into, to induct, cause to enter. 3. To engage in, to participate, to undertake. 4. To encourage, to let, to permit, to allow, to cause to TC.\nNote: Root given as jug (= ?xug) < *dzyug < dzug cf. 'dzugs (Beyer 1992: 84). 'jug < (='-d-zhug < *'zhug) NWH.|Present: {འཇུག} CD, DK, DS, TC. \nPast: {ཞུགས} CD, DK, DS, TC.\nFuture: {ཞུག} DK. {འཇུག} DS, TC.\nImperative: {ཞུགས} CD, DK, DS, TC.\nVoluntary: CD, DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.] (Hackett 2003).\nMeaning: 1. To go into, enter (generally used with terminative case, but sometimes occurs with la). 2. To begin, to set about (always coupled to participle by la) CD. 1. To enter or practice. 2. To follow or go DK. 1. To affix (a letter to a syllable). 2. To affix (a grammatical morpheme to a syllable). 3. To go, arrive DS. To enter, to join, to set out, to embark on TC. 
འཇུད	 {འཇུད} DK. gives as the present of {བཞུད} |Present: {འཇུད} CD (archaic), DS, TC. \nTransitive: (Skorupski 2001), (Goldstein 2001).\nMeaning: [To go into, enter]CD. (archaic) To enter, put inside DS. (archaic) To cause to enter, to insert, to induce TC.\nNote: Compare {ཆུད}. 
འཇུན	 Present: {འཇུན} DS. \nPast: {འཇུན} [DS]. \nFuture: {འཇུན} [DS]. \nTransitive: DS.\nMeaning: After having made a promise, or done a fault, to deny DS.|Present: {འཇུན} LZ, CD, DK, DS, TC. {འཆུན} LZ. {གཅུན} CD, ND, DS, TC. \nPast: {བཅུནད} LZ, ND. {བཅུན} CD, DK, DS, TC.\nFuture: {གཅུན} LZ, ND, DK, DS, TC. {གཞུན} CD.\nImperative: {ཅུནད} LZ, ND. {གཅུནད} DK. {ཆུན} DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCausative of: {འཆུན} (Beyer 1992: 112).\nCharacteristic Example: {ཐགས་དང་སྔགས་དང་ཐབས་སོགས} ('jun) LZ. {གཡོག་འཁོར་སོགས} ('chun) LZ. {རྩད་ནས} ND. \nMeaning: (acc. Cs.) To subdue, make tame. To make confess. To make soft, soften. To punish (by words or blows). To convert CD. To subdue, control, subjugate, restrain DK. To make (someone or something) obey a command, using force DS. 1. To subdue, to take, to discipline, to shape. 2. (archaic) to keep in mind TC. 
འཇུམ	 see {ཞུམ}|Present: {འཇུམ} CD, ND, DK, TC. {འཇུམས} DS, (TC).\nPast: {བཅུམས} ND, DS.{བཅུམ} CD, (ND), DK, TC. {འཇུམ} CD (see note).\nFuture: {གཞུམ} CD, TC.{འཇུམ} ND.{གཅུམ} DK.{བཅུམ} DS.\nImperative: {ཆུམ} CD, TC. {ཆུམས} ND, DS. {འཇུམས} DK.\nVoluntary: CD, ND, TC.\nIntransitive: CD, TC. Transitive: DS.\nSyntax: [Abs. Obl.] (Hackett 2003).\nCharacteristic Example: {ཆུད་དུ} ND. \nMeaning: Properly to cause to shudder, but frequently as neutral verb to contract CD. To make smaller, contract DK. To become shorter DS. 1. To contract, to shrink. 2. (archaic) To reduce pride TC.\nNote:CD gives {འཇུམ} as the past in his main entry, but transliterates it as the impossible {བཇུམ} , he lists {བཅུམ} separately as the past of this verb, and perhaps that is what was meant to appear in the main entry as well.  
འཇུམས	{འཇུམས} DK. gives as the present of {ཞུམ}.
འཇུར	 Present: {འཇུར} DK. \nPast: {བཞུར} DK.\nFuture: {གཞུར} DK.\nImperative: {འཇུརད} DK.\nMeaning: To tame, subdue; to check, examine; to draw tightly DK.| Present: {འཇུར} DS. \nPast: {འཇུར} [DS]. \nFuture: {འཇུར} [DS].\nIntransitive: DS.\nMeaning: For a part of something to emerge or protrude outside from a hole DS. |Present: {འཇུར} LZ, CD, DK, DS, TC. {འཆུར} [TC].\nPast: {བཅུརད} LZ. {བཅུར} CD, DK, DS, TC.\nFuture: {བཅུར} LZ. {གཅུར} DK, DS, TC. \nImperative: {ཅུརད} LZ. {འཇུརད} DK. {ཆུར} DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {འཇུར་མིག་དང་དཀའ་གནས་སོགས་ལ} LZ.\nMeaning: 1. To draw tight. 2. (= {འཛུར} ) To evade, to shun, to go out of the way CD. To draw tightly, to channel, to discipline, control DK. To extrude, draw out (a metal wire) DS. 1. To interrogate, to discipline. 2. To draw through or into. 3. (archaic) to arrive TC.\nNote: Compare {གཅུར}. 
འཇེབས	Present: {འཇེབ} ND. {འཇེབས} TC. \nPast: {འཇེབ} ND. {འཇེབས} TC.\nFuture: {འཇེབས} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: To be pleasing, to be agreeable TC.
འཇེམ	Present: {འཇེམ} ND. \nPast: {འཇེམ} ND.\nNote: Probably a verbal use of the adjective {འཇེམ་པ} 'skilled, capable'.
