འབའ-ཞིག	kevala. n^anyatra
ཅི-ནུས-ཀྱིས	zaktitaH. yathA-zaktyA
ཅི-ནུས-ཅི-ལྕོགས-ཀྱིས	yathA-zakti-yathA-balam. yathA-zaktyA yathA-balam
ཅི-ནུས-ཅི-ལྕོགས-པ-བཞིན-དུ	yathA-zakti yathA-balam. yathA-zakti-yathA-balam
ཅི-ནུས-ཅི-འོས-སུ-དེ-བཞིན-ཉིད-དུ-བསྒྲུབ-པ	yathA-yog^anurUpa-pratipatti
ཅི-ལྕོགས-ཀྱིས	yathA-balam
ཅི-ལྕོགས-པ-བཞིན-དུ	yathA-balam
ཅི-དགའ-བར	yathA-kAma
ཅི-དགའ-དགུར	yath^epsita
ཅི-དགའ-མགུར	yathA-kAmam. yath^epsitam
ཅི-དགའ-མགུར-བྱེད-དུ-འཇུག-པ	yathA-kAma-karaNIya
ཅི-བདོག-པ	yath^otpannam
ཅི-འོས-པར	yath^arham
ཅི-ཙམ-དགོས-པ	yAvad-artham
ཅི-སྐད-གསུངས-པ-བཞིན	yath^oktam
ཅི-ཡང-དབྲི-བར-མི-བྱེད-པ	na kiMcit utkSipati
ཅི-ཡང-རུང-བ	kiMcit. anyatama
ཅི-ཡང-མེད-པ	n^asti-kazcit. niSkiMcana. a-kiMcana. AkiMcanya
ཅི-ཡང-མེད-པར-འདུ-ཤེས-པ-རྣམས-ཀྱི-ནང-དུ-སྐྱེ-བ	akiMcana-saMjJiSu-janma
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད	AkiMcanya-Ayatana
ཅི-འདྲ-བ	yAdRza
ཅི-འདྲ-བ-དེ-འདྲ-བ	yAdRzaH-tAdRzam
ཅི-དགྱེས-པར	yathA-kAmam
ཅི-ལྟ-བ-བཞིན-དུ	yathAvat. yathA
ཅིའི-ཕྱིར	kasmAt. kim artham. kena kAraNena
ཅིག-ཅར	sakRt; yuga-pad
ཅིག-ཅར-དུ	sakRt
ཅིག-ཅར-དུ-འཐོབ-པ	sakRt-pratilambha
ཅིག-ཅར-བརྙེས-པ	sakRt-pratilabdha
ཅིག-ཅར-འབྱུང-བ	yuga-pad-utpAda. sakRd-saMbhavaH
ཅིག-ཅར-ཐོབ-པར-འགྱུར-བ	sakRt pratilabhate
ཅོག-པུ-པ	naiSadyika
ཅུང-ངུ	svalpa
ཅུང-ཟད	alpa; stoka. aNuka. Una
ཅུང-ཟད-ཅིག	muhUrtam
ཅུང-ཟད-ཙམ	alpa-mAtra; aNu-mAtraka. alpa-mAtraka
ཅུང-ཟད-ལྟ-བར-བྱེད-པ	A-/lok:Alokayati
ཅུང-ཟད-སྙམ-པའི-ང-རྒྱལ	UnamAna
ཅུང-ཟད-བལྟས-པ	Alokita
ཅུང-ཟད-ཙམ-ཞིག	alpa-mAtra
ཅུང-ཟད-ཙམ-དང-ངན-ངོན-ཙམ	alpa-mAtram avaramAtram
ཅུང-ཟད-ཅུང-ཟད	stoka-stokam
ད-ལྟར	vartamAna. etarhi
ད-ནི	sAMpratam
ད-ལྟར-བྱུང-བ	pratyutpanna
ད-ལྟར-བྱུང-བའི-དུས-ལ	pratyutpanne-adhvani
ད-ལྟར-བྱུང-བ-སྡུག-བསྔལ	pratyutpanna-duHkha
ད-ལྟར-བྱུང-བ-ན-བདེ-བ	pratyutpanna-sukha
ད-ལྟར-ན-སློབ-པ	/zikS:zikSante
ད-ལྟར-གྱི-དུས	vartamAnam adhvAnam. vartamAne-adhvani
ད-ལྟར-གྱི-ལས	vartamAnaM karma
ད-ལྟར-གྱི-རྐྱེན	vartamAnaH pratyayaH. vartamAna-pratyaya
ད-ལྟར-གྱི-དུས-རྣམ-པར-རིག-པ	vartamAna-kAla-vijJapti
ད-ལྟར-གྱི-ཡིད-ལ-བྱེད-པ	vartamAnena manaskAreNa
ད-ལྟར-གྱི-དངོས-པོ	vartamAna-bhAva
ད-ལྟར-གྱི-རྐྱེན-ཉེ-བར-སྒྲུབ-པ	vartamAna-pratyay^opasaMhAra
ད-ལྟར-གྱི-རྐྱེན-ལས-བྱུང-བ	vartamAna-pratyaya-samutpanna
ད-ལྟར-གྱི-མཚན-ཉིད	vartamAna-lakSaNa
དད-པ	prasAda. zraddhA; prasanna. zraddha-dhAnatA. zrAddha
དད-པའི-སྟོབས	zraddhA-bala
དད-པའི-གཞིའི-གནས	prasAda-pada-sthAna
དད-པའི-དབང-པོ	zraddh^endriya
དད-པས-རྗེས-སུ-འབྲང-བ	zraddh^anusArin
དད-པས-བྱིན-པ	zraddhA-deya
དད-པས-འགྲོ-བར-འགྱུར-བ	zraddhA-gAmin
དད-པས-བརླན-པའི-སེམས	prasAda-drava-cittatA
དད-པས-མོས-པ	zraddh^adhimukti. zraddhA-vimukti
དད-པར-འགྱུར-བ	pra-/sad:prasIdanti
དད-པར-བྱ-བ	prasAdAya
དད-པ-བསྐྱེད-པ	prasAda-janana
དད-པ-རྒྱ-ཆེན-པོ-དང-ལྡན-པའི-སེམས	audArika-prasAda-sahagatena cetasA
དད-པ-དང-སེམས-དང-བ	zraddhA-cetasaH prasAdaH
དད-པ-དང-ལྡན-པ	zrAddha; zraddhA-saMpad. zraddhA-saMpanna. zrAddho bhavati
དད-པ-དང-ལྡན-པའི-ཁྱིམ	zrAddha-kula
དད-པ-དང-དང-བ	zraddhA-prasAda
དད-པ-མང-བ	prasAda-bahula
དད-པ-ཕུན-སུམ-ཚོགས-པ	zraddhA-saMpad
དད-པ-ཞེན-པ	niviSTa-zraddhA
དད-པ-ལ-སོགས-པ-དང-ལྷག-ཅིག-སྐྱེས-ཤིང-མཚུངས-པར-ལྡན-པའི-སེམས	zraddh^adi-sahajena saMprayuktaM cittam
དད-པ-མེད-པ	a-zrAddha
དད-པ-ཆེ-བ	prasAda-bahulatA
དག-པ	zuddha. zuddhi. vizuddhi
དག-པར-སྨྲ-བ	zuddhi-vAda
དག-པར-གྱུར-པ	zuddha
དག-ཅིང-གྲོལ-བ-རྣམས-ཀྱི-འཆི-བ	zuddhAnAM-muktAnAM maraNam
དག-པ-གཅིག-ཙམ	eka-prasAda
དག-པའི-མཚན	kautUhala
དག-པའི-ཡོ-བྱད	zuddhy-upakaraNa
དག-པའི-ཡེ-ཤེས	zuddha-jJAna
དག-པའི-བསམ-པ	zuddh^azaya. zuddhy-abhiprAya
དགྱེས-པ	kAnta. iSTa
དལ-བར-འཇུག-པ	manda-vAhin
དལ-བུས-འཇུག-པ	manda-vAhin
དལ-གྱིས-འཐོར	mandAkinI
དམ-པ	parama. sat. agra. vara; sthira. dRDha. paramatA. agrya
དམ-པོ	dRDha
དམ-བཅས-པ	pratijJAna. prati-/jJA:pratijAnAti. pratijJA
དམ-བཅས-པའི-གནས	pratijJAna-sthAna
དམ-བཅས-པ-ཡང-དག-པར-བླངས-པ	pratijJA-samAdAna
དམ-བཅས-པ-དང-གཏན-ཚིགས-དང-དཔེ	pratijJA-het^udAharaNa
དམ-པ-བདུན	sapta paramatAH
དམ-པ-མཆོག-ཏུ-སྡུག-པའི-དངོས-པོ	agryasya parama-priyasya vastunaH
དམ-པ-རབ-མཆོག	vara-pravara
དམ-པར-གྱུར-པ	parama
དམ-པའི-ཆོས	sad-dharma
དམ-པའི-ཆོས-བཤད-པ	sad-dharma-dezanA
དམ-པའི-ཆོས-ཡུན-རིང-དུ-གནས-པ	sad-dharma-cira-sthitika
དམ-པའི-ཆོས-ཡུན-རིང-དུ-གནས-པར-བྱ-བ	sad-dharma-cira-sthitikatA
དམ-པའི-ཆོས-མཉན-པ	sad-dharma-zravaNa
དམ-པའི-ཆོས-སེམས-པ	sad-dharma-cintanA
དམ-པའི-ཆོས-གོ-རིམས-བཞིན-དུ-འབྱུང-བར-བྱ-བ	anupUrva-sad-dharma-pravartana
དམ-པའི-ཆོས-ལྟར-བཅོས-པ	sad-dharma-pratirUpaka
དམ-པའི-ཆོས-ཉན-པ	sad-dharaM zRNvataH. sad-dharma-zravaNa
དམ-པའི-ཆོས-ཉན-པ-དང-སེམས-པ	sad-dharma-zravaNa-cintanA
དམ-པའི-ཆོས-མ-ཡིན-པ	a-sad-dharma
དམ-པའི-ཆོས-མ-ཡིན-པ-ཐོས-པ	a-sad-dharma-zravaNa
དམ-པའི-ཆོས-མ-ཡིན-པ-མཉན-པ	a-sad-dharma-zravaNa
དམ-པའི-ཆོས-སྟོན-པ	sad-dharma-dezanA
དམ-པའི-ཆོས-ཀྱི-ཆར	sad-dharma-vRSTi
དམ-པའི-ཆོས-ཀྱི-ཚུལ	sad-dharma-netrI
དམ-པའི-ཆོས-ཐོས-པ	sad-dharma-zravaNa
དམ-པའི-ཆོས-བསྟན-པ	sad-dharmasya dezanA
དམ-འཆའ-བ	paribhASaNa. pratijJA
དམ-བཅའ-བ	pratijJA
དམ-བཅའ-བར-བྱ-བ	pratijJAtavya
དམ-དུ-རྩོམ-པ	dRDh^arambha
དམ-དུ-བཅས-པ	pratijJAta
དན-རྟགས	uddeza
དན-རྟགས-དང-བཅས-པ	s^uddeza
དང	ca
དང-བ	prasanna. prasAda
དང-པོ	prathama. Adi; Adyam
དང-པོར	pUrva
དང-བར-གྱུར-པ	prasAdanIya
དང-བར-གྱུར-པའི-དམིགས-པ	prasAdanIyen^alambanena
དང-བར-བྱེད-པ	pra-/sad:prasAdayati
དང-བར-འགྱུར-བ	prasAdanIya
དང-བར-འགྱུར-བའི-གཏམ	prasAdanIyAyAM kathAyAm
དང-བར-འགྱུར-བའི-ཡིད-ལ-བྱེད-པ	prasAdanIyo manaskAraH
དང-བར-འགྱུར-བའི-དམིགས-པ	prasAdanIyen^alambanena
དང-བར-བྱ-བ	prasAda
དང-བར-བྱ-བའི-ཚུལ	prasAda-yoga
དང-བར-བྱ-བར-འོས-པ	prasAdanIya
དང-བར-བྱ-བར-འོས-པའི-ཡིད-ལ-བྱེད-པ	prasAdanIyo manaskAraH
དང-བའི-ཡིད	prasanna-mAnasa
དང-བའི-བསམ-པ	prasAd^azaya
དང-པོའི-སེམས-བསྐྱེད-པ	prathama-citt^otpAdika. prathamaz citt^otpAdaH
དང-དུ-བླངས	anupravizya
དང-དུ-ལེན-པ	adhivAsanA; adhi-/vas:adhivAsayati. adhivAsana
དང-དུ-ལེན-པའི-རང-བཞིན-ཅན-ཉིད	adhivAsana-jAtIya
དང-དུ-ལེན-པའི-ངང-ཚུལ-ཅན-ཉིད	adhivAsana-zIlatA
དང-དུ-ལེན-པར-བྱེད-པ	adhi-/vas:adhivAsayati
དང-དུ-བླངས-པ	adhivAsayat. adhivAsita
དང-དུ-མི-ལེན-པ	n^adhivAsayati
དང-དུ-བླང-བ	adhivAsanA
དང-དུ-བླང-ནས	adhivAsya
དང-དུ-བླང-བར-མི-བྱ-སྟེ	an-adhivAsya
དང-པོ-སེམས-བསྐྱེད-པ	prathama-citt^otpAda. prathama-citt^otpAdika
དང-པོ-སེམས-བསྐྱེད-པ-བརྟན-པ	dRDha-prathama-citt^otpAdika
དང-པོ-ཁོ-ནར	Adita eva
དང-པོ-འཇུག-པ	Adi-prasthAna
དང-པོ-འཇུག-པ-མ-ཡིན-པ	an-Adi-prasthAna
དང-པོ-དག-པ	Adi-zuddhi
དང-པོ-ཉིད-ནས	Adita eva
དང-པོ-བརྩོན-པ	Adi-prayoga
དང-པོ-སྐྱེས-པ	pratham^opanipAta
དང-པོ-མ-ཡིན-པ	an-Adi
དང-པོར-འགྲོ-བ	pUrva-gama
དང-བ-ཙམ	prasAda-mAtraka
དང-བ-དང-མཆོག-ཏུ-དགའ-བ	prasAda-prAmodya
དཕེར-ན	tad-yathA
དར	padga
དར-བ	saMpatti. utthita
དར-ལ-བབ-པའི-དུས	madhy^avasthA
དར-བར-འགྱུར-བ	/vRdh:vardhante
དར-བ-དང-རྒུད-པ	saMpatti-vipatti
དབང	vaza. vazitva. vazitA; adhipati. adhipateya. vazi
དབང-བ	vazin; vazya
དབང-བདག	IzAna
དབང-ཕྱུག	Izvara. aizvarya
དབང-པོ	indriya
དབང-ཐོབ-པ	vazitA-prApta. vazitA-prApti
དབང-མེད-པ	a-svatantra
དབང-མེད-པར-གྱུར-པ	an-Izvara
དབང-བྱེད-པ	Adhipatya; vaza-vartanatA. vazitva-karaNa. vaze vartayat
དབང-དུ-བྱས	adhipatiM kRtvA
དབང-དུ-བྱ-བ-དང-ལྡན-པ	adhikAra-saMpanna
དབང-དུ-འགྱུར-བ	vaza-vartin. vazyA bhaviSyati
དབང-དུ-བྱེད-པ	vazyatA
དབང-དུ-འགྲུབ-པར-ཟད-པ	yadRcchA-siddhitA
དབང-དུ-མི-འགྲོ-བ	vaz^ananuyAyitA
དབང-དུ-སོང-བ	vaza-gata
དབང-དུ-འགྲོ-བ	vaza-ga
དབང-དུ-གྱུར-པ	sAkSi-bhUta. vaza-ga
དབང-དུ-བྱས-ནས	adhipatiM kRtvA
དབང-དུ-བྱས-པ	adhikRtya. adhipateya. adhipateyA
དབང-དུ-བྱས-ཏེ	adhikRtya. adhipatiM kRtvA
དབང-ཆུང-བར-གྲགས-པ	alpezAkhya
དབང-ཆེ-བར-གྲགས-པ	mahezAkhyatA. mahezAkhya
དབང-ཆེ-བར-གྲགས-པའི-འབྲས-བུ	mahezAkhyatAyAH-phalam
དབང-ཆེ-བར-གྲགས-པ-ཉིད	mahezAkhyatA
དབང-ཆེ-བར-གྲགས-པ-ཉིད-ཀྱི-རྒྱུ	mahezAkhyatAyA hetuH
དབང-བ-དང-བུ	vazya-putra
དབང-པོས-ཟིན-པ	indriya-saMgRhIta
དབང-པོས-ཟིན-པ-མ-ཡིན-པ	an-indriya-saMgRhIta
དབང-བསྐུར-བ	abhiSikta. abhiSeka
དབང-སྒྱུར-བ	vaze vartanA
དབང-སྒྱུར-བར-བྱེད-པ	vaze vartayati
དབང-པོའི-གནས	indriya-sthAna
དབང-པོའི-རྟེན	indriy^adhiSThAna
དབང-པོའི-འབྱུང-བ-ཆེན-པོ	indriya-mahAbhUta
དབང-པོའི-འབྱུང-བ-ཆེན-པོ-ཆ-ཕྲ-བ	sUkSm^endriya-mahAbhUta
དབང-པོའི-མཆོག-དང-མཆོག-མ-ཡིན-པ-མཁྱེན-པའི-སྟོབས	indriya-par^apara-jJAna-bala
དབང-པོའི-རྟེན-གྱི-གནས	indriy^adhiSThAna-sthAna
དབང-པོ-འབྲིང	madhy^endriya
དབང-པོ-གསུམ	trIN^indriya
དབང-པོ-ལྔ	paJcAnAm indriyANAm
དབང-པོ-ཉིད	indriya
དབང-པོ-ཙམ	indriya-mAtra
དབང-པོ-འདམ-བུ-ལྟར-མཐོ-བ	unnat^endriya
དབང-པོ-འདམ-བུ-ལྟར-མཐོ-བར-གྱུར-པ	unnat^endriya
དབང-པོ-ཞན-པ	mand^endriya
དབང-པོ-མི-བརྟན-པ	a-sthir^endriya
དབང-པོ-མི-འཇམ-པ	khar^endriya
དབང-པོ-མི-བརླང-བ	a-paruS^endriya
དབང-པོ-མི-རྩུབ-པ	a-karkaz^endriya
དབང-པོ-མི-གཡོ-བ	a-cal^endriya
དབང-པོ-ཞི-བ-ཉིད	zAnt^endriya
དབང-པོ-མ-ཚང-བ-མེད-པ	indriyair a-vikalatA
དབང-པོ-མ-གཏོགས-པ	indriya-varjya
དབང-པོ-རྣོ-བ	tIkSN^endriya
དབང-པོ-འཁྲུག-པ	vyAkul^endriya
དབང-པོ-འགྲུབ-པ	indriya-nivRtti
དབང-པོ-རྣམས-ལེགས-པར-བསྡམས-པ	su-saMvRtair indriyaiH
དབང-པོ-རྣམས-མ-ཉམས-པ	indriyair a-vikalatA
དབང-པོ-རྣམས-ཀྱི-སྒོ-བསྡམས-པ	indriyair gupta-dvAraH
དབང-པོ-རྣམས-ཀྱི-སྒོ-བསྡམས-པ-ཉིད	indriya-gupta-dvAratA
དབང-པོ-རྣམས-ཡོངས-སུ-སྨིན-པ	indriyANAM pariNAmaH
དབང-པོ-མེད-པ	an-indriya
དབང-པོ-མེད-པར-གྱུར-ཞིང-ཉམས-པ	indriy^oparam^opaghAta
དབང-པོ-མཆོག-དང-མཆོག-མ-ཡིན-པ	indriya-par^aparatA
དབང-པོ-ཚང-བ	sakal^endriya
དབང-པོ-གཟུགས-ཅན	rUp^indriya
དབང-པོ-གཟུགས-ཅན-ཡོངས-སུ-འགྱུར-བ	rUp^indriya-vipariNAma
དབང-པོ-གཟུགས-ཅན-གྱིས-བསྡུས-པ	rUp^indriya-saMgRhIta
དབང-པོ-གཟུགས-ཅན-གྱི-གནས-འབྱུང-བ-ཆེན-པོས-བསྡུས-པ	rUp^indriy^azraya-mahAbhuta-saMgRhIta
དབང-པོ-གཟུགས-ཅན-མ-ཡིན-པ	a-rUp^indriya
དབང-པོ-གཟུགས-ཅན-མ-ཡིན-པ-ཡོངས-སུ-འགྱུར-བ	a-rUp^indriya-vipariNAma
དབང-པོ-གཟུགས-ཅན-ལྔ-པོ-དག	paJcAnAM rUpiNAm indriyANAm
དབང-པོ-ཡང-དག-པར-བསྒྲུབས-པ	indriya-samudAgama
དབང-པོ-བུལ-བ	dhandh^endriya
དབང-པོ-དང-ཡུལ-དང-ཆོས	indriya-viSaya-dharma
དབང-པོ-དང-ཡུལ-དང-རེག-པས-བསྡུས-པ	indriya-viSaya-sparza-saMgRhIta
དབང-པོ-དང-བཅས-པ	s^endriya. indra
དབང-པོ-འཇམ-པ	a-khar^endriya
དབང-པོ-ལས-གྱུར-པའི-ཁྱད-པར	indriya-kRta
དབང-པོ-མཉེན-པ	snigdh^endriya
དབང-པོ-བླུན-པ	jaD^endriya
དབང-པོ-རྩུབ-པ	karkaz^endriya
དབང-པོ-བརླང-བ	paruS^endriya
དབང-པོ-རྣོན-པོ	tIkSN^endriya
དབང-པོ-རྒོད-པ	uddhat^endriyatA. uddhat^endriya
དབང-པོ-རྒོད-པ-མ-ཡིན-པ-ཉིད	anuddhat^endriyatA
དབང-པོ-སྡོམ-པ	indriya-saMvara
དབང-པོ-རྟུལ-བ	dhandh^endriya. mRdv-indriya
དབང-པོ-རྟུལ-པོ	mRdv-indriya
དབང-པོ-རྟུལ-བ-མ-ཡིན-པ	a-dhandh^endriya
དབང-པོ-གཡོ-བ	capal^endriya
དབང-པོ-གཡོ-བ-མ-ཡིན-པ-ཉིད	a-capal^endriyatA
དབང-པོ-ཡོངས-སུ-སྨིན-པ	paripakv^endriya. indriya-paripAka
དབང-པོ-ཡོངས-སུ-མ-སྨིན-པ	a-paripakv^endriya
དབང-པོ-ཡོངས-སུ-མ-ཉམས-པ	indriyam a-paribhinnam
དབང-པོ-ཡོངས-སུ-རྩོགས-པར-འགྱུར-བ	indriya-paripUri
དབང-པོ-ཡོངས-སུ-རྫོགས-པ	paripUrN^endriya
དབང-གི-འབྲས-བུ	adhipati-phala
དབང-ཕྱུག-ལ-སོགས-པ-བྱེད-པ-པོར-སྨྲ-བ	Izvar^adi-kartR-vAda
དབང-ཕྱུག-ལ-སོགས-པ-མི-མཐུན-པ-རྒྱུར-སྨྲ-བ	Izvar^adi-viSma-hetu-vAdin
དབང-ཕྱུག-ལ-དབང-བྱེད-པ	aizvaryaM vaze vartayanti. aizvary^adhipatya
དབང-ཕྱུག-ཕུན-སུམ-ཚོགས-པ	aizvarya-saMpat
དབང-ཕྱུག-ཕུན-སུམ-ཚོགས-པའི-རྒྱུ	aizvarya-saMpado hetuH
དབང-ཕྱུག-ཕུན-སུམ-ཚོགས-པའི-འབྲས-བུ	aizvarya-saMpado-phalam
དབང-ཕྱུག-ཕུན-སུམ-ཚོགས-པར-གྱུར-པ	aizvarya-saMpanna
དབང-ཕྱུག-གིས-སྤྲུལ-པ	Izvara-nirmANa
དབང-ཕྱུག-གིས-རྒྱགས-པ	aizvarya-mada
དབང-ཕྱུག-ཆེན-པོ	mah^ezvara
དབང-ཕྱུག-ཆེན-པོ-དང-སྲེད-མེད-ཀྱི-བུ-དང-ཚངས-པའི-འཇིག-རྟེན	mah^ezvara-nArAyaNa-brahama-loka
དབང-ཕྱུག-ཆེན-པོར-འགྱུར-བ	mah^ezvara-sthAna
དབང-ཕྱུག-ཆེན-པོའི-གནས	mah^ezvara-sthAna
དབེན-པ	vivikta. viveka; pravivikta. rahas. vyavakRSya. vyapakRSTa
དབེན-པ-ལས-སྐྱེས-པ	viveka-ja
དབེན-པ-ལས-སྐྱེས-པའི-དགའ-བ-དང-བདེ-བ	viveka-je prIti-sukhe
དབེན-པ-ལས-སྐྱེས-པའི-དགའ-བ-དང-བདེ-བ-ཅན	viveka-jaM prIti-sukham. viveka-jena prIti-sukhena
དབེན-པ-ལམ-གྱི-མཚན-ཉིད	mArga-satyasya lakSaNam
དབེན-པ-ན-གནས-པ	pravivikta-vihArin
དབེན-པ-ཕུན-སུམ-ཚོགས-པ	vyapakarSa-sampad
དབེན-པ-ལ-མངོན-པར-མི-དགའ-བ	vivek^anabhirata
དབེན-པ-ལ-གཞོལ-བ	viveka-nimna
དབེན-པར-བྱ-བ	vivecayitavya
དབེན-པར-གྱུར-པ	rahaH-sevita
དབེན-པར-སོང-བ	raho-gata
དབེན-པའི-མཉམ-པ-ཉིད	vivikta-samatA
དབོག-པར-བྱ-བ	dAtavya
དབུ	zIrSa
དབུ-བ	phena
དབུ-མ	madhyama
དབུ-སྐྲ	keza
དབུ-སྐྲའི-མཚམས	keza-paryanta
དབུ-གཙུག-ཏོར-དང-ལྡན-པ	uSNISa-ziraskatA. uSNISa-zirSa
དབུ-མའི-ལམ	madhyama-pratipad; madhyamAM pratipadam
དབུ-མའི-ལམ-དུ-འགྲོ-བ	madhyama-pratipad-anusAriNI
དབུགས	prazvAsa
དབུགས-བརྫངས-པ	prazvAsa-kAyatA
དབུགས-ངར-ངར-པོ	khuru-khuru-prazvAsa
དབུགས-འབྱིན-པ	An^apAna-smRti
དབུགས-རྔུབ-པ	Ana; AzvAsa
དབུགས-རྔུབ-པ-དང-དབུགས-འབྱུང-བ	An^apAna. AzvAsa-prazvAsa
དབུགས-རྔུབ-པ-དང-དབུགས-འབྱུང-བའི-རླུང	AzvAsa-prazvAsA vAyavaH
དབུགས-རྔུབ-པ-དང-དབུགས-འབྱུང-བ-དྲན-པ	An^apAna-smRti
དབུགས-བརྔུབས-པ	A-/zvas:Azvasimi
དབུགས-དབྱུང-བ	AzvAsanI
དབུགས-དབྱུང-བ-དང-རྔུབ-པ	An^apAna
དབུགས-དབྱུང-བ-དང-རྔུབ-པ-དྲན-པ	An^apAna-smRti
དབུགས-ཕྱུང-བ	pra-/zvas:prazvasimi
དབུགས-འབྱུང-བ	prazvAsa; niNzvAsa. apAna
དབུགས-འབྱུང-བ-དང-རྔུབ-པ-དྲན-པ	An^apAna-smRti
དབུལ-བ	daridra. dAridrya
དབུལ-པོ	daridra; dAridrya
དབུལ-ཞིང-ཕོངས-པ	dAridryaM vighAtam
དབུལ-པོའི-ཁྱིམ-དུ-སྐྱེས-པ	daridra-kulIna
དབུལ-པོར-འགྱུར-བ	dAridrya
དབུས	madhya
དབུས-ཀྱི-མཐའ	madhy^anta
དབུས-ཀྱི-མཐའ-དང-ལྡན-པ	madhy^anta-sahagata
དབུས-ཀྱི-མཐའ-དང-ལྡན-པའི-བག-ཡོད-པ	madhy^anta-sahagato 'pramAdaH
དབྱངས	ghoSa. svara; svaratA. abhigIta
དབྱངས-ཀྱིས-བསྙད-པའི-སྡེ	geya
དབྱར	varSa. vArSika
དབྱར-ཟླ-བ-བཞི	caturo vArSikAn mAsAn
དབྱེ-བ	prabheda. bheda; bhinna. vibhakti. vibhinna
དབྱེ-བྱས	bheda
དབྱེ-ན	prabhidyamAna
དབྱེ-བའི-མཐར-ཐུག-པར-བྱས-པ	bheda-niSThA
དབྱེ-བའི-སྦྱོར-བ-བྱས-པ	bheda-prayoga
དབྱེ-བའི-བསམ-པ	bhed^abhiprAyatva. bhed^abhiprAya
དབྱེ-བའི-བསམ-པ-ཅན	bhed^abhiprAya
དབྱེ-བ-མང-བར-མི-འགྱུར-བ	a-bheda-bahulo bhavati
དབྱེ-བ-མེད-པ	a-bheda
དབྱེ-བ-དང-མཐུན-པའི-ཚིག	bhed^anukUlaM vacanam
དབྱེན-བྱེད-པ	bheda
དབྱེན-མེད-པ	a-vinAzatA
དབྱེན-བྱ-བ	bheda
དབྱེན-བྱས-ཏེ	vibhedya
དབྱེར-མེད-པ	a-vinirbhAga
དབྱེར-མེད-པས-བསྡུས-པ	a-vinirbhAga-saMgraha
དབྱིབས	saMsthAna
དབྱིབས-དང-ལྡན-པ	AkRti-mAna
དབྱིབས-ཀྱི-འདོད-ཆགས	saMsthAna-rAga
དབྱིབས-ལེགས-པ	su-saMskRta
དབྱིབས-ལས-གྱུར-པའི-འགྱུར-བ	saMsthAna-kRtaM vipariNAmam
དབྱིག	hiraNya
དབྱིག-པ	daNDa
དབྱིག-པ-ཐོགས-པ	daND^adAna
དབྱིངས	dhAtu
དབྱུག-པ	daNDa
དབྱུག-ཐོ	gaDA
དབྱུག-པའི-འདུས-ཏེ-རེག-པ	daNDa-saMsparza
དབྱུང-བ	vyutthAna
དེ	tad; etad. etarhi
དེ-བས	atas
དེ-བཞིན	tathA
དེ-དག	eSAm
དེ-ལ	tatra
དེ-ལྟར	iti. evam
དེ-སྐད	evam
དེ-ཡང	tad etad
དེ-ཉིད-ལ	tasminn eva
དེ-ཉིད-ཀྱི-ཉིན-མོ	tasminn eva divase
དེ-ཕྱིན-ཆད	tata Urdhvam
དེ-དང-དེ	tasya tasya
དེ-དང-དེར	tatra tatra
དེ-དང-སྐལ-བ-མཉམ-པར-མཐུན-པར-འཇུག-པའི-སྐྱེ-བ	tat-sabhAg^anuvartanI upapattiH
དེ-དང-འདྲ-བ	tathA. evam
དེ-དང-འདྲ-བར-སྦྱར-བར-བྱ	peyAlam
དེ-དང-དེ-དག	tAMs tAMs. tAsu tAsu
དེ-དང-དེ-དག-ལ	teSu teSu
དེ-དང-དེ-དག-ཏུ	tAsu tAsu. teSu teSu
དེ-བས-ན	tasmAt. ata eva. ataH
དེ-སྲིད-ཅིག	iyat
དེ-འདི-སྙམ-དུ	tasy^aivaM bhavati. asyaivam bhavati
དེ-གཉི-ག	tad-ubhaya
དེ-གཉི-གའི-བར-མ-དོར-གནས-པ	tad-ubhy^antara-sthAyin
དེ-གཉི-ག-ལས-བཟློག-པ	tad-ubhaya-viparIta
དེ-གཉི-ག-ལས-བཟློག-པའི-རྣམ-པར-རྟོག-པ	tad-ubhaya-viparIto vikalpaH
དེ-ལྟ-བུ	evam; tathA-rUpa. tad-rUpa. tAdRza. idam evaM-rUpam. IdRza. evaM-rUpa
དེ-ལྟ-བུའི-ཚུལ-གྱིས	anen^opakrameNa. evaM kRtvA
དེ-ལྟ-བུ-དང-མཐུན-པ	ity evaM-bhAgIya. idam evaM-bhAgIyam. iyam evaM-bhAgIyA
དེ-ལྟ-བུ-བྱུང-བ	iti-vRttaka
དེ-ལྟ-བུ-བྱུང-བའི-སྡེ	iti-vRttaka
དེ-ལྟ-བུ-ཡིན-པ	IdRza
དེ-ལྟ-བས-ན	tasmAt; ataH
དེ-ལྟ-བུར-བཅོས-པ-ཙམ	pratirUpa-mAtraka
དེ-ལྟ-བུར-གྱུར-པ	tathA-bhUta
དེ-ལྟ-དེ-ལྟར	tathA tathA
དེ-ལྟ-ན-ཡང	evam api
དེ-ལྟ-མ-ཡིན-པ	anyathA
དེ-མ-ཡིན-པ	tad-anyatra. tad-anya. anyathA
དེ-མ-ཡིན-དུ-ཟིན-ན	anyathA
དེ-མ-ཐག-པ	samanantara
དེ-མ-ཐག-པའི-གནས	samanantara AzrayaH
དེ-བཞིན-དུ	tathA. evam eva; tath^aiva
དེ-བཞིན-ཉིད	tathatA
དེ-བཞིན-ཉིད-ཙམ	tathatA-mAtra
