འབའ-འཛར	(PH) vajra [arch. spelling]
དོན-སྤྱིའི-གསལ-སྣང	(PH) the clear appearance of a meaning generality
དོན-སྤྱིའི-གསལ-སྣང-གི-ཏིང-ངེ-འཛིན	(PH) meditative stabilization of the clear appearance of a meaning generality
དོན-སྤྱིའི-སྣང-བ-མཆེད-པའི-ཏིང-ངེ-འཛིན	(PH) meditative stabilization of the increase of appearance [this appearance being] of a meaning generality
དོང	(PH) walk; journey
དཔའ	(PH) hero
དཔའ-བོ	(PH) hero; intrepid person
དཔག-མེད-རིང-བ	(PH) immeasurably long
དཔལ	(PH) ensignia; banner
དཔལ-བེའུ	(PH) endless knot
དཔལ-བརྩེགས-རྒྱལ-པོ	(PH) Śrīkūṭa-rāja
དཔལ-བསམ-ཡས-ལྷུན-གྱིས-གྲུབ-པ	(PH) Samye Hlun-gyi-drup-pa [Temple] ("spontaneous fulfillment of limitless aspirations")
དཔལ-གྱི-བསམ-ཡས-ལྷུན-གྱིས-གྲུབ-པ	(PH) Samye Hlun-gyi-drup-pa [Temple] ("spontaneous fulfillment of limitless aspirations")
དཔལ-མགྲིན	(PH) Śrīkaṇṭha
དཔལ-ནག-པོ	(PH) Śrī Kṛṣṇa
དཔང-སྐོང-ཕྱག-བརྒྱ-པ	(PH) "One Hundred Homages for Mending Transgressions" (D 267)
དཔར	(PH) page
དཔེ-བྲིས-མ	(PH) manuscript
དཔེ-ལྡེབ	(PH) book
དཔེ-མ	(PH) exemplary
དཔེ-མཛོད-པ	(PH) librarian
དཔེ-ཉེར-འཇལ-གྱི-རྗེས-དཔག	(PH) inference through example; inference through analogy
དཔེ-རྫི	(PH) index; register
དཔེ-རིང	(PH) long folio; long text
དཔེ-རིས	(PH) diagram
དཔེ-ཐུང	(PH) short folio
དཔེའི-འོད-གསལ	(PH) metaphoric clear light
དཔོན-པོ	(PH) headman; chief
དཔུང-གི-ཚོགས	(PH) armies; forces
དཔུང-ཚོགས	(PH) armies; forces
དཔྱ	(PH) tax; rent
དཔྱ-བ	(PH) tax; rent
དཔྱད-གཞི	(PH) reference; data
དཔྱིད	(PH) spring; springtime
དཔྱིད-དཔལ	(PH) glory of springtime
དཔྱིད-དུས	(PH) spring; springtime
དཔྱིད-ཀ	(PH) spring; springtime
དཔྱིད-ཀའི-དུས	(PH) spring; springtime
དཔྱིད-ཟླར-པ	(PH) [first month of Spring]
དཔྱིས	(PH) finally
དྲ-རྒྱ-ཆེན	(PH) greatly progressing
དྲག-པོ	(PH) fierce; sharp
དྲག-སྤྱོད	(PH) forceful action
དྲན-དང-ཤེས-བཞིན	(PH) mindfulness and introspection
དྲན-པ-བཅུ	(PH) ten mindfulnesses
དྲན-པ-ཉེ-བར-གཞག-པ	(PH) application of mindfulness
དྲན-པ-ཉེ-བར-གཞག-པ-བཞི	(PH) four applications of mindfulness
དྲན-པ-ཉེར-གཞག	(PH) applications of mindfulness; Applications of Mindfulness [Sūtra]
དྲང	(PH) straight-forward; forthright
དྲང-པོའི-ལུགས	(PH) straight-forward manner; honest approach
དྲང-སྲོང-གཟེགས-ཟན	(PH) the sage Kaṇāda
དྲང-སྲོང-ལྷུང-བ	(PH) Ṛṣipatana (near Varanasi)
དྲང-སྲོང-རྒྱས-པ	(PH) the ṛṣi Vyāsa
དྲང-སྲོང-སྨྲ-བ-རི-དྭགས-ཀྱི-ནགས	(PH) Deer Park at Ṛṣipatana
དྲང-ཐད-དུ	(PH) straightforward
དྲེལ	(PH) mule
དྲི	(PH) odor
དྲི-འཚོར-བ	(PH) olfactory sensation
དྲི-ཆུའི-ལམ	(PH) urinary tract
དྲི-མ	(PH) stain; taint; defilement
དྲི-ང	(PH) foul-smell
དྲིན-ཅན-རྗེ	(PH) kind lord
དྲིན-དུ-ཆེ	(PH) very kind
དྲིན-དུ-མི-ཆེ	(PH) not very kind
དྲོད	(PH) [bodily] warmth
དྲོན	(PH) hot; warm
དྲུག-ཅུའི-དབྱངས	(PH) sixty [types of] melodies
དྲུག-ཅུའི-དབྱངས-ལྡན	(PH) endowed with the sixty [types of] melodies
དྲུག-མ	(PH) the six; all six
དྲུང-རིགས	(PH) secretariat
དྲུང-རྩིས	(PH) secretary and finance minister (drung yig dang rtsis dpon)
དྲུང-ཡིག-ཆེན-མོ	(PH) secretary-general (2nd rank)
དྲྭ-བ	(PH) net; network
དུ-མ-ཞིག	(PH) many; manifold
དུ-ཤེས-གཡེར-པོ	(PH) determinative discrimination
དུད-ཁུང	(PH) chimney
དུá¸¥-ཁ-མེད-པ	(PH) one who is without suffering
དུམ-བུ-དུམ-བུ	(PH) sections; pieces
དུར-འཁྲོད	(PH) charnal ground; sky burial site
དུར-ཁྲོད-ཀྱི-མེ	(PH) charnal (śmaśāna) fire
དུར-ཁྲོད-ཀྱི-རས	(PH) charnel ground cloth
དུར-ཁྲོད-པ	(PH) one who lives in a charnal ground
དུས-ཀྱི-འཁོར-ལོ	(PH) Kālacakra; Kālacakra [Tantra]
དུས-ཀྱི-རྒུད-པ	(PH) Unfortunate Era
དུས-རིང-དུ	(PH) for a long time
དྭོགས-ཟོན	(PH) caution
ཛམབུ-གླིང	(PH) Jambudvipa
ཛེ-ཏཱ-རི	(PH) Jetāri
ཛིང-གིན	(PH) Ghingis Khan
ཨེ-མ	(PH) O!; Ah!; Alas!
གཡའ	(PH) dust; dirt; defilement; rocky cliffs
གཡས	(PH) counter-clockwise
གཡོ	(PH) dissimulation; deceit; deception
གཡོ-རུ	(PH) Yö-ru [n. of one of two districts of central Tibet (dbus)]
གཡོ-སྒྱུ	(PH) deceit and guile
ག	(PH) where (= ga la)
ག-ལ	(PH) how; where
ག-ཉ-ཛི-ར	(PH) spire
གང	(PH) anything; that; what
གང-འདུལ-སྤྲུལ-སྐུ	(PH) Emanation Body taming whoever [needs taming]
གང-འགྲུབ	(PH) however [many] can be done
གང-དང-གང	 (PH) each-and-every|(PH) back-and-forth 
གང-དེ	(PH) whatsoever
གང-ནས	(PH) at whatever [point]; from [whenever]
གང-རུང	(PH) either one of; whichever
གང-སུ-དག-འདི	(PH) whichsoever of these
གང-ཡང-རུང-བ-ཞིག	(PH) any single; any single [one]
གང-ཟག-བདག-འཛིན	(PH) conception of a self of persons
གང-ཟག-བདག-འཛིན-གཉིས	(PH) the two types of conception of a self of persons
གང-ཟག-གང	(PH) whatever person; whosoever
གང-ཟག-གི-བདག-འཛིན	(PH) conception of a self of persons
གང-ཟག-གི-བདག-མེད-ཕྲ-མོའི-རྣམ-པ-ཅན	(PH) having the aspect of the subtle selflessness of persons
གང-ཟག-གི-བདག-ཏུ-འཛིན-པའི-བློ	(PH) awareness that grasps at a self of persons
གང-ཟག-གི-བསམ-པ	(PH) attitudes of a person; thoughts of a person
གང-ཟག-གི-ལོངས-སྤྱད-བྱ	(PH) objects of enjoyment of a person
གང-ཟག-རང-རྐྱ-ཐུབ-པའི-རྫས-ཡོད	(PH) being substantially existent in the sense of being a self-sufficient person
གང-ཞིག-གང	(PH) anything whatsoever
གངས-ཅན-གྱི-ལྗོངས	(PH) Realm of Snow [Tibet]
གངས-ཅན-གྱི-ལྗོངས-ཆེན-པོ	(PH) Great Realm of Snow [Tibet]
གངས-ཅན-གྱི-ཡུལ	(PH) Land of Snow (Tibet)
གངས-ཅན-ལྗོངས	(PH) Realm of Snow [Tibet]
གངས-ཅན-མུན-པའི-སྨག-རུམ	(PH) the dense darkness of the Land of Snows
གངས-ལྗོངས	(PH) Realm of Snow [Tibet]
གངས-རིའི-ལྗོངས	(PH) Realm of Snowy Mountains [Tibet]
གར	(PH) dancing; dance
གར-ལོག	(PH) Garlok (a small kingdom in Nga-ri; western Tibet)
གཅམ-བུའི-ཚིག	(PH) flattering words
གཅེན-མོ	(PH) elder sister
གཅེན-མོ-དང-གཅུང-མོ	(PH) sisters (elder and younger)
གཅིག	(PH) identity; same
གཅིག-བཀག-པའི-ཐ-དད	(PH) a difference which is a negation of oneness
གཅིག-བུ-ཞིག	(PH) alone
གཅིག-མི-གཅིག	(PH) same or not the same
གཅིག-པ-བཀག-པ	(PH) merely not one
གཅིག-པུ	(PH) sole; lone; sole; single; alone
གཅིག-པུ-ཉིད་	(PH) solitary
གཅིག-པུར	(PH) alone; sole
གཅོད-བྱེད-ཀྱི-བུ	(PH) Vantāsikā (a class of pretas)
གཅོད-ཡུལ-པ	(PH) Chöd practitioner
གཅོམ	(PH) conceit
གཅོང-རོང	(PH) chasm
གཅོང-རོང-ཆུ	(PH) river running through a chasm
གཅོང-རོང-གི-ཆུ-བུ	(PH) river running through a chasm
གདགས-གཞིའི-ཚད-མ	(PH) valid basis of designation
གདན	(PH) seat; cushion
གདན-བཤམས-པ	(PH) prepared seat
གདེང-དྲོད	(PH) strong confidence
གདེངས	(PH) confidence
གདེངས-རྟགས	(PH) sure sign(s)
གདོད-ནས	(PH) from the beginning
གདོལ-པ-སྨྱིག-མཁན	(PH) founder of a lineage of the lowest of outcastes
གདོན	(PH) planet; planetary influences; malevolent spirit; evil spirit
གདོན-བགེགས-འབྱུང-པོ	(PH) evil obstructing spirits
གདུག-པ	(PH) poisonous; pernicious [entities]; evil ones
གདུག-རྩུབ-ཅན	(PH) terrifying
གདུག-སྦྲུལ	(PH) poisonous snake
གདུགས-དཀར-པོ	(PH) white umbrella
གདུལ-བ-འབྱུང-པོ	(PH) beings who are the trainees
གདུལ-བྱ-གཞན	(PH) other trainees
གདུང-བ-མེད-པ	(PH) Anavatapta
གདུང-རྒྱུད	(PH) descendant; heir; lineage of descent
གདུང-ཤུགས	(PH) strong devotion; intense longing
གདུང-ཤུགས-དྲག-པོ	(PH) strong devotion; intense longing
གེ-སར	(PH) flower bud
གི-གུ	(PH) "i" vowel mark; [name of vowel marker for 'i']
གླ-བ	(PH) musk deer
གླན-དེ-འཇོག-པ	(PH) resetting [the 3rd mental abiding (sems gnas)]
གླིང-བཞི-གླིང-ཕྲན-བཅུ-གཉིས	(PH) twelve major and minor continents
གླིང-བཞི-གླིང-ཕྲན-བརྒྱད	(PH) four major and eight minor temples
གླིང-བཞི-མ	(PH) four-sided; with four sides
གླིང-དང-གླིང-ཕྲན	(PH) [four] continents and [eight] minor continents
གླིང-གཡོག-གམ-གླིང-ཕྲན-བརྒྱད	(PH) eight attendant or minor continents
གླིང-ཕྲན	(PH) island; minor continent
གླིང-ཕྲན-བ-རྒྱད	(PH) eight minor continent
གླིང-ཕྲན-བརྒྱད	(PH) eight minor continent
གློ-བུར-དྲི-བྲལ-གྱི-མྱང-འདས	(PH) nirvana that is free from momentary defilement
གློ-བུར-གྱི-དྲི-མ	(PH) adventitious defilement
གློག-འགྱུ	(PH) flash of lightening
གློག-འགྱུ-བ	(PH) flash of lightening
གློག-གི-རྗེས-འགྲོ-བ	(PH) lightning-like
གནམ-གྱི-སྐར-མ	(PH) [p.n. of a brahmin who had faith in the buddha and was reviled for it]
གནས	(PH) critical point; topic; place; location; abode; sphere; category
གནས-དང-ཡུལ-གྱི-ཕྱག-རྒྱ	(PH) mudras of the places and countries
གནས-གྱུར	(PH) transformation
གནས-ལོགས-པ	(PH) separate place
གནས-ལུགས-མཐར-ཐུག	(PH) final mode of subsistence
གནས-མེད-དངོས-པོ	(PH) a thing lacking duration
གནས-མིན-གནས	(PH) unsuitable
གནས-རྩ	(PH) the stable nerve centers (nadi)
གནས-སྐབས	(PH) temporary; temporary state; occasion; opportunity; context; situation; condition
གནས-ཡུལ	(PH) [twenty-four] places and [thirty-two] countries
གནས-ཡུལ-དཔའ-བོ-མཁའ-འགྲོ	(PH) the dakas and dakinis of the sacred places and countries
གནས-ཡུལ-དྲུག-ཅུ-རྩ-བཞི	(PH) sixty-four sacred places and countries
གནས-ཡུལ-དུར-ཁྲོད	(PH) [twenty-four] places; [thirty-two] countries; and [eight] charnal grounds
གནོད	(PH) yakṣa; harmful spirits
གནོད-གནས	(PH) Jambhala
གནོད-པ	(PH) harm; harmful [effects]; damage
གནོད-པ-ཆེན-པོ	(PH) mahāyakṣa
གནོད-པར-བྱེད-པ	(PH) harmer; those who do harm
གནོད-སྦྱིན	(PH) yakṣa; possessing demon
གནོད-སྦྱིན-གངས-བཟང	(PH) [a type of yakṣa]
གནོད-སྦྱིན-མོ	(PH) yakṣiṇī; female possessing demon
གནོན-གཤིན	(PH) funeral ritual [for suppressing zombies]
གཉེན-པོ-ཀུན-ཏུ-སྤྱོད-པའི-སྟོབས	(PH) the power of the properly applied antidote
གཉི-ཀ-ལྟར-ཡང	 (PH) either way; in either case|(PH) either way; in either case 
གཉིད	(PH) sleep
གཉིད-མཚན-ཉིད-པ	(PH) actual sleep
གཉིས-གཉིས	(PH) two each
གཉིས-པ-ཤོས	(PH) the other of the two
གཉིས-སྐྱེས	(PH) birds ("twice born")
གཉིས-སྣང-ཅན-གྱི-ཤེས-པ	(PH) dualistic consciousness
གཉིས-སྟོང-གི-རྣམ-པ-ཅན	(PH) having the aspect of an emptiness of duality
གཉིས-སུ-གྲངས	(PH) enumeration as two
གཉོམ-པོ	(PH) moderate
གོ-ར	(PH) Qur'an
གོ-ཏན	(PH) Go-tan [Khan] (Mongolian Emperor)
གོའུ-ཤམབྷི	(PH) Kauśambi
གོག-ཡུལ	(PH) Wakhan (Afghanistan)
གོང-གསལ-ལྟར	(PH) as clarified above [in the text]
གོང-མ-གོང-མ	(PH) higher and higher
གོང-མའི-སྐྱེད-ཚལ	(PH) imperial garden
གོང-མའི-སྤྱི	(PH) vertical-universal
གོང-ས	(PH) His Holiness
གོས	(PH) cloth; clothes; clothing
གོས-ཆེན-རི-མོ	(PH) brocade designs
གོས-དག	(PH) clothes
གོས-ཐུམ	(PH) layer of cloth
གྲག	(PH) sound; noise
གྲག-པ	(PH) sound; noise
གྲག-སྟོང-དབྱེར-མེད	(PH) inseparability of being audible and yet empty
གྲགས-རྟགས-ཡང-དག	(PH) correct sign of renown
གྲལ	(PH) status; series; rank
གྲལ-འོག	(PH) end of a row
གྲལ-གཤམ	(PH) lower rank
གྲལ-མཐོ-ས	(PH) head of the row
གྲལ-རིམ	(PH) line sequence
གྲལ-རྐེད	(PH) middle rank
གྲལ-སྟོད	(PH) front rank
གྲང-བའི-ནད	(PH) rheumatism
གྲངས-ངེས-པ	(PH) definite in number
གྲངས-སྙེད	(PH) however many equal in number (to)
གྲས-མཚུངས-པ	(PH) order; orderly fashion
གྲིབ-པ-རྣམ-སེལ	(PH) Sarvanīvaraṇaviṣkambhin (p.n. of a bodhisattva)
གྲོ-གཅིག	(PH) one day's journey
གྲོ-ལྷུག	(PH) paunchy; chubby
གྲོ-ཤོད	(PH) Trochö [n. a district in Tibet]
གྲོག-མོ	(PH) ant
གྲོག-རོང	(PH) ravine; gorge
གྲོང-ཁྱེར-དཔེ-མེད	(PH) Anupamamahāpura (n. city in Kaśmir)
གྲུ	(PH) angle; corner
གྲུ-འཛིན	(PH) rudder
གྲུ-འཛིན-བདག-པོ	(PH) Lord of the Potala (Avalokiteśvara)
གྲུ-བོ	(PH) boat; ship
གྲུ-ཆེན	(PH) vessel; confines; interior
གྲུབ-བདེ-གཅིག-པ	(PH) sameness in establishment and abiding
གྲུབ-མཐའ-རྣམ-བཞི	(PH) four systems of [Buddhist] tenets
གྲུབ-པའི-ལྷ	(PH) god of magical accomplishment
གྲུབ-པའི-མཐའ-སྤྱི	(PH) general tenets
གྲྭ-གྱུ-སྒང-བྲག	(PH) [a Guru Rinpoche cave]
གསད-པར-བྱ-བ	(PH) the condemned; someone condemned
གསལ-འོད-ཟེར	(PH) radiant clear light
གསལ-བ	(PH) elucidations; instances; manifestations
གསལ-བའི-དབྱེ-བ	(PH) divisions of instances
གསལ-བྱེད	(PH) consonant
གསལ-མདངས	(PH) radiant
གསལ-མྱོང	(PH) clear experience
གསལ-རྫོགས-མཚན-དཔེ	(PH) vivid and complete major and minor marks [of a Buddha or Cakravartin]
གསལ-སྣང-གི-ཏིང-ངེ-འཛིན	(PH) meditative stabilization of clear appearance 
གསང-བ-དབང-བསྐུར	(PH) secret initiation
གསང-བ-ཤེས-རབ-དབང-བསྐུར	(PH) the secret and wisdom initiations
གསང-བའི-དུར-ཁྲོད-བརྒྱད	(PH) eight secret charnel grounds
གསང-གསུམ-རྒྱན	(PH) the ornaments of the three secrets [of body; speech; and mind]
གསར-བུ	(PH) novice
གསེག-མ	(PH) gravel; grit; pebbles; sugar
གསེག-སྒམ	(PH) leather box
གསེག-ཤུབས-མ	(PH) leather case
གསེར-མིག-ཅན	(PH) the golden-eyed one
གསེར-ཡིག-པ	(PH) envoy
གཤམ	(PH) bottom; underneath
གཤམ-གསལ-ལྟར	(PH) as clarified below [in the text]
གཤེ-བ-པོ	(PH) abusive person
གཤིན-རྗེ-དམར-ནག-གི-རྒྱུད	(PH) Raktayamari Tantra
གཤིས-དྲང	(PH) honest nature
གཤོག-རླབས	(PH) wing movement
གསོ-དཔྱད	(PH) medicinal treatment
གསོ-ཐབས	(PH) medical procedure
གསོད-གནས	(PH) place of execution
གསོལ-བ-འདེབས-པ	(PH) supplication
གསོལ-དཔོན	(PH) officer in charge of beverages
གསོལ-ལྷུང	(PH) alms bowl; begging bowl
གསོལ-ངན	(PH) bad food; poisonous food
གསོལ-རས	(PH) present; gift
གསུམ-འཛོམས	(PH) three abuundances [offerings of food; drink; and money]
གསུམ-གསུམ	(PH) three each
གསུང-བསལ-བའི-སྒྲ	(PH) a sound that clears away speech (?)
གསུང-ཆོས	(PH) teachings; religious instruction
གསུང-དབྱངས-ཡན-ལག-དྲུག-ཅུ	(PH) speech [with] sixty [types of] melodies
གསུང-ངག-རིན-པོ-ཆེ	(PH) "precious instruction" [epithet of Sakya "Path and Fruit" tradition]
གསུང-སྒྲོས	(PH) sayings; teachings; analects
གཏད	(PH) aim; purview
གཏད-པ	(PH) aim; purview
གཏད-རབས	(PH) hierarch
གཏད-རབས-བདུན	(PH) [first] seven hierarchs [in succession to Śākyamuni Buddha]
གཏད-རབས-ནག-པོ	(PH) the [fifth] hierarch *Kṛṣṇa/*Kāla
གཏད-རྒྱ	(PH) entrustment
གཏམ	(PH) instructions; proverb; story
གཏམ-གྱི-སྦྱོར-བ	(PH) rambling tales
གཏན	(PH) completely; final
གཏན-འདུན-གྱི-སྙིང-པོ	(PH) essence of final aspiration
གཏན-གྱི-འདུན-མ	(PH) final objective
གཏན-གྱི-དོན	(PH) final aim
གཏན-གྱི-མདུན-མ	(PH) final concern
གཏན-གྱི-སྐྱབས	(PH) final refuge
གཏན-ལ-དབབ-བྱ	(PH) that which is to be settled
གཏན-ལ-དབབ-བྱའི-གཙོ-བོ	(PH) overriding concern; principle objective to be settled
གཏི-མུག	(PH) obscuration; delusion
གཏིང	(PH) depths
གཏིང-མཐའ	(PH) depths
གཏོ-མཁན	(PH) skilled in healing
གཏོང-པོ	(PH) profligacy; extravagance
གཙོ	(PH) main
གཙོ-བོ	(PH) best; primordial substance
གཙོ-བོ-རྟག-པ	(PH) permanent principle
གཙོ-བོའི-དོན	 (PH) principle meaning|(PH) primary objective 
གཙོ-བོར-སྐྱེད-བྱེད	(PH) main producer
གཙོ-པོ	(PH) general principal [in Sāmkhya]
གཙུག-གི-ནོར-བུ	(PH) crown jewel
གཙུག-ལག	(PH) teachings
གཙུག-ནོར	(PH) crown jewel
གཙུག-ཏོར	(PH) headdress
གཙུག-ཏོར-རྣམ-པར-རྒྱལ-མ	(PH) Usnisavijaya
གཏུམ-མོ-ཕལ-པ	(PH) ordinary inner heat
གུ-རུ-ཡིད-བཞིན-ནོར-བུ	(PH) Guru Chintamani (a form of Padmakara)
གུག-ཀྱེད	(PH) vocalic ornaments
གུག-སྐྱེད	(PH) vocalic ornaments
གུག-སྐྱེས	(PH) vocalic ornaments
གུང	 (PH) midnight|(PH) middle; center 
གུཔཏའི-སྐབས	(PH) Gupta-style
གུར-ཁྱིམ	(PH) mansion [under] a tent; abode
གུར-ཀུམ-མདངས-ལྡན	(PH) saffron colored
གུས-པ-ཆེན-པོ	(PH) great devotion
གུས-པའི-ཕྱག	(PH) respectful homage
གྱ-གྱུ-བ	(PH) dishonesty
གྱད-བུ-ནོར	(PH) Dravya Mallaputra (an arhat)
གྱར	(PH) fragment
གཟེགས-ཟན	(PH) Kaṇāda
གཟེངས-རིང	(PH) point; pointy
གཟེར	(PH) pain
གཞན-འཕྲུལ-དབང-བྱེད	(PH) [Heaven of] Controlling Others' Emanations (sixth of the six Desire Realm Heavens)
གཞན-གྱི-དབང-གི-མཚན-ཉིད	(PH) other-powered nature
གཞན-གྱི-དབང-གི-ངོ-བོ-ཉིད	(PH) entityness of the other-powered (nature)
གཞན-གྱིས-མི-ཐུབ-པ	(PH) Aparajita
གཞན-ལས-ངེས	(PH) [valid cognition for which] ascertainment induced by another
གཞན-ངོ	(PH) another's perspective
གཞས	(PH) play; folk song
གཞི	(PH) basis; referent; [writing] surface; bark
གཞི-དུས-ཀྱི-བྱ-གྲུབ-ཡེ-ཤེས	(PH) basic wisdom of achieving activities
གཞི-དུས-ཀྱི-མེ-ལོང-ཡེ-ཤེས	(PH) basic mirror-like wisdom
གཞི-དུས-ཀྱི-སོར-རྟོག-ཡེ-ཤེས	(PH) basic wisdom of individual investigation
གཞི-དུས-ཀྱི-ཡེ-ཤེས	(PH) basic wisdom
གཞི-དུས-མཉམ-ཉིད-ཡེ-ཤེས	(PH) basic equalizing wisdom
གཞི-དུས-སོར-རྟོག-ཡེ-ཤེས	(PH) basic wisdom of individual investigation
གཞི-གྲུབ	(PH) established base
གཞི-གྲུབ-པ	(PH) being an established base
གཞི-ཇི-བཞིན-པ	(PH) literal basis; actual base
གཞི-ཁ	(PH) district officer
གཞི-ལམ-འབྲས-གསུམ	(PH) the three: bases; paths; and fruits
གཞི-རྟེན	(PH) basis; foundation
གཞིའི-དོན	(PH) objective referent
གཞོག-གཟེར	(PH) pain in the sides of the chest
གཞོགས	(PH) side of the body
གཞོགས-གཟེར	(PH) pain in the sides of the chest
གཞོམ-མེད	(PH) unconquerable; invincible
གཞོན	(PH) young
གཞོན-ནུ	(PH) young
གཞོན-ནུ-ནོར-བཟང	(PH) Kumāra Sudhana
གཞུང	(PH) government; lengthwise
གཞུང-བཟང	(PH) good character
གཞུང-ལུགས-པ	(PH) follower of the textual system(s)
གཞུང-ཚད	(PH) length of the text
གཟི	(PH) radiance
གཟི-བརྗིད-ཆེན-པོ	(PH) endowed with majesty
གཟི-བརྗིད-ཆུང-ངུ	(PH) little splendor
གཟིག-ལྤགས	(PH) leopard skin
གཟིགས-དཔེ	(PH) books that were read
གཟིམ-མལ	(PH) (hon.) bed
གཟིམས-དཔོན	(PH) official in charge of dressing and bedding (3rd rank); chamberlain
གཟོ-བ	(PH) one who remembers
གཟོད-བསྒོམ-པ	(PH) primordial meditative state
གཟོད-ནས	(PH) from the beginning
གཟུགས-ཅན-སྙིང-པོ	(PH) [King] Bimbisāra
གཟུགས-གཟུགས-ཞེས-པའི-སྒྲའི-འཇུག-གཞི	(PH) form's being the basis for affixing the term "form"
གཟུགས-ཀྱི-སྐྱེ-མཆེད	(PH) form sense-sphere
གཟུགས-མཛེས	(PH) beautiful form
གཟུགས-མཚན-ཉིད-པ	(PH) fully qualified form
གཟུགས-རགས-པ	(PH) gross form
གཟུང-རྟོག	(PH) conception of the true existence of objects
གཟུར-གནས	(PH) unbiased
གཟུར-གནས-སྐྱེ-བོ	(PH) an unbiased being
ཧ-ཅང-ཐལ-བར-འགྱུར	(PH) absurd consequence
ཧ-ལ-ཧ-ལ	(PH) poison; poisonous plant
ཧཱ-ཤང	(PH) [Chinese Chan master] Ha-shang
ཧན-ལྡང	(PH) dumb; mute
ཧར-གྱི-གཏམ	(PH) empty talk
ཧོར	 (PH) Mongolia|(PH) Mongol 
ཧོར-དམག	(PH) Mongolian army; Mongolian soldiers
ཧྲང	(PH) single
ཧྲིག-ཧྲིག-པོ	(PH) wide-eyed
ཧཱུཾ-ཡིག	(PH) the letter HŪṂ
ཨིནདྲ-ནི-ལ	(PH) sapphire
ཇི-བཞིན	(PH) just as; like; as; correctly; properly
ཇི-བཞིན-དུ	(PH) just as; like; as
ཇི-བཞིན-མིན-པ	(PH) not like; unlike
ཇི-ལྟ-བ-ཇི-བཞིན-དུ	(PH) exactly; as it really is
ཇི-ཕྲ	(PH) accordingly subtle
ཇི-ཕྲ-ཇི-ཕྲ	(PH) each accordingly more subtle
ཇི-སྙེད	(PH) however much
ཇི-སྙེད-པ	(PH) however much
ཇི-སྙེད-པ-ཐམས-ཅད	(PH) all the varieties
ཇི-སྲིད-ཅིག-ན	(PH) for how long
ཇིང-གེར	(PH) Gengis Khan
ཇོ-བོ-རིན-པོ-ཆེ	(PH) Precious Jowo [Śākyamuni statue]
ཇོ-བཟང	(PH) good reputation; good repute
ཇོ-ལུགས-སྒྲོལ-དཀར	(PH) White Tara in Atiśa's lineage
ཀ	(PH) [verbal suffix meaning "about to"]
ཀ-བུམ-གཉིས	(PH) pillar and pot, the two
ཀ-ཅོག-ཞང	(PH) the three — Ka-wa [Pel-tsek (ka ba dpal brtsegs)]; Jok-ro [Lü-gyal-tsen (cog ro klu'i rgyal mtshan)]; and Zhang [Na-nam Ye-she-de (zhang sna nam ye shes sde)]
ཀ-དག	(PH) primordially pure
ཀ-ཙན-དབྱངས-གསུམ	(PH) three [core Sanskrit grammarians;] Kālāpa (Śarvavarman); Candragomin; and Anubhūti
ཀན-རྩ	(PH) pulse [felt with / under the middle finger]
ཀརཎ-པ	(PH) the people of Karṇāṭa
ཀས-གདུགས	(PH) canopy
ཀཽ-ཤི-ཀ	(PH) Kauśika [an epithet of Śakra]
ཁ	(PH) mouth; face; faction; division
ཁ-བ	(PH) snow; bitter
ཁ-བ-ཅན-གྱི-ཡུལ	(PH) Land of Snows (Tibet)
ཁ-བྱང	 (PH) label; index; register; introduction|(PH) [identifying] note 
ཁ-དོག-སྣ-ལྔ	(PH) variegated five-colored
ཁ-དྲང	(PH) straight-forward; forthright
ཁ-གསབ	(PH) everyday expressions
ཁ-གཏམ	(PH) oral tradition
ཁ-མདུན	(PH) forward
ཁ-མདུན-ངོས	(PH) facing forward
ཁ-ན-མ-ཐོ	(PH) unseemliness
ཁ-ན-མ-ཐོ-བ	(PH) unspeakable/unseemliness
ཁ-རྒྱབ	(PH) backward
ཁ-རྒྱབ-ངོས	(PH) facing backward
ཁ-སྟེང-དུ	(PH) upon; above
ཁ-ཐུར	(PH) downwards
ཁ-ཐུར-དུ	(PH) downwards
ཁ-ཞེང-ཆེ	(PH) vast and open
ཁབ	(PH) court; residence
ཁབ-དང-མེ-བཙའ	(PH) cauterization and moxibustion
ཁག	(PH) units; sections; types; parts
ཁམ-ཆེ-བ	(PH) great activity; great deed
ཁམ-ཆེས-བ	(PH) great activity; great deed
ཁམས	(PH) constituent; element; basic constituent; disposition; type; constitution; Kham [eastern province of Tibet]
ཁམས-ཆེན	(PH) major constituents
ཁམས-གོང-མ-གཉིས	(PH) two upper realms [Form and Formless]
ཁམས-གསུམ-གྱི-ས	(PH) the levels of the three realms
ཁམས-གསུམ-སྣོད-བཅུད	(PH) environment and [its] inhabitants of the three realms
ཁམས-ཡན-ཆད	(PH) Kham and regions to the west
ཁང-པ-བཀྲ-བ	(PH) whitewashed house
ཁང-སྟེང	(PH) upper level of a house
ཁར-ཡས-ཁར-ཡས་	(PH) inexplicable numbers
ཁེབས-པ	(PH) affliction
ཁོ-ན	(PH) still
ཁོ-ནར	(PH) only
ཁོད-ཡངས-པོ	(PH) vast expanse
ཁོན-པ	(PH) anger; resentment
ཁོངས-ས	(PH) territory
ཁྲ-འབྲུག	(PH) Tren-druk [a temple in Yarlung built by Songtsen Gampo]
