སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
བ-ཀུ-ལ	 A yakṣa lord. | Indian tree with a very fine flower. | Śrāvaka arhat; one of the sixteen sthavira arhats (see “elder”).| Śrāvaka arhat; one of the sixteen sthavira arhats (see “elder”). |Indian tree with a very fine flower. 
སྟོབས-ལྔ	 As listed in http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-163, these comprise (1) the power of faith, (2) the power of perseverance, (3) the power of recollection, (4) the power of meditative stability, and (5) the power of wisdom. | Faith, dilligence, mindfulness, absorption, and knowledge. Although the same as the faculties, they are termed “powers” due to their greater strength. | For the five strengths, see “powers.” The ten strengths can refer either to one set of ten qualities of tathāgatas, or to a different list of ten strengths of bodhisattvas. | The five strengths are a stronger form of the five powers: faith, mindfulness, diligence, samādhi, and wisdom.| The five strengths are a stronger form of the five powers: faith, mindfulness, diligence, samādhi, and wisdom. | These are the same as the five spiritual faculties, at a further stage of development. |These are the same as the five spiritual faculties, at a further stage of development. 
སྟོབས-ལྡན	 A leader of the asuras.|A leader of the asuras. 
སྟོབས	 The strengths are enumerated as five or ten. As five, they are a stronger form of the five powers: faith, mindfulness, diligence, samādhi, and wisdom. As ten, they are the strenths of knowing what is proper and improper, knowing the maturation of karma, knowing the variety of beings’ aspirations, knowing the variety of their inclinations, knowing the variety of their capacities, knowing everywhere each path leads, knowing the dhyānas, liberations, samāpattis, samādhis and so forth, being able to recall previous states of being, and knowing the details of death and rebirth.| The strengths are enumerated as five or ten. As five, they are a stronger form of the five powers: faith, mindfulness, diligence, samādhi, and wisdom. As ten, they are the strenths of knowing what is proper and improper, knowing the maturation of karma, knowing the variety of beings’ aspirations, knowing the variety of their inclinations, knowing the variety of their capacities, knowing everywhere each path leads, knowing the dhyānas, liberations, samāpattis, samādhis and so forth, being able to recall previous states of being, and knowing the details of death and rebirth. | The ten powers (daśabala, {stobs bcu}) of the Tathāgata are 1) the power of knowledge of what is possible and what is not possible (sthānāsthāna­jñāna­bala, {gnas dang gnas ma yin pa mkhyen pa'i stobs}); 2) the power of knowledge of the individual results of actions (karmasvaka­jñāna­bala, {las kyi rnam smin mkhyen pa'i stobs}); 3) the power of knowledge of different practices leading to various destinies (sarvatra­gāminī­prati­pajjñāna­bala, {thams cad du 'gro ba'i lam mkhyen pa'i stobs}); 4) the power of knowledge of the different dispositions and tendencies of different beings (aneka­dhātu­nānā­dhātu­jñāna­bala, {khams sna tshogs mkhyen pa'i stobs}); 5) the power of knowledge of the different aspirations of beings (nānādhi­mukti­jñāna­bala, {mos pa sna tshogs mkhyen pa'i stobs}); 6) the power of knowledge of the different degrees of development of the faculties and inclinations of beings (indriya­parāparya­jñānabala, {dbang po mchog dang mchog ma yin pa mkhyen pa'i stobs}); 7) the power of knowledge of the absorptions, deliverances, concentrations, and attainments (dhyāna­vimokṣa­samādhi­samāpatti­jñāna­bala, {bsam gtan dang rnam thar dang ting nge 'dzin dang snyoms par 'jug pa thams cad mkhyen pa'i stobs}); 8) the power of knowledge of previous lives (pūrva­nivāsa­jñāna­bala, {sngon gyi gnas rjes su dran pa mkhyen pa'i stobs}); 9) the power of knowledge of the deaths and births of beings according to their actions (cyutyu­papāda­jñāna­bala, {'chi 'pho bo dang skye ba mkhyen pa'i stobs}); and 10) the power of knowledge of the destruction of the impurities (āsravakṣaya­jñāna­bala, {zag pa zad pa mkhyen pa'i stobs}). (Rahula 2001: 229–230, n118). |The ten powers (daśabala, {stobs bcu}) of the Tathāgata are 1) the power of knowledge of what is possible and what is not possible (sthānāsthāna­jñāna­bala, {gnas dang gnas ma yin pa mkhyen pa'i stobs}); 2) the power of knowledge of the individual results of actions (karmasvaka­jñāna­bala, {las kyi rnam smin mkhyen pa'i stobs}); 3) the power of knowledge of different practices leading to various destinies (sarvatra­gāminī­prati­pajjñāna­bala, {thams cad du 'gro ba'i lam mkhyen pa'i stobs}); 4) the power of knowledge of the different dispositions and tendencies of different beings (aneka­dhātu­nānā­dhātu­jñāna­bala, {khams sna tshogs mkhyen pa'i stobs}); 5) the power of knowledge of the different aspirations of beings (nānādhi­mukti­jñāna­bala, {mos pa sna tshogs mkhyen pa'i stobs}); 6) the power of knowledge of the different degrees of development of the faculties and inclinations of beings (indriya­parāparya­jñānabala, {dbang po mchog dang mchog ma yin pa mkhyen pa'i stobs}); 7) the power of knowledge of the absorptions, deliverances, concentrations, and attainments (dhyāna­vimokṣa­samādhi­samāpatti­jñāna­bala, {bsam gtan dang rnam thar dang ting nge 'dzin dang snyoms par 'jug pa thams cad mkhyen pa'i stobs}); 8) the power of knowledge of previous lives (pūrva­nivāsa­jñāna­bala, {sngon gyi gnas rjes su dran pa mkhyen pa'i stobs}); 9) the power of knowledge of the deaths and births of beings according to their actions (cyutyu­papāda­jñāna­bala, {'chi 'pho bo dang skye ba mkhyen pa'i stobs}); and 10) the power of knowledge of the destruction of the impurities (āsravakṣaya­jñāna­bala, {zag pa zad pa mkhyen pa'i stobs}). (Rahula 2001: 229–230, n118). 
སྟོབས-ཀྱི-འཁོར-ལོས-སྒྱུར-བ	 A cakravartin is a king who rules over at least one continent, and gains his territory by the rolling of his magic wheel over the land. Therefore he is called a “king with the revolving wheel.” This is as the result of the merit he has accumulated in previous lifetimes. A bala­cakra­vartin king is a lesser kind of cakravartin who has attained his dominion through his great might and his powerful army.|A cakravartin is a king who rules over at least one continent, and gains his territory by the rolling of his magic wheel over the land. Therefore he is called a “king with the revolving wheel.” This is as the result of the merit he has accumulated in previous lifetimes. A bala­cakra­vartin king is a lesser kind of cakravartin who has attained his dominion through his great might and his powerful army. 
གཏོར-མ	 A ritual offering of food and drink.| A ritual offering of food and drink. | Bali wrested control of the world from the devas, establishing a period of peace and prosperity with no caste distinction. Indra requested Viṣṇu to use his wiles so that the devas could gain the world back from him. He appeared as a dwarf asking for two steps of ground, was offered three, and then traversed the world in two steps. Bali, keeping faithful to his promise, accepted the banishment of the asuras into the underworld. A great festival is held in Bali’s honor annually in South India. In the Kāraṇḍavyūha, he abuses his power by imprisoning the kṣatriyas, so that Viṣṇu has cause to banish him to the underworld. | Ritual oblation offered into the fire. |A ritual offering of food and drink. 
སྟོབས-ཅན	 Bali wrested control of the world from the devas, establishing a period of peace and prosperity with no caste distinction. Indra requested Viṣṇu to use his wiles so that the devas could gain the world back from him. He appeared as a dwarf asking for two steps of ground, was offered three and then traversed the world in two steps. Bali, keeping faithful to his promise, accepted the banishment of the asuras into the underworld. A great Bali festival in his honor is held annually in southern India. In http://read.84000.co/translation/UT22084-051-004.html (Kāraṇḍa­vyūha Sūtra, Toh 116), he is described as abusing his power by imprisoning the kṣatriyas, so that Viṣṇu has just cause to banish him to the underworld.| Bali wrested control of the world from the devas, establishing a period of peace and prosperity with no caste distinction. Indra requested Viṣṇu to use his wiles so that the devas could gain the world back from him. He appeared as a dwarf asking for two steps of ground, was offered three and then traversed the world in two steps. Bali, keeping faithful to his promise, accepted the banishment of the asuras into the underworld. A great Bali festival in his honor is held annually in southern India. In http://read.84000.co/translation/UT22084-051-004.html (Kāraṇḍa­vyūha Sūtra, Toh 116), he is described as abusing his power by imprisoning the kṣatriyas, so that Viṣṇu has just cause to banish him to the underworld. |Bali wrested control of the world from the devas, establishing a period of peace and prosperity with no caste distinction. Indra requested Viṣṇu to use his wiles so that the devas could gain the world back from him. He appeared as a dwarf asking for two steps of ground, was offered three and then traversed the world in two steps. Bali, keeping faithful to his promise, accepted the banishment of the asuras into the underworld. A great Bali festival in his honor is held annually in southern India. In http://read.84000.co/translation/UT22084-051-004.html (Kāraṇḍa­vyūha Sūtra, Toh 116), he is described as abusing his power by imprisoning the kṣatriyas, so that Viṣṇu has just cause to banish him to the underworld. 
འོད-མའི-ཚལ	 The park of Veṇuvana was the first settled residence specifically dedicated to the Buddhist saṅgha, offered to the Buddha by King Bimbisāra of Magadha.|The park of Veṇuvana was the first settled residence specifically dedicated to the Buddhist saṅgha, offered to the Buddha by King Bimbisāra of Magadha. 
འོད-མའི-ཚལ-བྱ-ཀ-ལན-ད-ཀ-གནས-པ	 A park or garden near Rājagṛha, the setting for a number of sūtras. The Tibetan rendering [{'od ma'i tshal}] {bya ka lan da ka} makes it clear that the Tibetans considered the kalandaka to be a kind of bird ({bya}), while Sanskrit and Pali sources generally agree that it is a kind of squirrel. It is therefore likely that this word refers to the Indian flying squirrel, Petaurista philippensis.| A park or garden near Rājagṛha, the setting for a number of sūtras. The Tibetan rendering [{'od ma'i tshal}] {bya ka lan da ka} makes it clear that the Tibetans considered the kalandaka to be a kind of bird ({bya}), while Sanskrit and Pali sources generally agree that it is a kind of squirrel. It is therefore likely that this word refers to the Indian flying squirrel, Petaurista philippensis. |A park or garden near Rājagṛha, the setting for a number of sūtras. The Tibetan rendering [{'od ma'i tshal}] {bya ka lan da ka} makes it clear that the Tibetans considered the kalandaka to be a kind of bird ({bya}), while Sanskrit and Pali sources generally agree that it is a kind of squirrel. It is therefore likely that this word refers to the Indian flying squirrel, Petaurista philippensis. 
བན-དེ	 A Middle Indic word derived from the Sanskrit bhadanta. Meaning “venerable one” it is a term of respectful title for Buddhist monks. | A term of respect for Buddhist monks: bande in Tibet and Nepal, bhante in the Pali tradition. A middle-Indic word, it is said to be derived from vande, the BHS vocative form of the Sanskrit vanda, meaning praiseworthy or venerable, although bhante is said to be a contraction of the vocative bhadante, derived from a respectful salutation. | The general term from ancient India for any member of the ordained Buddhist saṅgha.|A Middle Indic word derived from the Sanskrit bhadanta. Meaning “venerable one” it is a term of respectful title for Buddhist monks. 
བནྡྷུ	 Pentapetes Phoenicea; bandhūka flower because of its rich red color is a standard of comparison for anything colored red.|Pentapetes Phoenicea; bandhūka flower because of its rich red color is a standard of comparison for anything colored red. 
ནྱ-གྲོ-དྷའི-ཀུན-དགའ-ར-བ	 The Buddha’s father, King Śuddhodana, donated this park on the outskirts of the Śākya kingdom of Kapilavastu, in present day Nepal, to the Buddhist community.|The Buddha’s father, King Śuddhodana, donated this park on the outskirts of the Śākya kingdom of Kapilavastu, in present day Nepal, to the Buddhist community. 
སྐྱེས-བུ	A synonym for the wood splint used as a sundial to mark time in ordination ceremonies.
མི-གཡོ-བར-ཉེ-བར-འགྲོ-བ	 Of formations and modes of consciousness that lead to rebirth in the form and formless realms.\nthat leads to immovable states\nthat lead to immovable states| Of formations and modes of consciousness that lead to rebirth in the form and formless realms.\nthat leads to immovable states\nthat lead to immovable states |Of formations and modes of consciousness that lead to rebirth in the form and formless realms.\nthat leads to immovable states\nthat lead to immovable states 
མགུ-བར-བྱ-བ	 A period of penance and chastening service imposed by the saṅgha if a monk incurs a transgression whose remnant is restored by the saṅgha and fails to confess it that same day.|A period of penance and chastening service imposed by the saṅgha if a monk incurs a transgression whose remnant is restored by the saṅgha and fails to confess it that same day. 
མགུ	 A period of penance and chastening service imposed by the saṅgha if a monk incurs a transgression whose remnant is restored by the saṅgha and fails to confess it that same day.|A period of penance and chastening service imposed by the saṅgha if a monk incurs a transgression whose remnant is restored by the saṅgha and fails to confess it that same day. 
ཉེ-བར-སྒྲུབ-པ	 The rite by which one is inducted into the novitiate and confirms a candidate’s status as a novice in the Buddhist order of renunciates.|The rite by which one is inducted into the novitiate and confirms a candidate’s status as a novice in the Buddhist order of renunciates. 
བར-ཆད-ཀྱི-ཆོས	 Personal qualities or circumstances that impede the start of or success in a person’s monastic career.|Personal qualities or circumstances that impede the start of or success in a person’s monastic career. 
ཉེ-བར-འཁོར	 A great upholder of monastic discipline, who recited the vinaya at the First Council following the Buddha’s passing. | Disciple; originally the barber of the Śākya princes, ordained together with them, and noted as an expert on the Vinaya.\n(See also http://read.84000.co/translation/UT22084-060-005.html#UT22084-060-005-942). | The Buddha’s pupil who was pre-eminent in knowing the monastic rules and recited them and their origins at the first council. He had been a low caste barber in Kapilavastu, the Buddha’s home town.| The Buddha’s pupil who was pre-eminent in knowing the monastic rules and recited them and their origins at the first council. He had been a low caste barber in Kapilavastu, the Buddha’s home town. |A great upholder of monastic discipline, who recited the vinaya at the First Council following the Buddha’s passing. 
བདེ-བར-གཤེགས-པ	 An epithet of the Buddha meaning “well-gone one,” “gone to bliss,” “easily understood.” | An epithet of the buddhas meaning “one who has gone to bliss.”\nHere used also as an epithet of Buddha Śākyamuni.\nSu­gata| An epithet of the buddhas meaning “one who has gone to bliss.”\nHere used also as an epithet of Buddha Śākyamuni.\nSu­gata | An epithet of the buddhas, meaning “the blissfully gone one” or “the well gone one.” | An epithet of the buddhas. | Lit. “who goes to bliss,” a contraction of the Sanskrit sukham gatah). A name of the Buddha. | Sometimes misinterpreted as “one gone to bliss”; the su or {bde bar} is adverbial, and gata denotes a state of being rather than literal motion. Therefore it means “one who has fared well.” | Synonym for a buddha. |Synonym for a buddha. 
རྟོག-གེ-འབར-བ	 The “Blaze of Reason,” an important treatise of Bhāvaviveka’s, in which he critically discusses all the major philosophical views of his day.| The “Blaze of Reason,” an important treatise of Bhāvaviveka’s, in which he critically discusses all the major philosophical views of his day. |The “Blaze of Reason,” an important treatise of Bhāvaviveka’s, in which he critically discusses all the major philosophical views of his day. 
དཀར-བར-གནས	 Ancient Indian sage, known primarily for tales of his short temper and the curses he inflicted, hence the meaning of his name: “difficult to live with.”| Ancient Indian sage, known primarily for tales of his short temper and the curses he inflicted, hence the meaning of his name: “difficult to live with.” |Ancient Indian sage, known primarily for tales of his short temper and the curses he inflicted, hence the meaning of his name: “difficult to live with.” 
ཞི-བ-དཔའ	 In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}.| In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}. |In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}. 
ཞི-བར-དཔའ	 In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}.| In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}. |In the list of buddhas Śākyamuni received the Samādhirāja from this name appears twice, perhaps in error. Translated the first time in Tibetan as {zhi ba dpa'} and the second time as {zhi bar dpa'}. 
ཤིན-ཏུ-དུལ-བའི-སེམས	 In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}.| In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}. |In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}. 
དུལ-བར-སེམས	 In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}.| In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}. |In the list of buddhas from whom Śākyamuni received the Samādhirāja this name appears twice, perhaps in error. Translated the first time in Tibetan as {shin tu dul ba'i sems}, and the second time as {dul bar sems}. 
ཉེ-འཁོར	 The Buddha’s pupil who was pre-eminent in knowing the monastic rules and recited them and their origins at the first council. He had been a low caste barber in Kapilavastu, the Buddha’s home town.| The Buddha’s pupil who was pre-eminent in knowing the monastic rules and recited them and their origins at the first council. He had been a low caste barber in Kapilavastu, the Buddha’s home town. |The Buddha’s pupil who was pre-eminent in knowing the monastic rules and recited them and their origins at the first council. He had been a low caste barber in Kapilavastu, the Buddha’s home town. 
ཤིན-ཏུ-སྦྱང-དཀའ	 The fifth bodhisattva bhūmi.| The fifth bodhisattva bhūmi. |The fifth bodhisattva bhūmi. 
རྒྱལ-བར-དཀའ-བ	 The fifth bodhisattva bhūmi.| The fifth bodhisattva bhūmi. |The fifth bodhisattva bhūmi. 
བར-ཤ-ཀ	 Gardenia gummifera. A white fragrant flower that blooms in the rainy season.|Gardenia gummifera. A white fragrant flower that blooms in the rainy season. 
པར-ཤ-ཀ	 Gardenia gummifera. A white fragrant flower that blooms in the rainy season.|Gardenia gummifera. A white fragrant flower that blooms in the rainy season. 
བར-ཆད-བྱེད-པ	 In the time of the Kāraṇḍavyūha this was a group of four demons that created obstacles. This later became the name for the deity Ganesh (as a remover of obstacles), but that is not what is intended here.| In the time of the Kāraṇḍavyūha this was a group of four demons that created obstacles. This later became the name for the deity Ganesh (as a remover of obstacles), but that is not what is intended here. |In the time of the Kāraṇḍavyūha this was a group of four demons that created obstacles. This later became the name for the deity Ganesh (as a remover of obstacles), but that is not what is intended here. 
སྒྲོན-མ-འབར-བ	 Name of the eighty-ninth meditative stability.| Name of the eighty-ninth meditative stability. |Name of the eighty-ninth meditative stability. 
ལྟ-བར-གྱུར-པ	 Also translated here as “false view.” | Also translated here as “opinion.”| Also translated here as “opinion.” |Also translated here as “false view.” 
དཔའ-བར-འགྲོ-བ	 Name of the first meditative stability.|Name of the first meditative stability. 
འབྱུང-བར-འགྱུར	 Also translated here as “emerge.”| Also translated here as “emerge.” | Also translated here as “occur.” |Also translated here as “occur.” 
ལྟ-བར-འོས-པ-དག	 Twentieth of the eighty minor marks.|Twentieth of the eighty minor marks. 
འཚོ-བའི-བར-དུ-བཅང-བ	 There are no limits to the length of time monks are permitted to keep medicine proper. Hence those compounds commonly understood to be medicine proper are literally called “kept lifelong,” that is “lifelong medicines.” These are aimed at combating illnesses that arise from the confluence of factors such as bile, phlegm, and wind. The texts describe these medicines as being made from roots, stems, leaves, flowers, fruits and other plant materials.|There are no limits to the length of time monks are permitted to keep medicine proper. Hence those compounds commonly understood to be medicine proper are literally called “kept lifelong,” that is “lifelong medicines.” These are aimed at combating illnesses that arise from the confluence of factors such as bile, phlegm, and wind. The texts describe these medicines as being made from roots, stems, leaves, flowers, fruits and other plant materials. 
གཞི-ནས-མགུ-བར-བྱ-བ	 Imposed on a monk who incurs a second similar transgression whose remnant is restored by the saṅgha while serving his probation.| Imposed on a monk who incurs a second similar transgression whose remnant is restored by the saṅgha while serving his probation. |Imposed on a monk who incurs a second similar transgression whose remnant is restored by the saṅgha while serving his probation. 
སོ-སོར-ཀུན-དགའ-བར-བྱ	 To welcome a visitor with pleasantries.|To welcome a visitor with pleasantries. 
འདའ-བར-དཀའ-བའི-འཇིག-རྟེན	 Realm of a tathāgata.|Realm of a tathāgata. 
དཔའ-བར-འགྲོ-བའི-ཏིང-ངེ-འཛིན	 A special type of samādhi (meditative absorption).\nbrave equipoise| A special type of samādhi (meditative absorption).\nbrave equipoise |A special type of samādhi (meditative absorption).\nbrave equipoise 
བསོད-ནམས-སུ-ཉེ-བར-འགྲོ-བ	 Of formations and modes of consciousness that lead to rebirth in pleasant states within the desire realm.\nthat leads to meritorious states\nthat lead to meritorious states|Of formations and modes of consciousness that lead to rebirth in pleasant states within the desire realm.\nthat leads to meritorious states\nthat lead to meritorious states 
ཉེ-བར-ལེན-པའི-ཕུང-པོ-ལྔ	 A collective name for the five impure psycho-physical aggregates: (1) physical forms, (2) feelings, (3) perceptions, (4) formative predispositions, and (5) consciousness.\nThese “acquisitive” psycho-physical aggregates (upadānaskandha, {nye bar len pa'i phung po}) denote the contaminated aggregates (sāsravaskandha, {zag bcas kyi phung po}) which emerge through the primary cause of past actions and afflicted mental states, and become the primary cause for subsequent actions and afflictions.|A collective name for the five impure psycho-physical aggregates: (1) physical forms, (2) feelings, (3) perceptions, (4) formative predispositions, and (5) consciousness.\nThese “acquisitive” psycho-physical aggregates (upadānaskandha, {nye bar len pa'i phung po}) denote the contaminated aggregates (sāsravaskandha, {zag bcas kyi phung po}) which emerge through the primary cause of past actions and afflicted mental states, and become the primary cause for subsequent actions and afflictions. 
སྡུག-བསྔལ-ལ-བདེ-བར-འཛིན-པ	 Third of the four misconceptions.| Third of the four misconceptions. |Third of the four misconceptions. 
ཙནྡན-ཨ-བར-ཏ-ཀ	 Skt. candana is sandalwood, while āvartana means “turning around repeatedly” as in a churning or grinding motion (Monier-Williams).| Skt. candana is sandalwood, while āvartana means “turning around repeatedly” as in a churning or grinding motion (Monier-Williams). |Skt. candana is sandalwood, while āvartana means “turning around repeatedly” as in a churning or grinding motion (Monier-Williams). 
རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ-ཡན-ལག-བཅུ-གཉིས	 The twelve causal links that perpetuate life in cyclic existence; starting with ignorance and ending with death.| The twelve causal links that perpetuate life in cyclic existence; starting with ignorance and ending with death. |The twelve causal links that perpetuate life in cyclic existence; starting with ignorance and ending with death. 
ཡང-གཞི-ནས-བསླང-སྟེ-མགུ-བར-བྱ-བ	 Imposed on a monk who incurs a third transgression whose remnant is restored by the saṅgha while serving his probation.| Imposed on a monk who incurs a third transgression whose remnant is restored by the saṅgha while serving his probation. |Imposed on a monk who incurs a third transgression whose remnant is restored by the saṅgha while serving his probation. 
ལྟ-བར-གྱུར-པ-དྲུག-ཅུ-རྩ-གཉིས	 These are enumerated in the Brahmājāla­sūtra and in the Dighanikāya and consist of all views other than the “right view” of the absence of self. All sixty-two fall into either one of the two categories known as the “two extremisms:” “eternalism” (sāśvatavāda) and “nihilism” (ucchedavāda).|These are enumerated in the Brahmājāla­sūtra and in the Dighanikāya and consist of all views other than the “right view” of the absence of self. All sixty-two fall into either one of the two categories known as the “two extremisms:” “eternalism” (sāśvatavāda) and “nihilism” (ucchedavāda). 
ཡང-དག-པའི-དྲན-པ-ཉེ-བར-བཞག-པ-བཞི	 Mindfulness of the body; feelings; the mind; and dharmas.| Mindfulness of the body; feelings; the mind; and dharmas. |Mindfulness of the body; feelings; the mind; and dharmas. 
བསོད-ནམས-མ-ཡིན-པར-ཉེ-བར-འགྲོ-བ	 Of formations and modes of consciousness that lead to rebirth in the three lower realms of animals, hungry ghosts, and hell beings.\nthat leads to unmeritorious states\nthat lead to unmeritorious states|Of formations and modes of consciousness that lead to rebirth in the three lower realms of animals, hungry ghosts, and hell beings.\nthat leads to unmeritorious states\nthat lead to unmeritorious states 
ངས-བར-དུ-གཅོད-པའི-ཆོས-གང-དག-བཤད-པ	 Third of the Buddha’s four assurances.| Third of the Buddha’s four assurances. |Third of the Buddha’s four assurances. 
ངེས-པའི-ཚིག-ལ-གདོན-མི-ཟ-བར-འཇུག-པ	 Name of the sixteenth meditative stability.| Name of the sixteenth meditative stability. |Name of the sixteenth meditative stability. 
ཉེ-བར-ཞི-བ-རྗེས-སུ-དྲན-པ	 Seventh of the ten recollections.| Seventh of the ten recollections. |Seventh of the ten recollections. 
སྟོང-གཉིས-པ-བར-མའི-འཇིག-རྟེན-གྱི-ཁམས	 A series parallel worlds comprising one thousand chiliocosms, according to traditional Indian cosmology.|A series parallel worlds comprising one thousand chiliocosms, according to traditional Indian cosmology. 
ཕྱག-གི-རི-མོ-བར-མ-ཆད-པ	 Thirty-second of the eighty minor marks.|Thirty-second of the eighty minor marks. 
ཕྱག-དང-ཞབས-ཀྱི-མཚན-དཔལ-གྱིས-འབར-བ	 Seventy-seventh of the eighty minor marks.\n(See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-403).|Seventy-seventh of the eighty minor marks.\n(See also note http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-403). 
མི-གཙང-པ-ལ-གཙང-བར-འཛིན-པ	 First of the four misconceptions.| First of the four misconceptions. |First of the four misconceptions. 
འོད-ཀྱིས-གསལ-བར-མཛད-ཅིང-གཤེགས-པ	 Sixty-fourth of the eighty minor marks.| Sixty-fourth of the eighty minor marks. |Sixty-fourth of the eighty minor marks. 
ཤིང-ཤུན	Cloth made from the bark of the valkala tree was worn by Indian ascetics but forbidden to Buddhist monks and nuns.
རྫུ-འཕྲུལ-གྱི-རྐང-པ	 Determination, discernment, diligence, and meditative concentration. | Four qualities of the samādhi that have the activity of eliminating negative factors: aspiration, diligence, contemplation, and analysis. | See “four supports for miraculous ability.”\nsupports for miraculous abilities\nsupport for miraculous abilities\nsupports for miraculous ability| See “four supports for miraculous ability.”\nsupports for miraculous abilities\nsupport for miraculous abilities\nsupports for miraculous ability | The four bases of supernatural powers (ṛddhipāda, {rdzu 'phrul gyi rkang pa bzhi}i) are: 1) concentration through will (chanda, {'dun pa}); 2) concentration through vigor (vīrya, {brtson 'grus}); 3) concentration through the mind (citta, {bsam pa}); 4) concentration through investigation (mīmāṃsā, {dpyod pa}). See Rahula 2001: 163. |Determination, discernment, diligence, and meditative concentration. 
བསླབ-པའི-གཞི-རྣམས	These basic precepts are five in number for the laity: (1) not killing, (2) not stealing, (3) chastity, (4) not lying, and (5) avoiding intoxicants. For monks, there are three or five more; avoidance of such things as perfumes, makeup, ointments, garlands, high beds, and afternoon meals.
བསླབ-པའི-གཞི-ལྔ	 Abstaining from killing, stealing, sexual misconduct, lying and intoxication.|Abstaining from killing, stealing, sexual misconduct, lying and intoxication. 
ཡི-གེའི-ཕི-མོ	 basic syllables|basic syllables 
ཨ-རྫ-ཀ	Ocimum basilicum. Commonly known in India as tulsi. A sacred plant in the Hindu tradition.
ཨརྫ-ཀ	Ocimum gratissimum.
འདོད-ཆགས-ཀྱི-གཞི-ཅན	 basis of desire| basis of desire |basis of desire 
ཞེ-སྡང-ཀྱི-གཞི-ཅན	 basis of hatred| basis of hatred |basis of hatred 
ལྟ-བའི-རྣམ-པའི-གཞི-ཅན	basis of the variety of false views
རླངས-པ	 One of the Five Excellent Companions, with whom Siddhārtha Gautama practiced asceticism near the Nairañjanā River and who later heard the Buddha first teach the Four Noble Truths at the Deer Park in Sarnath. | One of the first five disciples of the Buddha.| One of the first five disciples of the Buddha. | One of the five companions of Śākyamuni in asceticism and later one of his first five pupils, attaining the state of a stream entrant. After the Buddha’s death he is said to have headed the great council of ten thousand that established a canon of the Buddha’s teachings (while Kāśyapa was the head of a smaller council elsewhere who did the same). |One of the Five Excellent Companions, with whom Siddhārtha Gautama practiced asceticism near the Nairañjanā River and who later heard the Buddha first teach the Four Noble Truths at the Deer Park in Sarnath. 
ག-ར-ཀ	Dalbergia lanceolaria.
བ-ཊུ-ཀ	 This seems to be either another name for Caṇḍa­mahā­roṣaṇa, or an epithet referring to him, meaning “youth”.|This seems to be either another name for Caṇḍa­mahā­roṣaṇa, or an epithet referring to him, meaning “youth”. 
བཱ-གུ-ཙི	 Psoralea corylifolia , Psoralea plicata, Vernonia anthelmintica.|Psoralea corylifolia , Psoralea plicata, Vernonia anthelmintica. 
ཏ-མ-ལའི-འདབ-མ	Cinnamomum tamala, which is specifically the Indian bay leaf. Called tamalpatra in Marathi, and tejpatta in Hindi. The Sanskrit and Marathi means “dark-tree leaves.” Also called Malabar leaves, after the name of the northern area of present-day Kerala in southwest India.
འོད-བྱེད-པ	 The third bodhisattva level.|The third bodhisattva level. 
ཟླ-བ-བཟང-པོ	 Name of the fourth meditative stability.| Name of the fourth meditative stability. |Name of the fourth meditative stability. 
སྤྱོད-ལམ-ཕུན-སུམ-ཚོགས-པ	Eighteenth of the eighty minor marks.\nbehavior is excellent
སེམས-པ-ཆེན-པོ	 An alternate name for a bodhisattva.| An alternate name for a bodhisattva. |An alternate name for a bodhisattva. 
