འམ	[C]vA; [C]athavA-api
བྱང-བར-བྱའི-སྒོམ-པ	[MV]vyutpatti-bhAvanA
བྱས	kRta; [MSA]kArita; [C]saMskRta
བྱས-པ	kRta; [LCh,MSA]kRta; [MSA]AkRti; [MV]sgyu ma byas pa = mAyA-kRta; [MV]bshad pa ... byas pa = vyAkhyAm ... upanibadhya
བྱས-པ-ཅན	kRtakas
བྱས-པ-གཟོ	[C,MSA]kRta-jJatA; [C]kRta-vedin
བྱས-པ-རྟོགས-པའི-ས	[LCh,C]kRtAvi-bhUmi; kRta-vikalpa-bhUmi (?)
བྱས-པ-ཤེས-པ	[C]kRta-jJatA
བྱས-པ-བསྲང-བའི-ས	[LCh]kRtAvi-bhUmi; kRta-vikalpa-bhUmi (?)
བྱས-པའི-ས	kRtAvi-bhUmi
བྱས-ནས-རིང-མོ-ཞིག-ལོན-པ	[MSA]cira-kRta
བྱེ-བ	koTi; [C]koTi
བྱེ-བྲག	bheda. vizeSa; [LCh,MV]bheda. vizeSa; [L]viziSTa; [C]prativizeSa; [C]vizeSatA; [LCh,MSA,C]bheda. vizeSa [C](=dharma-bheda. vizeSa); [C]nAnAtva; [C]prakAra
བྱེ-བྲག-མེད	[C]nirvizeSa
བྱེ-བྲག-པ	vaizeSika
བྱེ-བྲག-གི-མཚན-ཉིད	[L] vizeSalakSaNa
བྱེ-བྲག-ཤེས-པ	[C]vizeSa-grahaNa
བྱེ-བྲག-མེད-པ	[C]nirviziSTa; [C]nirvizeSatA
བྱེ-བྲག-མེད-པར	[MSA]abhedanA
བྱེ-བྲག-མ-མཆིས-པ	[L]abheda(tva)
བྱེ-བྲག-གྱུར-པ	[C]viprayukta
བྱེ-བྲག-ཏུ-ཤེས	[MSA]vyutpatti; [MSA]vyutpanna
བྱེ-བྲག-ཏུ-བརྟགས-པ	[C]vyavacArayati
བྱེ-བྲག-ཏུ-མི-ཤེས-པ-དང-ཐེ-ཚོམ-ཟ-བར-དོན-འཛིན-དུ-འཇུག-པ	[MSA]avyutpanna-saMdigdhArtha-grAhaNa
བྱེ-བྲག-ཏུ-ཤེས-པར-བྱེད-པ	[MSA]vyutpAdana
བྱེ-བྲག-ཏུ-ཤེས-པར-བྱ-བ	[MSA]vyutpAdya
བྱེ-བྲག-འབྱེད-པ	[L]nitIraNa
བྱེ-བྲག-ཕྱེད-པ	mata; [L]mata
བྱེ-བྲག-སྨྲ-བ	vaibhASika
བྱེ-བྲག-སྨར-བ	vaibhASika
བྱེ-བྲག-བྱེད-པ	[C]mata
བྱེ-བ-ཁྲག-ཁྲིག-བརྒྱ-སྟོང	[C]koTi-niyuta-zatasahasra
བྱེད	(√kR): [MV]karoti; [C]kariyAti; [C]kAra; [MSA]kara (e.g.: kRtya-kara); [MSA,MV]karaNa [MSA](e.g.: kRtya-karaNa); [MSA]kartR; [MSA]kArikA; [MSA]kRta; [MSA](pra √kR): prakurvanti; [MV]kriyate (vikalpaH-); [MSA]phan byed = hitAdhAna
བྱེད-མེད	[C]akRtakatva
བྱེད-མིན	[C]akAra
བྱེད-པ	karaNa. kriyA; (√kR): [C,MSA,MV]karoti; [C]kriya; [C,MV,MSA]karaNa. kriyA; [C]kartR; [C]kArayati; [C]kAritra; [C]-kRt; [MSA]kara (e.g.: hita-kara); [MSA]karin (e.g.: prabhA-kara); [MSA,MV]karaNa. kriyA (e.g.: Asthita-karaNa. kriyA); [C]gaveSate; [C]dhArayati; [MSA]AcaraNa (e.g.: sattvArthAcaraNa); [MSA]praNayana; [MSA]prayatna; [MSA]vyApAra; [MSA]sthApanA
བྱེད-རྒྱུ	karaNa-hetu
བྱེད-རྒྱུ-བཅུ	[MV]daza kAraNAni
བྱེད-དུ-འཇུག-པ	[C]kArayitA
བྱེད-དུ-འཇུག-པོ	[C]kArapaka
བྱེད-པོ-མིན	[MSA]akartRtva
བྱེད-པོ-ཉིད	[C]kartR
བྱེད-པ-པོ	kartR. kAraka; [C,MSA]kartR. kAraka; [C,MSA]kartR. kAraka; [C]pazyaka
བྱེད-པ-མེད-པ	[C]kriyArahita; [C]nirIhaka; [C]nizceSTa; [C]nizceSTatva; [MSA]niSprayatna
བྱེད-པ-པོ-ནི-མི-དམིགས-སོ	[MSA]kArakas tu nopalabhyate
བྱེད-པ-པོ-དང-ཟ-བ-པོ-དང-ཤེས-པ-པོ-དང-གྲོལ-བ-པོ	[MSA]kartA bhoktA jJAtA moktA ca
བྱེད-པ-པོ-དང-བྲལ-བ	[C]kAraka-virahita
བྱེད-པ-པོ-དང-ལས-དང-བྱ-བ-རྣམས-མི-དམིགས-པའི-ཕྱིར	[MSA]kartR-karma-kriyANAM anupalambhAt
བྱེད-པ-པོ-མ-མཆིས-པ	[C]akAraka
བྱེད-པ-དང-བཅས-པ	[MSA]saprayatna
བྱེད-པ-དེ-ལ	[C]karamANu
བྱེད-པ-མ-མཆིས-པ	[C]nirvyApAra
བྱེད-པ-ལ-སྒྲོ-འདོགས-པ	[MV]kriyA-samAropa
བྱེད-པ-ལ-སྐུར-པ-འདེབས-པ	[MV]kriyApavAda
བྱེད-པ-བྱས-པ	[C]kRta-karaNIya
བྱེད-པར-རྟོག-པ	[MV]vyApAra-kalpana
བྱེད-པར-འཛིན-པ	[MV]kartRtva-grAha
བྱེད-པའི-མཐུ-མེད-ཅིང	[C]akiMcit-samartha
བྱི-དོར-བྱས	[C]mRSta
བྱིན	[MSA]datta; [MSA]dadat (e.g.: pareSAM bhojanaM dadat)
བྱིན-ནས	dattvA; [C]dattvA
བྱིན-པ	pradAna; [C]pradAna; [MV]dAna
བྱིན-བརླབས-པ	[C]adhiSThAna
བྱིན-པ-ཨེ-ཎ-ཡའི-འདྲ	[C]aiNeyajaGgha
བྱིན-རླབས-ཅན	[C]adhiSThAna
བྱིན-གྱིས-བརླབས	[C]adhiSThAna; [C]adhiSThita
བྱིན-གྱིས-རློབ	[LCh]adhitiSThati; [C]adhiSThAna
བྱིན-གྱིས-བརླབ-པ	[C]adhiSThAna
བྱིན-གྱིས-ཕྲ-བ	[C]anupUrva; [C]anupUrvIM gata
བྱིན-གྱིས-བརླབས-པ	[LCh,C]adhisthana
བྱིན-གྱིས-རླབས-ཅན	[C]adhiSThAna
བྱིན-གྱིས-རླབས-ཤིང-བབས-པར-གྱུར	[C]adhiSThita
བྱིན-གྱིས-རློབས-ཀྱིས-སྤྱོད	[C]adhiSThAna-cArI
བྱིན-གྱིས-རློབ-པ	[C,MSA]adhiSThAna
བྱིན-གྱིས-རློབ-པར-བྱེད	[C]adhitiSThati
བྱིན-ཆུང-བ	[C]alpa-sAra
བྱིན-བྲ-བ	[C]hApayati
བྱིང	[L]styAna; [L]nimajja; [MV]laya; [MSA]datta
བྱིང-བ	nimagna. laya; [LCh,N]nimagna. laya; [N]nimagna. laya; [C]saMsIdamAna; [C]saMsIdan
བྱིང-བ-དང-རྒོད-པ	[MV]layauddhatya
བྱིངས	[LCh]dhAtu
བྱིས-པ	bAla; [LCh,C,L,MSA]bAla [C](=padArtha-svarUpa-aparijJAnAd = bAla-pRthagjanA)
བྱིས-པ-སོ-སོའི-སྐྱེ-བོ	[C]bAla-pRthag-jana (=sAMklezika-dharma-yogAd bAlAH. vaiyavadAnika-dharma-viharAt pRthagjanAH)
བྱིས-པའི-ཆོས	[C]bAla-dharma
བྱོལ-སོན-གི-སྐྱེ-གནས-པ	[C]tiryag-yonika
བྱོལ-སོང-གི-སྐྱེ-གནས	[C]tiryag-yoni
བྱུག-པ	vilepana; [C]vilepana
བྱུང	[MV]utpAda; [C]niryAta; [MSA]udbhava; [MSA]niHsara; [MV]pratyaya (tat-); [MV]maya; [MV]jAta; [C]nirjAta; [C]samutthita; [C]adhyApadyate; [MSA]rmad byung = adbhuta
བྱུང-བ	utpanna. utpAda; [C,L]utpanna. utpAda; [MV]utpanna. utpAda; [C]upasaMkrAnta; [L]mayi; [MSA]maya (e.g.: zrUta-cintA-bhAvanA-maya); [C]prApya; [C]sambhava; [MSA]pravRtti; [MSA]viniHsRti; [MV]pratyaya (tat-); [MSA]rgyus byung ba = anvaya
བྱུང-གྱུར	[C]samutpAda
བྱུང-ནས	[MV]jAta
བྱུང-ནས-འཇིག-ཅིང-འཇུ-བ	[C]utpanna-bhagna-vilInatA
བྱུང-བར-གྱུར-ན	[C]pratyupasthita (bhavati) (=abhimukhIbhUta)
བྱུང-བར-གྱུར-ཏེ	[C]nizcarati
བྱུང-བར-བྱེད-པ	[MSA](vy-ut √pad): vyutpAdayanti
བྱུང-བ-མ-ཡིན	[C]asaMbhUta
བྱུང-བ-ཆེན-པོ	[C]mahA-bhUtAni
བྱུངས-ཏེ	[C]nizcarati
བྱུར-བུར	[C]cUDika-baddhaH (=zikhA-paryanta-karaNAd)
བྱུར-བྱུར	[C]cUDi-baddha
བཟའ-བ	anna
བཟའ-བ-སྟོང-པ-ཉིད	[MV]bhojana-zUnyatA
བཟའ-བ-དང-བཅ-བ-དང-བཏུང-བ-ཞིམ-ཞིང	[C]azita-pIta-lIDha-khAdita-AsvAdita
བཟང	bhadra; [LCh,C]bhadra; [C]zubha (=prazasta); [MSA]su-; [C]cAru
བཟང-བ	[MSA]sAdhu
བཟང-པོ	praNIta; [LCh,L]bhadra; [C]praNIta; [MSA]prazasta; [MSA]zubha; [MSA]zobhana; [MSA]su- (e.g.: su-bhaiSajya; su-mUla)
བཟང-ལམ-པ	bhadrayAnIya
བཟང-པོའི-གནས-སུ-སྐྱེས-པ	[MSA]jAtaH sv-Ayatane
བཟང-ཟ-བ	[C]praNIta
བཟང-བར-དུ	[MSA]upAdAya yAvat
བཟང-པོ-བས-ཆེས-བཟང-པོ	[L]bhadreSu bhadratama
བཟང-པོ-སྤྱོད-པའི-སྨོན-ལམ-གྱི-རྒྱལ-པོ	bhadracaryA-praNidhAna-rAja
བཞད-གད	hAsya; [C]hAsya
བཞད-གད-བྱེད-ཅིང	[C]upahasan
བཞག	[C]prajJapyate; [C]sthApayati; [MSA](upa-ni-vi √dhA)
བཞག-ཅིང	[C]niHkSipan
བཞག-ནས	[C]AdhAya
བཞག-པ	[C]nikSipati (=pAtayati)
བཞག-པར-བྱ-བ	[C]prakSipati
བཞེད	[LCh,C]iSyate; [C]iSTa; [C]abhimata; [C]mata; [MSA]abhipreta
བཞེད-པ	[MV]iccha
བཞེངས	vyutthAya
བཞེངས-པ	[C]vyutthAya
བཞེངས-ཏེ	[C]vyutthAya
བཞི	catur; [MSA]catur; [MSA]catvAri
བཞི-པ	caturtha; [MSA,MV]caturtha [MSA](e.g.: dhyAna-caturtha); [MV]caturthI
བཞི-པོ	catur; [MV]catur; [MV]catuSTaya
བཞིན	mukha; [C]sadRza; [C]mukha (=razmi-mukha); [MSA]prakhya (e.g.: kUrma-prakhya)
བཞིན-དུ	[L,MSA]yathA; [C]tulya
བཞིན-གྱི-མདོག	[C]mukha-varNAH
བཞིན-གྱི-མདོག-ཀྱང-འགྱུར-བས	[C]dahyati
བཞིར	catur
བཞོན-པ	yAna; [C,MSA]yAna
བཞུགས	[C]viharati
བཞུགས-པ	[C]sthita; [MSA]vasati (e.g.: tuSita-bhavane vasati)
བཞུགས-ཏེ	[C]vitiSThamAna
བཟླས-བརྗོད	jApa; [LCh]jApa; japa
བཟློག	[MSA]vyAvRtti; [C]nivArita (=anAvaTa)
བཟློག-གི	[C]vArayAmi
བཟློག-ནས	[MSA]vyAvartya (e.g.: dhyAnAni-vyAvartya)
བཟློག-ཉིད	[C]viparyaya
བཟློག-པ	viparyaya; [L]viparItam; [C]anavanirvRtta; [C]vinivRtti; [N]nirvRtta; [C]nivAraNa; [MSA]AvRtti; [MSA,MV]viparyaya
བཟློག-པར-བྱ	[C]nivArayitavya
བཟླུམས-པ	[L]piNDa
བཟོ	zilpa; [C,MSA,MV]zilpa
བཟོ-བ	[MSA]nipuNa
བཟོ-སྦྱངས	[C]zreNika
བཟོ-ཤེས	[MV]zilpa-jJatA
བཟོ-སྟོན-པ	zilpa-darzana
བཟོ-གནས-མང-པོ	[C] pRthu-zilpa-yukto
བཟོའི-གནས	zilpa-sthAna; [C]zilpa-sthAna
བཟོའི-གནས-དང-ལས-ཀྱི-གནས	[C] zilpa-sthAna-karma-sthAnAni
བཟོད	[L]kSAnti; [C]kSama; [C]kSamate; [MV]kSamA; [C]sahate; [C,L,MV]marSaNa; [MSA]marSa
བཟོད-བྱེད	[C]kSamamANu
བཟོད-པ	kSamaNa. kSama. kSamA. kSAnti; [LCh,C,MSA,MV]kSamaNa. kSama. kSamA. kSAnti; [C,MSA]kSamaNa. kSama. kSamA. kSAnti; [C]kSamaNa. kSama. kSamA. kSAnti; [MSA]kSamaNa. kSama. kSamA. kSAnti; [MSA]kSamatva; [MSA]marSaNa; [MSA]adhivAsanA; [C]kSamamANu
བཟོད-ཤེས	[C]dharma-jJAna-kSAnti; a[C]nvaya-jJAna-kSAnti
བཟོད-པའི-ཕ-རོལ-ཏུ-ཕྱིན-པ	kSAnti-pAramitA; [MSA]kSAnti-pAramitA
བཟོད-པའི-མཐུ-ལ-གནས-པ	[C]kSAnti-bala-pratiSThAna
བཟོད-པའི-གནས-སྐབས	[MSA]kSAnty-avasthA
བཟོད-པའི-ཚོགས-ཀྱི-རྒྱུ-མཚན-ཡིན-པ	[MSA]kSAnti-saMbhAra-nimittatva
བཟོད-ཅིང-སྲེད	[C]rocayati
བཟོད-བྱས-ནས	[C]kSamate
བཟོད-པ-འཐོབ	[MSA]kSAnti-lAbha
བཟོད-པ-ཉིད	[MSA]sahiSNutA
བཟོད-པ-ཕུན-སུམ-ཚོགས-པ	[C]kSAnti-sampanna
བཟོད-པ-ལ-དགའ-བ	[MSA]kSAnti-priya
བཟོད-པ-ཆེ-བ	[MSA]mahAdhivAsanA
བཟོད-པ-སྨྲ-བ	[C]kSAnti-vAdin
བཟོད-པ-བླ-ན-མེད-པ	[MSA]kSAnti ... anuttarA
བཟོད-པ-དང-ཤེས-པ	[C]kSAnti-jJAna-
བཟོད-པ-དང-ལྡན-པ	kSamAvat; [MSA]kSamAvat; [MSA]kSAntimat
བཟོད-པ-ཡོངས-སུ-སྨིན-པའི-མཚན-ཉིད	[MSA]kSAnti-paripAka-lakSaNa
བཟོད-པར-འགྱུར	[MSA]kSamo bhavati
བཟོད-པར-བྱ-བ	[MSA]kSamitavya
བཟུང	[L]gRhIta; [C]upAdatta
བཟུང-འཛིན	grAhya-grAhaka
བཟུང-བ	udgRhIta; [C]udgraha; [C]gRhIta; [MSA]grAhya; [MSA]ji snyed bzung ba = yAvad-udgRhIta; [MSA]yang dag par bzung ba = saMdhAraNa
བཟུང-ནས	[C]udgRhNAti
བཟུང-རྣམ	grAhya-AkAra
བཟུང-སྟེ	upAdAya; [C]Arabhya; [C,MSA](upA √dA): upAdAya [C](=adhikRtya)
བཟུང-ཡུལ	grAhyaviSaya
བཟུང-འཛིན-རྫས-ཐ-དད-ཀྱིས-སྟོང-པ	*grAhyagrAhakadravyabhedazUnya
བཟུང-འོས-པ	Adeya
བཟུང-བར-འོས-པ	Adeya; Adeyatva
ཅང-མི-སྨྲ-བར-འདུག	[C]tUSNIMbhAvena-atinamayati
ཅང-ཤེས-པ	[C,L]AjAneya
ཅེ-ན	[Ch]iti; [LCh]ced; iti cet
ཅེས	iti
ཅེས-བརྗོད	[C]ucyate
ཅེས-བྱ	[C]nAman
ཅེས-པ	iti
ཆ	kalA. pratirUpa. bhAga; [LCh]aMza; [LCh]kalA. pratirUpa. bhAga; [C,MSA]kalA. pratirUpa. bhAga; [C]deza; [L]tamA; [L]tamI; [C]kalA. pratirUpa. bhAga; [MSA]tulya; [MSA]zrutka
ཆ-བྱད	[C]veSeNa
ཆ-ཅན	aMzaka
ཆ-གཅིག	[MSA]ekAmza
ཆ-མཐུན	bhAgIya
ཆ-ཤས	avayava; [LCh]avayava
ཆ-ཤས-ཅན	avayavin
ཆ-ཤས-མེད-པ	nir-avayava
ཆ-བྱད-དུ	[C]veSa
ཆ-བྱད-དུ-བཅོས-པར	[C]veSa
ཆ-བྱད-དུ-བསྒྱུར-ཅིང	[C]veSa
ཆ-དང-མཐུན	[L]pakSya
ཆ-དང-མཐུན-པ	bhAgIya; [MV]bhAgIya
ཆ-དང-ལྡན-པ	[L]bhAgIya
ཆའོ	[C]pratirUpa
ཆབ-མ	[L]ghRta
ཆབ-རྙོག-པ	[L]Avilaugha
ཆབ-རྙོག-པ-ཅན-མཆིས-པའི-སྣོད	[L]Avilaugha-bhAjana
ཆད	[C] uccheda; ucchitti
ཆད-མཐའ	ucchedAnta
ཆད-པ	uccheda; [C,MV]uccheda; [C]ucchedatA; [C]ucchidyate
ཆད-པར-བགྱིད-པ	[C]ucchedika
ཆད-པར-ལྟ-བ	uccheda-darzana
ཆད-པར-འགྱུར-བ	[C]chidyate
ཆད-པར-སྨྲ-བ	ucchedavAdin
ཆད-པ-མེད	[C]anuccheda
ཆད-པ-མེད-པར-འཇུག-པ	niSchidravAhana ; nizchidravAhana
ཆད-པའི-མཐའ	ucchedAnta
ཆད-ལྟ-སྨྲ-བ	ucchedavAdin
ཆག-གྱུར-ལ	[C]praluptikAye (=bhinnAyAm)
ཆགས	[C]rAga; [MSA]AsaGga; [MSA]lobha; [MSA]zur chags = apa-; [C]sajjate
ཆགས-བཅས	[C]sa-rAga
ཆགས-བྲལ	kAmAd virakta
ཆགས-མེད	[C]nirUpalepa (=nirupalepa)
ཆགས-པ	[LCh]rAga; [C]lubdha; [C]lepa; [C]SaGga (=saMyoga); [C,MSA]sakta; [C,MSA,MV]sakti; [C]sajjati (=abhinivezate); [C]parAmRzati (=mA rUpa-Ady-abhiniveza-yogena grahIr ity); [C]asakta; [MSA]Asakti; [MSA]kRpaNA; [MSA]kRpaNa; [MSA]bhakta; [MSA]lAbha; [MSA]saGgatA; [C]adhyavasita; [C]nizrayu; tRSNa
ཆགས-སེམས	[C]abhidhyA
ཆགས-ཤིང	[C]sajjate; [C]AlIna
ཆགས-སྤངས	[C]anAsaMga
ཆགས-པའི-མཐའ	[C]saMga-koTi
ཆགས-པའི-ཡིད	[C]sakta-manasA
ཆགས-པ-མེད	[C]anopalipta; [MSA]sakta (na-); [MSA]niHsaGgatA. [C]parAmRSati (=mA rUpa-Ady-abhiniveza-yogena grahIr ity)
ཆགས-པ-མི-མངའ-བ	[C]asaMga; asaGga
ཆགས-པ-མེད-པ	[C]nirupalepa; [C]asakta; [C]asaGga; [C]asaNgatA
ཆགས-པ-མེད-པ-ཉིད	[C]asaGgatA
ཆགས-པ-གཅོད-བྱེད	[C]saMga-cchedI
ཆགས-པ-ཐམས-ཅད-དང-བྲལ-བ	[C]sarva-saMga-vigata
ཆགས-མེད-གྱུར	[C]asaGga-bhUta
ཆགས-པར-འགྱུར	[C]sajyate; [C]anunIyate
ཆགས-པར-བྱའོ	[C]sajjitavya (=saktiH kAryA)
ཆགས-པར-འགྱུར-བཞིན	[C]anunIyate; [C]anuneSyate
ཆགས-པར-གྱུར-ཏེ	[C]saMkSati(?) (=pratihanyate = sajjasyati)
ཆགས-པར-བྱེད-པ	[C]pratidezayati (=gRhIta-bodhicitta-parityAgAt = pratyApatti-balAt = kRta-pApadezanAn)
ཆང	madya; [MSA]madya
ཆང-པ-སྟོང-པ	[C]rikta-muSTi
ཆར	[L]yugapad; [L]tamA; [L]tamI; rain; [MSA]ambu-varSa
ཆར-དག	[C]varSa
ཆར-གཅོད	[C]nigRhNAti (=mandatAm ApAdayati)
ཆར-ཕབ	[C]varSati
ཆར-མི-ཕྱོད	[C]kalApi
ཆར-རྒྱས-པར	[C]vaistArika
ཆར-ཡང-ཕབ-བོ	[C] varSati
ཆེ	[MSA]mahat; [C]prAjya; [MSA]shin tu sbyangs pa che = tanuka ... prazrabdhi
ཆེ-བ	adhimAtratva. adhimAtra; [LCh]mahat; [L]mahant; [MSA]mAhAtmya; [LCh]mahA; [C]vipula; [MSA]adhimAtratva. adhimAtra; [MSA]adhimAtratva. adhimAtra; [MSA]tIvra
ཆེ-བ-ཉིད	[MSA]mAhAtmya
ཆེ-ཡུན-རིང	[C]cira
ཆེ-བའི-ང-རྒྱལ	atimAna; [L]atimAna
ཆེ-བའི-ལྷག-པའི-བསམ-པ	[C]mAhAtmya-AdhyAzaya
ཆེད	[MSA,MV]adhikAra; [MSA]Adhipateya; [MSA]adhipateya; [MSA]nimitta
ཆེད-བཞིན	[C]yathoddezam
ཆེད-དུ	[LCh,MSA]arthaM; [C]kRte
ཆེད-དུ-བསམས	[C]saMcintya
ཆེད-དུ-བྱ	[C]samuddeza; [C]uddeza; [MV]adhikAra
ཆེད-དུ-བརྗོད-པ	[C] uddAna
ཆེད-དུ-བརྗོད-པའང-ཆེད-དུ-བརྗོད-པ-ར-མཛད-པ	[C]udAnam udAnayati
ཆེད-དུ-བརྗོད-པའི-སྡེ	udAna; [L]udAna
ཆེད-དུ-ཅི-ཕྱིར	[C]nidAna
ཆེད-དུ-བྱ-བ	[MV,MSA]adhikAra
ཆེན	[MSA]ucca; [MSA]dIrgha; [MSA]pratata; [MSA]mahat
ཆེན-པོ	ghana. mahattva. mahat. mahA. adhimAtra; [LCh,L]ghana. mahattva. mahat. mahA. adhimAtra; [LCh,MSA]ghana. mahattva. mahat. mahA. adhimAtra; [C]mahattA; [C]ghana. mahattva. mahat. mahA. adhimAtra; [MSA]mahatI; [C,MSA]ghana. mahattva. mahat. mahA. adhimAtra; [MSA]adhimAtratA; [MSA]ghana. mahattva. mahat. mahA. adhimAtra
ཆེན-པོའི-འབྲིང	adhimAtramadhya
ཆེན-པོའི-ཆུང-ངུ	adhimAtramRdu
ཆེན-པོའི-ཆེན-པོ	adhimAtrAdhimAtra
ཆེན-པོ-ཉིད	[MSA]adhimAtratva
ཆེན-པོ-ཡི-ཆེན-པོ	[C]adhimAtra-adhimAtra
ཆེན-པོ-སྟོང-པ-ཉིད	[C,MV]mahA-zUnyatA
ཆེན-པོ-ཉིད-རྣམ-པ-བདུན	[MSA]mahattva (sapta-vidha-)
ཆེན-པོར-བགྱིད	[C]mahat-karoti
ཆེན-པོར-མི-བགྱིད	[C]mahat-karoti
ཆེན-པོར-གྱུར-པ	mahad-gata; [C]mahad-gata
ཆེར-གཅད-པ	[C]nigraha
ཆེར-གྱུར-པ	[MV]adhimAtra
ཆེས	tara; [LCh] -tara
ཆེས-མཆོག	[C]para
ཆེས-ཁྱད-པར-དུ-འཕགས-པ	[MSA]viziSTatara
ཆོ-འབྲང	[C]gotra
ཆོ-འཕྲུལ	prAtihArya; [C,MSA]prAtihArya; [MSA]pratihArya
ཆོ-ག	vidhi; [L]vidhi
ཆོད-པར	[C]Acchettum
ཆོག-འཛིན	[MSA]tuSTi
ཆོག-པ	[L]saMtuSTi
ཆོག-ཤེས	[C]tuSTi
ཆོག-ཤེས-པ	saMtuSTa. saMtuSTi; [C]saMtuSTa. saMtuSTi; [C,MSA]saMtuSTa. saMtuSTi; [C]saMtuSTitA
ཆོག-པ-ཤེས-པ	[L]saMtuSTi
ཆོག-པ-འཛིན-པ	[L]saMtuSTi
ཆོག-པར-འཛིན-པ	saMtuSTa. saMtuSTi; [C]saMtuSTa. saMtuSTi; [L]saMtuSTa. saMtuSTi; [MSA]saMtuSTatva
ཆོག-པར-འཛིན-པའི-གཉེན-པོ-ཡིད-ལ-བྱེད-པ-བསྒོམ-པ	[MSA]saMtuSTi-prAtipakSika-manaskAra-bhAvana
ཆོག-མི-ཤེས	[MSA]vitRpta
ཆོག-མི-ཤེས-པ	[C]Asecanaka
ཆོག-མི-ཤེས-པའི-བརྩོན-འགྲུས	[MSA]asaMtuSTi-vIrya
ཆོམ-རྐུན	caura; [C]caura
ཆོམ-པོ-ཡིད-ལ-བགྱིད-པ	[C]cora-manasikAra
ཆོམ-རྐུན-གྱི-གནས-དགོན-པའི-ནང-དུ-སོང-སྟེ	[C]madhya-gata
ཆོས	dharmatA. dharma; [MSA,MV]dharmatA. dharma; [TN,MSA]dharmatA. dharma; [MSA]dharama. ... smos: [MSA]dharmatA. dharma ... sUcana
ཆོས-འདོད	[C]dharma-kAma
ཆོས-འཕགས	[L]dharmodgata
ཆོས-བཟོད	dharmakSAnti
ཆོས-ཅན	[C]dharmin
ཆོས-དབྱིང	dharma-dhAtu
ཆོས-དབྱིངས	dharmadhAtu
ཆོས-དཀར	[MSA]zukla-dharma; [MSA]zukla ... dharma
ཆོས-གོས	cIvara; [MSA]cIvara
ཆོས-ཀུན	[MSA]sarva-dharma
ཆོས-ཀྱི	[C]dhArmika
ཆོས-མཆོག	dharmottara; [C]agradharma; [C] agradharma gata; laukikAgradharma; agryadharma
ཆོས-མཛོད	[C]dharma-koSa
ཆོས-མིན	[C]adharma
ཆོས-མིང	[C]dharma-nAma
ཆོས-མངོན	[MSA]abhidharma
ཆོས-ཉིད	dharmatA; [C,MV,MSA]dharmatA (=[C]dharmatayA); [C]dharmatas (opp.: arthatas); [MSA]tathatA
ཆོས-ཕྱིར	[C]dharma-artha
ཆོས-རྒྱལ	[C]dharma-rAja
ཆོས-རྟེན	[C]caitya
ཆོས-ཤེས	[C]dharma-jJAna
ཆོས-སྐུ	[LCh]Dharma-kAya; dharmakAya
ཆོས-སྐྱོན	dharma-pAla
ཆོས-སྨྲ	[C]dharma-bhAnaka
ཆོས-སྤྱོད	[C]dharma-caryA; [MV]dharma-carita
ཆོས-ཚིག	[C]dharma-pada (prabhedo)
ཆོས-ཚུལ	[C]dharma-netrI; dharma-naya
ཆོས-མི-མཐུན-སྦྱོར-གྱི-སྒྲུབ-ངག	vaidharmya-prayoga-sAdhana-vAkya
ཆོས-མ-བསྟན	[MSA]dharmo naiva dezitaH
ཆོས-མ-ཡིན-པ	[C]adharma
ཆོས-མ-མོས-པ	[C]dharma-ArAma(ta)
ཆོས-བཟོད-ཤེས	[C]dharma-jJAna-kSAnti
ཆོས-རྫོགས-ལོངས-སྤྱོད	[MSA]dharma-saMbhoga
ཆོས-འདོད-པ	[C]dharma-kAmatA
ཆོས-འདོད-པར-བྱའོ	[C]dharma-kAmena bhavitavyam
ཆོས-ལ-དགའ	[MSA]dharma-rata
ཆོས-ལ-མོས	[MSA]dharmAdhimokSa
ཆོས-ལ-མོས-པ	dharma-ArAma(tA); [MSA]dharmAdhimukti; [MSA]dharma ... adhimokSa; [MSA]dharmato 'dhimokSAt
ཆོས-ལ-མོས-པར-བྱེད	[MSA]dharmam adhimucyate
ཆོས-ལ-མོས-པའི-ས-བོན	[MSA]dharmAdhimukti-bIja
ཆོས-ལ-མོས-པའི-རྣལ-འབྱོར-ལ-བརྩོན-པ	[C]dharma-ArAma-yogam anuyuktatA
ཆོས-ལ-མོས-པའི-རྣལ-འབྱོར-ལ-བརྩོན-པར-བྱའོ	[C]dharma-ArAma(tA)-yogam anuyuktena bhavitavyam
ཆོས-ལ-བཟོད-པ	[MV,MSA]dharma-kSAnti
ཆོས-ལ-སེར-སྣ-མེད-པ	[MV]dharmAmatsaritva
ཆོས-ལ-སུན-འབྱིན-པ	[C]dUSaka
ཆོས-ལ-སྒྲོ-འདོགས-པའི-མཐའ	[MV]dharma-samAropanta
ཆོས-ལ-ངེས-པར-རྟོག-པའི-བཟོད-པ	[MSA]dharma-nidhyAna-kSAnti
ཆོས-ལ-ངེས-རྟོགས-ཀྱི-བཟོད-པ	dharma-nidhyAna-kSAnti
ཆོས-ལ-མི-དགའ	[MSA]dharme 'rataH
ཆོས-ལ-མི-གཡོ	[MSA]dharme 'calaH
ཆོས-ལ-མི-མོས-པ	[MV]anadhimuktir dharme
ཆོས-ལ-དམིགས-པ	[MSA]dharmAlambana
ཆོས-ལ-དམིགས-པའི-སྙིང-རྗེ	dharmAlambanA-karuNA
