འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
དེ-རང-བདག-གཅིག-འབྲེལ	Example: pot and pot's isolate (bum pa dang bum pa'i ldog pa)
དེ-འདྲེན-མི-ནུས-པར-ཕྱིས-འབྱུང-ཐ-སྙད-པའི-ཚད-མ-གཞན-ལ-བརྟེན-དགོས-པའི-གསར-དུ-མི-སླུ-བའི-རིག-པ	Comment: This is the definition of a direct perception whose ascertainment is induced by another (gzhan las nges kyi tshad ma).
དེར-གྱུར-པའི-དབང-མངོན	one of the three types of awareness to which an object appears but is not ascertained (snang la ma nges); for others see: {སྣང་ལ་མ་ངེས}
དགའ-ལྡན	Comment: The other two large monasteries near Hla-s#a that constitute the Three Seats are S#e-ra (se rwa) and Dre-b#ung ('bras spungs).
དགའ-བ-སྡུད-པའི-ཡིད-བྱེད	Comment: One of the seven preparations (nyer bsdogs, samAtaka) for a concentration (bsam gtan, dhyAna).
དགའ-རབ-དབང-ཕྱུག	Comment: An epithet of the God of Desire ('dod lha, kAmadeva).
དགག	Comment: See dgag pa.
དགག-པ	Comment: Negative phenomenon (dgag pa) is equivalent to gzhan sel (exlusion of the other, other-exclusion [anyApoha]). Examples are rtag pa ma yin pa (non-permanent); bum pa ma yin pa las log pa (opposite from non-pot).
དགག-སྒྲུབ-གཉིས	Comment: Positive and negative phenomena are one of the divisions of gzhi grub (established base), i.e., existents (yod pa).
དགག-གཞི-ཅན-གྱི-ཆོས	Comment: A phenomenon that is absent somewhere.
དགག-པ-དངོས-སུ-རྟོགས-པའི-ཚད-མ	Comment: The aspect of an object must appear in cases when the realization is explicit.
དགག-པའི-རྣམ-པ-ཤར-ནས-དགག-པ-ལ-གསར-དུ-མི-བསླུ-བའི-རིག-པ	Comment: This is the definition of direct perception explicitly realizing a negative phenomenon (dgag pa dngos su rtogs pa'i tshad ma).
དགག-བཞག-སྤོང-གསུམ	Comment: The first of the three also is taken as 'khrul pa dgag pa (refuting mistake/error).
དགེ	Comment: See dge ba.
དགེ-བ	virtue; Comment: Virtuous mental factors are one of six main groupings of mental factors (sems byung, caitta): (1) five omnipresent (kun 'gro, sarvatraga) mental factors; (2) five determining (yul nges, viSaya-pratiniyama) mental factors; (3) eleven virtuous (dge ba, kuzala) mental factors; (4) six root afflictions (rtsa nyon, mUla-kleza); (5) twenty secondary afflictions (nye nyong, upakleza); and (6) four changeable (gzhan 'gyur, anyathAbhAva) mental factors. "Indicated" or "revealed" (lung du bstan pa) means here "that which abides as either virtue or non-virtue." Thus, in this case of defining virtue, it means that which is virtuous. It means that which is definite as virtuous or non-virtuous. It does not necessarily refer to Buddha's having said it this way or that way which is what those words often mean ("indicated in scripture"). "Abides in the class of that which issues forth happiness" is said because there are, for instance, virtues which have been overcome by hatred and do not issue forth happiness, but they are still virtues. The phrase means that there are exceptions that merely "abide in the class of."
དགེ-ལུགས	Comment: See dge lugs pa.
དགེ-རྩ	Comment: See also dge ba (virtue).
དགེ-མི-དགེ-གང-དུ-ལུང-དུ-མ-བསྟན-པ	Comment: Explanation of lung du ma bstan pa (not indicated/revealed).
དགེ-སོགས-གསུམ	Comment: The three are dge ba (virtue), mi dge ba (non-virtue), and lung du ma bstan pa (neutral); this is one of the divisions of established base (gzhi grub).
དགེ-བསྙེན-དང-དགེ-བསྙེན-མ-གཉིས	Comment: the two divisions of householders (khyim pa, gRhastha).
དགེ-ལུགས-པ	Comment: The sect probably was originally called the "Joyous Way" (dga' ldan pa'i lugs) after the monastic university called "Joyous" (dga' ldan) established by D#zong-ka-b#a in 1409.
དགེ-བའི-ཆོས	Comment: See chos.
དགེ-བའི-རྩ-བ	Comment: The three virtuous roots (dge ba'i rtsa ba, kuzalamUla) are: (1) non-attachment (ma chags pa, alobha); (2) non-hatred (zhe sdang med pa, adveSa); non-ignorance (gti mug med pa, amoha).
དགེ-བའི-གྲོགས-པོ	Comment: See dge ba'i bshes gnyen.
དགེ-འདུན-ཕལ-ཆེན-པ	Comment: One of the eighteen so called HInayAna schools; thought to be an early precursor of MahAyAna.
དགོངས	dgongs pa; Comment: See dgongs pa.
དགོངས-གཞི	Comment: The first in the triad of factors involved in passages requiring interpretation—the basis in [Buddha's] thought (dgongs gzhi), purpose (dgos pa), and damage to the explicit [rendering] (dngos la gnod byed). dgongs should not be translated as "intention," since this would too easily be confused with dgos pa ("purpose" or "intention").
དགོངས-གཞི-དང-དངོས-ལ-གནོད-བྱེད	Comment: The first and third in the triad of factors involved in passages requiring interpretation—the basis in [Buddha's] thought (dgongs gzhi), purpose (dgos pa), and damage to the explicit [rendering] (dngos la gnod byed)
དགོངས-པ-བཞི	Comment: dgongs pa (abhiprAyA) is often mistranslated as "intention," but this does not accord with the following:\nFour Thoughts\nThinking of sameness (mnyam pa nyid la dgongs pa, samatAbhiprAya)\nThinking of another meaning (don gzhan la dgongs pa, arthAntarAbhiprAya)\nThinking of another time (dus gzhan la dgongs pa, kAlAntarAbhiprAya)\nThinking of a person's attitude (gang zag gi bsam pa la dgongs pa, pudgalAntarAbhiprAya)\n\nFour Intentions:\nIntending entry [into the teaching] (gzhug pa la ldem por dgongs pa, avatAranAbhisaMdhi)\nIntending the [three] characters (mtshan nyid la ldem por dgongs pa, lakSaNAbhisaMdhi)\nIntending an antidote (gnyen po la ldem por dgongs pa, pratipakSAbhisaMdhi)\nIntending translation (sbyor ba la ldem por dgongs pa/ bsgyur ba la ldem por dgongs pa, pariNAmAbhisaMdhi)\n\n"Thought" (dgongs pa) is [posited] from the viewpoint of indicating the basis in [Buddha's] thought, "Thinking of this, [such and such] was said," and "intention" (ldem dgongs) is [posited] from the viewpoint of indicating purpose, "[Such and such] was said for this purpose." Since thought and intention are posited in different ways with respect to one non-literal sUtra, [a sUtra having an] intention and [a sUtra having a] thought must be asserted as mutually inclusive. The basis in [Buddha's] thought is just what the Teacher has set in [his] mind and is not relative to another, the trainee, and purpose definitely must rely on another, the trainee, since it is for sake of taking care of another. See Ann, dngos, 134.5.
དགོངས-པ-ཅན	Comment: See dgongs pa.
དགྲ-བཅོམ	Comment: Arhan/ arhant (dgra bcom pa) is translated as "Foe Destroyer" to accord with the usual Tibetan translation of the term and to assist in capturing the flavor of oral and written traditions that frequently refer to this etymology. Arhats have overcome the foe which is the afflictive emotions (nyon mongs, kleza), the chief of which is ignorance, the conception (according to the Consequence School) that persons and phenomena are established by way of their own character.\n The Indian and Tibetan translators were also aware of the etymology of arhant as "worthy one," as they translated the name of the "founder" of the Jaina system, Arhat, as mchod 'od "Worthy of Worship" (see Jam-y#ang-shay-b#a's Great Exposition of Tenets, ka, 62a.3). Also, they were aware of ChandrakIrti's gloss of the term as "Worthy One" in his Clear Words: "Because of being worthy of worship by the world of gods, humans, and demi-gods, they are called Arhats" (sadevamAnuøAsurAl lokAt pUnArhatvAd arhannityuchyate [Poussin, 486.5], lha dang mi dang lha ma yin du bcas pa'i 'jig rten gyis mchod par 'os pas dgra bcom pa zhes brjod la [P5260, vol. 98 75.2.2]). Also, they were aware of Haribhadra's twofold etymology in his Illumination of the Eight Thousand Stanza Perfection of Wisdom SUtra. In the context of the list of epithets qualifying the retinue of Buddha at the beginning of the sUtra (see Unrai Wogihara, ed., AbhisamayAla™kArAlokA PrajJA-pAramitA-vyAkhyA, The Work of Haribhadra [Tokyo: The Toyo Bunko, 1932-5; reprint ed., Tokyo: Sankibo Buddhist Book Store, 1973], 8.18), Haribhadra says, "They are called arhant [=Worthy One, from root arh 'to be worthy'] since they are worthy of worship, religious donations, and being assembled together in a group, etc." (W9.8-9: sarva evAtra pUjA-dakøi˜A-ga˜a-parikarøAdy-Arhatayar-han-taH; P5189, 67.5.7: 'dir thams cad kyang mchod pa dang // yon dang tshogs su 'dub la sogs par 'os pas na dgra bcom pa'o).\nAlso, "They are called arhant [= Foe Destroyer, arihan] because they have destroyed (hata) the foe (ari)."\n(W10.18: hatAritvAd arhantaH; P5189, 69.3.6. dgra rnams bcom pas na dgra bcom pa'o). Thus, this is a considered preference in the face of alternative etymologies—"Foe Destroyer" requiring a not unusual i infix to make ari-han, ari meaning enemy and han meaning to kill, and thus "Foe Destroyer." Unfortunately, one word in English cannot convey both this meaning and "Worthy of Worship"; thus, I have gone with what clearly has become the predominant meaning in Tibet. (For an excellent discussion of the two etymologies of "Arhat" in Buddhism and Jainism, see L.M. Joshi's "Facets of Jaina Religiousness in Comparative Light," L.D. Series 85, [Ahmedabad: L.D. Institute of Indology, May 1981], 53-58).
དགྲ-བཅོམ-པ	Comment: See dgra bcom.
དགྲ-བཅོམ-པའི-མཁྱེན-པ	exalted knower of a Foe Destroyer; Comment: dgra bcom pa'i mkhyen pa, dgra bcom pa'i mi slob lam, dgra bcom pa'i nyon sgrib spangs pa'i ye shes (exalted knower of a Foe Destroyer, path of no more learning of a Foe Destroyer, exalted wisdom of a Foe Destroyerthat has abandoned the afflictive obstructions) are equivalent.
དགྲ-བཅོམ-ཞུགས-པ	Comment: This is one of the eight types of enterers and abiders (zhugs gnas brgyad): Approacher to Stream Enterer (rgyun zhugs zhugs pa); Abider in the Fruit of Stream Enterer (rgyun zhugs 'bras gnas); Approacher to Once Returner (phyir 'ong zhugs pa); Abider in the Fruit of Once Returner (phyir 'ong 'bras gnas); Approacher to Never Returner (phyir mi 'ong zhugs pa); Abider in the Fruit of (phyir mi 'ong 'bras gnas); Approacher to Foe Destroyer (dgra bcom zhugs pa); Abider in the Fruit of (dgra bcom 'bras gnas). For the Sanskrit see the individual entries.
དགྲ-བཅོམ-འབྲས-གནས	Comment: This is one of the eight types of enterers and abiders (zhugs gnas brgyad): Approacher to Stream Enterer (rgyun zhugs zhugs pa); Abider in the Fruit of Stream Enterer (rgyun zhugs 'bras gnas); Approacher to Once Returner (phyir 'ong zhugs pa); Abider in the Fruit of Once Returner (phyir 'ong 'bras gnas); Approacher to Never Returner (phyir mi 'ong zhugs pa); Abider in the Fruit of (phyir mi 'ong 'bras gnas); Approacher to Foe Destroyer (dgra bcom zhugs pa); Abider in the Fruit of (dgra bcom 'bras gnas). For the Sanskrit see the individual entries.
དགུ	Comment: "Nine" may come to mean "all" due to the fact that there are nine levels in cyclic existence.
དཀར-པོ-རྣམ-པར-མཐོང-བའི-ས	Comment: The first of the eight Lesser Vehicle grounds (dman pa sa brgyad): (1) the ground of seeing the wholesome, (2) the ground of lineage, (3) the ground of the eighth, (4) the ground of seeing, (5) the ground of diminishment, (6) the ground of separation from desire, (7) the ground of realizing completion/accomplishment, (8) the ground of Solitary Realizers.
དཀོན-མཆོག	Comment: As in the Three Jewels (Buddha, his doctrine, and the spiritual community).
དཀོན-མཆོག-འཇིགས-མེད-དབང-པོ	Comment: He is the next incarnation of Jam-y#ang-shay-b#a Nga-w#ang-d#zön-drü ('jam dbyangs bzhad pa ngag dbang brtson 'grus) of L#a-brang D#ra-s#hi-kyil (bla brang bkra shis 'khyil).
དཀྱིལ-འཁོར	Comment: There are a maNDala of the residence and a maNDala of residents (rten dang brten pa'i dkyil 'khor).
དམག-ལྡན-གཟུགས-ཅན-སྙིང-པོ	King BimbisAra; Comment: King BimbisAra had different names during various stages of his life.
དམན-པའི-ས-པ	(PH) Tib. divisions too long.
དམན-པའི-ང-རྒྱལ	pride of inferiority; Comment: This is one of seven prides which NAgArjuna mentions in his Precious Garland, stanzas 407-412: pride of selfhood (bdag nyid nga rgyal), exceeding pride (lhag pa'i nga rgyal), pride beyond pride (nga rgyal las kyang nga rgyal), pride of thinking I (nga'o snyam pa'i nga rgyal), pride of conceit (mngon pa'i nga rgyal), erroneous pride (log pa'i nga rgyal), pride of inferiority (dman pa'i nga rgyal).
དམར-པོ	one of the four primary colors (rtsa ba'i kha dog); the others are: white (dkar po); yellow (ser po); blue (sngon po)
དམིགས-པ	this is the object of observation as opposed to the subjective aspect (rnam pa), one of the five concordances (mtshungs ldan lnga); for others see: {མཚུངས་ལྡན}
དམིགས-རྐྱེན	one of the four types of condition; for others see: {རྐྱེན}
དམིགས-ཡུལ	Comment: In the Mind-Only School, the thoroughly established nature is the final object of observation by a path of purification, and indeed such a path observes, or apprehends, it; however, despite the fact that phenomena such as chairs are objects of observation of a path of purification, they are not observed or apprehended by it — they are only bases with respect to which emptiness is realized. Hence, the term "object of observation" in this context, as it has come to used in Ge-luk-b#a scholarship, is somewhat misleading. The usage of the term " objects of observation" even for objects that are not being observed may have come from systems that hold that even during direction perception of emptiness the phenomena qualified by emptiness still appear; this is called "meditative equipoise with appearance" (mnyam bzhag snang bcas). D#zong-ka-b#a earlier in his life held this notion but then switched to the opinion that the objects qualified by emptiness do not appear during meditative equipoise (mnyam bzhag snang med). His own commentary (legs bshad gser 'phreng) on Maitreya's Ornament for Clear Realization reflects his earlier notion, whereas his student Gyel-tsap's commentary (rnam bzhad snying po rgyan) reflects his later view.
དམིགས-པའི-རྐྱེན	see: {དམིགས་རྐྱེན}
དམྱལ	see: {དམྱལ་བ}
དམྱལ-བ	one of the six tyes of ordinary beings (so so'i skye bo; pRthag-jana); for others see: {སོ་སོའི་སྐྱེ་བོ}
དམྱལ-བ-པ	see: {དམྱལ་བ}
དམྱལ-བའི-རྟེན-ཅན-གྱི-སོ-སོའི-སྐྱེ-བོ	see: {དམྱལ་བ}
དངོས-འབྲས	direct effect; Comment: There are two types of effects: direct effect (dngos 'bras) and indirect effect (rgyud 'bras).
དངོས-མེད	Comment: See dngos med kyi chos and dngos po med.
དངོས-རྒྱུ	direct cause; Comment: There are two types of causes, direct cause (dngos rgyu) and indirect cause (brgyud rgyu).
དངོས-པོའི-བསྐྱེད-བྱ	Comment: This is the definition of effect of thing (dngos po'i 'bras bu).
དངོས-པོའི-རྫས-ཡོད-ཆོས-གསུམ-ཚང-བ	Comment: This is the definition of thing's definition (dngos po'i mtshan nyid).
དངོས-པོའི-དངོས-སུ-བསྐྱེད-བྱ	Comment: This is the definition of direct effect of thing (dngos po'i dngos 'bras).
དངོས-པོའི-བྱེ-བྲག	Comment: Examples of an instance of thing are pot (bum pa) and pillar (ka ba).
དངོས-པོའི-བརྒྱུད-ནས-བསྐྱེད-བྱ	Comment: This is the definition of indirect effect of thing (dngos po'i brgyud 'bras).
དངོས-པོའི-གནས-ལུགས	Comment: "Subsistence" here does not mean "merely getting by" as it does with subsistence farming; rather, it means "existence" or "persisting existence."
དངོས-པོའི-སྐྱེད-བྱེད	Comment: This is the definition of thing's cause (dngos po'i rgyu).
དངོས-སུ-སྐྱེད-བྱེད	Comment: This is the definition of direct cause (dngos rgyu).
དངོས-སྟོབས-རྗེས-དཔག	Comment: This is one of the three divisions of inference (rjes dpag)—inference through power of the fact (dngos stobs rjes dpag), inference through renown (grags pa'i rjes dpag), and inference through belief (yid ches rjes dpag).
དངོས-པོ-རང-གི-རྫས-རྒྱུན-དུ-གཙོ-བོར-སྐྱེད-བྱེད	Comment: This is the definition of substantial cause of thing (dngos po'i nyer len).
དངོས-པོ-མེད-པའི-ངོ-བོ-ཉིད	Comment: In Jo-nang non-entities here are imputational natures, which include other-powered natures, and thus are all conventionalities.
དངོས-པོ-མེད-པའི-ངོ-བོ-ཉིད-སྟོང-པ-ཉིད	Comment: Dol-b#o-b#a S#hay-rap-gyel-tsen explains that this means the emptiness that is the ultimate nature which is the opposite of non-entities, or conventionalities (kun rdzob las bzlog pa don dam pa'i ngo bo nyid). Non-entities here are imputational natures which include other-powered natures and thus are all conventionalities. In Ge-luk-b#a explanations, this emptiness is the emptiness of the nature of non-entities, that is to say, the emptiness of the inherent existence of non-things, or non-products.
དངོས-པོ-མེད-པ-སྟོང-པ-ཉིད	Comment: In Jo-nang, this is the emptiness of imputational natures which here include other-powered natures.
དངོས-མེད-ངོ-བོ-ཉིད	Comment: In Jo-nang non-entities here are imputational natures, which include other-powered natures, and thus are all conventionalities.
དངོས-མེད-ཀྱི-ཆོས	Comment: In the SUtra School and above, illustrations of phenomena which are non-things, that is to say, which exist but do not perform the function of creating effects, are object of knowledge (shes bya); the two, permanent and functioning thing (rtag dngos gnyis); uncompounded space ('dus ma byas kyi nam mkha').
དོན-འགྱུར	Compare: {ཚིག་འགྱུར}, literal translation
དོན-བསྡུས	get ex Buddhag's Mahavairo commentary; Tshig 1305.1 SW added this entry
དོན-དམ	See: {དོན་དམ་པ}
དོན-ལྡོག	one of the four types of isolates; for others see: {ལྡོག་པ}
དོན-སྤྱི	one of the three types of generality (spyi); for others see: {སྤྱི༏་སེཨེ་ཨལསོ༔་བུམ་པའི་དོན་སྤྱི}
དོན-བསྡུས-པ	get ex Buddhag's Mahavairo commentarySW added this entry; needs Tib sort code
དོན-དམ-པ	Comment: An equivalent of ultimate truth (don dam bden pa, paramArthasatya) so called because it is the object of the activity of Superiors' exalted wisdom of meditative equipoise; "highest" (dam pa, parama) is taken as the exalted wisdom of uncontaminated meditative equipoise, and "object" (don, artha) is taken as the thusness, or emptiness, that is the object of that exalted wisdom, whereby thusness is called the truth that is the object of the highest [wisdom] (dam pa'i don, paramasya artha-satya). In another interpretation, that wisdom itself is called the highest object (don dam pa, parama-artha), since it is both highest and object; emptiness is called the truth of the highest object (don dam pa'i bden pa, parama-arthasya satya).
དོན-དམ-པའི-ལྷ	ultimate deity; Comment: This is the first of six stages in deity yoga meditation in the Concentration Concentration Tantra (bsam gtan phyi ma, dhyAnottara), an Action Tantra: ultimate deity or emptiness deity or suchness deity (don dam pa'i lha, stong pa nyid kyi lha, de kho na nyid kyi lha); sound deity (sgra'i lha); letter deity (yi ge'i lha); form deity (gzugs kyi lha); seal deity (phyag rgya'i lha); sign deity (mtshan ma'i lha).
དོན-དམ-པའི-སེམས-ཙམ	Comment: A syncretic system propounded by Dol-b#o-b#a S#hay-rap-gyel-tsen. Synonyms include Great Middle Way (dbu ma chen po), Final Mind-Only (mthar thug gi sems tsam), and Supramundane Mind-Only ('jig rten las 'das pa'i sems tsam).
དོན-དམ-པའི-བདེན-པ	See: {དོན་དམ་བདེན་པ}
དོན-དམ-པའི-ཆོས-མངོན-པ	(PH) does "ultimate" here refer to "Mahayana" Abhidharma? if so, add "[of the Great Vehicle]" to Eng. equiv?
དོན-དམ-ཡང-དག-འཕགས	p.n. of a tenth ground Bodhisattva who questions the Buddha in the seventh chapter of the SaMdhi-nirmocana-sUtra
དོན-དམ-པ-ངོ-བོ-ཉིད-མེད-པ	Comment: This is one of the three non-natures: character-non-nature (mtshan nyid ngo bo nyid med pa, utpattiniHsvabhAvatA); production-non-nature (skye ba ngo bo nyid med pa, utpattiniHsvabhAvatA); ultimate-non-nature (don dam pa ngo bo nyid med pa, paramArthaniHsvabhAvatA).\n "Ultimate-non-nature" has two meanings. The first meaning refers to thoroughly established natures, which are the actual ultimate-non-nature since they are both (1) the ultimate as the object of observation by a path of purification and (2) the very non-nature, that is, the absence of the opposite of emptiness in phenomena. The second meaning refers to fact that other-powered natures are not the ultimate; just as other-powered natures are natureless in terms of (self-)production, so they are natureless in terms of the ultimate — that is to say, they lack being that nature which is the ultimate. Thus, thoroughly established natures are "ultimate-non-natures," and other-powered natures are also "ultimate-non-natures" but for different reasons--the first is the ultimate and the second is not.
དོན-དམ-པ-ངོ-བོ-ཉིད-མེད-པ-ཉིད	Comment: See don dam pa ngo bo nyid med pa.
དོན-དམ-པ-ངོ-བོ-མེད-པ	one of the three non-entitynesses related to the three characters in the Mind-Only School; the others are non-entityness in terms of character (mtshan nyid ngo bo med pa; lakSaNa-niHsvabhAvatA) and non-entityness in terms of production (skye ba ngo bo nyid med pa; utpattiniHsvabhAvatA) (T)
དོན-དམ-པར-གྲུབ-པ	one of the eight types of object of negation (dgag bya) in the PrAsaGgika system (and one of five in the SvAtantrika system); for others see: {དགག་བྱ}
དོན-དམ-པར-དོན-བྱེད-ནུས-པའི-ཆོས	definition of ultimate truth (don dam bden pa)
དོན-དམ-པར-དོན-བྱེད-མི-ནུས-པའི-ཆོས	definition of conventional truth (kun rdzob bden pa)
དོན-དམ-བདེན-པ	ultimate truths are understood in different ways by the various Buddhist systems; see definition headingComment: The Sanskrit for "ultimate truth," paramArthasatya, is etymologized three ways within identifying parama as "highest" or "ultimate," artha as "object," and satya as "truth." In the first way, parama (highest, ultimate) refers to a consciousness of meditative equipoise directly realizing emptiness; artha (object) refers to the object of that consciousness, emptiness; and satya (truth) also refers to emptiness in that in direct perception emptiness appears the way it exists; that is, there is no discrepancy between the mode of appearance and the mode of being. In this interpretation, a paramArthasatya is a "truth-that-is-an-object-of-the-highest-consciousness." In the second way, both parama (highest, ultimate) and artha (object) refer to a consciousness of meditative equipoise directly realizing emptiness in that, in the broadest meaning of "object," both objects and subjects are objects, and a consciousness of meditative equipoise directly realizing emptiness is the highest consciousness and thus highest object; satya (truth), as before, refers to emptiness. In this second interpretation, a paramArthasatya is an emptiness that exists the way it appears to a highest consciousness, a "truth-of-a-highest-object." In the third etymology, all three parts refer to emptiness in that an emptiness is the highest (the ultimate) and is also an object and a truth, a "truth-that-is-the-highest-object." ChandrakIrti, the chief Consequentialist, favors the third etymology in his Clear Words
དོན-རང-མཚན-གྱི-བློའི-གཞན-སེལ	one of the three types of other-eliminator that is a factual specifically characterized phenomenon (don rang mtshan gyi gzhan sel); for others see: {དོན་རང་མཚན་གྱི་གཞན་སེལ}
དོན-རང-མཚན-གྱི-གཞན-སེལ	one of the two types of other-eliminator that is an affirming negative (ma yin dgag gi gzhan sel); the other is other-eliminator that is a mind (blo'i gzhan sel)
དོན-རང-མཚན-གྱི-དོན-རང-མཚན-གྱི-གཞན-སེལ	one of the three types of other-eliminator that is a factual specifically characterized phenomenon (don rang mtshan gyi gzhan sel); for others see: {དོན་རང་མཚན་གྱི་གཞན་སེལ}
དོན-རང-མཚན-གྱི-མེད-དགག-གི-གཞན-སེལ	one of the three types of other-eliminator that is a factual specifically characterized phenomenon (don rang mtshan gyi gzhan sel); for others see: {དོན་རང་མཚན་གྱི་གཞན་སེལ}
དོན-གོམས-པ-ཅན-གྱི-དབང-མངོན-གྱི-ཚད-མ	one of the five types of direct perceiver which induces ascertainment from itself (rang las nges kyi tshad ma); for others see: {རང་ལས་ངེས་ཀྱི་ཚད་མ}
དོན-མངོན-རྟོགས	definition of path of preparation (sbyor lam)\n(PH) Since this is the def. of Path of Prep., should it really be listed as a syn.?
དོན-དོན-དམ-པ	object-ultimate; Comment: This is one of the three meanings of ultimate (don dam, paramArtha) according to Matireya's Differentiation of the Middle and Extremes (III.11ab): object-ultimate (don don dam, i.e., thusness); attainment-ultimate (thob pa don dam, i.e., nirvANa); and practice-ultimate (sgrub pa don dam, true paths). BJ calls them terminological divisions, not actual divisions.
དོན-གཞན-ལ-དགོངས-པ	Comment: dgongs pa (abhiprAyA) is often mistranslated as "intention," but this does not accord with the following:\nFour Thoughts\nThinking of sameness (mnyam pa nyid la dgongs pa, samatAbhiprAya)\nThinking of another meaning (don gzhan la dgongs pa, arthAntarAbhiprAya)\nThinking of another time (dus gzhan la dgongs pa, kAlAntarAbhiprAya)\nThinking of a person's attitude (gang zag gi bsam pa la dgongs pa, pudgalAntarAbhiprAya)\n\nFour Intentions:\nIntending entry [into the teaching] (gzhug pa la ldem por dgongs pa, avatAranAbhisaMdhi)\nIntending the [three] characters (mtshan nyid la ldem por dgongs pa, lakSaNAbhisaMdhi)\nIntending an antidote (gnyen po la ldem por dgongs pa, pratipakSAbhisaMdhi)\nIntending translation (sbyor ba la ldem por dgongs pa/ bsgyur ba la ldem por dgongs pa, pariNAmAbhisaMdhi)\n\n"Thought" (dgongs pa) is [posited] from the viewpoint of indicating the basis in [Buddha's] thought, "Thinking of this, [such and such] was said," and "intention" (ldem dgongs) is [posited] from the viewpoint of indicating purpose, "[Such and such] was said for this purpose." Since thought and intention are posited in different ways with respect to one non-literal sUtra, [a sUtra having an] intention and [a sUtra having a] thought must be asserted as mutually inclusive. The basis in [Buddha's] thought is just what the Teacher has set in [his] mind and is not relative to another, the trainee, and purpose definitely must rely on another, the trainee, since it is for sake of taking care of another. See Ann, dngos, 134.5.
དོན-དུ-གཉེར	See: {དོན་གཉེར}
དོན-བྱེད-སྣང-ཅན-གྱི-དབང-མངོན-གྱི-ཚད-མ	one of the five types of direct perceiver whose ascertainment is induced by itself (rang las nges kyi tshad ma); for others see: {རང་ལས་ངེས་ཀྱི་ཚད་མ}
དོན-བྱེད-ནུས-པ	Comment: This is the definition of thing (dngos po). In the Great Exposition School even permanent phenomena have the capacity to perform a function, such as uncompounded space capacity to allow the placement or movement of objects. In the SUtra School and above, having the capacity to perform a function refers to the function of producing effects, and thus the reference is only to impermanent phenomena.
དོན-བྱེད-ནུས-སྟོང-གི-ཆོས	definition of non-functioning thing (dnos med kyi chos)
དོན-བྱེད-ནུས-པའི-བཏགས-ཡོད-ཆོས-གསུམ-ཚང-བ	definition of the definiendum of able to perform a function (don byed nus pa'i mtshon bya) (T)
དོན-རྣམ-སྒོམ-པ	meditation on the aspect of an object [e.g., meditating on impermanence]; Comment: There are two types of meditation, meditation on the aspect of an object [e.g., meditating on impermanence] (don rnam sgom pa) and meditative cultivation of the aspect of a subject [e.g., meditatively cultivating compassion] (shes rnam sgom pa). The first means to meditate on an object, and the second means to meditatively cultivate a consciousness, an attitude.
དོན-མི-འགྱུར-གྱི-ཐེ-ཚོམ	one of the three types of doubt; for others see: {ཐེ་ཚོམ}
དོན-འགྱུར-གྱི-ཐེ-ཚོམ	one of the three types of doubt (the tshom); for others see: {ཐེ་ཚོམ}
དོན-གྱི-སྡེ-ཚན-དག-གི-མདོ	Comment: In the PAli canon: ATThakavagga, the thirteenth sutta of the MahAviyuhasutta in the fourth section of the Sutta NipAta.
དོན-གྱི-གཞན-སེལ	one of the two types of other-eliminator that is an affirming negative (ma yin dgag gi gzhan sel); the other is other-eliminator that is a mind (blo'i gzhan sel)
དོན-སྤྱི-ཁོ-ན-འཛིན-པའི-རྟོག-པ	Comment: need to give an instance
དོན-སྤྱི-བཟུང-ཡུལ-དུ-བྱེད-པའི-རྟོག-པ	one of the types of knowledge and awareness according to the threefold division
དོན-སྤྱི-སྒྲ-སྤྱི-གནས-སུ-ཕྱེ-བའི-དོན-སྤྱི	one of the two types of meaning generality
དོར	ck Lag for ex ("cast")
དཔའ-བོ	Comment: identified as AshvaghoSha.
དཔལ	Sw changed Engl from "glorious Lo-sang-drak-ba" to "glory of Lo-sang-drak-ba". Should it be "to the glory that is Lo-sang-drak-ba"?
དཔལ-གྱི-བེའུ	get from M-W
དཔལ-གྱི-ཁབ	get Engl and ex from Ship 64b.2
དཔེ	get ex. from Ship
དཔེ-བྱད	get ex. from Ship SW added Eng. and ex.
དཔེ-ཆ	get "rgya dpe" example from Ship
དཔེ-ལ-བརྟེན-གྱི-ཚད-མ	one of the four types of tshad ma according to DharmakIrti; for others see: {ཚད་མ}
དཔུང-བཟང-གིས-ཞུས-པ-ཞེས-བྱ-བའི-རྒྱུད	Comment: This is one of the four General Action Tantras.
དཔྱད-གསུམ-གྱིས-དག-པའི-ལུང	Check ex 1 Engl. (T)
དཔྱོད-པ	one of the four changeable mental factors (gzhan 'gyur bzhi; catur-anyathAbhAva); for others see: {གཞན་འགྱུར}
དཔྱོད-པ-བ	MImAMsa is one of the four orthodox (astika) schools of Indian philosophy
དཔྱོད-པ-ཅན	MImAMsa is one of the four orthodox (astika) schools of Indian philosophy
དཔྱོད-པ-ཡིད-བྱེད	Comment: This is the fifth of the seven mental contemplations involved in developing a concentration (bsam gtan, dhyAna).
དྲག-པོ	In the Eng. does heavy = sra ba? More likely it's hard=sra ba (SW)
དྲན-པ	one of the five determining factors (yul nges nga, paJca-viSaya-pratiniyama); for others see: {ཡུལ་ངེས}
