ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
སྡེ-བཟང-པོ	 Bhadrasena|Bhadrasena 
བཟང-དག	 Bhadraśuddha|Bhadraśuddha 
བཟང-སྐྱོན	 Bhadra­pāla|Bhadra­pāla 
བཟང-ལྡན	 Bhadrika| Bhadrika |Bhadrika 
བཟང-ལྡན-རྒྱལ-པོ	 Bhadrikarāja| Bhadrikarāja |Bhadrikarāja 
བཅོམ-ལྡན-འདས	 Bhagavat | Bhagavān | Blessed One | Lord| Lord |Blessed One 
བཅོམ-ལྡན-འདས-མ	 Bhagavatī | Blessed Lady|Blessed Lady 
ཆུ-ཀླུང-སྐལ-ལྡན-ཤིང-རྟ	 Bhāgīrathī|Bhāgīrathī 
སྨན-གྱི-བླ-བཻ-དུ-རྱའི-འོད	Bhaiṣajyaguru Vaidūryaprabharāja
སྨན-གྱི-རྒྱལ	 Bhaiṣajyarāja|Bhaiṣajyarāja 
སྨན-གྱི-རྒྱལ-པོ	 Bhaiṣajyarāja| Bhaiṣajyarāja |Bhaiṣajyarāja 
སྨན-གྱི-བླ-བཻ-དུ-རྱའི-འོད-ཀྱི-རྒྱལ-པོ	 Bhaiṣajya­guru­vaiḍūrya­prabha­rāja|Bhaiṣajya­guru­vaiḍūrya­prabha­rāja 
སྨན-ཡང-དག-འཕགས-ལ-སོགས-པ	 Bhaiṣajya­samudgata|Bhaiṣajya­samudgata 
སྨན-ཡང-དག-འཕགས	 Bhaiṣajya­samudgata|Bhaiṣajya­samudgata 
བྷ-ར-དྭ-ཛ	 Bharadvāja | Bharadvājasa| Bharadvājasa |Bharadvāja 
བྷ-ར-དྷབ༹-ཛ	 Bharadvāja|Bharadvāja 
བྲ-ཉེ	 Bharaṇī|Bharaṇī 
གསོ-བའི-མཐའ	 Bharukaccha|Bharukaccha 
ལེགས-ལྡན-འབྱེད	 Bhāvaviveka|Bhāvaviveka 
འཇིགས-བྱེད	 Bhayaṃkara | Rabheyaka | Terrifying|Bhayaṃkara 
རྔ-ཆེན	Bherī drum
རྔ-བོ-ཆེ	 Bherī drum | Mardala drum|Bherī drum 
དགེ-སློང	 Bhikṣu | Fully ordained monk| Fully ordained monk | Monk |Monk 
དགེའ-སློང	 Monk|Monk 
དགེ-སློང-མ	 Bhikṣunī | Bhikṣuṇī | Fully ordained nun| Fully ordained nun | Nun |Nun 
དགེའ-སློང-མ	 Nun|Nun 
འཇིགས-སྡེ	 Bhīmasena|Bhīmasena 
འཇིགས-བཙན-སྟོབས	 Bhīṣmabala|Bhīṣmabala 
འཇིགས-པའི-དབྱངས	 Bhīṣmaghoṣa|Bhīṣmaghoṣa 
འཇིགས-བཙན-བློ-གྲོས	 Bhīṣmamati|Bhīṣmamati 
འཇིགས-ཞལ	 Bhīṣmānana|Bhīṣmānana 
འཇིགས-བཙན-འོད-འཕྲོ	 Bhīṣmārci|Bhīṣmārci 
འཇིགས-བཙན-འཕགས	 Bhīṣmasamudgata|Bhīṣmasamudgata 
འཇིགས-བསྒྲགས-དབྱངས-ཀྱི-རྒྱལ-པོ	 Bhīṣma­garjita­svara­rāja|Bhīṣma­garjita­svara­rāja 
འཇིགས-པའི-བླ-མ	 Bhīṣmottara|Bhīṣmottara 
འཇིགས-མཆོག	 Bhīṣmottara|Bhīṣmottara 
ལོངས-སྤྱོད-མ	 Bhoktrī|Bhoktrī 
རབ-འགྲོ	 Bhṛgu|Bhṛgu 
ངན-སྤོང	 Bhṛgu|Bhṛgu 
ཁྲོ-གཉེར-ཅན	 Bhṛkuṭī|Bhṛkuṭī 
ས	 Bhūmi | Bodhisattva level | Ground | Pṛthvī| Pṛthvī |Bhūmi 
བྷུ-མི-བི-དཱ-རཱི	 Bhūmividārī|Bhūmividārī 
བྱུང-པོ	 Bhūta|Bhūta 
ཡང-དག-བློ-གྲོས	 Bhūtamati|Bhūtamati 
སེམས-ཅན-རྣམས-ཀྱི-མ	 Bhūtamātṛ|Bhūtamātṛ 
འབྱུང-མོ	 Bhūtinī|Bhūtinī 
སྐྱ-སྣར	 Bignonia | Pāṭalam| Pāṭalam |Bignonia 
པ-ཏ-ལ	Bignonia
བི-ཙི-ཀུཎྜ-ལི	 Bījakuṇḍalī|Bījakuṇḍalī 
མཁྲིས-པ-ལས-གྱུར-པའི-ནད	Bile disorders
སྟོང-གསུམ-གྱི-སྟོང-ཆེན-པོའི-འཇིག-རྟེན-གྱི-ཁམས	 Great trichiliocosm| Great trichiliocosm | Trichiliocosm |Billion-world galaxy 
བིམ-པ	 Bimba | Bimbā| Bimbā |Bimba 
གཟུགས-ཅན	 Bimbī| Bimbī |Bimbī 
བཙུན-མོ-གཟུགས-ཅན	 Bimbī| Bimbī |Bimbī 
གཟུགས-ཅན-སྙིང-པོ	 Bimbisāra| Bimbisāra |Bimbisāra 
སྐྱེས-པ	Birth
སྒོང-སྐྱེས	 Oviparous birth|Oviparous birth 
མངལ-སྐྱེས	 Viviparous birth|Viviparous birth 
རྫུས-སྐྱེས	 Miraculous birth|Miraculous birth 
ལྷན-ཅིག-སྐྱེས-པའི-ལྷ	 Birth totem gods|Birth totem gods 
སྐྱེ-གནས-བཞི	 Four modes of birth|Four modes of birth 
དྲོད-གཤེར-ལས-སྐྱེས	 Birth from heat and moisture|Birth from heat and moisture 
སྔོན-གྱི-གནས-རྣམ-པ-དུ-མ-རྗེས-སུ-དྲན-པ-དང-སེམས-ཅན-རྣམས-ཀྱི-འཆི-འཕོ-དང-སྐྱེ-བ-ཡང-དག-པ-ཇི-ལྟ-བ-བཞིན-དུ-རབ-ཏུ-ཤེས-པ	 Definitive knowledge of the recollection of multiple past abodes, and of the transference of consciousness at the death and birth of all sentient beings| Definitive knowledge of the recollection of multiple past abodes, and of the transference of consciousness at the death and birth of all sentient beings |Definitive knowledge of the recollection of multiple past abodes, and of the transference of consciousness at the death and birth of all sentient beings 
མི-སྐྱེ-བ	Birthlessness
ཤ-སྦྲང	Biting insect
ཨིཎྜ-བཱརུ-ཎཱི	Bitter cucumber
ལྷུང-བཟེད-ནག-པ-ཅན	Black begging bowl carriers
ས-ནག-པོ	Black earth
ཀ-མ-ཅི	 Black nightshade|Black nightshade 
ཀ-མ-རྩ	 Black nightshade|Black nightshade 
མུཎྜ-རི	 Black nightshade|Black nightshade 
ཕོ-བ-རིས	Black pepper
བྱི-ཏང-ཀ	 False black pepper|False black pepper 
བི-ཌཾ-ག	 False black pepper|False black pepper 
ཛམ-བུ	 Black plum|Black plum 
བདེ-བ	 Happiness|Bliss 
གསང-བ-བདེ-སྐྱོང	 Secret Guardian of Bliss|Secret Guardian of Bliss 
བདེ-བ-ཅན	 Realm of Bliss | Sukhāvatī| Sukhāvatī |Realm of Bliss 
ཏིང-ངེ-འཛིན-ལས-སྐྱེས-པའི-དགའ-བདེ	 Joy and bliss that arise from meditative stability| Joy and bliss that arise from meditative stability |Joy and bliss that arise from meditative stability 
སྟོབས-ཀྱིས-རྒྱགས	 Bloated with Power|Bloated with Power 
ཁྲག-ནད	Blood disorders
རྩ-རྣམས-མི-མངོན-པ	Blood vessels and nerves are inconspicuous
དགེ-བའི-མེ-ཏོག-རྒྱས-ཤིང-དག-པ	 Blossoming and Purity of the Flowers of Virtue|Blossoming and Purity of the Flowers of Virtue 
སྔོན-པོར-ལྟ-བུར-སྟོན-པ	Blue appearance
ཨུད-པ-ལ	 Blue lotus | Utpala flower | Utpalaka| Utpalaka |Blue lotus 
ཨུད-པལ	 Blue lotus| Blue lotus |Blue lotus 
ཨུཏྤལ	 Blue lotus| Blue lotus |Blue lotus 
ཨུཏ-པལ	 Blue lotus|Blue lotus 
འོད-སྔོན-པོའི-འབྱུང-བ	 Blue reflection|Blue reflection 
བྱང-ཆུབ	 Bodhi | Enlightenment| Enlightenment |Bodhi 
བྱང-ཆུབ-ཤིང	 Bodhi tree| Bodhi tree |Bodhi tree 
བྱང-ཆུབ-ཀྱི-ཤིང	 Bodhi tree | Tree of Enlightenment| Tree of Enlightenment |Bodhi tree 
ཨ-ཤྭད-ཐ	 Bodhi tree| Bodhi tree |Bodhi tree 
བྱང-ཆུབ-སྙིང-པོ	 Bodhimaṇḍa | Focal Point of Enlightenment | Seat of Awakening| Seat of Awakening |Seat of Awakening 
བྱང-ཆུབ-ཀྱི-སྙིང-པོ	 Seat of Awakening | Seat of awakening | Seat of enlightenment| Seat of enlightenment |Seat of Awakening 
བྱང-ཆུབ-སེམས-དཔའ	 Bodhisattva| Bodhisattva |Bodhisattva 
ཕྱིར-མི-ལྡོག-པའི-བྱང-ཆུབ-སེམས-དཔའ	 Irreversible bodhisattva| Irreversible bodhisattva |Irreversible bodhisattva 
བྱང-ཆུབ-སེམས-དཔའི-སྡེ-སྣོད	 Bodhisattva collection| Bodhisattva collection | Canon of the bodhisattvas |Bodhisattva collection 
བྱང-ཆུབ-སེམས-དཔའི-ཆོས-མ-འདྲེས-པ-བཅོ-བརྒྱད	 Eighteen special qualities of a bodhisattva|Eighteen special qualities of a bodhisattva 
བྱང-ཆུབ-སེམས-དཔའི-ཐེག-པ	 Bodhisattva­yāna | Vehicle of the bodhisattvas| Vehicle of the bodhisattvas |Bodhisattva­yāna 
བྱང-ཆུབ-ཀྱི-ཡན-ལག-གི-མེ-ཏོག-བྱེད	 Bodhyaṅga­puṣpa­kara|Bodhyaṅga­puṣpa­kara 
ལུས-སུ-གཏོགས-པ-དྲན-པ	 Bodily mindfulness|Bodily mindfulness 
སྤུ-མཐོན-ཏིང-ཅན	Body hairs are bluish black
སྤུ-གཙང-བ	Body hairs are clean
སྐུའི-སྤུ-གྱེན-དུ-ཕྱོགས-པ	Body hairs that point upwards
སྐུ-གཙང-བ	Body is clean
སྲེད-མེད-ཀྱི-བུའི-ལྟར-སྐུ-གྲིམས-པ	 Body is firm, like that of Nārāyaṇa| Body is firm, like that of Nārāyaṇa |Body is firm, like that of Nārāyaṇa 
སྐུ-ལ-དྲི-མ-མེད-ཅིང-དྲི-མི-ཞིམ-པ-མེད-པ	Body is immaculate and without unpleasant odors
སྐུ-སྣུམ-བག-ཅན	Body is lustrous
སྐུ-མ-བཏུད-པ	Body is not slouched
སྐུ-འཇམ-པ	Body is soft
སྐུ-མཉེན-པ	 Body is supple| Body is supple |Body is supple 
སྐུ-དབྱིབས-ལེགས-པ	Body is well formed
སྐུ-ཤིན-ཏུ-ལེགས-པར-འབྲེལ-པ	Body is well proportioned
ཆོས-ཀྱི-སྐུ	 Body of Dharma | Buddha body of reality| Buddha body of reality | Dharmakāya |Body of Dharma 
ལུ-ཀྱི-མཐའ-པའི-ཚོར-བ	 Body’s most basic feelings|Body’s most basic feelings 
འབྲུ-མར-བསྐོལ-བ	Boiled oil
ལྷ-འབངས	Bondmen
བྲན	Bondsman
རུས-པ-ལ-ཟུག-པ	Bone pain
ཚ-ལ	Borax
ཤེད-ལས-སྐྱེས	 Born of Manu| Born of Manu |Born of Manu 
མཚམས	Boundary
ཡོན-ཏན-རིན-ཆེན-བསག-པ-དཔག-ཏུ-མེད-པ-བདེ-བ-ཀུན-ཏུ-སྟོན-པ	 Boundless Accumulation of Precious Qualities and Full Display of Happiness|Boundless Accumulation of Precious Qualities and Full Display of Happiness 
སྤོབས-པ-མཐའ-ཡས	 Boundless Inspiration|Boundless Inspiration 
སྣང-བ-མཐའ-ཡས-པ	 Boundless Light|Boundless Light 
ཚངས-པ	 Brahma | Brahmaka | Brahmakāyika| Brahmakāyika | Brahmā |Brahma 
ཚངས-རིས	 Brahma Realm | Brahmakāyika | Brahmā realm| Brahmā realm |Brahma Realm 
ཚངས-ཆེན	 Great Brahma | Great Brahmā| Great Brahmā |Great Brahma 
ཙངས-པ	 Brahmā|Brahmā 
མཚངས-ཆེན	 Mahā-Brahmā Heaven| Mahā-Brahmā Heaven |Mahā-Brahmā Heaven 
ཚངས-པའི-བསོད-ནམས	 Merit of Brahmā| Merit of Brahmā |Merit of Brahmā 
ཚངས-པའི-གྲོང-ཁྱེར	 Palace of Brahmā|Palace of Brahmā 
ཚངས-པའི-གནས-པ-བཞི	 Four communions with Brahmā|Four communions with Brahmā 
ཚངས-སྒོ-ང	 Egg of Brahmā| Egg of Brahmā |Egg of Brahmā 
ཚངས-པའི-སྒོ-ང	 Egg-of-Brahmā| Egg-of-Brahmā |Egg-of-Brahmā 
ཚངས-པའི-གཟེར-བུ-ཆེན-པོ	 Great Nail of Brahmā|Great Nail of Brahmā 
ཚངས-པའི-དབྱངས	 Brahmaghoṣa | Divine voice of Brahmā | Śuddhaghoṣa| Śuddhaghoṣa |Divine voice of Brahmā 
ཚངས-པའི-འཇིག-རྟེན-བཅུ-གཉིས	 Twelve Brahmā realms|Twelve Brahmā realms 
ཚངས-པའི-མདུན-ན-འདོན	 Realms of the High Priests of Brahmā|Realms of the High Priests of Brahmā 
ཚངས-པའི-སྟོབས	 Brahmābala|Brahmābala 
ཚངས-པས-བྱིན	 Brahmadatta|Brahmadatta 
ཚངས-པ-བྱིན	 Brahmadatta|Brahmadatta 
ཚངས-པའི-ལྷ	 Brahmādeva|Brahmādeva 
ཚངས-པའི-རྒྱལ-མཚན	 Brahmadhvaja|Brahmadhvaja 
ཚངས-པའི-བུ-མོ	 Brahmaduhitā|Brahmaduhitā 
ཚངས-པའི-དྲ-བ	 Brahmajāla|Brahmajāla 
ཚངས-པའི-བློ-གྲོས	 Brahmamati|Brahmamati 
བྲམ-ཟེ	 Brahmin | Brāhmaṇa | Brāhmin priest| Brāhmin priest | Priest |Priest 
ཚངས-པའི-ཞལ	 Brahmānana|Brahmānana 
ཚངས-པའི-མདུན-འདོན	 Brahmapurohita|Brahmapurohita 
ཚངས-པ-མདུན-ན-འདོན	 Brahmapurohita|Brahmapurohita 
ཚངས-པའི-དྲང-སྲོང	 Brahmarṣi|Brahmarṣi 
ཚངས-པའི-སྙན	 Brahmaśrava|Brahmaśrava 
ཚངས-པའི-དཔལ	 Brahmaśrī|Brahmaśrī 
ཚངས-པའི-སྒྲ-དབྱངས	 Brahmasvarāṅga|Brahmasvarāṅga 
སྒྲ-སྙན	 Brahmatejas|Brahmatejas 
ཚངས-ནོར	 Brahmavasu|Brahmavasu 
ཚངས-པའི-གནས-བཞི	 Four sublime abodes| Four sublime abodes |Four sublime abodes 
ཚང-པའི-མི-དབང-སྤྱན	 Brahma­narendra­netra|Brahma­narendra­netra 
ཚངས-འཁོར	 Brahma­pari­ṣadya|Brahma­pari­ṣadya 
ཚངས-པ-དང-ཁྱབ-འཇུག-དང-དབང-ཕྱུག-ཆེན-པོ-ཐམས-ཅད-ཀྱི-དཔལ	 Brahma­viṣṇu­maheśvara­śrī|Brahma­viṣṇu­maheśvara­śrī 
ཚངས-པའི-དབང-ཕྱུག	 Brahmeśvara|Brahmeśvara 
ཚངས-པ-ལེན	 Brahmilā|Brahmilā 
ཚངས-མཆོག	 Brahmottara|Brahmottara 
ཀླད-པ	Brain tissue
བྱང-ཆུབ-ཡན-ལག-བདུན	 Seven branches of awakening|Seven branches of awakening 
བྱང-ཆུབ-ཀྱི-ཡན-ལག-བདུན	 Seven branches of awakening | Seven branches of enlightenment | Seven factors of enlightenment | Seven limbs of awakening| Seven limbs of awakening |Seven branches of awakening 
བྱང-ཆུབ-ཀྱི-ཆོས-སུམ-ཅུ-རྩ-བདུན	 Thirty-seven branches of awakening | Thirty-seven factors of awakening| Thirty-seven factors of awakening |Thirty-seven branches of awakening 
པ-ན	Breadfruit
ཚངས-པ-མཚུངས-པར-སྤྱོད-པ	 Renunciate in conduct| Renunciate in conduct |Brethren 
ཕུར-བུ	 Bṛhaspati|Bṛhaspati 
འབྲས-བུ-ཆེ	 Bṛhat­phala | Heaven of Great Fruition| Heaven of Great Fruition |Bṛhat­phala 
འོད-འཕྲོ-བ	 Resplendent|Brilliance 
དགའ-བ-བྱེད-པ	 Bringer of Joy|Bringer of Joy 
རབ-ཏུ-འཇིག-པ	Brittle
རྟིང-པ-ཡངས-པ	Broad heels
ཚེ-དང-ལྡན-པ	 Brother | Senior | Venerable| Venerable |Brother 
སང-རྒྱས	 Buddha| Buddha |Buddha 
རང-སངས-རྒྱས	 Pratyekabuddha | Pratyeka­buddha | Solitary buddha| Solitary buddha |Solitary buddha 
སངས-རྒྱས-ཀྱི-ཆོས	 Buddha qualities| Buddha qualities | Buddhadharma |Buddha qualities 
སངས-རྒྱས-ཀྱི-ཞིང	 Buddha realm | Buddhafield| Buddhafield |Buddha realm 
སངས-རྒྱས-བཅོམ-ལྡན-འདས	 Lord Buddha| Lord Buddha |Lord Buddha 
སངས-རྒྱས-ཀྱི-རིགས	 Family of the Buddha| Family of the Buddha |Family of the Buddha 
ངོ-བོ-ཉིད-སྐུ	 Buddha body of essentiality| Buddha body of essentiality |Buddha body of essentiality 
སྤྲུལ-པའི-སྐུ	 Buddha body of emanation | Emanation body | Incarnation-body | Nirmāṇakāya| Nirmāṇakāya |Buddha body of emanation 
གཟུགས-ཀྱི-སྐུ	 Buddha body of form | Form bodies| Form bodies | Rūpakāya |Buddha body of form 
རིགས-ཀྱི-ས	 Level of buddha nature| Level of buddha nature |Level of buddha nature 
སངས-རྒྱས-ཀྱི-མིག	 Eye of the buddhas| Eye of the buddhas |Eye of the buddhas 
སངས-རྒྱས-རྗེས-སུ-དྲན-པ	 Recollection of the Buddha| Recollection of the Buddha |Recollection of the Buddha 
སངས-རྒྱས-གྱི-ཆོས-མ-འདྲེས-པ	 Distinct qualities of a buddha | Unique qualities of a buddha| Unique qualities of a buddha |Distinct qualities of a buddha 
འབྲས-བུ-ཆོས-སྐུ	 Fruitional buddha body of reality| Fruitional buddha body of reality |Fruitional buddha body of reality 
ལོངས-སྤྱོད-རྫོགས-པའི-སྐུ	 Buddha body of perfect resource | Enjoyment body | Saṃbhogakāya| Saṃbhogakāya |Buddha body of perfect resource 
སངས-རྒྱས-དཀོན-མཆོག	 Precious jewel of the Buddha| Precious jewel of the Buddha |Precious jewel of the Buddha 
སངས-རྒྱས-ཀྱི-ཆོས-མ-འདྲེས-པ-བཅོ-བརྒྱད	 Eighteen distinct qualities of the buddhas | Eighteen special qualities of the Buddha | Eighteen unique attributes of a buddha | Eighteen unique qualities of a buddha| Eighteen unique qualities of a buddha |Eighteen unique qualities of a buddha 
ཉེ-བའི-སྲས-ཆེན-བརྒྱད	 Eight Close Sons of the Buddha| Eight Close Sons of the Buddha |Eight Close Sons of the Buddha 
ཡེ-ཤེས-ཆོས-སྐུ	 Buddha body of pristine cognition and reality| Buddha body of pristine cognition and reality |Buddha body of pristine cognition and reality 
ཞིང-ཁམས	Buddhafield
སངས-རྒྱས-བསྐྱང	 Buddhapālita|Buddhapālita 
སངས-རྒྱས-འཚོ	 Buddharakṣita|Buddharakṣita 
སངས-རྒྱས-ཕལ-པོ-ཆེ	 Buddhāvataṃsaka | Garlands of the buddhas| Garlands of the buddhas |Buddhāvataṃsaka 
སངས-རྒྱས-ཀྱི-ཐེག-པ	 Buddhayāna|Buddhayāna 
སངས-རྒྱས-དཔལ	 Buddhiśrī|Buddhiśrī 
ཧི-ལ-མི-ཅི	Buffalo spinach
སྡོང-དུམ-ཚིག-པ	Burning tree stump
སྦྱིན-སྲེག	 Burnt offering | Homa | Oblation | Ritual sacrifices|Burnt offering 
བྱ-སྐྱིབས-སུ-བྱས-པ	Burrowed out crevice
བུསྤ	 Busā|Busā 
བུ-སྟོན-རིན-ཆེན-གྲུབ	Butön
ཨ-པ-ར-ཛི-ཏ-དཀར-པོ	Butterfly pea
དཔྱིད-བཟླ-དང-པོ	 Caitra|Caitra 
མཆོད-རྟེན	 Caitya | Memorial | Shrine | Stūpa| Stūpa |Memorial 
འོད-འཕྲོའི-ཏོག	 Caityaka|Caityaka 
འཁོར-ལོ	 Chakra | Wheel| Wheel |Chakra 
མེ-ཏོག-འཁོར-ལོ	 Cakra|Cakra 
ཁོར-ཡུག	 Cakravāla | Cakravāḍa | Perimeter wall|Cakravāḍa 
འཁོར-ཡུག	 Cakravāla | Cakravāḍa | Mount Cakravāla| Mount Cakravāla |Cakravāla 
གྲོང-ཁྱེར-འཁོར-ཡུག	 Surrounding City|Surrounding City 
གྲོང-ཁྱེར-ཁོར-ཡུག	 Cakravālapur|Cakravālapur 
ཁོར-ལོས-སྒྱུར-བའི-རྒྱལ-པོ	 Universal monarch|Universal monarch 
འཁོར-ལོས-སྒྱུར-བ	 Cakravartin| Cakravartin |Cakravartin 
རྣམ-པར-གནོད-པར-བྱེད-པ	Calamitous
གོ-སྐོན	Call up
ཞི-བ	 Calmness | Pacifying | Peace | Peaceful| Peaceful | Śānta |Calm 
མ-ཞི-བ	 Not calm|Not calm 
ཤིན-ཏུ-ཞི-བ	 Utterly calm|Utterly calm 
རབ-ཏུ-ཞི-བ-རྣམ-པར-དུལ-བའི-དབང-ཕྱུག	 Lord of Peace and Calm| Lord of Peace and Calm |Lord of Peace and Calm 
ཕྲ-མ-རྡོ-རྗེ-མ	Calumny Vajrī
བྱིན-པ-རི-དགས-ཨེནེཡའི-ལྟ-བུ-དང-ལྡན-པ	Calves resembling those of an antelope
ཙམ-པ	 Campā|Campā 
ཙམ-པ-ཀ	 Campaka | Magnolia| Magnolia |Campaka 
མེ-ཏོག-ཙམ-པ-ཀའི-ཁ-དོག	 Campakavarṇā|Campakavarṇā 
ག-བུར	Camphor
ཀ-སྟུ-ར	Camphor
ཙ-མུཎྜཱ	 Cāmuṇḍā|Cāmuṇḍā 
གདོལ-པ-མོ	 Caṇḍā|Caṇḍā 
གདོལ-མ-གཏུམ-མོ	 Caṇḍa Caṇḍālinī|Caṇḍa Caṇḍālinī 
གདོལ-པ	 Caṇḍāla|Caṇḍāla 
གདོལ-བའི-རིགས	 Outcaste|Outcaste 
གཏུམ-མོ	 Caṇḍālikā | Caṇḍī | Inner heat|Caṇḍālikā 
ཙན-དན	 Candana | Sandalwood| Sandalwood |Candana 
ཙནྡན	 Candana|Candana 
ཙན-དན-གྱི-དཔལ	 Candanaśrī|Candanaśrī 
ཙན-དན-གྱི-མེ-ཏོག-གཟི-བརྗིད-སྐར-འོད-ཀྱི-དཔལ	 Candana­kusuma­tejo­nakṣatra­prabhāsa­śrī|Candana­kusuma­tejo­nakṣatra­prabhāsa­śrī 
གཏུམ-པོ-ཁྲོ-བོ-ཆེན-པོ	 Caṇḍa­mahā­roṣaṇa|Caṇḍa­mahā­roṣaṇa 
གཏུམ-པོ-ཁྲོ-བོ	 Caṇḍa­mahā­roṣaṇa|Caṇḍa­mahā­roṣaṇa 
གཏུམ-པོ	 Caṇḍa­mahā­roṣaṇa|Caṇḍa­mahā­roṣaṇa 
ཟླ-བ	 Candra | Moon | Soma| Soma |Candra 
མེ-ཏོག-ཟླ-བ	 Candra| Candra |Candra 
རི-བོང-ཅན	 Moon| Moon |Moon 
ཟླ-བའི-སྒྲོན-མ	 Lamp of the Moon [or Immaculate Moon]| Lamp of the Moon [or Immaculate Moon] |Lamp of the Moon [or Immaculate Moon] 
ཟླ-བའི-འོད-ཟེར	 Candrabhānu|Candrabhānu 
ཟླ-བ-འབྱོར-པ	 Candrabhūti|Candrabhūti 
ཟླ-གདུགས	 Candracchattra|Candracchattra 
ཟླ-བའི-གླིང	 Candradvīpa|Candradvīpa 
ཟླ-འོད-མ	 Candrakāntā|Candrakāntā 
ཟླ-བ-ལྟར-མཛེས-མ	 Candrakāntā|Candrakāntā 
ཟླ-བ-གྲགས-པ	 Candrakīrti| Candrakīrti |Candrakīrti 
ཟླ-བའི-ཞལ	 Candrānana|Candrānana 
ཟླ-བའི-འོད	 Candraprabha| Candraprabha |Candraprabha 
ཟླ-འོད	 Candraprabha| Candraprabha |Candraprabha 
ཟླ-འོད-གཞོན-ནུ	 The youth Candraprabha| The youth Candraprabha |The youth Candraprabha 
ཉི-ཟླ-སྒྲོན-མ	 Candra­sūrya­pradīpa| Candra­sūrya­pradīpa | Candrārkadīpa |Candrārkadīpa 
ཟླ-བའི-དཔལ	 Candraśrī|Candraśrī 
ཉི-ཟླའི-འོད-དཔལ	 Candrasūryaśrī|Candrasūryaśrī 
ཟླ-བའི-སྙིང-པོ	 Candra­garbha|Candra­garbha 
ཉི-ཟླ-ཟིལ-དུ-རླག-པར-བྱེད-པའི-འོད-དང-ལྡན-པ	 Candra­sūrya­jihmī­kara­prabha’s|Candra­sūrya­jihmī­kara­prabha’s 
ཉི-ཟླ-དང-འཇིག-རྟེན-གསུམ-འཛིན-པ	 Candra­sūrya­trailokya­dhārin|Candra­sūrya­trailokya­dhārin 
ཉི-ཟླ-དྲི-མ-མེད-པའི-འོད-དཔལ	 Candra­sūrya­vimala­prabhāsa­śrī|Candra­sūrya­vimala­prabhāsa­śrī 
གཟུགས-སུ-རུང-བ	 Capable of assuming material form|Capable of assuming material form 
གཟུང-བའི-ཚིག	 Captivating speech|Captivating speech 
བརྐུས-པ	Captive
སྤྱོད-པ-ཅན	 Sādhu|Sādhu 
སྤྱོད-པ-བ	 Caraka|Caraka 
སྤྱོད-པ-པ	 Sectarian vagabond|Sectarian vagabond 
ལྷོག-པ	Carbuncles
ཕྲིན-ལས-ཆུང-བ	 Carefree inaction|Carefree inaction 
བག-མེད-པ	Carelessness
ལྷག-པར-བྱ-བ-བྱེད	Carried out their duties
སྤྱོད-པའི-བློ-གྲོས	 Caryamati | Intelligence in Conduct| Intelligence in Conduct |Caryamati 
སྤྱོད-པའི-རྒྱུད	 Caryātantra|Caryātantra 
སྦྱོད-རྒྱུད	 Caryātantra|Caryātantra 
ཨེ-རཎྜ	Castor-oil plant
འཇིག-རྟེན-སྐྱོང-བ-བཞི-དང-ལྔའི-དཔལ	 Catuḥpañca­lokapāla­śrī|Catuḥpañca­lokapāla­śrī 
རྒྱལ-པོ-ཆེན-པོ-བཞིའི-རིས	 Cāturmahā­rāja­kāyika|Cāturmahā­rāja­kāyika 
རིག-བྱེད-བཞིའི-དཔལ	 Caturvedaśrī|Caturvedaśrī 
རྒྱལ-ཆེན-བཞིའི-རིས	 Catur­mahā­rāja­kāyika | Heaven of the Four Great Kings| Heaven of the Four Great Kings |Catur­mahā­rāja­kāyika 
ཙཽ-ར	 Caurī|Caurī 
བྱེད-རྒྱུ	Causal factors
རྒྱུ	Cause
ཤེས-པ-འཇུག	 Cause one to know|Cause one to know 
འགག-པ	Ceasing
མི-འགག-པ	 Non-ceasing|Non-ceasing 
ཁང-བརྩེགས	Celestial chariot
ཙེ-ལུ	 Celu|Celu 
གཙོ-བོ	Central deity
སྲོག-ཤིང	 Central pillar|Central pillar 
ཀླད-རྒྱས	Cerebral secretion
སྣམ-སྦྱར	 Outer patched robe|Ceremonial robe 
དབྱིངས-སུ-ངེས-པ	 Certainty in the Expanse of Reality| Certainty in the Expanse of Reality |Certainty in the Expanse of Reality 
འགོག-པ	 Cessation|Cessation 
ཁྱད-པར-དགའ-བ	 Joy of cessation| Joy of cessation |Joy of cessation 
འགོག-པའི-ཁམས	 Element of cessation| Element of cessation |Element of cessation 
འགོག-པའི-སྙོམས-པར-འཇུག-པ	 Equipoise in cessation| Equipoise in cessation |Equipoise in cessation 
གཏི-མུག-ཟད-པ	 Cessation of delusion| Cessation of delusion |Cessation of delusion 
འདོད-ཆགས-ཟད-པ	 Cessation of desire| Cessation of desire |Cessation of desire 
ཞེ-སྡང-ཟད-པ	 Cessation of hatred| Cessation of hatred |Cessation of hatred 
ཟག-པ-ཟད-པ	 Cessation of contaminants | Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased| Definitive knowledge that through one’s own extrasensory powers one has actualized, achieved, and maintained in this very lifetime the liberation of mind and the liberation of wisdom in the state that is free from contaminants because all contaminants have ceased |Cessation of contaminants 
