འབྲས	རང་འབྲས
རྡོ-རྗེ-སྐྱིལ-ཀྲུང	ཞབས་གཉིས་རྡོར་སྐྱིལ་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ།
རྡོ-རྗེ-སྐྱིལ-མོ-ཀྲུང	ཞབས་གཉིས་རྡོར་སྐྱིལ་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ།
རྡོལ-བ	ཤིན་དུ་དྭངས་པའི་ཆུ་ལས་ཆུ་བུར་རྡོལ་བ་ལྟ་བུའོ
རྡོར-བཟླས	རྡོར་བཟླས་ཀྱི་བཏུམ་མོ་སྦར་ནས་ཞུ་བ
རྡོར-སྐྱིལ	ཞབས་གཉིས་རྡོར་སྐྱིལ་ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ།
རྒྱལ-ཁམས	བསོད་ནམས་ཆུང་བའི་རྒྱལ་ཁམས་སྨིན་བྱའི་ཕྱིར།
རྒྱལ-ཁྲིམས	སྤྱིར་རྒྱལ་ཁྲིམས་ལ་བརྟེན་ནས་ཆོས་ཁྲིམས་བྱུང་སྟེ།
རྒྱལ-པོ	འཁོར་ལོས་བསྒྱུར་བའི་རྒྱལ་པོ
རྒྱན-སྡུད	ཀྱང་ཡང་འང་གསུམ་རྒྱན་སྡུད་དེ
རྒྱུ-མཚན	རྟོགས་སླ་བའི་རྒྱུ་མཚན་གྱིས་ཡིན་ལ
རྒྱུ-ཚོགས	རྒྱུའི་ཚོགས༏་༡.་ལྷག་མཐོང་གི་རྒྱུ་ཚོགས་༏་༢.་རྒྱུའི་ཚོགས་མེད་དུ་མི་རུང་བ
རྒྱུའི-ཚོགས	རྒྱུ་ཚོགས༏་༡.་རྒྱུའི་ཚོགས་མེད་དུ་མི་རུང་བ་༏་༢.་ལྷག་མཐོང་གི་རྒྱུ་ཚོགས
རྒྱུས-མེད	སྒྱུ་མའི་རྒྱུས་མེད་པའི་ལྟད་མོ་བ
རིགས-མཐུན-པ	རིགས་མཐུན་པའི་ཟླ་བཅས་ཀྱི་རྡུལ་ཕྲན་ཚོགས
རྗེས-འཇུག	ག་ང་ད་ན་བ་མ་འ།་ར་ལ་ས་རྣམས་རྗེས་འཇུག་བཅུ།
རྗེས-མཐུན	༡.་དང་མཉམ་པ་རྗེས་མཐུན་༏་༢.་འདི་ནི་སེམས་དབེན་རྗེས་མཐུན་ཡིན་པས
རྗེས-ཐོབ	མཐོང་ལམ་ལ་དབྱེ་ན་གཉིས་ཡོད་དེ་མཉམ་བཞག་ཡེ་ཤེས་དང་རྗེས་ཐོབ་ཡེ་ཤེས་དེ་དེ་ཡིན་པའི་ཕྱིར
རླན-གཤེར	རླན་གཤེར་ཕོར་གང་ལ་ཐུན་མོང་དུ་ལྟས་པའི་ཚེ
རློམ	༡.་བདེན་པར་མངོན་པར་རློམ་པ་མེད་པའི་ཕྱིར་༏་༢.་ཁས་ལེན་པར་རློམ་པའི་ཕྱིར་༏་༣.་ཕན་པར་རློམ་ནས་བྱས་པ
རླུང	རླུང་མཁྲིས་བད་ཀན་འདུས་པའི་ནད་ཆེན
རྨད-དུ-བྱུང-བ	འདི་རྨད་དུ་བྱུང་བའི་ལེགས་བཤད་ཅིག་འདུག་སྟེ
རྨི-ལམ	རྨི་ལམ་གྱི་སྔོན་པོ་སྔོན་པོར་གསལ་བར་སྣང་བའི་རྨི་ལམ་གྱི་ཤེས་པ
རྣམ-འགྱུར	བདེ་སྟོང་གི་རྣམ་འགྱུར
རྣམ-བརྟགས	གཉིས་སྣང་སྔ་མ་ནི་ཀུན་བརྟགས་དང་ཕྱི་མ་ནི་རྣམ་བཏགས་ཡིན་པའི་ཕྱིར།་གཉིས་སྣང་སྔ་མ་ནི་ཀུན་བརྟགས་དང་ཕྱི་མ་ནི་རྣམ་བཏགས་ཡིན་པའི་ཕྱིར།
རྣམ-ཅན	ཐོག་མར་བདེན་པའི་རྣམ་ཅན
རྣམ-གྲོལ-ལམ	མཐོང་ལམ་རྣམ་གྲོལ་ལམ
རྟགས	༡.་རྟགས་མ་གྲུབ་༏་༢.་དོན་སྒྲུབ་ཀྱི་རྟགས
རྟེན-ལ-ཡོད-པ	འཁུརུཨུལ་རྒྱུ་རྟེན་ལ་ཡོད་པ
རྟོག-གེ	རྒྱུ་མེད་པར་ནི་རྟོག་གེ་འདོད
རྟོག-པ	༡.་དངོས་པོ་ལ་ཡང་དག་པར་རྟོག་པ་ནི་༏་༢.་རྟོག་པས་བཏགས་ཙམ་གྱི་ཆོས་༏་༣.་སོ་སོར་རྟོག་པ་ཡིད་ལ་བྱེད་པ་༏་༤.་རྟོག་པ་ལ་གཉིས་སྣང་ཡོད་པ་སྣང་ངོར་དོན་སྤྱི་སྣང་བ
ས	༡.་རིགས་པའི་ས་༏་༢.་བརྒྱད་པའི་ས་༏་༣.་མཐོང་པའི་ས་༏་༤.་བསྲབས་པའི་ས་༏་༥.་འདོད་ཆགས་དང་བྲལ་བའི་ས་༏་༦.་བྱས་པ་རྟོགས་པའི་ས
ས-བརྒྱད-པ	ས་བརྒྱད་པར་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ
སད-མི-མི-བདུན	དེ་གོང་དུ་བཙུན་པ་མེད་ལ་སད་མི་མི་བདུན་ལ་སོགས་པ་རབ་ཏུ་བྱུང་སྟེ།
སེལ	དྲི་མ་ཕྲ་མོ་ཅུང་ཟད་ཀྱང་སེལ་མི་ནུས
སེམས-དཔའི-སྐྱིལ-ཀྲུང	སེམས་དཔའི་སྐྱིལ་མོ་ཀྲུང་ནི།་དེ་བཞིན་དུ་ཅུང་ཟད་ཙམ་གྱིས་རྐང་པ་གཡས་པ་བརླ་གཡོན་པའི་སྟེང་དུ་བཞག་པའོ།
སེམས-དཔའི-སྐྱིལ-མོ-ཀྲུང	སེམས་དཔའི་སྐྱིལ་མོ་ཀྲུང་ནི།་དེ་བཞིན་དུ་ཅུང་ཟད་ཙམ་གྱིས་རྐང་པ་གཡས་པ་བརླ་གཡོན་པའི་སྟེང་དུ་བཞག་པའོ།
སྒོ	༡.་ཁྱབ་པ་སྒོ་བརྒྱད་༏་༢.་རིགས་པའི་སྒོ་དུ་མ་ནས
སྒོ-བ	བག་ཆགས་སྒོ་བ
སྒོ-ནས	དེའི་སྒོ་ནས
སྒོས	༡.་བག་ཆགས་བསྒོ་གཞི།༏་༢.་སྒོས་ཆོས།
སྒྲ	སྒྲ་ཆོས་ཅན་མི་རྟག་སྟེ་བྱས་པའི་ཕྱིར
སྒྲ-གཅན	ཉི་ཟླ་གཅན་གསུམ
སྒྲ-ཇི-བཞིན-དུ	སྒྲས་ཟིན་སྒྲ་ཇི་བཞིན་དུ་ཁས་ལེན་དུ་མི་རུང་བའི་མདོ
སྒྲ-ཇི-བཞིན-པ	སྒྲ་ཇི་བཞིན་པར་བཟུང་བས་ཆོག་ཀྱང
སྒྲ-རིག-པ	དེས་གཞོན་ནུའི་ཚེ་བྲམ་ཟེ་ལྷའི་དབང་པོ་ཞེས་བྱ་བ་དང་།་རྒྱལ་རིགས་ཉི་མའི་བློ་གྲོས་ལ་སྒྲ་རིག་པ་བརླབ་སྟེ།
སྒྲིབ-པ	༡.་ཤེས་སྒྲིབ་༏་༢.་ཉོན་སྒྲིབ
སྒྲིན	།བོད་ཀྱི་མི་ནི་སྒྲིན་ལ་ཚོར་རྐྱེན་ཏེ།
སྒྱུ-མ	ཀུན་རྫོབ་སྒྱུ་མ་ལྟ་བུའི་སྟོང་པ་མངོན་སུམ་དུ་རྟོགས་པའི་ཡེ་ཤེས
སྒྱུ-འཕྲུལ-དྲ-བ	འཇམ་དཔལ་གྱི་སྒྱུ་འཕྲུལ་དྲྭ་བའི་རྒྱུད
སྒྱུ-འཕྲུལ-དྲྭ-བ	འཇམ་དཔལ་གྱི་སྒྱུ་འཕྲུལ་དྲྭ་བའི་རྒྱུད
སྒྱུར	༡.་གྲུབ་མཐས་བློ་བསྒྱུར་བ་༏་༢.་གླིང་བཞི་དབང་བསྒྱུར་བའི་རྒྱལ་པོ་༏་༣.་འཁོར་ལོས་བསྒྱུར་བའི་རྒྱལ་པོ
ཤ	ཤ་རུས་ལ་སོགས་པ་དང་བྲལ་བས
ཤིག	སྒྲོན་མེར་ཟུང་སིག
ཤིས-པ	གང་ཤིས་པ་འཆིང་བ
སྐབས-སུ-བབ-པ	སྐབས་སུ་བབ་པ་གང་ཡིན་དེའི་ང་རྒྱལ་གྱིས་སྐབས་སུ་བབས་པ་རྣལ་འབྱོར་རྒྱུད་ཀྱི་གསུངས་ཚུལ
སྐབས-སུ-བབས-པ	སྐབས་སུ་བབ་པ་གང་ཡིན་དེའི་ང་རྒྱལ་གྱིས་སྐབས་སུ་བབས་པ་རྣལ་འབྱོར་རྒྱུད་ཀྱི་གསུངས་ཚུལ
སྣང-བ-མེད-པ	སྣང་བ་མེད་པའི་ཚུལ་གྱིས་སྣང
སྤེལ	བློ་དམན་རིག་པའི་སྣང་བ་རྒྱས་ཕྱིར་སྤེལ
སྤོ	ལག་པ་གཡས་གཡོན་དུ་སྤོ་བ་བཞིན
སྤྱི-བོ	མཛུབ་མོ་གཉིས་ཀྱི་རྩེ་མོ་སྦྱར་ཏེ།་ལྡོག་ནས་སྤྱི་བོར་བཞག་པ
སྤྱི-མཚན	སྤྱིའི་མཚན་ཉིད༏་མི་རྟག་པ་ལ་སོགས་པ་ཐུན་མོང་བ་ནི་སྤྱིའི་མཚན་ཉིད་དོ།
སྤྱོད	ནང་པས་ཤ་ལྔ་བདུད་རྩི་ལྔ་ལ་སོགས་པ་སྤྱོད་ཅིང
སྤྱོད-པ	༡.་ཆགས་བྲལ་གྱི་སྤྱོད་པ་༏་༢.་ཕམ་པ་བཞི་ཆར་ལ་སྤྱོད་པ
ཐ-དད	བུམ་པ་དང་ཐ་དད
ཐ-སྙད	ཕྱི་དོན་ཐ་སྙད་དུ་ཞལ་གྱིས་བཞེས
ཐབས	༡.་གྲུབ་ཐབས་༏་༢.་ཐབས་ལ་མཁས་པ་༏་༣.་ངོ་བོ་ཉིད་སྐུ་ཐོབས་པའི་ཐབས་༏་༤.་གཞན་ཕན་གྱི་ཐབས
ཐག-བཅད	གང་ཟག་རང་བཞིན་མེད་པར་ཐག་བཅད་ཀྱང
ཐག-ཆོད	༡.་དོན་ལ་ཕུ་ཐག་ཆོད་པའི་ལྟ་བ་༏་༢.་སོས་ཐག་ཆོད་ཀྱང
ཐང	རི་མེད་པའི་ཐང
ཐེ-བོ	རྡོ་རྗེ་ཐལ་མོའི་མཐེ་བོང་གཉིས་བརྐྱང་ལ་མཛུབ་མོ་གཉིས་མཆེ་བ་ལྟ་བུར་བྱས་པ་ནི།་རྡོ་རྗེ་གནོད་སྦྱིན་གྱི་ཕྱག་རྒྱའོ།
ཐེབས	༡.་ལྷ་དྲན་ཐེབས་གཅིག་༏་༢.་སྐྱེད་ཐེབས་རེས་ཆོག་གོ
ཐོབ	༡.་ཉེར་ཐོབ་༏་༢.་མ་ཐོབ་པ་འཐོབ་པའི་ཕྱིར་དུ་སྒོམ་པ
ཐོན	བཅོས་མིན་གྱི་མྱོང་བ་ཐོན་པ་ནས་བཟུང་སྟེ
ཐུབ-པ	སྐད་ཅིག་མ་གཅིག་ལ་སྤོང་ཐུབ་པ་ལ་བྱེད་རིགས་པའི་ཕྱིར
ཚུལ-བཞིན-དུ	དེ་ཚུལ་བཞིན་དུ་འཆད་པའི་མཁས་པ
ཡོད	སྟོང་ཉིད་མངོན་སུམ་དུ་རྟོགས་ཟིན་མ་ཉམས་པ་སྔར་ནས་ཡོད་པས
ཡོད-ན	ཡོད་ན་དགག་མི་ནུས
ཡུལ-ཅན	དོན་གྱི་རང་མཚན་ཐོབ་པའི་ཡུལ་ཅན
ཡུལ-ཅན-གྱི-དགག-བྱ	ཡུལ་ཅན་གྱི་དགག་བྱ་མེད་ན་དགག་མི་དགོས
ཞེན-གཞི	གཟུགས་སོགས་རྟོག་པའི་ཞེན་གཞི་ཡིན་པ
ཞེན-པ	༡.་མངོན་པར་ཞེན་པའི་དབང་གིས་༏་༢.་ཐ་མལ་གྱི་ཞེན་པའི་གཉེན་པོར་༏་༣.་དེ་འདྲའི་ཀུན་བཏགས་རང་གི་མཚན་ཉིད་ཀྱིས་གྲུབ་པར་ཞེན་པའི་རྟོག་པ
ཞེན-ཡུལ	༡.་བདག་འཛིན་གྱི་ཞེན་ཡུལ་༏་༢.་གཟུགས་སོགས་རྟོག་པའི་ཞེན་ཡུལ་ཡིན་པ
ཟློས-པའི-གར	བློ་གཏེར་འཇམ་དཔལ་དབྱངས་ཉིད་ཟློས་པའི་གར།་།བློ་བཟང་གྲགས་པའི་དཔལ་ལ་ཕྱག་འཚལ་ལོ།
ཟུང-འབྲེལ	ཞི་ལྷག་ཟུང་འབྲེལ
ཟུང-འཇུག	མི་སློབ་པའི་ཟུང་འཇུག་འགྲུབ་པ་ལ
ཟུངས	གནད་དོན་མ་ནོར་པར་ཟུངས་ཤིག
ཟུར	རགས་པ་ལས་ཟུར་དུ་ཕྱེ་བའི་རྨི་ལམ་གྱི་ལུས་ལྟ་བུ
