བྲས-བུ	resultant level
མིག-གི-སྤྱོད-ཡུལ-དུ-འགྱུར-བའི-གཟུགས	forms of physical phenomena that can become objects of experience of the eyes
མིང	name
མིང-འདོགས-པ	mental labeling
མིང-དང-གཟུགས-ཀྱི-ཡན-ལག	link of nameable mental faculties with or without gross form
མཁའ-འགྲོ	 daka|celestial maiden whose movements are unimpeded by ignorance 
མཁའ-འགྲོ-མ	dakini
མཁས-པའི-དམིགས-པ	object of focus with knowledge
མངོན-འདོད-ཀྱི-དད-པ	belief in a fact with an aspiration
མངོན-བྱང-གི-སྐུ	 corpus of manifest enlightenment of a buddha|Corpus of Manifest Enlightenment 
མངོན-གྱུར	obvious phenomenon
མངོན-པར-གྲུབ-པའི-འབྲས-བུའི-ཡན-ལག	resultant links of what is actualized
མངོན-པར-སྐབས-ཡོད-པའི-གཟུགས	forms of physical phenomena existing in actual situations
མངོན-རྟོགས	antecedent practice for realization
མངོན-ཤེས	advanced awareness
མངོན-སུམ	 straightforward cognition|bare cognition 
མངོན-སུམ-ཚད-མ	 valid straightforward|valid bare cognition 
མཉམ-བཞག	total absorption
མཉམ-ཉིད	equality
མཉམ-ཉིད-ཡེ-ཤེས	equalizing deep awareness
མོ	prognostication
མོས-པ	firm conviction
མཐར-འཛིན-པའི-ལྟ-བ	extreme outlook
མཐར-ཐུག	ultimate level
མཐར-ཐུག-ཐེག-པ	ultimate vehicles of mind
མཐར-ཐུག-གི-སྐྱབས-གནས	ultimate source of safe direction
མཐོ-རིས	superior rebirth state
མཐོང-ལམ	seeing pathway mind
མཐུན-འགྱུར	helping passages
མཚམས-མེད-ལྔ	five heinous crimes
མཚམས-སྦྱོར	connecting passages
མཚན-བཟང-པོ-གསུམ-ཅུ-རྩ-གཉིས	thirty-two excellent signs
མཚན-བཅས	with signs
མཚན-མེད	without signs
མཚན-ཉིད	defining characteristic mark
མཚན-ཞབས	Master Debate Partner
མཚོན-བྱེད-ཀྱི-ཆོས	exemplifying topic
མཚུངས-ལྡན	congruent
མཚུངས-ལྡན-ལྔ	 sharing five congruent factors|five congruent features 
མཚུངས-ལྡན-མེད-པ	noncongruent
མཚུངས-ལྡན-གྱི-རྒྱུ	congruent cause
མུ-བཞི	tetralemma
མུ-གསུམ	trilemma
མུ-སྟེགས-པ	non-Buddhist extremist
མྱ-ངན-འདས	nirvana
མྱོང-བ-རྒྱུ-མཐུན-གྱི-འབྲས-བུ	result that corresponds to its cause in one's experience
ནག-པོའི-ཆོས-བཞི	four types of murky behaviour
ནང-གི-དཀྱིལ-འཁོར	inner mandala
ནང-མཆོད	inner offering
ངན-འགྲོ	worse rebirth states
ངན-འགྲོ-གསུམ	three worse rebirth states
ངང-གིས-གནས	naturally settle down
ངར	sharp focus
ངར-འཛིན	 self-preoccupation|preoccupation with "me" 
ངེས-འབྱིན-པ	means for definite removals
ངེས-འབྱུང	 renunciation|definite emergence 
ངེས-དོན	 implicit suggested meaning|definitive teaching 
ངེས-པ	decisively determine
ངོ-འཕྲོད	meet face to face
ངོ-བོ	essential nature
ངོ-བོ-གཅིག	same essential nature
ངོ-བོ-ཉིད-ཆོས-སྐུ	Svabhava-dharmakaya
ངོ-བོ-ཉིད-སྐུ	 corpus of essential nature of a buddha|Corpus of Essential Nature 
ངོ-བོའི-རིག-པ	essence rigpa
ངོ-སྤྲོད	get to know face to face
ངོ-ཚ-མེད-པ	 no sense of moral self-dignity|no moral self-dignity 
ངོ-ཚ-ཤེས-པ	moral self-dignity
ངོས-བཟུང	identifiable
ནུས-པ	potentials
ཉམས	boon experience
ཉན-ཐོས	shravaka
ཉན-ཐོས-འཕགས-པ	arya shravaka
ཉན-ཐོས-དགྲ-བཅོམ	shravaka arhat
ཉེ-བརྒྱུད	near lineage
ཉེ-ཉོན	auxiliary disturbing emotions
ཉེར-ལེན-གྱི-ཕུང-པོ	obtaining aggregates
ཉེར-ལེན-གྱི-རྒྱུ	obtaining cause
ཉེར-ལེན-གྱི-ཡན-ལག	link of an obtainer
ཉེར-ཐོབ	threshold
ཉེས-བྱས	 faulty behaviour (46 types of)|faulty actions 
ཉོན-མོངས	disturbing emotion or attitude
ཉོན-མོངས-ཀུན-བརྟགས	doctrinally based disturbed emotions and attitudes
ཉོན-མོངས-ལྷན-སྐྱེས	automatically arising disturbing emotions and attitudes
ཉོན-མོངས-ཀྱི-མིང-བཏགས-པ	nominal disturbing attitude
ཉོན-མོངས-པ-རྣམ-པར-སྦྱོང-བའི-དམིགས-པ	object of focus for cleansing oneself of disturbing emotions and attitudes
ཉོན-སྒྲིབ	emotional obscurations
ཉོན-ཡིད	deluded awareness
ཕ-རྒྱུད	father tantra
ཕ-རོལ-ཏུ-ཕྱིན-པ	far-reaching attitude
ཕའི-དགེ-འདུན-རྐྱང-པའི-བསྙེན-པར-རྫོགས-པ	single bhikshu sangha ordination
ཕན-སེམས	benevolence
ཕོ-བ	phowa
ཕྲག-དོག	jealousy
ཕུང-པོ	 aggregate factors of experience | five aggregate factors of experience|aggregate 
ཕུང-པོ-ལྔ	five aggregate factors
ཕྱག-རྫོགས-ཟུང-འཇུག	unified pair of mahamudra and dzogchen
ཕྱག-རྒྱ	 sealing partner|mudra 
ཕྱག-རྒྱ-ཆེན-པོ	mahamudra
ཕྱི-དོན	external phenomenon
ཕྱིའི-དཀྱིལ-འཁོར	outer mandala
ཕྱིའི-མཆོད-པ	outer offerings
ཕྱིར-འཆོས	expiation ritual
རབ-སྐྱེས	strong producer
རབ-ཏུ-འབྱུང-བ	homeless renunciate
རང-བཅེས-པར-འཛིན-པ	self-cherishing
རང-བབས	state that mind naturally falls to
རང-བབས-གཉུག-མའི-དྲན-པ	primordial mindfulness of having dropped down to the natural state
རང-བྱུང-ཡེ-ཤེས	self-arising deep awareness
རང-བཞིན	 self-nature|functional nature 
རང-བཞིན-དབྱེར-མེད	natural inseparability
རང-བཞིན-གནས-རིགས	naturally abiding family-traits
རང-བཞིན-གྱི-དྲི-མ	self-established stain
རང-བཞིན-གྱི-ཁ-ན-མ-ཐོ-བ	 naturally unspeakable action|naturally uncommendable action 
རང-བཞིན-གྱི-མྱ-ངན-འདས	natural nirvana
རང-བཞིན-གྱིས-གྲུབ-པ	existence established by self-nature
རང-གི-མཚན-ཉིད	individual defining characteristic mark
རང-གི-ངོ-བོ	essential nature as itself
རང-གིས	reflexively
རང-གྲོལ	 automatic liberation|automatically releases itself in its own place 
རང-ལྡོག	items conceptually isolated by themselves
རང-མཚན	objective entities
རང-ངོ	own face
རང-ངོ-ཤེས-པ	awareness of its own face
རང-རྒྱལ	pratyekabuddha
རང-རྒྱལ-འཕགས-པ	arya pratyekabuddha
རང-རྒྱལ-དགྲ-བཅོམ	pratyekabuddha arhat
རང-རྒྱུད-པ	Svatantrika
རང-རིག	reflexive awareness
རང-རིག-ཡེས-ཤེས	reflexive deep awareness
རང-རྐྱ-ཐུབ-པའི-རྫས-ཡོད	 self-sufficiently knowable phenomenon|self-sufficiently knowable 
རང-སར-ཞི	naturally still in their own place
རང-སྣང	reflexive appearance
རང-སྟོང	self-voidness
རས-བྲིས-ཀྱི-དཀྱིལ-འཁོར	cloth mandala
རྡོ-རྗེ-དབྱུག-པ	having a vajra stick
རྡོ-རྗེ-གསུམ	three diamond-strong convictions
རྡོ-རྗེ-ལུས	vajra-body
རྡོ-རྗེ-སྐྱིལ-ཀྲུང	vajra posture
རྡོ-རྗེ-སློབ-དཔོན	tantric master
རྡོ-རྗེ-ཐེག-པ	Vajrayana
རྡོ-རྗེ-ཡེ-ཤེས-ཀྱི-དབང	vajra deep awareness empowerment
རྡོ-རྗེ-ཨི-སྐུ	 vajra corpus of a buddha|Vajra Corpus 
རྡུལ-ཕྲན-གྱི-དཀྱིལ-འཁོར	powdered sand mandala
རྫས	natal source
རྫས-སུ-གྲུབ-པ	substantially established existence
རྫོགས-བྱེད-ཀྱི-ལས	completing karma
རྫོགས-ཆེན	dzogchen
རྫོགས-པ	exhaust and finish
རྫོགས-རིམ	complete stage
རྫུ-འཕྲུལ	extraphysical emanations
རྫུ-འཕྲུལ-གྱི-མངོན-ཤེས	advanced awareness for extraphysical emanation
རེག-བྱ	physical sensations
རེག-པ	contacting awareness
རེག-པའི-ཡན-ལག	link of contacting awareness
རྒ-ཤི	aging and dying
རྒ-ཤིའི-ཡན-ལག	link of aging and dying
རྒོད-པ	flightiness of mind
རྒྱལ-བ	 Triumphant One|The Triumphant One 
རྒྱལ-སྲས	spiritual offspring of the Triumphant Ones
རྒྱན	filigree
རྒྱས-འགྱུར-གྱི-རིགས	evolving family-traits
རྒྱས-པ	stimulating others' good qualities
རྒྱུ	cause
རྒྱུ-འབྲས-མན-ངག-བདུན	seven-part cause and effect quintessence teaching for developing bodhichitta
རྒྱུ-དུས-ཀྱི-རྣམ-ཤེས-ཀྱི-ཡན-ལག	link of loaded consciousness at the time of the cause
རྒྱུ-མཐུན-གྱི-འབྲས-བུ	result that corresponds to its cause
རྒྱུའི-ཀུན-སློང	causal motivating aim
རྒྱུའི-རྐྱེན	causal conditions
རྒྱུའི-སྐྱབས-འགྲོ	causal taking of safe direction
རྒྱུད	tantra
རྒྱུན	stream of continuity
རི-བོ-རལ-བའི-སྐད	mountain-cracking voice
རིག-གནས-ལྔ	five major fields of knowledge
རིག-མ	pure awareness partner
རིག-པ	pure awareness
རིགས	 family-trait|caste 
རིགས-དྲའི-རྒྱུ	similar family cause
རིགས-ངེས-པའི-བྱང-སེམས	bodhisattva arhats of definite lineage
རིགས-པ	appropriate means
རིགས-པ-བཞི	four axioms
རིགས-པའི-རྗེས-འབྲང	Follower of Logic
རིགས-སྤྱི	kind mental synthesis
རིང-བརྒྱུད	distant lineage
རིས-མཐུན	slant
རྗེ-བཙུན	ennobling, impeccable
རྗེས-དཔག	inferential cognition
རྗེས-དཔག-ཚད-མ	valid inferential cognition
རྗེས-སྣང	subsequent permission
རྗེས-སུ-གནང-བའི-གསུང	permitted words
རྗེས-ཐོབ	 subsequent attainment phase|subsequent attainment 
རྐྱང-མ	left energy-channel
རྐྱེན	condition
རླུང	energy-wind
རླུང-ཕྲ-མོ	subtle energy-winds
རྨད-དུ-བྱུང-བ	fabulous accounts
རྨི-ལམ-གྱི-གཟུགས	dream body
རྨོངས-བྱེད	make one stupefied
རྨོངས-ཆ	dumbfoundedness
རྨོངས-པ	bewilderment
རྨུགས-པ	foggy-mindedness
རྣལ-འབྱོར-བཞི	four yogas
རྣལ-འབྱོར-སྤྱོད-པ	Yogachara
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ-རང-རྒྱུད-པ	Yogachara-Svatantrika
རྣལ-འབྱོར-མ	yogini
རྣམ-འཕྲུལ	miraculous emanations
རྣམ-གཡེང	mental wandering
རྣམ-གྲངས-མ-ཡིན-པའི-དོན-དམ	nondenumerable ultimate phenomenon
རྣམ-གྲངས-པའི-དོན-དམ	denumerable ultimate phenomenon
རྣམ-མཁྱེན	omniscient realized awareness
རྣམ-པ	mental aspect
རྣམ-པར-རིག-བྱེད-མ-ཡིན-པའི-གཟུགས	nonrevealing form
རྣམ-པར-རིག-བྱེད-ཀྱི-གཟུགས	revealing form
རྣམ-རྟོག	 discursive thought|conceptual thinking 
རྣམ-ཤེས	 primary consciousness | specific awareness|consciousness 
རྣམ-ཤེས-ཡེ-ཤེས	specific and deep awareness
རྣམ-ཤེས-ཀྱི-ཕུང-པོ	aggregate of primary consciousnesses
རྣམ-ཤེས-ཀྱི-ཡན-ལག	link of loaded consciousness
རྣམ-སྨིན-གྱི-འབྲས-བུ	ripened result
རྣམ-སྨིན-གྱི-རྒྱུ	ripening cause
རྙིང-མ	 Old Translation|Nyingma 
རྙིང-མ-པ	Nyingmapa
རོ	tastes
རོ-གཅིག	single taste
རོ-མ	right energy-channel
རོལ-པ	play
རྟག-ལྟ	eternalism
རྟག-པ	 static phenomena|staticness 
རྟགས	line of reasoning
རྟགས-རིག	ways of logical proof
རྟེན	 support|something that supports something else 
རྟེན-འབྲེལ	dependent arising tradition
རྟེན-འབྲེལ-ཡན-ལག-བཅུ-གཉིས	twelve links of dependent arising
རྟེན-ཅིང-འབྲེལ-བར-འབྱུང-བ	dependent arising
རྟེན-པའི-དཀྱིལ-འཁོར	supporting mandala
རྟོག-བཅས	conceptual
རྟོག-མེད-ཤེས-པ	nonconceptual cognition
རྟོག-པ	 conceptual cognition | gross detection|concept 
རྟོགས-གྲོལ-དུས-མཉམ	simultaneous realization and liberation
རྟོགས-པ	 realization | stable realization|apprehend 
རྟོགས-པར-བརྗོད-པ	illustrative accounts
རྩ	energy-channel
རྩ-དབུ-མ	central energy-channel
རྩ-འཁོར	energy-node
རྩ-བའི-བླ-མ	root guru
རྩ-ལྟུང	root downfall
རྩ-ཉོན	root disturbing emotions and attitudes
རྩལ	display
རྩལ-གྱི-རིག-པ	effulgent rigpa
རྩེ-གཅིག	single-pointedness
རྩོལ-བཅས	labored
རྩོལ-མེད	unlabored
རྩོལ-མེད-བྱང-སེམས	unlabored bodhichitta
ས	 ten bhumi levels of minds|bhumi-mind 
ས-བཅུ	ten levels of highly realized minds
ས-བོན	 karmic tendency | leaving a legacy (planting "seeds")|karmic legacy 
ས-བོན-གྱི-ངོ-བོར-གྱུར-བ	karmic force that has taken on the essential nature of a karmic tendency
སངས-རྒྱས	 clear-minded and fully evolved | totally clear-minded and fully evolved|Buddha 
སངས-རྒྱས-ཀྱི-བཀའ	Buddha's enlightening speech
སངས-རྒྱས-ཀྱི-བཀའ-གསུམ	three divisions of Buddha's enlightening speech
སངས-རྒྱས-ཀྱི-རིགས	Buddha-nature
སངས-རྒྱས-ཀྱི-སྤྱན	extrasensory eye of a Buddha
སངས-རྒྱས-ཀྱི-ཞིང	Buddha-field
སར-མ	New Translation
སྦོམ-པོ	thick actions
སྦྱངས-པའི-ཡོན-ཏན	twelve characteristics of observed practice
སྦྱིན-པ	generosity
སྦྱིན-སྲེག	fire-puja
སྦྱོར-བ-བཞི	 four sets of applied realizations|four actions 
སྦྱོར-བཅས-དབྱེར-མེད	joined inseparability
སྦྱོར-ལམ	applying pathway mind
སྡིག-པ	negative karmic force
སྡོམ-པ	vow
སྡུག-བསྔལ-བདེན-པ	true suffering
སྡུག-བསྔལ-བ	miserable phenomena
སྡུག-བསྔལ-གྱི-སྡུག-བསྣལ	suffering of suffering
སེལ-བ	exclude
སེམས	 sem|mind 
སེམས-ཕྲ-མོ	subtle mind
སེམས-ཤིན-ཏུ-ཕྲ-མོ	subtlest mind
སེམས-བྱུང	subsidiary awareness
སེམས-ཅན	limited being
སེམས-དོན	mind's deepest point
སེམས-གནས-དགུ	nine stages of settling the mind
སེམས-ཉིད	 mind-itself|deepest nature of the mind 
སེམས-པ	mental urge
སེམས-པའི-ལས	urging impulse
སེམས-རྒྱུད	mental continuum
སེམས-སྡེ	 semdey|mind division 
སེམས-ཙམ	mind-only
སེམས-ཙམ-པ	Chittamatra
སྒོམ	meditation
སྒོམ-ལམ	accustoming pathway mind
སྒོམ-མེད	no further meditation
སྒྲ	sound
སྒྲ-སྤྱི	audio category
སྒྲིབ	obscuration
སྒྲིབ-པ-ལྔ	five obscurations
སྒྲོ-འདོགས	interpolation
སྒྲུབ-པ	 actualize | affirmation phenomenon|accomplishment 
སྒྲུབ-ཐབས	sadhana
སྒྲུབས-པ	means for actualizations
སྒྱུ-ལུས	illusory body
ཤའི-སྤྱན	extrasensory flesh eye
ཤཀྱའི-ཐུབ-པ	Shakyamuni
ཤར-བ	dawn
ཤེས-བྱ	validly knowable phenomena
ཤེས-བཞིན	alertness
ཤེས-པ	 ways of being aware of something|cognition 
ཤེས-པ-མངོན-གྱུར-བ	manifest cognition
ཤེས-རབ	discriminating awareness
ཤེས-རབ-ཡེ-ཤེས-ཀྱི-དབང	discriminating deep awareness empowerment
ཤེས-རབ-གྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	far-reaching discriminating awareness
ཤེས-རབ-ཀྱི-སྤྱན	extrasensory eye of discriminating awareness
ཤེས-སྒྲིབ	cognitive obscurations
ཤིན-སྦྱངས	sense of fitness
ཤིན-ཏུ-ལྐོག-གྱུར	extremely obscure phenomenon
ཤིན-ཏུ-རྒྱས-པ	epic presentations
ཤིན-ཏུ-སྟོང-པ	very void
ཤུགས-ལ-རྟོགས-པ	implicit apprehension
ཤུགས-ལ-ཤེས-པ	indirect cognition
སྐད-ཅིག	 phase|moment 
སྐད-ཅིག-གཅིག-གིས-རྫོགས-སངས-རྒྱས	enlightenment in an instant
སྐད-ཅིག-མའི-སྦྱོར-བ	realizations applied in the last phase
སྐལ-མཉམ-གྱི-རྒྱུ	equal status cause
སྐེམ-བྱེད	make one dried out
སྐུ	Corpus of a Buddha
སྐུ-བཞི	Four Corpuses of a Buddha
སྐུ-གཉིས	Two Corpuses of a Buddha
སྐུ-གསུམ	Three Corpuses of a Buddha
སྐུ-ལྔ	Five Corpuses of a Buddha
སྐུར-འདེབས	repudiation
སྐུས-བྱིན-གྱིས-རླབས-པའི-བཀའ	enlightening words inspired by Buddha's body
སྐྱབ-འགྲོ-ཙམ-པ-བ	mere taking of safe direction
སྐྱབས	safe direction
སྐྱབས-འགྲོ	take safe direction
སྐྱབས-འགྲོ-བསླབས-བྱ	two sets of action for training, which are helpful for maintaining this (safe) direction
སྐྱབས-འགྲོ-ཁྱད-པར-བ	special taking of safe direction
སྐྱབས-མགོན	protector for refuge
སྐྱབས-ཡུལ	objects that indicate a safe direction
སྐྱེ-བ	conception
སྐྱེ-བའི-ཡན-ལག	link of conception
སྐྱེ-མཆེད	stimulators of cognition
སྐྱེ-མཆེད-བཅུ-གཉིས	twelve stimulators of cognition
སྐྱེ-མཆེད-ཀྱི-ཡན-ལག	link of stimulators of cognition
སྐྱེ-སྲིད	conception existence
སྐྱེས-བུ-བྱེད-པའི-འབྲས-བུ	man-made result
སྐྱེས-པའི-རབས	past life accounts
སློབ-བཤད	lobshay
སྨིན-པ	 ripening|ripen 
སྨོན-ལམ	aspirational prayer
སྨོན-སེམས	aspiring bodhichitta
སྨོན-སེམས-དམ-བཅའ-ཅན	pledged state of aspiring bodhichitta
སྨོན-སེམས-སྨོན-པ-ཙམ	merely aspiring state of aspiring bodhichitta
སྣ-ཐུང-སྤུ-སུད-ཀྱི-ངེས-འབྱུང	short-lived all-exited renunciation
སྣང	appearance congealment
སྣང-བ	 appearance-making | cognitive arising | conceptual representation | mental representation|appearance 
སྣང-ལ-མ-ངེས-པ	nondetermining cognition
སྣང-ཡུལ	appearing object
སྔགས	mantra
སྔགས-བཏུས	mantra-gathering
སྔགས-ཀྱི-ཕྱག-ཆེན	mantra mahamudra
སྔགས-པ	ngagpa- (tantric) lay tradition
སྔོན-འགྲོ	preliminary practices
སྔོན-དུས-ཀྱི-སྲིད-པ	predeath existence
སྔོན-གནས-རྗེས-དྲན-གྱི-མངོན-ཤེས	advanced awareness of recollection of past situations
སྙིང-པོའི-ཕྱག-ཆེན	essence mahamudra
སྙིང-རྗེ	compassion
སྙིང-རྗེ-ཆེན-པོ	great compassion
སྙིང-ཐིག	 heart essence teachings|heart essence division 
སོ-མ	fresh and clean
སོ-སོའི-བསླབ-བྱ	individual trainings for each of the Three Gems
སོ-སོའི-སྐྱེ-བོ	ordinary being
སོ-ཐར-སྡོམ-པ	pratimoksha vows
སོར-རྟོག-ཡེ-ཤེས	individualizing deep awareness
སྤོང-བ	riddance
སྤྲོ-བ	zestful vigor
སྤྲོས	fabricate
སྤྲོས-བྲལ	state parted from mental fabrication
སྤྲོས-པ	mental fabrication
སྤྲུལ-སྐུ	 Tulku (reincarnate lama)|Corpus of Emanations 
སྤྱད-པ-རྣམ-པར-སྦྱོང-བའི-དམིགས-པ	object of focus for cleansing one's behaviour
སྤྱི	 conceptual category | mental synthesis|category 
སྤྱི-ལྡོག	items conceptually isolated by categories
སྤྱི-མཚན	metaphysical entities
སྲད-བརྒྱུད	Say lineage
སྲས	spiritual offspring
སྲེད-བྱེད	crave
སྲེད-པ	craving
སྲེད-པའི-ཡན-ལག	link of craving
སྲིད-པ	 further existence | karmic impulse that actualizes a further existence | survival | valid phenomenon|compulsive existence 
སྲིད-པའི-ཡན-ལག	link of further existence
སྲིད-སྲེད	craving in relation to further existence
སྲོག	life-force
སྟོབས	strengthening
སྟོན-མུན	sudden enlightenment
སྟོང	 totally devoid|devoid 
སྟོང-གཟུགས	devoid form
སྟོང-ཉིད-རྟོགས-པ	realize voidness
སྟོང-པ	 void (as noun)|starkness 
སྟོང-པ-བཞི	four voids
སྟོང-པ-ཆེན-པོ	greatly void
སྟོང-པ-ཉིད	voidness
སྟོང-སང	bare absence
ཐ-མལ-འདུ-འཛི	ordinary commotion
ཐ-མལ-གྱི-ཤེས-པ	normal awareness
ཐ-སྙད	 conventional|convention 
ཐ-སྙད-སྤྱོད-ཡུལ	conventional commonsense object
ཐབས-ལམ	path of method
ཐབས-མཁས	skill in means
ཐད-ཀའི-སྤྱི	horizontal mental synthesis
ཐལ-འགྱུར-བ	Prasangika
ཐམས-ཅད-སྟོང-པ	all void
ཐམས-ཅད-ཡོད-པ-སྨྲ-བ	Sarvastivada
ཐར-པ	liberation
ཐེ-ཚོམས	indecisive wavering
ཐེག-ཆེན	Mahayana
ཐེག-དམན	Hinayana
ཐེག-པ	vehicle of mind
ཐིག-ལེ	 creative energy-drops|creative drop 
ཐོབ-པ	acquirement
ཐོབ-པའི-མྱ-ངན-འདས	acquired nirvana
ཐོབ-པའི-སྐྱེས-བུ-བྱེད-པའི-འབྲས-བུ	man-made result that is an attainment
ཐོད-རྒལ	leap-ahead
ཐོས-པ	listening
ཐྲེགས-ཆོད	break-through
ཐུབ-པ	Able One
ཐུགས-ཀྱིས-བྱིན-གྱིས-རླབས-པའི-བཀའ	enlightening words inspired by Buddha's mind
ཐུགས-རྗེ	responsiveness
ཐུན-དྲུག-རྣལ-འབྱོར	Six-Session Yoga
ཐུན-དྲུག-གི-རྣལ-འབྱོར-རྒྱས-པ	Extensive Six-Session Yoga
ཐུན-མོང-མ-ཡིན-པའི-བཏང-སྙོམ	uncommon equanimity
ཐུན-མོང-བའི-བསླབ-བྱ	trainings shared in common for all Three Gems
ཏིང-ངེ-འཛིན	 mental fixation|absorbed concentration 
ཏིང-ངེ-འཛིན-གྱི-མཆོད-པ	offerings of absorbed concentration
ཙ-ཙ	clay votive tablets
ཙམ	mere
ཙེན-མིན	Gradual enlightenment
ཚད-མ	valid cognition
ཚད-མའི-སྐྱེས-བུ	valid source of information
ཚད-མིན	invalid cognition
ཚར-ལུགས	Tsar Tradition
ཚིག-དབང	word empowerment
ཚིགས-སུ-བཅད-པ	metered verses
ཚོགས	 ritual bountiful feast | tsog|network 
ཚོགས-འཁོར	ceremonial round of offering a ritual feast
ཚོགས-བཤད	tsogshay
ཚོགས-ལམ	building-up pathway mind
ཚོགས-སྤྱི	collection mental synthesis
ཚོར-བ	feeling a level of happiness
ཚོར-བའི-ཕུང-པོ	aggregate of feelings of levels of happiness
ཚོར-བའི-ཡན-ལག	link of feeling a level of happiness
ཚུལ-བཅས	concordant
ཚུལ-བཅས-ཡིད-བྱེད	paying attention in a concordant manner
ཚུལ-ཁྲིམས	ethical self-discipline
ཚུལ-ཁྲིམས-དང-བརྟུལ-ཞུགས-མཆོག-ཏུ-འཛིན-པ	holding deluded morality or conduct as supreme
ཚུལ-མིན	discordant
ཚུལ-མིན-ཡིད-བཅས	paying attention in a discordant manner
ཚུལ-མིན-ཡིད-བྱེད	discordant with the manner things actually exist
ཡན-ལག-གི-དམ-ཚིག	auxiliary bonding practices
ཡན-ལག-གི-སྦོམ-པོ	auxiliary thick actions
ཡང-དག-པར-བླངས-པ-ལས-བྱུང-བའི-གཟུགས	forms of physical phenomenon arising from clearly taking them on
ཡང-སྲིད-སྒྲུབ-པའི-ལས	 karmic impulse for further existence|impulse that actualizes a future rebirth 
ཡེ-བབས-ཀྱི-དྲན-པ	deep mindfulness from having dropped down
ཡེ-དོན-ཀུན-ཤེས	primordial deepest alaya
ཡེ-ཤེས	deep awareness
ཡེ-ཤེས-འཕྲིན-ལས-སྐུ	Corpus of Deep Awareness' Enlightening Influence
ཡེ-ཤེས-ཆོས-སྐུ	 Corpus of Deep Awareness' Encompassing Everything|Corpus of Deep Awareness Encompassing Everything 
ཡེ-ཤེས-ལྔ	five types of deep awareness
ཡེ-ཤེས-ཕྱག-རྒྱ	sealing partner for deep awareness
ཡེ-ཤེས-ཀྱི-སྤྱན	extrasensory eye of deep awareness
ཡེ-ཤེས-ཀྱི-ཚོགས	 network of deep awareness|enlightenment-building network of deep awareness 
ཡི-དགས	clutching ghost
ཡི-དམ	Buddha-figure
ཡི-གེ-བཞི	four syllables tradition
ཡིད	general awareness
ཡིད-བདེ-བ	mental happiness
ཡིད-འབྱུང	disgust
ཡིད-འོང-བྱམས-པ	heartwarming love
ཡིད-བྱེད-བྲལ-བ	state parted from taking to mind
ཡིད-ཆེས-ཀྱི-དད-པ	belief in a fact based on reason
ཡིད-དཔྱོད	presumptive cognition
ཡིད-ཀྱི-རང-བཞིན-གྱི-གཟུགས	forms of physical phenomena having the functional nature of mind
ཡིད-ཀྱི-རྣམ-ཤེས	mental consciousness
ཡིད-ལ-བྱེད-པ	 taking to mind|attention 
ཡིད-ལ-མ-བྱེད-པ	not taking to mind
ཡིད-ལུས	mental body
ཡོད-པ	existents
ཡོན-ཏན	good qualities
ཡོངས-གྲུབ	thoroughly established phenomena
ཡོངས-སུ-མྱ-ངན-འདས	parinirvana
ཡུལ	object
ཡུལ-ཅན-གྱི-འོད-གསལ	cognitive clear light
ཡུལ-གྱི-འོད-གསལ	object clear light
ཟག-བཅས	tainted
ཟག-བཅས-ཀྱི-ཕུང-པོ	tainted aggregates
ཟག-མེད	untainted
ཟག-མེད-ཀྱི-ཕུང-པོ	untainted aggregates
ཟག-པ-ཟད-པ	degree of depletion of the various tainted factors
ཟག-པ-ཟད-པའི-མངོན-ཤེས	advanced awareness of the depletion of tainted factors
ཟང-ཐལ	all-permeating
ཟང-ཟིང	upsetting
ཟང-ཟིང-མེད-པ	nonupsetting
ཞལ-གདམས	guideline teachings
ཞལ-ལུང	personal instructions
ཞལ-ནས-གསུང-པའི-བཀའ	enlightening words spoken from Buddha's own lips
ཞེ-སྡང	hostility
ཞེ-སྡང-མེད-པ	imperturbability
ཞེན-པ	conceptually cling
ཞེན-པ-བཞི-བྲལ	parting from the four types of clinging
ཞེན-ཡུལ	conceptualized object
ཞི-བ	 pacifying suffering | serene|pacification 
ཞི-བྱེད	pacifier
ཞི-གནས	 zhinay|stilled and settled state of mind 
ཞི-མཐའ	extreme of remaining in tranquil peace of nirvana
ཞིག-པ	previously-having-perished
ཟུང-འབྲེལ	joined pair
ཟུང-འཇུག	unified pair
