འམ	[C]vā; [C]athavā-api
ཆོག-མི-ཤེས-པའི-བརྩོན-འགྲུས	[MSA]asaṃtuṣṭi-vīrya
ཆོག-པ	[L]saṃtuṣṭi
ཆོག-པ-འཛིན-པ	[L]saṃtuṣṭi
ཆོག-པ-ཤེས-པ	[L]saṃtuṣṭi
ཆོག-པར-འཛིན-པ	[C]saṃtuṣṭa; [L]saṃtuṣṭi; [MSA]saṃtuṣṭatva
ཆོག-པར-འཛིན-པའི-གཉེན-པོ-ཡིད-ལ-བྱེད-པ-བསྒོམ-པ	[MSA]saṃtuṣṭi-prātipakṣika-manaskāra-bhāvana
ཆོག-ཤེས	[C]tuṣṭi
ཆོག-ཤེས-པ	[C]saṃtuṣṭa; [C,MSA]saṃtuṣṭi; [C]saṃtuṣṭitā
ཆོམ-པོ-ཡིད-ལ-བགྱིད-པ	[C]cora-manasikāra
ཆོམ-རྐུན	[C]caura
ཆོམ-རྐུན-གྱི-གནས-དགོན-པའི-ནང-དུ-སོང-སྟེ	[C]madhya-gata
ཆོས	[MSA,MV]dharma; [TN,MSA]dharmatā; [MSA]dharama
ཆོས-ཀྱི-དེ-བཞིན-ཉིད-རྣམ-པར-དག-པའི-མཚན-ཉིད	[MSA]dharma-tathatā-viśuddhi-lakṣaṇa
ཆོས-འདོད	[C]dharma-kāma
ཆོས-འདོད-པ	[C]dharma-kāmatā
ཆོས-འདོད-པར-བྱའོ	[C]dharma-kāmena bhavitavyam
ཆོས-འདུལ-བ	dharma-vinaya
ཆོས-འཕགས	[L]dharmodgata
ཆོས-བདག-མེད-པ	[L]dharmanairātmya
ཆོས-བཤད-པ	[MSA]dharma-deśanā
ཆོས-བསྟན-པ	[MV]dharma-deśanā
ཆོས-བསྟན-པ-གཅིག	[C]eka-dharma-deśanā
ཆོས-བཏགས-པ-རྣམ-པར-གཞག-པའི-དམིགས-པ	[MV]dharma-prajñapti-vyavasthānālambana
ཆོས-བཟོད	dharmakṣānti
ཆོས-བཟོད-ཤེས	[C]dharma-jñāna-kṣānti
ཆོས-ཅན	[C]dharmin
ཆོས-དང-བདེན-པ-དང-རིགས-པ-དང-ཐེག-པ-གདགས-པ-རྣམ-པར-གཞག-པ	[MSA]dharma-satya-yukti-yāna-prajñapti-vyavasthāna
ཆོས-དང-ཆོས-ཉིད-རྣམ-པར-འབྱེད-པ	dharma-dharmatā-vibhaṇga
ཆོས-དང-དོན	[MSA]dharmārtha
ཆོས-དང-གང-ཟག	[MV]dharma-pudgala
ཆོས-དང-ལྡན	[MSA] ... dhārmika
ཆོས-དང-ལྡན-པ	[C] ... dharma
ཆོས-དང-མཐུན	[MSA]saha-dhārmika
ཆོས-དང-མཐུན-པའི-ཆོས-ལ-ཞུགས-པ	[MSA]dharmānudharma-pratipanna
ཆོས-དང-རྗེས-སུ-མཐུན-པའི-ཆོས-ལ-ཞུགས-ཞིང	[C]dharma-anudharma-pratipanna
ཆོས-དབྱིང	dharma-dhātu
ཆོས-དབྱིངས	dharmadhātu
ཆོས-དབྱིངས-ཡེ-ཤེས	dharmadhātujñāna
ཆོས-དེ-ལ-ཡོན-ཏན-དུ-བལྟ-བ	[C]guṇa-nṛśaṃsatā
ཆོས-དཀར	[MSA]śukla-dharma; [MSA]śukla ... dharma
ཆོས-དཀོན-མཆོག-ལ	[C]dharma-ratna
ཆོས-དམིགས-པ	[MSA]dharma ... upalabdhi
ཆོས-དྲན-པ-པ-ཉེ-བར-བཞག-པ	dharmasmṛtyūpasthāna
ཆོས-གདགས-པ	[C]dharmaprajñapti
ཆོས-གདགས-པ-རྣམ-པར-བཞག-པ	[C]dharma-prajñapti-vyavasthāpana
ཆོས-གནས-པར-བྱ-བ	[L]dharmasthitaye
ཆོས-གོས	[MSA]cīvara
ཆོས-གོས-གསུམ-པ	[C]trai-cīvarika (=saṃghāṭy-ādi-tri-cīvara-mātratvāt)
ཆོས-གོས-ཡོངས-སུ-ལོངས-སྤྱོད-པ	[C]cīvara-paribhoga
ཆོས-ཀུན	[MSA]sarva-dharma
ཆོས-ཀྱི	[C]dhārmika
ཆོས-ཀྱི-འཁོར-ལོ	[C]dharma-cakra; [MSA]dharmya ... cakra
ཆོས-ཀྱི-འཁོར-ལོ-བསྐོར-བ	[C]dharma-cakra-pravartana
ཆོས-ཀྱི-འོད	[MSA]dharmāṃśu
ཆོས-ཀྱི-བར-ཆད-དུ-གྱུར-པ	[C]dharma-antarāyikatā
ཆོས-ཀྱི-བདག	dharmātman
ཆོས-ཀྱི-བདག-མེད	dharmanairātmya
ཆོས-ཀྱི-བདག-ཏུ-འཛིན-པ	dharmātmagraha
ཆོས-ཀྱི-ཆར	[MSA]dharmāmbu-varṣa
ཆོས-ཀྱི-དབྱིངས	[C,MV,MSA]dharma-dhātu
ཆོས-ཀྱི-དབྱིངས-སུ-འགྱུར-བ	[C]dharmī-bhavati
ཆོས-ཀྱི-དེ-ཁོ-ན-ཉིད	[MSA]dharma-tattva
ཆོས-ཀྱི-དེ-ཉིད	[MSA]dharma-tattva
ཆོས-ཀྱི-དམིགས-པ	[MSA]dharmālambana
ཆོས-ཀྱི-དོན	[C]dharma-artha
ཆོས-ཀྱི-གྲགས-པ	dharmakīrti
ཆོས-ཀྱི-གཏན	[C] dharma-sāṇkathya
ཆོས-ཀྱི-ཁམས	dharmadhātu
ཆོས-ཀྱི-ལོངས-སྤྱོད-རྫོགས-པ	[MSA]dharma-saṃbhoga
ཆོས-ཀྱི-ལོངས-སྤྱོད-རྫོགས-པ-རྒྱུན-མི-འཆད-པར-འཇུག-པ	[MSA]avicchinna-dharma-saṃbhoga-pravartana
ཆོས-ཀྱི-མཆོག	 [MV]agra-dharma|[MSA]dharmottama 
ཆོས-ཀྱི-མཆོག-སྡུད-པ	[MSA]uttama-dharma-saṃgraha
ཆོས-ཀྱི-མཆོག-ཏུ-འགྱུར	[C]agradharma (gata)
ཆོས-ཀྱི-མདོ	[MSA]dharmoddāna
ཆོས-ཀྱི-མཛོད	[C]dharma-koṣa
ཆོས-ཀྱི-མིག	[L]dharma-cakṣu
ཆོས-ཀྱི-མིག-དྲི-མ-དང-བྲལ-བ	[MSA]vigata-mala ... dharma-cakṣus
ཆོས-ཀྱི-མིག-རྡུལ-མེད-ཅིང-དྲི-མ-དང-བྲལ-བ	[MSA]virajo vigata-malaṃ ... dharma-cakṣuḥ
ཆོས-ཀྱི-མཚན-མ	[MV]dharma-nimitta
ཆོས-ཀྱི-མཚན-ཉིད	[MSA]dharma-lakṣaṇa
ཆོས-ཀྱི-མཚན-ཉིད-ཕྱིན-ཅི-མ-ལོག-པ	[MSA]aviparīta-dharma-lakṣaṇa
ཆོས-ཀྱི-རང-བཞིན	[C]dharma-prakṛti; [MSA]dharma-maya
ཆོས-ཀྱི-རྒྱལ	[C]dharma-rāja
ཆོས-ཀྱི-རྒྱལ-པོ	[C]dharma-rāja
ཆོས-ཀྱི-རྒྱུན	[MSA]dharma-srotas
ཆོས-ཀྱི-རྗེས-སུ-ལྟ-བ	[C](dharmeṣu) dharma-anupaśyin
ཆོས-ཀྱི-རྗེས-སུ-མཐུན-པའི-ཆོས	[C]dharmasya ca-anudharmatā
ཆོས-ཀྱི-རྣམ-གྲངས	[MSA]dharma-paryāya
ཆོས-ཀྱི-རྔ-རྡུང-བ	[C]sampratāḍana
ཆོས-ཀྱི-རོ	[L]dharmarasa
ཆོས-ཀྱི-སྦྱིན-པ	[C,MSA]dharma-dāna
ཆོས-ཀྱི-སྒོ	[MSA]dharma-mukha
ཆོས-ཀྱི-སྒྲོན-མ	[C]dharmolkā
ཆོས-ཀྱི-ཤུགས-ཀྱིས	[C]dharma-vega
ཆོས-ཀྱི-སྐུ	[MSA]dharma-kāya
ཆོས-ཀྱི-སྐྱེ-མཆེད	dharmāyatana
ཆོས-ཀྱི-སྐྱེ-མཆེད-པའི-གཟུགས	[MSA]dharmāyatanika ... rūpa; dharmāyatanarūpa
ཆོས-ཀྱི-སྣང-བ	[MSA]dharmāvabhāsa
ཆོས-ཀྱི-སྙིང-པོ-ཅན	[C]dharma-garbha
ཆོས-ཀྱི-སྤྲིན	[LCh,C,MSA]dharmameghā
ཆོས-ཀྱི-སྤྱན	[MSA]dharma-cakṣus
ཆོས-ཀྱི-ཚིག	[L]dharmapada
ཆོས-ཀྱི-ཚུལ-གྱི-རྣམ-པ-གང-ཞིག	[C]dharma-naya-jāti
ཆོས-ཀྱི-ཡང-དག-པ-ཉིད	[C]madbhūtatā (=dharma-sadbhūtatā)
ཆོས-ཀྱིས-འཕགས-པ	[C]dharmodgata
ཆོས-ཀྱིས-བསྡུ-བ	[MSA]dharma-saṃgraha
ཆོས-ཀྱིས-ཕོངས-པ-འགྱུར-པ-དང-མཐུན-པ	[C]dharma-vyasana-saṃvartanīya
ཆོས-ཀྱིས-ཕོངས-པར-འགྱུར-བ-དང-མཐུན-པ	[C]vyasana (=upaghātam)
ཆོས-ལ-བག-ཡོད-པ	[MSA]dharmāpramatta
ཆོས-ལ-བདག-མེད-པ	[MSA,MV]dharma-nairātmya
ཆོས-ལ-བདག-མེད-པའི-ཡེ-ཤེས-རྣམ-པར-མི-རྟོག-པ	[MSA]nirvikalpa ... dharma-nairātmya-jñāna
ཆོས-ལ-བརྟེན-པ	[MSA]dharma-saṃśraya
ཆོས-ལ-བཟོད-པ	[MV,MSA]dharma-kṣānti
ཆོས-ལ-དབང-བ	[MSA]dharme vaśi
ཆོས-ལ-དགའ	[MSA]dharma-rata
ཆོས-ལ-དགའ-བ	[C]dharma-rati
ཆོས-ལ-དམིགས-པ	[MSA]dharmālambana
ཆོས-ལ-དམིགས-པའི-བྱམས-པ	*dharmālaṃbanā maitri
ཆོས-ལ-དམིགས-པའི-སྙིང-རྗེ	dharmālambanā-karuṇā
ཆོས-ལ-གཅིག-ཏུ-དགའ-ཞིང	[C]ekānta-dharma-nirata
ཆོས-ལ-གུས-པ	[C]dharma-gaurava
ཆོས-ལ-ཁོང-ཁྲོ-བའི-སྒྲིབ-པ	[MSA]dharme ca pratighātam āvaraṇaṃ ca
ཆོས-ལ-ཁོང-ཁྲོ-སྒྲིབ	[MSA]dharme pratighāvati (=dharme pratighāvṛti?)
ཆོས-ལ-ལོངས-སྤྱོད-པ	[MV]dharma-saṃbhoga
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པ	[MSA]dharma-saṃbhoga
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པ-རྒྱུན-མི-འཆད-པ	[MSA]dharma-saṃbhogāviccheda
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པར-མཛད-པ	[MSA]dharma-saṃbhogaṃ karoti
ཆོས-ལ-མི-དགའ	[MSA]dharme 'rataḥ
ཆོས-ལ-མི-གཡོ	[MSA]dharme 'calaḥ
ཆོས-ལ-མི-མོས-པ	[MV]anadhimuktir dharme
ཆོས-ལ-མོས	[MSA]dharmādhimokṣa
ཆོས-ལ-མོས-པ	dharma-ārāma(tā); [MSA]dharmādhimukti; [MSA]dharma ... adhimokṣa; [MSA]dharmato 'dhimokṣāt
ཆོས-ལ-མོས-པའི-རྣལ-འབྱོར-ལ-བརྩོན-པ	[C]dharma-ārāma-yogam anuyuktatā
ཆོས-ལ-མོས-པའི-རྣལ-འབྱོར-ལ-བརྩོན-པར-བྱའོ	[C]dharma-ārāma(tā)-yogam anuyuktena bhavitavyam
ཆོས-ལ-མོས-པའི-ས-བོན	[MSA]dharmādhimukti-bīja
ཆོས-ལ-མོས-པར-བྱེད	[MSA]dharmam adhimucyate
ཆོས-ལ-མུན-པ-མེད	[MSA]dharma-nirandhakāra
ཆོས-ལ-ང-རྒྱལ-སྤངས-པ	[MSA]dharma-vibhūta-māna
ཆོས-ལ-ངེས-པར-རྟོག-པའི-བཟོད-པ	[MSA]dharma-nidhyāna-kṣānti
ཆོས-ལ-ངེས-རྟོགས-ཀྱི-བཟོད-པ	dharma-nidhyāna-kṣānti
ཆོས-ལ-རིན-པོ-ཆེར-འདུ-ཤེས	[MSA]dharma-ratna-saṃjñā
ཆོས-ལ-སེར-སྣ-མེད-པ	[MV]dharmāmatsaritva
ཆོས-ལ-སྒྲོ-འདོགས-པའི-མཐའ	[MV]dharma-samāropanta
ཆོས-ལ-སུན-འབྱིན-པ	[C]dūṣaka
ཆོས-ལ-ཚུལ-བཞིན-ཡིད-ལ-བྱེད-པ	[MSA]yoniśo dharma-manasikāraḥ
ཆོས-ལ-ཞུགས-པ	[MSA]dharma-pravṛtti
ཆོས-ལས-ཆོས-ཉིད-གཞན-ཡིན-པ	[MV]dharmād anyā dharmatā
ཆོས-ལས-མི-གཡོ	[MSA]dharme 'calaḥ
ཆོས-མ-བསྟན	[MSA]dharmo naiva deśitaḥ
ཆོས-མ-མོས-པ	[C]dharma-ārāma(ta)
ཆོས-མ-ཡིན-པ	[C]adharma
ཆོས-མཆོག	dharmottara; [C]agradharma; [C] agradharma gata; laukikāgradharma; agryadharma
ཆོས-མཆོག-གི-རྩེ-སྦྱོར	[LCh]laukikāgradharma-mūrdha-prayoga; agradharmatāmūrdhaprayogaḥ
ཆོས-མཆོག-སྡུད-པ	[MSA]uttama-dharma-saṃgraha
ཆོས-མཆོག-ཏུ-འགྱུར	[C]agradharma (gata)
ཆོས-མཛོད	[C]dharma-koṣa
ཆོས-མེད-པ	[MSA]dharmābhāva
ཆོས-མི-མཐུན-སྦྱོར-གྱི-སྒྲུབ-ངག	vaidharmya-prayoga-sādhana-vākya
ཆོས-མིན	[C]adharma
ཆོས-མིན-བྱ-བ	[C]adharma-kārya
ཆོས-མིང	[C]dharma-nāma
ཆོས-མངོན	[MSA]abhidharma
ཆོས-མངོན-པ	[LCh,MSA]abhidharma
ཆོས-མངོན-པའི-མཛོད	abhidharmakoṣa; abhidharmakośa
ཆོས-མངོན-པའི-མཛོད-ཀྱི-བཤད-པ	abhidharmakoṣa-bhāṣya
ཆོས-མངོན-པའི-མཛོད-ཀྱི-ཚིག-ལེའུར-བྱས-པ	abhidharmakoṣa-kārikā
༅ཆོས-མངོན-པར-རྟོགས-པ༏-ཆོས-མངོན-རྟོགས	[MSA]dharmābhisamaya
ཆོས-མངོན-རྟོགས	 [MSA]dharmābhisamaya|[MSA]dharmābhisamaya 
ཆོས-མཉམ-ཉིད	[C]dharma-samatā
ཆོས-མཉམ-པ-ཉིད	[MSA]dharma-samatā
ཆོས-མཐུན-པ	[LCh,MSA]sādharmya
ཆོས-མཐུན-སྦྱོར-གྱི-སྒྲུབ-ངག	sādharmya-prayoga-sādhana-vākya
ཆོས-ངོ-བོ-ཉིད-མེད-པ-ཉིད-དུ-སྟོན-པ	[MSA]dharma-niḥsvabhāvatvopadeśa
ཆོས-ཉན-པ	[C]dharma-śravaṇika
ཆོས-ཉན-པ-རང-བཞིན	[C]dharma-śravaṇika
ཆོས-ཉིད	[C,MV,MSA]dharmatā (=[C]dharmatayā); [C]dharmatas (opp.: arthatas); [MSA]tathatā
ཆོས-ཉིད-དང-མི-འགལ-བ	[MSA]dharmatāṃ na vilomayati
ཆོས-ཉིད-དང-ནི-འགལ-བ-མེད	[MSA]aviruddhaiva dharmatā
ཆོས-ཉིད-དེ-ཚད-མར-བྱའོ	[C]pramāṇī-kṛtya
ཆོས-ཉིད-ཀྱི-རིགས-པ	[MSA]dharmatā-yukti
ཆོས-ཉིད-ཀྱི-སེམས	[MSA]citta-tathatā; [MSA]dharmatā-citta
ཆོས-ཉིད-ཀྱི-ཚུལ	[C]dharma-naya (opp. artha-naya)
ཆོས-ཉིད-ཀྱིས-རྣམ-པར-ངེས-པ	[MSA]dharmato viniścayaḥ
ཆོས-ཉིད-པ	[C]dharmatā
ཆོས-ཉིད-ཕྱིར	[MSA]dharmatas
ཆོས-ཉིད-སྐྱོན-མེད	[C]dharmatā-niyāma
ཆོས-ཉིད-ཐོབ-པ	[MSA]dharmatā-pratilambha; [MSA]dharmatā-labdha
ཆོས-ཕྱིར	[C]dharma-artha
ཆོས-རབ-སྟོན	[MSA]dharma-prakāśana
ཆོས-རབ-ཏུ-རྣམ-པར-འབྱེད-པ	[MSA]dharma-pravicaya
ཆོས-རྫོགས-ལོངས-སྤྱོད	[MSA]dharma-saṃbhoga
ཆོས-རྒྱལ	[C]dharma-rāja
ཆོས-རྒྱལ-པོ	[C]dharma-rāja
ཆོས-རྒྱུན-གྱི-ཏིང-ངེ-འཛིན	srotānugatasamādhi
ཆོས-རྣམ-པར-འབྱེད-པ	[MV]dharma-vicaya
ཆོས-རྣམ-པར-གཞག-པ	[MSA]dharma-vyavasthāna; [MSA]vyavasthāpita-dharma
ཆོས-རྣམས-དང-ནི-གང-ཟག	[MV]dharma-pudgala
ཆོས-རྣམས-ཀྱི-ཆོས-ཉིད	[L]dharmāṇām dharmatā
ཆོས-རྣམས-ཀྱི-དངོས-པོ-མེད	[MV]dharmānām abhāvaḥ
ཆོས-རྣམས-ཀྱི-ནི-གཙོ-བོ-སྟེ	[MSA]dharmāṇām uttaraḥ
ཆོས-རྣམས-ཀྱི-ནི-མཆོག-ཡིན	[MSA]dharmāṇām uttaraḥ
ཆོས-རྣམས-ཀྱི-སྟོང-པ-ཉིད	[MV]dharmāṇām śūnyatā
ཆོས-རྣམས-ལ-སེམས-མཉམ-པ-ཉིད	[MSA]dharmeṣu samacittatā
ཆོས-རྣམས-རང-བཞིན	[C]dharma-prakṛti
ཆོས-རྣམས-སྣ-ཚོགས	[C]vividha-dharma
ཆོས-རྣམས-སོ-སོའི-མིང-ནི-སྒྱུ-མ-སྟེ	[C]pratidharma (=dharmā prati nāman)
ཆོས-རྣམས-ཐམས-ཅད	[MSA]sarva-dharma
ཆོས-རྣམས-ཐམས-ཅད-ནི-བདག-མེད	[MSA]sarve dharmā anātmānaḥ
ཆོས-རྟེན	[C]caitya
ཆོས-ཤེས	[C]dharma-jñāna
ཆོས-ཤེས-པ	[MSA]dharma-jña; dharmajñāna
ཆོས-སྐུ	[LCh]Dharma-kāya; dharmakāya
ཆོས-སྐྱོན	dharma-pāla
ཆོས-སྨོས	[MSA]dharma ... sūcana
ཆོས-སྨྲ	[C]dharma-bhānaka
ཆོས-སྨྲ-བ	[C]dharma-bhānaka; [C]dharma-vādin
ཆོས-སྤོང-བ	[C]dharma-pratyākyāna
ཆོས-སྤོང-བར-འགྱུར-བ	[C]dharma-pratyākhyāna-saṃvartanīya
ཆོས-སྤྱོད	[C]dharma-caryā; [MV]dharma-carita
ཆོས-སྤྱོད-པ	[MV]dharma-carita
ཆོས-སྤྱོད-པ-བཅུ	[MSA]dharma-carita (daśa-)
ཆོས-སྲེད-པ	[C]dharma-tṛṣṇā
ཆོས-སྟོན-པ	[MSA]dharma-deśanā; [MSA]dharma-vihita
ཆོས-ཐམས-ཅད	[C,MV]sarvadharma
ཆོས-ཐམས-ཅད-ཀྱི-མཉམ-པ-ཉིད-ལ-གནས-པ	[C]Sarva-dharma-samatā-pratiṣṭhita
ཆོས-ཐམས-ཅད-ཀྱི-ཡུལ-ལ-མངའ-བརྙེས-པར-གྱུར	[C]sarva-dharma-viṣaya-vaśavarttitā (anuprāpta)
ཆོས-ཐམས-ཅད-ལ-བདག-ཏུ-ལོག-པར-འཛིན-པ	[MSA]dharmeṣu ... ātmāsadgrāhaḥ (sarva-)
ཆོས-ཐམས-ཅད-མེད-པ	[C]sarva-dharma-asattā
ཆོས-ཐམས-ཅད-མཉམ-པ-ཉིད	[MSA]sarva-dharma-samatā
ཆོས-ཐམས-ཅད-ངོ-བོ-ཉིད-མེད-པ-ཉིད-དུ-སྟོན-པ	[MSA]sarva-dharma-niḥsvabhāvatvopadeśa
ཆོས-ཐམས-ཅད-ནི-བདག-མེད-པའོ	[MSA]sarva-dharmā anātmānaḥ
ཆོས-ཐོས-པ	[MSA]dharmaṃ śrutvā
ཆོས-ཚད-མེད-པ-ཡོངས-སུ-ཚོལ-ཞིང-འཛིན-པ	[MSA]dharma-paryeṣaṇa-dhāraṇa (apramāṇa-)
ཆོས-ཚིག	[C]dharma-pada (prabhedo)
ཆོས-ཚོལ-བ	[MSA]dharma-paryeṣṭi
ཆོས-ཚུལ	[C]dharma-netrī; dharma-naya
ཆོས-ཡང-དག-པར-སྡུད-པའི-མདོ	dharmasaṃgīti-sūtra
ཆོས-ཡིན-པ	dharma
ཆོས-ཡོངས-སུ-ཚོལ-བ	[MSA]dharma-paryeṣṭi
ཆུ	[LCh,C,L,MSA]ap; [LCh,C,MSA]udaka; [C]daka (=udaka); [MSA]uda; [MSA]jala; [MSA]toya; [MSA]nadī; [MSA]vāri; [C]pānīya; āp
ཆུ-བཅུ-བར-བྱ	[C]udakaṃ dātavyam
ཆུ-བོ	[MSA,C]nadī; [C]apaga; [MSA]pravāhinī
ཆུ-བྲན	[C]kunadī
ཆུ-བུར	[C]budbuda; [C]arbuda (=abhivardhamāna-piṭakam)
ཆུ-བུར-རྡོལ-བ-ཅན	nirarbuda
ཆུ-དག	[MSA] apāṃ
ཆུ-དབུས	[C]jala
ཆུ-ཀླུང	Patañjali; [L]nadī
ཆུ-ཀླུང-ཆེན-པོ	[C]mahā-nadī
ཆུ-ལྟར	[MSA]vāri-sadṛśa
ཆུ-མིག	[C]utsa
ཆུ-ཤེལ	[L]candrakānta
ཆུ-ཤིང	[C]kadalī
ཆུ-ཤིང-གི-སྙིང-པོ	[C]kadalī-garbha
ཆུ-ཚོད	[C]nālikā; [C]nāḍikāntara
ཆུ-ཡི-ཕུང-པོ	[C]āpa-skandha
ཆུ-ཡི-ཚིགས-པ	[C]udaka-bindu
ཆུ-ཞེང	[C]parināha
ཆུ-ཞེང-གབ	[C]maṇḍala
ཆུ-ཟླ	[C,MV]udaka-candra; [C]pratibhāsa
ཆུ-ཟླའི-གཟུགས	[MSA]udaka-candra-bimba
ཆུའི-ཆུ-བུར	[C]budbuda
ཆུའི-ཀླུང	[L]nadī
ཆུའི-ཕུང-པོ	[C]ap-skandha
ཆུའི-སྐྱེ-བོ	ūdaka-jantu
ཆུབ-བྱེད-པ	[C]paryāpunatī
ཆུབ-པའི-སྐྱེ-མཆེད	[C]kṛtsna-āyatana
ཆུད	[C]antar-gata
ཆུད-གཟན	[C]nāśayati; [L]vipraṇāśa
ཆུད-གཟན-ཅིང	[C]nāśayeḥ
ཆུད-གཟན-པར-གྱུར-ན	[C]nāśayeḥ
ཆུད-གཟོན	[C]nāśayati
ཆུད-མ-ཟོས-པར-གྱིས-ཤིག	[C]nāśayitavyam
ཆུད-མི-གཟན-ཕྱིར	[C]avipraṇāśe
ཆུད-མི-གཟོམ	[C]vipraṇāśayati (=anyathā-karaṇam)
ཆུད-མི-ཟ	[C]anāśa
ཆུད-མི-ཟ-བ	[L]avipraṇā; [L]avipraṇa; [MSA]avipraṇāśa; [MSA]abandhya
ཆུད-མི-ཟ-བའི-རྒྱུ-ཡིན-པ	[MSA]avipraṇāśa-hetutva
ཆུད-པ	[L]praveśa
ཆུད-པར-འགྱུར	[C]pratividhyati
ཆུད-ཟ	vipraṇāśa; vipraṇa; vipraṇā
ཆུད-ཟ-བ	[MSA]vipraṇāśa; [L]vipraṇā; [L]vipraṇa
ཆུད-ཟ-བར-འགྱུར-རོ	[C]vipranāśyati
ཆུད-ཟོས-པ	vipraṇāśa; vipraṇa
ཆུད-ཟོས-པར-གྱིས-ཤིག	[C]nāśayitavyam
ཆུང	[MSA]alpa; [MSA]tanu; [MSA]parītta; [C,MSA]mṛdu
ཆུང-བ	[LCh,MSA,C]alpa; [MSA]nyūna; [MSA,C]parītta
ཆུང-བའི	[C]parīttatva
ཆུང-བར	[C]mṛduka
ཆུང-མ	[C]prajāpati; [MSA]dāra; [MSA]bhāryā
ཆུང-མར-བཅས-པ	[C]sa-putra-dāra
ཆུང-ན	[C]antaśas
ཆུང-ངུ	[MSA,C]alpa; [MSA]alpa-mātra; [MSA,C]parītta; [MV]pratanu; [MSA]mṛdvī; [C]antaśas; mṛdu
ཆུང-ངུ-དང-ཆེན-པོ	[MSA]mṛdv-adhimātra
ཆུང-ངུ-ཡིད-ལ-བྱེད-པ	[MSA]parītta-manaskāra
ཆུང-ངུའི-འབྲིང	mṛdumadhya
ཆུང-ངུའི-ཆེན-པོ	mṛdvadhimātra
ཆུང-ངུའི-ཆུང-ངུ	[C]mṛdu-mṛdu
ཆུང-ངུའི-སེམས	[MV]hīna-citta
ཆུང-ངུས-ཆོག-ཤེས-པ	[MSA]alpa-mātra-saṃtuṣṭa
ཆུས	[C]udaka
ཆུས-བརྟན-ཏེ	[C]udakaṃ dadyād
ཅི	kim
ཅི-འང-མེད-པ	[C]ākiṃcanaya; ākiṃcanya
ཅི-འང-མེད-པའི-སྐྱེ-མཆེད	[C]ākiṃcanyāyatana
ཅི-འདྲ-བ	[C]atha
ཅི-བར-མ-དོར	[C]antarā
ཅི-དགོས	[C]kimuta
ཅི-ལ-བརྟེན-ཏེ	[L]kiṃ pratiṣṭhāya
ཅི-ལ-གནས	[L]kiṃ saṃniśritya
ཅི-ཕྱིར-ཞེ-ན	[C]kiṃ kāraṇam
ཅི-རིགས-པར	[MV] yathāyogam (= ci rigs su sbyar bar bya); [MV]yathārhatas (= ci rigs sbyar)
ཅི-རིགས-སྦྱར	[MV]yathārhatas
ཅི-སླད-ཞེ-ན	[C]kiṃ kāraṇam (=na khalu punar)
ཅི-སྟེ	[C]athavā
ཅི-ཐོད-ཐོད-སྨྲ-བ	[C]yat-kiñcana-pralāpin
ཅི-ཡང-མེད	[LCh]ākiṃcanya; akiṃcanya
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད	[LCh]ākiṃcanyāyatana
ཅིག-ཅར	 [MSA]yugapad; [MSA]sakṛt; [MSA]asakṛt (?); [C]yamaka|[LCh,C]sakṛt 
ཅིག-ཅར-དུ	[LCh]yugapad
ཅིག-ཆར-དུ	[LCh]yugapad
ཅིག-དང-ཡུད-ཙམ-ཞིག	muhūrta
ཅོ	[MSA]keśa
ཅོ-འདྲི	[A4C] viheṭhaka
ཅོག-བུ-པ	[C]naiṣad(y)ika
ཅུང-ཟད	kiṃcit; [MSA]kiṃcid; [MSA]alpa; [MSA]alpa-mātra; [C]aṇu
ཅུང-ཟད-ཀྱང	kimcit
ཅུང-ཟད-ལྐོག-གྱུར	kiṃcid-parokṣa
ཅུང-ཟད-ལྐོག-ཡུར	kimcidparokṣa
ཅུང-ཟད-མི	kiṃcit
ཅུང-ཟད-ཙམ	[MSA]alpa-mātra; [MSA]kiṃcid; [MSA]kiṃcitka
ཅུང-ཟད-ཙམ-ཞིག	[C]alpa-mātra
ད	[LCh]idānīm; [C]adya
ད-དུ-ར	dhattūra
ད-ལྟ	[C]etarahi
ད-ལྟར	[C]ete hi; [C]pratyutpanna; [MSA]adhuna
ད-ལྟར-བྱུང-བ	[C,MSA,MV]pratyutpanna
ད-ལྟར-བྱུང-བར	[C]pratyupanna
ད-ནི	[MV]idānīm
དད-དང-འདུན-ལ-བརྟེན-པ	[MSA]śraddhā-cchanda-pratiṣṭhita
དད-ལྡན	[MSA]śrāddha
དད-མ-ཡིན	[C]asakta; aśrāddha
དད-པ	[C,MSA,MV]śraddha; [MSA]śraddadhāna; [MSA,MV]śraddhā; [C]śraddadhānatā; [C,MSA]prasāda [C](=abhisampratyaya-darśanād abhivardhamāna-śraddaḥ = buddha-dharma-saṃgha-āśayaḥ = guṇavattva-darśanād bhakti-viśeṣaḥ); [MSA]bhakti; [MSA]ruci; [C]astitvena-abhisaṃpr
དད-པ-བསྐྱེད-ནས	[MSA]prasādaṃ janayitvā
དད-པ-དག	[C]śrāddha
དད-པ-དང-དགའ-བ-དང-བློའི-རྒྱུ	[MSA]bhakti-tuṣṭi-buddhi-hetutva
དད-པ-དང-ལྡན-པ	[C]śrāddha
