སངས-རྒྱས	buddhaḥ
ནེམ-ནུར-རྣམ-པར-སེལ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	vimativikiraṇo nāma samādhiḥ
གནས-སུ-བྱ-བ-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	niradhiṣṭhāno nāma samādhiḥ
བཀོད-པ-གཅིག-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	ekavyūho nāma samādhiḥ
རྣམ-པར-མངོན-པར-སྒྲུབ-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	ākārābhinirhāro nāma samādhiḥ
རྣམ-པ-གཅིག-ཏུ-གྱུར-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	ekākāro nāma samādhiḥ
རྣམ-པར-དོར-བ-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	ākārānapakāro nāma samādhiḥ
རྟོགས-པས-སྲིད-པའི-གཞི-ཐམས-ཅད-ཁོང-དུ-ཆུད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	nairvedhikasarvabhavatalopagato nāma samādhiḥ
བརྡ-དང-སྒྲ-ལ-འཇུག-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	saṃketarutapraveśo nāma samādhiḥ
སྒྲ-དབྱངས-ཀྱི-ཡི-གེ-དང-བྲལ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	nirghoṣākṣaravīmukto nāma samādhiḥ
སྒྲོན-མ-འབར-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	jvalanolko nāma samādhiḥ
མཚན-ཉིད-ཡོངས-སུ-སྦྱོང-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	lakṣaṇapariśodhano nāma samādhiḥ
མངོན-པར-མ-དམིགས-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	anabhilakṣito nāma samādhiḥ
རྣམ-པ-ཐམས-ཅད-ཀྱི-མཆོག-དང-ལྡན-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	sarvākāravaropeto nāma samādhiḥ
མི-ཟད-པའི-ཟ-མ-ཏོག-ཅེས-བྱ-བའི-ཏིང-ངེ-འཛིན	akṣayakaraṇḍo(akṣayakaraṇḍako) nāma samādhiḥ
གཟུངས-ཀྱི-བློ-གྲོས-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	dhāraṇīmatir nāma samādhiḥ
ཡང-དག-པར-ལོག-པ-ཐམས-ཅད-ཡང-ཏག-པར-སེལ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	samyaktvamithyātvasarvasaṃgrasano nāma samādhiḥ
འགལ-བ-དང-འགོག-པ-ཐམས-ཅད-ཡང-དག-པར-ཞི-བར-བྱེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	sarvanirodhavirodhasaṃpraśamano nāma samādhiḥ
བདེ-བ-དང-སྡུག-བསྔལ-ཐམས-ཅད-ལ-མངོན-པར-དགའ-བ-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	sarvasukhaduḥkhanirabhinandī nāma samādhiḥ
མཐུན-པ-དང-འགལ-བ-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	anurodhāpratirodho nāma samādhiḥ
སྙིང-པོ-དང-ལྡན-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	sāravatī nāma samādhiḥ
ཟླ-བ-ཡོངས-སུ-རྫོགས-པའི-ཏིང-ངེ-འཛིན	paripūrṇacandravimalaprabho nāma samādhiḥ
གློག-གི-འོད-ཅེས-བྱ-བའི-ཏིང-ངེ-འཛིན	vidyutprabho nāma samādhiḥ
བཀོད-པ-ཆེན-པོ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	mahāvyūho nāma samādhiḥ
རྣམ-པ-ཐམས-ཅད-དུ-འོད-བྱེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	sarvākāraprabhākaro nāma samādhiḥ
ཏིང-ངེ-འཛིན-མཉམ-པ-ཉིད-ཅེས-བྱ-བའི-ཏིང-ངེ-འཛིན	samādhisamatā nāma samādhiḥ
རྡུལ-མེད-ཅིང-རྡུལ-དང-བྲལ-བའི-ཚུལ-དང-ལྡན-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	arajovirajonayayukto nāma samādhiḥ
ཉོན-མོངས-པ-མེད-པར-ཡང-དག-པར-འདུ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	araṇasamavasaraṇo nāma samādhiḥ
ཉོན-མོངས-པ-མེད-པ-དང-ཉོན-མོངས-པ-དང-བཅས-པ-ཐམས-ཅད-ཡང-དག-པར-འདུ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	araṇasaraṇasarvasamavasaraṇo nāma samādhiḥ
གནས-ལ-བརྟེན-པ-མེད-པ-ལ-བརྩོན-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	anilambhaniketanirato nāma samādhiḥ
དེ-བཤིན-ཉིད-ལ-གནས-ཤིང-སེམས-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	tathatāsthitaniścitto(tathatāsthitaniś-cito) nāma samādhiḥ
ལུས-ཀྱི-སྐྱོན-ཡང-དག-པར-སེལ-བ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	kāyakalisampramathano nāma samādhiḥ
ངག-གི-སྐྱོན-རྣམ-པར-འཇིག-པས-ནམ-མཁའ-ལྟར-གྱུར-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	vākkalividhvaṃsanagaganakalpo nāma samādhiḥ
ནམ-མཁའ-ལྟར-ཆགས-པ-མེད-པས-རྣམ-པར-གྲོལ-ཞིང-གོས-པ-མེད-པ-ཞེས-བྱ-བའི-ཏིང-ངེ-འཛིན	ākāśāsaṅgavimuktinirupalepo nāma samādhiḥ
བྱང-ཆུབ-སེམས-དཔའ	bodhisattvaḥ
སེམས-དཔའ-ཆེན-པོ	mahāsattvaḥ
བློ-ལྡན	dhīmān
གསལ-མཆོག	uttamadyutiḥ
རྒྱལ-སྲས	jinaputraḥ
རྒྱལ-བའི-གཞི	jinādhāraḥ
རྣམ-པར-རྒྱལ-བྱེད	vijetā
རྒྱལ-བའི-མྱུ-གུ	jināṇkuraḥ
རྩལ-ལྡན	vikrāntaḥ
འཕགས-མཆོག	paramāryaḥ
དེད-དཔོན	 sārthavāhaḥ|sārthavāhaḥ 
གྲགས-ཆེན	mahāyaśāḥ
སྙིང-རྗེ-ཅན	kṛpāluḥ
བསོད-ནམས-ཆེ	mahāpuṇyaḥ
དབང-ཕྱུག	 īśvaraḥ|īśvaraḥ 
ཆོས-དང-ལྡན-པ	dhārmikaḥ
རྒྱལ-བའི-ཐུགས-ཀྱི-སྲས	jinaurasaḥ
ཆོས-ལས-འབྱུང-བ	dharmato nirgataḥ(nirjitaḥ)
ཞལ-ནས-སྐྱེས-པ	mukhatojātaḥ(nirjātaḥ)
བྱང-ཆུབ-སེམས-དཔའ-སོ-སོའི-མཚན-ལ	nānābodhisattvanāmāni
སྤྱན-རས-གཟིགས-དབང-ཕྱུག	avalokiteśvaraḥ
བྱམས-པ	 maitrī|maitreyaḥ 
ནམ-མཁའི-སྙིང-པོ	 ākāśagarbhaḥ|ākaśagarbhaḥ 
ཀུན-ཏུ-བཟང-པོ	samantabhadraḥ
ལག-ན-རྡོ-རྗེ	vajrapāṇiḥ
འཇམ-དཔལ-གཞོན-ནུར-གྱུར-པ	mañjuśrīkumārabhūtaḥ
སྒྲིབ-པ-ཐམས-ཅད-རྣམ-པར-སེལ-བ	sarvanīvaraṇaviṣkambhī
སའི-སྙིང-པོ	kṣitigarbhaḥ
མཐུ-ཆེན-ཐོབ	mahāsthāmaprāptaḥ
རིན-པོ-ཆེའི-ཏོག	 ratnaketuḥ|ratnaketuḥ 
ལག-ན-རིན-ཆེན	ratnapāṇiḥ
ལག-ན-ཕྱག-རྒྱ-རིན-པོ-ཆེ	ratnamudrāhastaḥ
ཅོད-པན-རིན-པོ-ཆེ	ratnamukuṭaḥ
གཙུག-ན-རིན-པོ-ཆེ	ratnacūḍaḥ
རིན-ཆེན-རྩེགས-པ	ratnakūṭaḥ
དཀོན-མཆོག-འབྱུང-གནས	 ratnākaraḥ|ratnākaraḥ 
རིན-པོ-ཆེའི-རྩེ-མོ	ratnaśikharaḥ
རིན-ཆེན-རྒྱལ-མཚན	ratnadhvajaḥ
རྡོ-རྗེའི-སྙིང-པོ	vajragarbhaḥ
གསེར-གྱི-སྙིང-པོ	suvarṇagarbhaḥ
རིན-པོ-ཆེའི-སྙིང-པོ	ratnagarbhaḥ
དཔལ-གྱི-སྙིང-པོ	śrīgarbhaḥ
དགེ-བའི-སྙིང-པོ	śubhagarbhaḥ
དགེ-བ-དྲི-མ-མེད-པའི-སྙིང-པོ	śubhavimalagarbhaḥ
དེ-བཤིན-གཤེགས-པའི-སྙིང-པོ	tathāgatagarbhaḥ
ཡེ-ཤེས-ཀྱི-སྙིང-པོ	jñānagarbhaḥ
ཉི-མའི-སྙིང-པོ	 sūryagarbha(vaipulyasūtraṃ)|sūryagarbhaḥ 
ཏིང-ངེ-འཛིན-གྱི-སྙིང-པོ	samādhigarbhaḥ
པད-མའི-སྙིང-པོ	padmagarbhaḥ
རྣམ-པར-གྲོལ-བའི-ཟླ-བ	vimukticandraḥ
ཀུན-ཏུ-མིག	samantanetraḥ
དྲི-མ-མེད-པའི-སྤྱན	vimalanetraḥ
ཡངས-པའི-སྤྱན	viśalanetraḥ
ཀུན-ཏུ-སྤྱོད-ལམ	samanteryapathaḥ
ཀུན-ཏུ-སྤྱོད-པའི-བློ-གྲོས	samantacāritramatiḥ
རྒྱལ-བའི-བློ-གྲོས	jayamatiḥ
སེང-གེ-རྣམ-པར-རོལ-པ	siṃhavikrīḍitaḥ
སྒྲ-ཆེན-པོའི-དབྱངས-ཀྱི-རྒྱལ-པོ	mahāghoṣasvararājaḥ
སེང-གེའི-སྒྲ-སྒྲོགས	simhanādanādī (simhanādanādin)
ཟབ-མོའི-དབྱངས-ཀྱི-ང-རོ-སྒྲོགས-པ	gambhīraghoṣasvaranāditaḥ
གོས-པ-མེད-པ	anupaliptaḥ
དྲི-མ-ཀུན-ཏུ-བྲལ-བ	sarvamalāpagataḥ
ཟླ-འོད	candraprabhaḥ
ཉི-མའི-འོད	 sūryaprabhaḥ|sūryaprabhaḥ 
ཡེ-ཤེས-འོད	jñānaprabhaḥ
བཟང-སྐྱོང	bhadrapālaḥ
ལྷུན-པོའི-རྩེ-འཛིན-གཞོན-ནུར-གྱུར-པ	meruśikharadharaḥ kumārabhūtaḥ
ཆུ-ལྷའི-བློ-གྲོས-གཞོན-ནུར-གྱུར-པ	varuṇamatiḥ kumārabhūtaḥ
བཟང-པོའི-བློ-གྲོས-གཞོན-ནུར-གྱུར-པ	sumatiḥ kumārabhūtaḥ
རྟག-ཏུ-བརྩོན	nityodyuktaḥ
དེད-དཔོན-བཟང-པོ	susārthavāhaḥ
འོད-ཅན-གཞོན-ནུར-གྱུར-པ	jyotiṣmatiḥ kumārabhūtaḥ
ཐུབ-དཀའ-གཞོན-ནུར-གྱུར-པ	durdharṣaḥ kumārabhūtaḥ
ནམ-མཁའི-མཛོད	 gagaṇagañjaḥ|gaganagañjaḥ 
དཔའ-བར-འགྲོ-བ	śūraṃgamaḥ
བློ-གྲོས-མི-ཟད-པ	akṣayamatiḥ
སྤོབས-པ-བརྩེགས-པ	paratibhānakūṭaḥ
སྤོས-ཀྱི-གླང-པོ-ཆེ	gandhahastī
དྲ-བ-ཅན-གྱི-འོད	jālinīprabhaḥ
འཕེལ-བའི-བློ-གྲོས	vardhamānamatiḥ
ཀུན-ཏུ-འོད	 samantaprabhaḥ|samantaprabhaḥ 
སཱུརྱ-དང-མ-འདོམ-ན-ཉི-མའི-སྙིང-པོ	ādityagarbhaḥ
སཱུརྱ-དང-མ-འདོམ-ན-ཉི-གདུག-སྙིང-པོ	ādityagarbhaḥ
ཡུལ-ཐམས-ཅད-སྣང-བའི-རྒྱན-སྤོབས-པ-སྟོན-པའི-སྙིང-པོ	sarvaviṣayāvabhāsālaṃkārapratibhānadarśanagarbhaḥ
དྲི-མ-མེད-པའི-སྙིང-པོ	amalagarbhaḥ
དྲི-མ-དང-བྲལ-བའི-སྙིང-པོ	vimalagarbhaḥ
འོད-འབར-ཞིང-འཕྲོ-བའི-དཔལ-གྱི-སྙིང-པོ	jyotirjvalanārciśrīgarbhaḥ
རྡོ-རྗེའི-དབྱིག	vajrasāraḥ
དྲི-མགྱོགས	āśugandhaḥ
རྟག-ཏུ-སྦྱོར-བ	nityayuktaḥ (nityaprayukta, nityaprabha)
ཕུག-སྦས	guhaguptaḥ
མཐོང-བ-དོན-ཡོད	amoghadarśī
ལེགས-པར-ཡང-དག-བཞུགས	susamprasthitaḥ
བརྩོན-པ-མི-གཏོང-བ	anikṣiptadhuraḥ
མ-ཉམས-པའི-བློ-གྲོས	anupahatamatiḥ
རྟག-ཏུ-ལག-བརྐྱངས	nityotkṣiptahastaḥ
ཆུ-བོ-སྦྱིན	nadīdattaḥ (nadadatta)
རྣམ-པར-རྒྱལ-བ-གནོན-པ	vijayavikrāmī (vijayavikrāmin)
རྒྱལ-བ-སྦྱིན	jayadattaḥ
མྱ-ངན-བྲལ-བ	vigataśokaḥ
བསྐལ-པ-བཟང-པོའི-བྱང-ཆུབ-སེམས-དཔའ	 bhadrakalpikabodhisattvāḥ|bhadrakalpikabodhisattvaḥ 
བྱང-ཆུབ-སེམས-དཔའ-གཟི-བརྗིད-ཆེ-བ-གཞན-དག-ཀྱང	anye ca mahaujaskā bodhisattvāḥ
འགྲོ-བ-འཛིན	jagatīṃdharaḥ
སྐར-མའི-འོད-དམ-མེའི-འོད	jyotiṣprabhaḥ
གཅིག-ཏུ-མཛེས-པ	ekakāntarājā (ekāntārājā)
ས-དང-སྟོབས-དང-མི-འཇིགས-པ-འཆང-བ	bhūmibalavaiśāradyadharaḥ
ཟླ-མཛེས	sucandraḥ
གཞན-གྱིས-མི-ཐུབ-པའི-གཟི-བརྗིད	aparājitatejāḥ
བསམ-གྱིས-མི-ཁྱབ-པའི-དཀྱིལ-འཁོར-ལ-བློ-གྲོས-རྣམ-པར-རོལ-པ	acintikamadhyabhuddhivikrīḍitaḥ
ཡེ-ཤེས-འབྱོར-བའི-སྙིང-པོ	jñānavibhūtigarbhaḥ
སངས-རྒྱས-ཀྱི-རྡོ-རྗེ-འཛིན-བའི-མཚམས-སྦྱོར-བ	buddhavajrasaṃdhāraṇasaṃdhiḥ
རིན-ཆེན-ཀུན-ཏུ-འཕགས	ratnasamudgataḥ
ཤིན-ཏུ-གནས-པ	supratiṣṭhitaḥ
མི-སྒུལ-པ	akampyaḥ
ཕྱིར-མི-ལྡོག-པ	avinivartanīyaḥ
ཉི-མའི-འོད-ཀྱི-གཟི-བརྗིད	sūryaprabhatejaḥ
དོན-ཐམས-ཅད-གྲུབ-པ	sarvārthasiddhaḥ
ཡེ-ཤེས-སྒྲོན-མ	jñānolkaḥ
ད-ལྟར-གྱི-སངས-རྒྱས-མངོན-སུམ-དུ-བཞུགས-པ	pratyutpannabuddhasaṃmukhāvasthitaḥ
བྱང-ཆུབ-སེམས-དཔའི-གཟུངས-བཅུ-གཉིས-ཀྱི-མིང-ལ	bodhisattvadhāraṇyaḥ
དབང-བསྐུར-ལྡན	abhiṣecanī (abhiṣecavatī)
ཡེ-ཤེས-ལྡན	jñānavatī
སྒྲ-དབྱངས-རྣམ-པར-དག-པ	viśuddhasvaranirghoṣā
མི-ཟད-པའི-ཟ-མ-ཏོག	akṣayakaraṇḍā
འཁྱིལ-བ-མཐའ-ཡས	anantāvartā
རྒྱ-མཚོའི-ཕྱག-རྒྱ	sāgaramudrā
པདམའི-བཀོད-པ	padmavyūhā
ཆགས-པ-མེད-པའི-སྒོར-འཇུག-པ	asaṅgamukhapraveśa
སོ-སོ-ཡང-དག-པར-རིག-པ-ངེས-པ-ལ-འཇུག-པ	pratisaṃvinniścayāvatārā
སངས-རྒྱས-ཀྱི-རྒྱན-བྱིན-གྱིས-རླབས-པ	buddhālaṃkārādhiṣṭhitā
ཁ-དོག-མཐའ-ཡས-པ	anantavarṇā
སངས-རྒྱས-ཀྱི-སྐུའི-ཁ-དོག-ཡོངས-སུ-རྫོགས-པ-མངོན-པར-སྒྲུབ-པ	buddhakāyavarṇapariniṣpattyabhinirhārā
བྱང-ཆུབ-སེམས-དཔའི-སྟོབས-བཅུའི-མིང-ལ	bodhisattvabalāni
བསམ-པའི-སྟོབས	āśayabalaṃ
ལྷག-པའི-བསམ-པའི-སྟོབས	adhyāśayabalaṃ
སྦྱོར-བའི-སྟོབས	prayogabalaṃ
ཤེས-རབ-ཀྱི-སྟོབས	 prajñābalam|prajñābalaṃ 
སྨོན-ལམ-གྱི-སྟོབས	praṇidhānabalaṃ
ཐེག-པའི-སྟོབས	yānabalaṃ
སྤྱོད-པའི-སྟོབས	caryābalaṃ
རྣམ-པར-འཕྲུལ-བའི-སྟོབས	vikurvaṇabalaṃ
བྱང-ཆུབ-ཀྱི-སྟོབས	bodhibalaṃ
ཆོས-ཀྱི-འཁོར-ལོ-རབ-ཏུ-སྐོར-བའི-སྟོབས	dharmacakrapravartanabalaṃ
བྱང-ཆུབ-སེམས-དཔའི-དབང-བཅུའི-མིང-ལ	bodhisattvavaśitā
སེམས-ལ-དབང-བ	cittavaśitā
ཡོ-བྱད-ལ-དབང-བ	pariṣkāravaśitā
ཚེ-ལ-དབང-བ	āyurvaśitā
ལས-ལ-དབང-བ	karmavaśitā
སྐྱེ-བ-ལ-དབང-བ	upapattivaśitā (utpattivaśitā)
མོས-པ-ལ-དབང-བ	adhimuktivaśitā
ཆོས-ལ-དབང-བ	dharmavaśitā
སྨོན-ལམ-ལ-དབང-བ	praṇidhānavaśitā
རྫུ-འཕྲུལ-ལ-དབང-བ	ṛddhivaśitā
ཡེ-ཤེས-ལ-དབང-བ	jñānavaśitā
བྱང-ཆུབ-སེམས-དཔའི-མི-འཇིགས-པ-བཞིའི-མིང-ལ	bodhisattvānāṃ catvāri vaiśāradyāni
གཟུངས-ཀྱི-ཐོས-པ-འཛིན-ཅིང-དོན-བསྟན-པ-ལ-མི-འཇིགས-པ	dhāraṇīśrutodgrahaṇārthanirdeśavaiśāradyaṃ
བདག-མེད-པ-ཁོང-དུ-ཆུད-པས-གཞན-གྱིས-གཙེ-བའི-མཚན-མ-མི-འབྱུང-ཞིང-རང-བཞིན-གྱིས-སྤྱོད-ལམ-སྨད-དུ-མེད-པའི-ལས-གསུམ-ཡོངས-སུ-དག-པའི-བསྲུང-བ-ཆེན-པོ-ཕུན-སུམ-ཚོགས-པའི-མི-འཇིགས-པ	nairātmyādhigamātparaviheṭhanānimittasamudācārasahajānadhigateryāpathatriṣkarmapariśuddha mahārakṣasaṃpannavaiśāradyam
ཆོས-བཟུང-བ-ཡུན-དུ-མི-བརྗེད-པ-དང-ཐབས-ཤེས-རབ-མཐར-ཕྱིན-པས-སེམས-ཅན-སྒྲོལ-མཐར-ཞིང-དད-པ-སྟོན-པ-དང-དགེ-བའི-བར-ཆད-དུ-མི-འགྱུར-བའི-མི-འཇིགས-པ	sadodgṛhītadharmāvismaraṇaprajñopāyaniṣṭhāgatasattvanistāraṇaprasādasaṃ darśanaśubhānantarāyikavaiśāradyam
ཐམས-ཅད-མཁྱེན-པ-ཉིད-ཀྱི-སེམས-མི-ཉམས-ཤིང-ཐེག-པ-གཞན-གྱིས-མི-འགྱུར-བར-དབང-ཡོངས-སུ-རྫོགས-པ-དང-སེམས-ཅན-གྱི-དོན-རྣམ-པ-ཐམས-ཅད-དུ-ཡང-དག-པར-ཐོབ-པར-བྱ-བ-ལ-མི-འཇིགས-པ	sarvajñātācittāsaṃpramoṣānyayānāniryāṇasaṃpūrṇavaśitāsarvaprakārasattvārtha saṃprāpaṇavaiśāradyam
བྱང-ཆུབ-སེམས-དཔའི-ཆོས-མ-འདྲེས-པའི-བཅུ-བརྒྱད-ཀྱི-མིང-ལ	aṣṭādaśāveṇikabodhisattvadharmāḥ
ཉེ-བར-མ-བསྟན-པའི-སྦྱིན-པ-ཅན-རྣམས	anupadiṣṭadānāḥ
ཉེ-བར-མ-བསྟན-པའི-ཚུལ-ཁྲིམས-ཅན-རྣམས	anupadiṣṭaśīlāḥ
ཉེ-བར-མ-བསྟན-པའི-བཟོད-པ-ཅན-རྣམས	anupadiṣṭakṣāntayaḥ
ཉེ-བར-མ-བསྟན-པའི-བརྩོན-འགྲུས-ཅན-རྣམས	anupadiṣṭavīryāḥ
ཉེ-བར-མ-བསྟན-པའི-བསམ-གཏན-ཅན-རྣམས	anupadiṣṭadhyānāḥ
ཉེ-བར-མ-བསྟན-པའི-ཤེས-རབ-ཅན-རྣམས	anupadiṣṭa prajñāḥ
བསྡུ-བའི-དངོས-པོས-སེམས-ཅན-ཐམས-ཅད-སྡུད-པ-རྣམས	saṃgrahavastusarvasattvasaṃgrāhakāḥ
ཡོང-སུ-བསྔོ-བའི-ཆོ-ག-ཤེས-པ-རྣམས	pariṇāmanavidhihjñāḥ
ཐབས-ལ-མཁས-པས-སེམས-ཅན-ཐམས-ཅད-ཀྱིས-སྤྱོད-པའི-དབང-གིས-ཐེག-པའི-མཆོག-གིས-འབྱུང-བ-བསྟན-པ-རྣམས	upāyakauśalyasarvasattvacaritādhipatyaparamayānaniryāṇasaṃdarśakāḥ
ཐེག-ཆེན-ལས-མ-ཉམས-པ-རྣམས	mahāyānācyutāḥ
འཁོར-བ-དང-མྱ-ངན-ལས-འདས-པའི-སྒོ-སྟོན-པ-རྣམས	saṃsāranirvāṇamukhasaṃdarśakāḥ
ཟུང-དང-སྣྲེལ-ཞིའི-རྒྱུད-ལ-མཁས-པ-རྣམས	yamakavyatyastāhārakuśalāḥ
ཡེ-ཤེས-ཀྱི-སྔོན-དུ-འགྲོ-བས-མངོན-པར-འདུ-མི-བྱེད-ཅིང-ཁ-ན-མ-ཐོ-བ-མེད-པར-ཚེ-རབས-ཐམས-ཅད-དུ-མངོན-དུ-ཞུགས-པ-རྣམས	jñānapūrvaṃgamānabhisaṃskāraniravadyasarvajanmābhimukhapravṛttāḥ
ལུས-དང-ངག-དང-ཡིད-ཀྱི-ལས-ཀྱི-མཐའ-དགེ-བ-བཅུ-དང-ལྡན-པ-རྣམས	daśakuśalopetakāyavāgmanaskarmāntāḥ
སྡུག-བསྔལ-གྱི-ཕུང-པོ-ཐམས-ཅད-བཟོད-པའི-ལུས-ལེན-པས-སེམས-ཅན-གྱི-ཁམས-ཐམས-ཅད-ཡོངས-སུ-མི-གཏོང-བ-རྣམས	sarvaduḥkhaskandhasahānātmopādānasarvasattvadhātvaparityāginaḥ
འགྲོ-བ-ཐམས-ཅད-མངོན-པར-དགའ-བར-སྟོན-པ-རྣམས	sarvajagadabhirucisaṃdarśakāḥ
བྱིས-པ-དང-ཉན-ཐོས-མི-བཟད-པ-ཇི-སྙེད-ཅིག-གི-ནང-ན-ཡང-དགེ-བ-མང-པོའི-རིན-པོ-ཆེའི-ཤིང-དཔག-བསམ-ལྟར-བརྟན-པའི-ཐམས-ཅད-མཁྱེན-པ-ཉིད-ཀྱི-སེམས-ཡོངས-སུ-མ-ཉམས-པ-རྣམས	kiyatkṛcchrabālaśrāvakamadhyaśubhavyūharatnakalpavṛkṣadṛḍhasarvajñātā cittāsaṃpramuṣitāḥ
ཆོས-ཐམས-ཅད-ཀྱི-ཐབས-སྦྱིན-པས-དབང-བསྐུར-བ-ཐོབ-པར-བྱ-བའི-ཕྱིར-སངས-རྒྱས-ཀྱི-ཆོས-བཙལ-བ-བསྟན-པ-ལས-ཕྱིར-མི-ལྡོག-པ-རྣམས	sarvadharmapaṭṭavābaddhābhiṣekaprāptibuddhadharmasaṃghaparyeṣṭisaṃdarśanānivṛttāḥ
མདོ-སྡེ-ལས-འབྱུང-བའི-བྱང-ཆུབ-སེམས-དཔའི-ཡོན-ཏན-ཐོག-ཐོག-སྨོས-པའི-མིང-ལ	bodhisattvānāṃ sūtrānta-nirgatāni kāni cid ( kañcid ) guṇa-nāmāni
སྐྱེ-བ-གཅིག-གིས-ཐོགས-པ	ekajātipratibaddhaḥ
ཐམས-ཅད-མཁྱེན-པ-ཉིད-ལ-མངོན-དུ-ཕྱོགས-པ	sarvajñātābhimukhaḥ
ཐམས-ཅད-མཁྱེན-པ-ཉིད-ལ-གཞོལ-བ	sarvajñātānimnaḥ
ཐམས-ཅད-མཁྱེན-པ-ཉིད-ལ-འབབ-པ	 sarvajñātāprāgbhāraḥ|sarvajñātāpravaṇaḥ 
ཆགས-པ-མེད-པའི-གཟུངས-དང-ཏིང-ངེ-འཛིན-ཐོབ-པ	asaṅgadhāraṇīsamādhipratilabdhaḥ
དཔའ-བར-འགྲོ-བའི-ཏིང-ངེ-འཛིན-དང-ལྡན-པ	śūraṃgamasamādhisamanvāgataḥ
མངོན-པར-ཤེས-པ-ཆེན-པོས-རྣམ-པར-རོལ-པ	mahābhijñāvikrīḍitāḥ
སྒྲིབ-པ-དང-ཆོད-པ-དང-ཀུན-ནས-ལྡང-བ-ཐམས-ཅད-དང-བྲལ-བ	sarvāvaraṇavivaraṇaparyutthānavigataḥ (sarvāvaraṇaparyutthānaparyupasthānavigataḥ)
ལམ-གྱི-རྒྱུན-མ-བཅད-པ	apratipraśrabdhamārgaḥ
བྱམས-པ-ཆེན-པོ-དང-སྙིང-རྗེ-ཆེན-པོས-ཕྱོགས-བཅུའི-འཇིག-རྟེན-གྱི-ཁམས-སུ-ཁྱབ-པ	mahāmaitrīmahākaruṇādaśadiglokadhātuspharaṇaḥ
མཐའ-ཡས-པའི-སངས-རྒྱས-ཀྱི-ཞིང-ཏུ-འགྲོ-བ-ལ-མཁས-པ	anantabuddhakṣetrākramaṇakuśalaḥ
སྟོང-པ-ཉིད-ཀྱི-སྤྱོད-ཡུལ-པ	śūnyatāgocaraḥ
མཚན-མ-མེད-པ-ལ-གནས-པ	animittavihārī
སྨོན-ལམ-ལ-གནས-པ-ཐམས-ཅད-དང-བྲལ-བ	sarvapraṇidhānanicrayavigataḥ
སེམས-ཅན-ཐམས-ཅད-ལ-ཕན-པར-བརྩོན-པ	sarvasattvahitābhyudyataḥ
སངས-རྒྱས-ཀྱི-ཡུལ-ཐམས-ཅད-ལ-མཁས-པ	sarvabuddhaviṣayakuśalaḥ
ཡེ-ཤེས-མཐའ-ཡས-པ	anantajñānaḥ
སེམས-ནམ-མཁའ-དང-མཚུངས-པ	ākāśasamacittaḥ
སེམས-རྒྱ-མཚོ-ལྟར-ཟབ-པ	sāgaravad gambhīracittaḥ
སེམས-རིའི-རྒྱལ-པོ-རི-རབ-ལྟར-མི-སྒུལ-བ	sumeruparvatarājavad akaṃpyacittaḥ
སེམས-པད-མ-ལྟར-མ-གོས-པ	padmavad anupaliptacittaḥ
སེམས-རིན-པོ-ཆེ-ལྟར-ཤིན-ཏུ-ཡོངས-སུ-དག-པ	ratnavat supariśuddhacittaḥ
སེམས-གསེར-ལྟར-ཤིན-ཏུ-ཡོངས-སུ-སྦྱང-བ	suvarṇavat suparyavadātacittaḥ
ཡེ-ཤེས-ཀྱི-ཚོགས-ཚད-མེད-པ-ཡོངས-སུ-འཚོལ-བ-ལ-མཁས-པ	aparimitajñānasaṃbhāraparyeṣaṇakuśalaḥ
